1CH 1:1	លោក​អ​ដាំ លោក​សេ​ថ លោក​អេ​ណុស
1CH 2:27	កូនចៅ​របស់​លោក​រ៉ាម​ដែល​ជា​កូនច្បង​របស់​លោក​យេ​រ៉ា​មែ​លមាន ម៉ា​អាស យ៉ា​គីន និង​អេ​គើរ​។
1CH 2:28	កូន​របស់​លោក​អូ​ណាម​គឺ សា​ម៉ាយ និង​យ៉ា​ដា​។ កូ​នប្រុសៗ​របស់​លោក​សា​ម៉ាយ​គឺ ណា​ដាប់ និង​អ​ប៊ី​ស៊ើរ​។
1CH 2:29	ភរិយា​របស់​លោក​អ​ប៊ី​ស៊ើរ​ឈ្មោះ​អ​ប៊ី​ហា​អែល នាង​បង្កើតកូន​ប្រុស​ពីរ​នាក់​ជូន​លោក គឺ​អ​បាន់ និង​ម៉ូ​លី​ឌ​។
1CH 2:30	កូន​របស់​លោក​ណា​ដាប់​គឺ សេ​លេដ និង អ​ផែម​។ លោក​សេ​លេ​ដ​ស្លាប់​ទៅ តែ​គ្មាន​កូន​ទេ​។
1CH 2:31	លោក​អ​ផែ​ម​ជា​ឪពុក​របស់​លោក​អ៊ី​ស៊ី លោក​អ៊ី​ស៊ី ជា​ឪពុក​របស់​លោក​សេសាន លោក​សេសាន ជា​ឪពុក​របស់​លោក​អ​ឡាយ​។
1CH 2:32	កូន​របស់​លោក​យ៉ា​ដា ដែល​ត្រូវជា​ប្អូន​របស់​លោក​សា​ម៉ាយ គឺ​យេ​ធើរ និង​យ៉ូណាថាន​។ លោក​យេ​ធើ​រស្លាប់​ទៅ តែ​គ្មាន​កូន​ទេ​។
1CH 2:33	កូន​របស់​លោក​យ៉ូណាថាន​គឺ ពេលេ​ត និង​សា​សា​។ អ្នក​ទាំងនេះ​សុទ្ធតែ​ជា​កូនចៅ​របស់​លោក​យេ​រ៉ា​មែល​។
1CH 2:34	លោក​សេសាន​គ្មាន​កូនប្រុស​ទេ គឺ​មានតែ​កូនស្រី​។ លោក​សេសាន​មាន​ខ្ញុំបម្រើ​ម្នាក់​ជា​ជនជាតិ​អេ​ស៊ីប ឈ្មោះ​យ៉ា​រហា​។
1CH 2:35	លោក​សេសាន​បាន​លើក​កូនស្រី​គាត់​ទៅ​ឲ្យ​យ៉ា​រហា​ដែល​ជា​ខ្ញុំបម្រើ​នោះ នាង​បង្កើត​បានកូន​ប្រុស​ឲ្យ​គាត់ ឈ្មោះ​អ​ថាយ​។
1CH 2:36	លោក​អ​ថា​យ​ជា​ឪពុក​របស់​លោក​ណា​ថាន លោក​ណា​ថាន​ជា​ឪពុក​របស់​លោក​សា​បាដ​។
1CH 2:37	លោក​សា​បាដ​ជា​ឪពុក​របស់​លោក​អែប​ឡាល លោក​អែប​ឡា​ល​ជា​ឪពុក​របស់​លោក​អូ​បិឌ​។
1CH 2:38	លោក​អូ​បិឌ ជា​ឪពុក​របស់​លោក​យេ​ហ៊ូ​វ លោក​យេ​ហ៊ូ​វ​ជា​ឪពុក​របស់​លោក​អ​សា​រ៉ា​។
1CH 2:39	លោក​អ​សា​រ៉ា​ជា​ឪពុក​របស់​លោក​ហា​លេស លោក​ហា​លេស​ជា​ឪពុក​របស់​លោក​អេ​ឡា​សា​។
1CH 2:40	លោក​អេ​ឡា​សា​ជា​ឪពុក​របស់​លោក​ស៊ី​សម៉ា​យ លោក​ស៊ី​សម៉ា​យ​ជា​ឪពុក​របស់​លោក​សា​លូម​។
1CH 2:41	លោក​សា​លូ​ម​ជា​ឪពុក​របស់​លោក​យេ​កា​មី​យ៉ា យេ​កា​មី​យ៉ា​ជា​ឪពុក​របស់​លោក​អេ​លី​សា​ម៉ា​។
1CH 2:42	រី​ឯ​កូ​នប្រុសៗ​របស់​លោក​កា​លែប ជា​ប្អូន​របស់​លោក​យេ​រ៉ា​មែល គឺ​មេសា ជា​កូនច្បង ដែល​ត្រូវជា​ឪពុក​របស់​ស៊ី​ភ​។ ម៉ា​រី​សា ជា​កូន​ទីពីរ​ដែល​ជា​ឪពុក​របស់​ហេ​ប្រុន​។
1CH 2:43	កូ​នប្រុសៗ​របស់​ហេ​ប្រុន​មាន កូ​រ៉ា តា​ពួរ រេ​គេម និង​សេ​ម៉ា​។
1CH 2:44	សេ​ម៉ា​ជា​ឪពុក​របស់​រ៉ា​ហាំ រ៉ា​ហាំ​ជា​ឪពុក​របស់​យ៉ូ​រគាម​។ រេ​គេ​ម​ជា​ឪពុក​របស់​សា​ម៉ាយ​។
1CH 2:45	លោក​សា​ម៉ាយ​ជា​ឪពុក​របស់​ម៉ា​អូន លោក​ម៉ា​អូន​ជា​ឪពុក​របស់​បេ​ត​ស៊ើរ​។
1CH 2:46	រី​ឯ​នាង​អេ​ប្រា ជា​ប្រពន្ធចុង​របស់​លោក​កា​លែប​បង្កើត​បាន​ហា​រ៉ា​ន ម៉ូ​សា និង​កា​សេស​។ លោក​ហា​រ៉ា​នក៏​មានកូន​ប្រុស​មួយ​ឈ្មោះ​កា​សេស​ដែរ​។
1CH 2:47	កូ​នប្រុសៗ​របស់​លោក​យ៉ា​ដាយ គឺ​រេ​គេម យ៉ូ​ថាម កេសា​ន ពេលេ​ត អេ​ផា និង​សា​អាប់​។
1CH 2:48	មា​កា ជា​ប្រពន្ធចុង​របស់​លោក​កា​លែប បង្កើត​បាន​សេ​ប៊ើរ និង​ទី​ហាណា​។
1CH 2:49	នាង​ក៏​បង្កើត​បាន​សា​អាប់ ជា​ឪពុក​របស់​ម៉ា​ដម៉ា​ណា ព្រមទាំង​ស៊ី​វ៉ា ជា​ឪពុក​របស់​ម៉ាក​បេ​ណា និង​គី​បៀរ​។ រី​ឯ​កូនស្រី​របស់​លោក​កា​លែប​ឈ្មោះ​នាង​អាក់​សា​។
1CH 2:50	កូន​ឯ​ទៀ​តៗ​របស់​លោក​កា​លែប​ជា​កូន​ហ៊ើ​រមា​នដូ​ចត​ទៅ កូន​ដែល​នាង​អេ​ប្រា​តាប​ង្កើត​ជូន​លោក​គឺ​ស៊ូ​បាល ជា​កូនច្បង ជា​អ្នក​ដែល​សង់​ក្រុង គា​យ៉ាត-យា​រីម​។
1CH 2:51	សាល​ម៉ា​ជា​អ្នកសង់​បេ​ថ្លេ​ហិម ហា​រេប​ជា​អ្នកសង់​បេត-កា​ឌើរ​។
1CH 2:52	លោក​ស៊ូ​បាល​ជា​អ្នកសង់​ក្រុង​គា​យ៉ាត-យា​រី​មក៏​មានកូន​ចៅ​ដែរ គឺ​អ្នកភូមិ​ហា​រ៉ូ​អេ និង​អ្នកភូមិ​ហា​ស៊ី-ហា​មេនូ​ហូត​ចំនួន​ពាក់កណ្តាល
1CH 2:53	ព្រមទាំង​អំបូរ​នានា​នៅ​ក្រុង​គា​យ៉ាត-យា​រីម គឺ​ពួក​យេ​ធើរ ពូ​ធី ស៊ូ​ម៉ា​ធី និង​មី​សរ៉ា​។ ពូជពង្ស​របស់​អ្នក​ទាំងនោះ​គឺ​ពួក​សូ​រ៉ា​ត និង​អែស​ថោស​។
