1CH 1:1	លោក​អ​ដាំ លោក​សេ​ថ លោក​អេ​ណុស
JHN 11:34	ទ្រង់​មាន​បន្ទូល​ថា​៖ «តើ​អ្នក​បាន​គាត់​នៅឯណា?» ពួកគេ​និយាយទៅ​កាន់​ព្រះអង្គ​ថា​៖ «ព្រះអម្ចាស់​អើយ សូម​យាង​មក ព្រះអង្គ​នឹង​ឃើញ»។
JHN 11:35	ព្រះយេស៊ូ​ទ្រង់ព្រះ​កន្សែង​។
JHN 11:36	បន្ទាប់មក ពួក​យូដា​និយាយ​ថា​៖ «មើល ព្រះអង្គ​ស្រឡាញ់​ឡា​សា​ប៉ុណ្ណា!»
JHN 11:37	ប៉ុន្តែ មាន​អ្នកខ្លះ​នៅក្នុងចំណោម​ពួកគេ​និយាយ​ថា​៖ «តើ​បុរស​ម្នាក់​នេះ ដែល​អាច​ធ្វើឲ្យ​មនុស្ស​ខ្វាក់​ភ្លឺ​បាន តើ​គាត់​អាច​ធ្វើឲ្យ​បុរស​នេះ​មិន​ស្លាប់​បានទេ?»
JHN 11:38	បន្ទាប់មក ព្រះយេស៊ូ​មាន​ព្រះទ័យ​ក្តុកក្តួល​ម្តង​ទៀត​នៅក្នុង​ព្រះអង្គ ទ្រង់​បាន​យាង​ទៅ​ឯ​ផ្នូរ​។ នៅ​ឯ​ផ្នូរ មាន​ថ្ម​បិទ​ជិត​។
JHN 11:39	ព្រះយេស៊ូ​មាន​បន្ទូល​ថា​៖ «ចូរ​យក​ថ្ម​នេះ​ចេញ!»។ នាង​ម៉ា​ថា បងស្រី​របស់​ឡា​សា​ទូល​ទៅកាន់​ព្រះយេស៊ូ​ថា​៖ «ព្រះអម្ចាស់​អើយ មកដល់ពេលនេះ​រូបកាយ​រលួយ​ហើយ​ដ្បិត​គាត់​បាន​ស្លាប់​បួន​ថ្ងៃហើយ»។
JHN 11:40	ព្រះយេស៊ូ​មាន​បន្ទូល​ទៅ​នាង​ថា​៖ «តើ​ខ្ញុំ​មិនបាន​និយាយ​ទេ​ឬអី​ថា ប្រសិនបើ​អ្នកជឿ អ្នក​នឹង​បានឃើញ​សិរីល្អ​របស់​ព្រះជាម្ចាស់?»។
JHN 11:41	ដូច្នេះ ពួកគេ​បាន​យក​ថ្ម​ចេញ​។ ព្រះយេស៊ូ​បាន​សម្លឹង​មើល ហើយ មាន​បន្ទូល​ថា​៖ «ព្រះបិតា​អើយ ទូលបង្គំ​ដឹង​ថា ព្រះអង្គ​ស្តាប់​ទូលបង្គំ​។
JHN 11:42	ទូលបង្គំ​ដឹង​ថា ព្រះអង្គ​ស្តាប់​ទូលបង្គំ​ជានិច្ច ប៉ុន្តែ ដោយ​ព្រោះ​ហ្វូង​មនុស្ស​ដែល​កំពុង​ឈរ​នៅ​ជុំវិញ​ទូលបង្គំ បាន​ជឿ​ថា​ព្រះអង្គ​បាន​ចាត់​ទូលបង្គំ​ឲ្យ​មក»។
JHN 11:43	បន្ទាប់ពី​ព្រះអង្គ​មាន​បន្ទូល​រួចហើយ ព្រះអង្គ​ក៏​ស្រែក​សម្លេង​យ៉ាង​ខ្លាំង​ថា​៖ «ឡា​សា ចេញ​មក!»
JHN 11:44	បុគ្គល​ដែល​ស្លាប់​នោះ​បាន​ចេញ​មក ជើង និង​ដៃ​របស់​គាត់​ត្រូវ​បាន​ចង​ដោយ​ក្រណាត់ ហើយ​មុខ​របស់​គាត់​ក៏​ត្រូវ​បាន​ចង​ដោយ​ក្រណាត់​ដែរ​។ ព្រះយេស៊ូ​មាន​បន្ទូល​ទៅ​ពួកគេ​ថា​៖ «ចូរ​ស្រាយ​គាត់ ហើយ​ឲ្យ​គាត់​ចេញទៅ»។
JHN 11:45	បន្ទាប់មក មាន​ពួក​យូដា​ជាច្រើន​ដែល​មក​ជាមួយ​នាង​ម៉ា​រី បានឃើញ​អ្វី​ដែល​ព្រះយេស៊ូ​បាន​ធ្វើ ហើយ​បាន​ជឿ​លើ​ព្រះអង្គ​។
JHN 11:46	ប៉ុន្តែ មាន​អ្នកខ្លះ​ក្នុងចំណោម​ពួកគេ​បាន​ចេញទៅ​ឯ​ពួក​ផា​រី​ស៊ី ហើយ​ប្រាប់​ពួកគេ​ពី​អ្វី​ដែល​ព្រះយេស៊ូ​បាន​ធ្វើ​។
JHN 11:47	នាយកបូជាចារ្យ និង​ពួក​ផា​រី​ស៊ី​បាន​ជួបជុំគ្នា ប្រឹក្សា​ជាមួយគ្នា ហើយ​និយាយ​ថា «តើ​យើង​ត្រូវ​ធ្វើអ្វី?»។ បុរស​ម្នាក់​នេះ បាន​ធ្វើ​ទី​សម្គាល់​ជាច្រើន​។
JHN 11:48	ប្រសិនបើ យើង​ទុក​គាត់​ឲ្យ​ធ្វើ​ដូច្នេះ មនុស្ស​គ្រប់គ្នា​មុខ​ជា​ជឿ​លើ​គាត់​មិនខាន​។ ពួក​រ៉ូម​នឹង​មក ហើយនឹង​គ្រប់គ្រង​លើ​យើង និង​ប្រទេស​យើង​ផង»។
JHN 11:49	ប៉ុន្តែ មាន​បុរស​ម្នាក់​នៅក្នុងចំណោម​ពួកគេ​ឈ្មោះ កៃ​ផាស ដែល​ជាម​ហា​បូជា​ចារ្យ​នៅ​ឆ្នាំ​នោះ មានប្រសាសន៍​ទៅ​ពួកគេ​ថា​៖ «អ្នករាល់គ្នា​គ្មាន​ដឹង​អ្វី​ទាំងអស់​។
JHN 11:50	អ្នករាល់គ្នា​មិន​គិត​ទេ​ថា ប្រសិនបើ មនុស្សម្នាក់​ស្លាប់ ជំនួស​ប្រជាជន ប្រសើរ​ជាង​មនុស្ស​មួយ​ប្រទេស​ត្រូវ​វិនាស»។
JHN 11:51	គាត់​មានប្រសាសន៍​ការ​នេះ មិនមែន​ដោយខ្លួន​គាត់​ទេ​។ ផ្ទុយទៅវិញ ក្នុងនាម​ជាម​ហា​បូជា​ចារ្យ​នៅក្នុង​ឆ្នាំ​នោះ គាត់​បាន​ថ្លែង​ទំនាយ​ថា ព្រះយេស៊ូ​ត្រូវ​សុគត​ដើម្បីប្រទេស​ជាតិ​។
JHN 11:52	ហើយ​មិនគ្រាន់​តែ​សម្រាប់​ប្រទេសជាតិ​ប៉ុណ្ណឹង​ទេ ប៉ុន្តែ ដើម្បីឲ្យ​បុត្រធីតា​របស់​ព្រះជាម្ចាស់​ដែល​បាន​ខ្ចាត់ខ្ចាយ​អាច​ប្រមូល​មូល​រួម​តែមួយ​វិញ​។
JHN 11:53	ដូច្នេះ ចាត់តាំង​ពី​ថ្ងៃ​នោះ​មក ពួកគេ​បាន​រៀប​គម្រោង​ពីរ​បៀ​បនៃ​ការ​សម្លាប់​ព្រះយេស៊ូ​។
JHN 11:54	ព្រះយេស៊ូ​លែង​យាង​នៅក្នុងចំណោម​ពួកគេ​ជា​សាធារណៈ​ទៀតហើយ ប៉ុន្តែ ព្រះអង្គ​បាន​ចេញពី​ទីនោះ​ទៅ​តំបន់​ដែល​នៅ​ជិតនឹង​ទី​រហោស្ថាន​គឺ​នៅក្នុង​ក្រុង​មួយ​ដែល​ហៅថា អេ​ប្រា​អ៊ី​ម​។ ព្រះអង្គ​គង់នៅ​ទីនោះ​ជាមួយ​ពួក​សិស្ស​។
JHN 11:55	ហើយ​ពិធីបុណ្យ​រំលង​របស់​សាសន៍​យូដា​ជិត​មកដល់ ហើយ​មាន​មនុស្សជា​ច្រើន​មក​ពី​ប្រទេស​ផ្សេង​បាន​ឡើង​ទៅ​ក្រុង​យេ​រ៉ូ​សា​ឡិម មុន​ថ្ងៃបុណ្យ​ចម្លង ដើម្បី​ធ្វើឲ្យ​ពួកគេ​វិសុទ្ធ​។
JHN 11:56	ពួកគេ​ស្វែងរក​ព្រះយេស៊ូ ហើយ​បាន​និយាយទៅ​កាន់គ្នា​ទៅវិញទៅមក នៅពេល​ដែល​ពួកគេ​នៅក្នុង​ព្រះវិហារ​ថា​៖ «តើ​អ្នក​គិត​យ៉ាងដូច​ម្តេច? ថា​តើ​គាត់​នឹង​មិន​មក​ចូលរួម​ពិធីបុណ្យ​ទេ​ឬអី?»។
JHN 11:57	នាយកបូជាចារ្យ និង​ពួក​ផា​រី​ស៊ី​បាន​ដាក់​សេចក្តី​បង្គាប់​ថា ប្រសិនបើ​អ្នកណា​ម្នាក់​ដឹង​ថា​ព្រះយេស៊ូ​នៅ​ទីណា អ្នកនោះ​ត្រូវ​រាយការណ៍ ដើម្បីឲ្យ​ពួកគេ​បាន​ចាប់​ព្រះអង្គ​។
JHN 12:1	ប្រាំមួយ​ថ្ងៃមុន​ថ្ងៃបុណ្យ​រំលង ព្រះយេស៊ូ​បាន​យាង​ចូល​ភូមិ​បេ​ថា​នី ជា​កន្លែង​ដែល ព្រះយេស៊ូ​បាន​ប្រោស​ឡា​សា ពី​ស្លាប់​ឡើងវិញ​។
JHN 12:2	ដូច្នេះ ពួកគេ​បាន​ចម្អិន​អាហារ​ល្ងាច​សម្រាប់​ព្រះអង្គ​នៅ​ទីនោះ ហើយ​នាង​ម៉ា​ថា​ជា​អ្ន​ក​ធ្វើ​ម្អូប ប៉ុន្តែ ឡា​សា​គឺជា​ម្នាក់​ដែល​អង្គុយ​រួម​តុ​ជាមួយ​ព្រះយេស៊ូ​។
JHN 12:3	បន្ទាប់មក នាង​ម៉ា​រី​បាន​យក​ទឹកអប់​ដែល​ធ្វើឡើង​ចេញពី​ទេព្វិរូ​បរិសុទ្ធ​ដ៏​មានតម្លៃ​បំផុត ចាក់​លាប​ព្រះ​បាទា​របស់​ព្រះយេស៊ូ​ជាមួយ​ទឹកអប់​នោះ ហើយ​បាន​ជូត​ជើងព្រះ​អង្គជា​មួយ​នឹង​សក់​របស់​នាង​។ នៅក្នុង​ផ្ទះ​ពេញដោយ​ក្លិនក្រអូប​របស់​ទឹកអប់​នោះ​។
JHN 12:4	លោក​យូដាស‌អ៊ី​ស្កា‌រី​យ៉ុ​ត ជា​សិស្ស​ម្នាក់​ក្នុងចំណោម​សិស្សរបស់​ព្រះអង្គ ជា​ម្នាក់​ដែល​ក្បត់​ព្រះអង្គ បាន​និយាយ​ថា​៖
JHN 12:5	«ម្តេច​មិន​យក​ទឹកអប់​ទៅ​លក់​បី​រយ​ឌេ​ណា​រី រួច​ចែក​ដល់​អ្នកក្រ​ទៅ?»។
JHN 12:6	គាត់​និយាយ​ដូច្នេះ មិនមែន​ដោយសារ​គាត់​យកទុក​ដាក់ជា​មួយ​អ្នកក្រ​ទេ ប៉ុន្តែ ដោយសារ​គាត់​ជា​ចោរ គាត់​ជា​អ្នក​កាន់​ថង​លុយ ហើយ​គាត់​បាន​លួច​ពី​អ្វី​ដែល​ដាក់​ទៅ​ក្នុង​ថង់​នោះ​។
JHN 12:7	ព្រះយេស៊ូ​មាន​បន្ទូល​ថា​៖ «ឲ្យ​នាង​បន្ត​ធ្វើអ្វី​ដែល​នាង​មាន​សម្រាប់​ថ្ងៃ​បញ្ចុះសព​របស់ខ្ញុំ​ចុះ​។ អ្នករាល់គ្នា​តែងតែមាន​អ្នកក្រ​នៅជា​មួយ​អ្នករាល់គ្នា​ជានិច្ច​។
JHN 12:8	ប៉ុន្តែ ខ្ញុំ​មិន​នៅជា​មួយ​អ្នករាល់គ្នា​រហូត​ទេ»។
JHN 12:9	មាន​សាសន៍​ជាច្រើន​បានដឹង​ថា ព្រះយេស៊ូ​នៅ​ទីនោះ ហើយ​ពួកគេ​ក៏​មករ​ក មិនគ្រាន់​តែម​ករ​ក​ព្រះយេស៊ូ​ទេ ប៉ុន្តែ ពួកគេ​ក៏​ចង់​ឃើញ​ឡា​សា ដែល​ព្រះយេស៊ូ​បាន​ប្រោស​គាត់​ពី​សេចក្តី​ស្លាប់​ឡើងវិញ​ដែរ​។
JHN 12:10	នាយកបូជាចារ្យ​បាន​រួមគំនិត​គ្នា​ធ្វើ​ដូច្នោះ ដើម្បី​ចង់​សម្លាប់​ឡា​សា​ដែរ​។
JHN 12:11	ដោយសារតែ​គាត់ សាសន៍​យូដា​ជាច្រើន​ចេញពី​ពួកគេ ហើយ​បាន​ជឿ​លើ​ព្រះយេស៊ូ​។
JHN 12:12	នៅ​ថ្ងៃបន្ទាប់​មាន​ហ្វូង​មនុស្ស​យ៉ាងច្រើន​កោះ​ករ​ទៅ​ចូលរួម​បុណ្យ​។ នៅពេល​ពួកគេ​ឮ​ថា​ព្រះយេស៊ូ​មក​ក្រុង​យេ​រ៉ូ​សា​ឡិម​ដែរ
JHN 12:13	ពួកគេ​បាន​យក​ស្លឹកត្នោត ហើយ​ចេញទៅ​ជួប​ព្រះអង្គ ហើយ​ស្រែក​ឡើង​ថា «ហូ​សាណា! មាន​ពរ​ហើយ អ្នក​ដែល​មក​ក្នុង​ព្រះនាម​ព្រះអម្ចាស់ ជា​ព្រះមហាក្សត្រ​នៃ​អ៊ីស្រាអែល»។
JHN 12:14	ព្រះយេស៊ូ​បាន​ជួប​ជាមួយនឹង​សត្វ​លា​ស្ទាវ​មួយ ហើយក៏​គង់នៅ​លើ​វា ដូច​មាន​សេចក្តី​ចែង​ទុក​មក​ថា​៖
JHN 12:15	«កុំ​ខ្លាច​អី កូនស្រី​ស៊ី​យ៉ូន​អើយ ព្រះមហាក្សត្រ​របស់​អ្នក​មក​ហើយ ព្រះអង្គ​គង់នៅ​លើ​ខ្នង​លា​។
JHN 12:16	ដំបូង ពួក​សិស្សរបស់​ព្រះអង្គ​មិន​យល់​ពី​ការ​ទាំងនេះ​ទេ ប៉ុន្តែ នៅពេល​ព្រះយេស៊ូ​បាន​ទទួល​សិរីល្អ ពួកគេ​បាន​នឹក​ចាំ ការ​ទាំងនេះ​ដែល​បាន​ចែង​អំពី​ព្រះអង្គ ហើយ​ពួកគេ​បាន​ធ្វើការ​ទាំងនេះ​ចំពោះ​ព្រះអង្គ​។
JHN 12:17	បណ្តាជន​បាន​ធ្វើ​បន្ទាល់​ថា ពួកគេ​បាន​នៅជា​មួយ​ព្រះអង្គ នៅពេល​ទ្រង់​ហៅ​ឡា​សា​ចេញពី​ផ្នូរ ហើយ​ប្រោស​គាត់​ឲ្យ​រស់​ពី​ស្លាប់​មកវិញ​។
JHN 12:18	ដោយសារ​ហេតុផល​នេះ​ហើយ បាន​ជា​បណ្តាជន​ចេញទៅ​ជួប​ព្រះអង្គ ព្រោះ​ពួកគេ​បានឮ​ថា​ព្រះអង្គ​បាន​ធ្វើ​ទី​សម្គាល់​នេះ​។
JHN 12:19	ដូច្នេះ ពួក​ផា​រី​ស៊ី​បាន​និយាយ​នៅក្នុងចំណោម​ពួកគេ​ថា​៖ «អ្នករាល់គ្នា​មិន​អាច​ធ្វើអ្វី​បាន​ទាល់តែសោះ មើល! មនុស្ស​បាន​ទៅតាម​អ្នកនោះ​អស់ហើយ»។
JHN 12:20	សាសន៍​ក្រិក​មួយចំនួន​នៅក្នុងចំណោម​អស់អ្នក​ដែល​ឡើង​ទៅ​ថ្វាយបង្គំ​នៅ​ថ្ងៃបុណ្យ​នោះ​។
JHN 12:21	ពួកគេ​បាន​ទៅ​ជួប​លោក​ភីលីព ជា​អ្នក​ដែល​មក​ពី​ភូមិ​បេត‌សៃ‌ដា ក្នុង​ស្រុក​កា​លី‌ឡេ បាន​សួរ​គាត់ ហើយ​និយាយ​ថា​៖ «លោក ពួក​យើង​ចង់​ជួប​ព្រះយេស៊ូ»។
JHN 12:22	លោក​ភីលីព​បាន​ទៅ​ជួប ហើយ​ប្រាប់​លោក​អន​ទ្រេ ហើយ​លោក​អន​ទ្រេ និង​លោក​ភីលីព​បាន​ទៅ​ជួប ហើយ​ពួកគេ​បាន​ប្រាប់​ព្រះយេស៊ូ​។
JHN 12:23	ព្រះយេស៊ូ​ឆ្លើយ​ទៅ​ពួកគេ ហើយ​មាន​បន្ទូល​ថា​៖ «ពេលកំណត់​មកដល់​ហើយ ដែល​កូន​មនុស្ស​នឹង​ទទួល​សិរីល្អ​។
JHN 12:24	ពិត​ណាស់ ខ្ញុំ​ប្រាប់​អ្នករាល់គ្នា​ជា​ប្រាកដ​ថា បើ​គ្រាប់ស្រូវ​មិន​កប់​ទៅ​ក្នុង​ដី ហើយ​ស្លាប់​ទេ វា​នៅតែ​ជាគ្រាប់​ស្រូវ​ដដែល ប៉ុន្តែ ប្រសិនបើ​វា​ស្លាប់ វា​នឹង​បង្កើត​ផល​ជាច្រើន​។
JHN 12:25	អ្នកណា​ដែល​ស្រឡាញ់​ជីវិត​របស់​ខ្លួន នឹង​បាត់​ជីវិត​នោះ ប៉ុន្តែ អ្នកណា​ដែល​ស្អប់​ជីវិត​របស់​ខ្លួន​នៅក្នុង​លោកីយ៍​នេះ នឹង​រក្សា​វា​ដើម្បី​ជីវិត​អស់​កល្ប​ជានិច្ច​។
JHN 12:26	ប្រសិនបើ អ្នកណា​ម្នាក់​បម្រើ​ខ្ញុំ ឲ្យ​គេ​បម្រើ​ខ្ញុំ​ចុះ ហើយ​បើ​ខ្ញុំ​នៅ​ទីណា អ្នកបម្រើ​ខ្ញុំ​នឹង​នៅ​ទីនោះ​ដែរ​។ ប្រសិនបើ អ្នកណា​ម្នាក់​បម្រើ​ខ្ញុំ​ព្រះបិតា​ខ្ញុំ​នឹង​ផ្តល់​កិត្តិយស​ដល់​អ្នកនោះ​។
JHN 12:27	ឥឡូវនេះ ព្រលឹង​ខ្ញុំ​ខ្វល់ខ្វាយ ហើយ​ខ្ញុំ​នឹង​និយាយ​យ៉ាងដូច​ម្តេច? ឱ​ព្រះបិតា​អើយ សូម​សង្គ្រោះ​ទូលបង្គំ​នៅក្នុង​វេលា​នេះ ប៉ុន្តែ ហេតុផល​ដែល​ទូលបង្គំ​មក គឺ​ដើម្បី​វេលា​នេះឯង​។
JHN 12:28	ឱ​ព្រះបិតា​អើយ សូម​ថ្វាយ​សិរីរុងរឿង​ដល់​ព្រះនាម​ព្រះអង្គ»។ បន្ទាប់មក មានសម្លេង​ពី​ស្ថានសួគ៌​មក ហើយ​មាន​បន្ទូល​ថា​៖ «យើង​បាន​ទទួល​សិរីរុងរឿង ហើយនឹង​ទទួល​សិរីរុងរឿង​ម្តង​ទៀត»។
JHN 12:29	នោះ បណ្តាជន​ដែល​ឈរ​នៅ​ជិត បានឮ ហើយ​និយាយ​ថា «មានសម្លេង​ផ្គរលាន់»។ ហើយ​អ្នកខ្លះ​ទៀត​និយាយ​ថា​៖ «ទេវតា​បាន​និយាយ​ជាមួយ​គាត់»។
JHN 12:30	ព្រះយេស៊ូ​ឆ្លើយ ហើយ​មាន​បន្ទូល​ថា​៖ «សម្លេង​ដែល​ឮ​នេះ​មិនមែន​សម្រាប់​ខ្ញុំ​ទេ ប៉ុន្តែ សម្រាប់​អ្នករាល់គ្នា​វិញ​។
JHN 12:31	សេចក្តី​ជំនុំជម្រះ​របស់​លោកីយ៍​នេះ​មកដល់​ហើយ​នៅពេល​នេះ ហើយ​ដល់ពេល​ដែល​ពួក​គ្រប់គ្រង​លោកីយ៍​នេះ ត្រូវ​បោះ​ទៅក្រៅ​ហើយ​។
JHN 12:32	នៅពេល​ដែល​ខ្ញុំ​ត្រូវ​បាន​លើកឡើង​ពី​លោកីយ៍ ខ្ញុំ​នឹង​នាំ​អ្នករាល់គ្នា​មក​ជិត​ខ្លួនខ្ញុំ​ផ្ទាល់​។
JHN 12:33	ព្រះអង្គ​មាន​បន្ទូល​ដូច្នេះ ដើម្បី​បង្ហាញ​ពី​បែបបទ​នៃ​សេចក្តី​ស្លាប់ ដែល​ព្រះអង្គ​ត្រូវ​សុគត​។
JHN 12:34	បណ្តាជន​បាន​ទូល​ឆ្លើយ​ទៅកាន់​ព្រះអង្គ​ថា​៖ «យើង​បានឮ​ពី​ក្រឹត្យវិន័យ​ថា ព្រះគ្រិស្ត​នឹង​គង់នៅ​អស់​កល្ប​ជានិច្ច​។ តើ​យើង​អាច​និយាយ​យ៉ាងដូច​ម្តេច «បុត្រ​មនុស្ស​ត្រូវ​តម្កើង​ឡើង? តើ​អ្នកណា​ជា​បុត្រ​របស់​មនុស្ស?»
JHN 12:35	បន្ទាប់មក​ព្រះយេស៊ូ​មាន​បន្ទូល​ទៅ​ពួកគេ​ថា​៖ «ពន្លឺ​នឹង​នៅជា​មួយ​អ្នករាល់គ្នា​ក្នុងរយៈពេល​ខ្លី​ប៉ុណ្ណោះ​។ ចូរ​ដើរ​ក្នុង​ការដែល​អ្នករាល់គ្នា​នៅក្នុង​ពន្លឺ​នៅឡើយ ធ្វើ​ដូច្នេះ ដើម្បីកុំឲ្យ​សេចក្តី​ងងឹត​យកឈ្នះ​អ្នករាល់គ្នា​ឡើយ​។ អស់អ្នក​ណា​ដែល​ដើរ​ក្នុង​សេចក្តី​ងងឹត មិនដឹង​ថា​ពួកគេ​កំពុង​ទៅណា​ទេ​។
JHN 12:36	ក្នុង​ការដែល​អ្នករាល់គ្នា​មាន​ពន្លឺ ចូរ​ជឿ​លើ​ពន្លឺ ដើម្បីឲ្យ​អ្នករាល់គ្នា​បាន​ក្លាយជា​កូន​នៃ​ពន្លឺ»។ ព្រះយេស៊ូ​មាន​បន្ទូល​ការ​ទាំងនេះ​រួចហើយ ព្រះអង្គ​ក៏​ចាកចេញ​ទៅ ហើយ​លាក់ខ្លួន​ពី​ពួកគេ​។
JHN 12:37	ទោះបីជា​ព្រះយេស៊ូ​បាន​ធ្វើ​ទី​សម្គាល់​ជាច្រើន​នៅ​ចំពោះ​ពួកគេ ប៉ុន្តែ ពួកគេ​នៅតែ​មិន​ជឿ​លើ​ព្រះអង្គ​ទៀត
JHN 12:38	ដូច្នេះ ដើម្បីឲ្យ​ពាក្យ​របស់​ព្យាការី​អេសាយ​បាន​មានប្រសាសន៍​ថា​៖ «ព្រះអម្ចាស់​អើយ តើ​អ្នកណា​ជឿ​លើ​ការ​រាយការណ៍​របស់​យើង ហើយ​ព្រះអម្ចាស់​ចង់​ឲ្យ​អ្នកណា​ឃើញ​ព្រះហស្ត​របស់​ព្រះអង្គ?»
JHN 12:39	ដ្បិត ហេតុផល​ដែល​ពួកគេ​មិន​អាច​ជឿ ព្រោះ​លោក​អេសាយ​ក៏បាន​មានប្រសាសន៍​ដូច្នេះ​ដែរ​ថា
JHN 12:40	«ព្រះអង្គ​បាន​ធ្វើឲ្យ​ភ្នែក​របស់​ពួកគេ​ខ្វាក់ ហើយ​ព្រះអង្គ​ក៏​ធ្វើឲ្យ​ចិត្ត​របស់​ពួកគេ​រឹងរូស​ដែរ បើមិនដូច្នោះទេ ពួកគេ​អាច​មើលឃើញ​ដោយ​ភ្នែក​របស់​ពួកគេ ហើយ​យល់​នៅក្នុង​ចិត្ត​របស់​ពួកគេ​រឹង ហើយ​អាច​ប្រែចិត្ត ហើយ​យើង​អាច​ប្រោស​ពួកគេ​ឲ្យ​ជា»។
JHN 12:41	លោក​អេសាយ​មានប្រសាសន៍​ការ​ទាំងនេះ ដោយសារ​គាត់​ឃើញ​សីរី​រុងរឿង​របស់​ព្រះយេស៊ូ ហើយក៏​មានប្រសាសន៍​ពី​ព្រះអង្គ​។
JHN 12:42	ប៉ុន្តែ សូម្បីតែ អ្នកដឹកនាំ​ជាច្រើន​បាន​ជឿ​លើ​ព្រះយេស៊ូ ប៉ុន្តែ​ដោយសារ​ពួក​ផា​រី​ស៊ី ពួកគេ​មិន​ទទួលស្គាល់​វា​ទេ ដើម្បីកុំឲ្យ​ពួកគេ​ត្រូវ​បណ្តេញ​ចេញពី​សាលា​ប្រជុំ​។
JHN 12:43	ពួកគេ​ស្រឡាញ់​ការ​សរសើរ​ដែល​មក​ពី​មនុស្ស​ច្រើន​ជា​ការ​សរសើរ​ដែល​មក​ពី​ព្រះជាម្ចាស់​។
JHN 12:44	ព្រះយេស៊ូ​បាន​បន្លឺ​សម្លេង ហើយ​មាន​បន្ទូល​ថា​៖ «អ្នកណា​ដែល​ជឿ​ដល់​ខ្ញុំ មិនគ្រាន់​តែ​ជឿ​លើ​ខ្ញុំ​ប៉ុណ្ណោះទេ ប៉ុន្តែ អ្នកនោះ​បាន​ជឿ​ដល់​ព្រះអង្គ​ដែល​ចាត់​ខ្ញុំ​ឲ្យ​មក​ដែរ
JHN 12:45	ហើយ​អ្នកណា​ដែល​ឃើញ​ខ្ញុំ អ្នកនោះ​ក៏​ឃើញ​ព្រះ​ដែល​ចាត់​ខ្ញុំ​ឲ្យ​មក​ដែរ​។
JHN 12:46	ខ្ញុំ​បាន​មក​ធ្វើជា​ពន្លឺ​នៃ​លោកីយ៍ ដូច្នេះ អស់អ្នក​ណា​ដែល​ជឿ​លើ​ខ្ញុំ មិន​ស្ថិតនៅ​ក្នុង​សេចក្តី​ងងឹត​ឡើយ​។
JHN 12:47	ប្រសិនបើ អ្នកណា​ម្នាក់​ឮ​ពាក្យ​ខ្ញុំ ប៉ុន្តែ មិន​ប្រព្រឹត្ត​តាម​ពាក្យ​នោះ​ទេ ខ្ញុំ​មិន​ជំនុំជម្រះ​គាត់​ទេ ដ្បិត ខ្ញុំ​មិនបាន​មក​ដើម្បី​ជំនុំជម្រះ​លោកីយ៍ ប៉ុន្តែ ដើម្បី​សង្គ្រោះ​លោកីយ៍​វិញ​។
JHN 12:48	អ្នកណា​ដែល​បដិសេធ​ខ្ញុំ ហើយ​អ្នកណា​ដែល​មិន​ទទួលពាក្យ​របស់ខ្ញុំ មាន​ម្នាក់​នឹង​ជំនុំជម្រះ​អ្នកនោះ​។ ពាក្យ​ដែល​ខ្ញុំ​បាន​និយាយ​នឹង​ជំនុំជម្រះ​អ្នកនោះ​នៅ​ថ្ងៃ​ចុងក្រោយ​។
JHN 12:49	ដ្បិត ខ្ញុំ​មិនបាន​និយាយ​ដើម្បី​ខ្លួនខ្ញុំ​ទេ ប៉ុន្តែ ព្រះបិតា​ដែល​ចាត់​ខ្ញុំ​ឲ្យ​មក ជា​អ្នក​ប្រទាន​សេចក្តី​បង្គាប់​ដល់​ខ្ញុំ ពី​អ្វី​ដែល​ខ្ញុំ​ត្រូវ​និយាយ និង​ពី​អ្វី​ដែល​ត្រូវ​ប្រាប់​។
JHN 12:50	ខ្ញុំ​ដឹង​ថា សេចក្តី​បង្គាប់​របស់​ព្រះអង្គ​គឺជា​ជីវិត​អស់​កល្ប​ជានិច្ច នោះ​ជា​អ្វី​ដែល​ខ្ញុំ​និយាយ ដូចដែល​ព្រះបិតា​បាន​មាន​បន្ទូល​មកកាន់​ខ្ញុំ ដូច្នេះ ខ្ញុំ​ក៏​ប្រាប់»។
JHN 13:1	ឥឡូវនេះ ជា​ថ្ងៃមុន​ពេល​ពិធីបុណ្យ​រំលង​។ ព្រះយេស៊ូ​ជ្រាប​ថា ពេលកំណត់​របស់​ព្រះអង្គ​បាន​មកដល់​ហើយ ក្នុង​ការ​ចាកចេញ​ពី​លោកីយ៍ ហើយ​ត្រឡប់ទៅ​ព្រះបិតា​វិញ​។ ព្រះអង្គ​ស្រឡាញ់​អស់អ្នក​ដែល​នៅជា​មួយ​ព្រះអង្គ​នៅក្នុង​លោកីយ៍​ណាស់ ហើយ​ទ្រង់​ស្រឡាញ់​ពួកគេ​រហូតដល់​ទីបំផុត​។
JHN 13:2	ឥឡូវនេះ មារ​បាន​ដាក់​វា​នៅក្នុង​ចិត្ត​របស់​លោក​យូដាស‌អ៊ី​ស្កា‌រី​យ៉ុ​ត​ជា​កូនលោក​ស៊ី​ម៉ូ​នរួច​ហើយ ដើម្បី​ក្បត់​ព្រះយេស៊ូ​។
