w	def
យោលទៅតាម	[yool tɨv~toh taam] [[យោល]] [[ទៅតាម]] <br>1). because of, in accordance with, in reference to, based on ប៉ុន្តែ​ ដោយយោល​ទៅតាមការវិវត្តន៍នៃសភាពការណ៍នោះ យើងយល់ឃើញថាគេមិនត្រូវទុកឲ្យការ ខ្វែងទំនាស់គ្នាស្តីពីទិដ្ឋភាពផ្ទៃក្នុងមួយទៅ​ជាឧបសគ្គមួយចំពោះដំណោះស្រាយនៃ​ទិដ័ភាពអន្តរជាតិនោះឡើយ But, based on the evolution of that situation, we understand that they must not allow a disagreement on an internal matter to become an obstacle to the solution of the international matter.
យោលទៅយោលមក	[yool tɨv~toh yool mɔɔk] [[យោល]] [[ទៅ]] [[យោល]] [[មក]] <br>1). to swing back and forth
យោលប៉ោលនាឡិកាឲ្យដើរ	[yool ------ ] [[យោល]] [[ប៉ោលនាឡិកាឲ្យដើរ]] <br>1). to swing the pendulum of a clock to start it
យោលអង្រឹង	[yool ʔɑŋrɨŋ] [[យោល]] [[អង្រឹង]] <br>1). to swing a hammock;<br> to swing in a hammock
យោសា	[yousaa] <br>1). n woman
យោសោ	[yousao] <br>1). adj to be resentful, bear malice
យៅ	[yɨv] <br>1). n kind of resin;<br> crude turpentine
យៅវមាណ	[yɨv vɔɔ mie nɑɑ] [[យៅ]] [[វ]] [[មា]] [[ណ]] <br>1). youth
យៅវមាល្យ	[--i4--] [[យៅវមាល្យ]] <br>1). young girl, virgin <br>2). lei made of flower buds
យៅវយោគ	[yɨv vɔɔ yook] [[យៅ]] [[វ]] [[យោគ]] <br>1). to be youthful, adolescent
យៅវរាជ	[yɨv vɔɔ riec] [[យៅ]] [[វ]] [[រាជ]] <br>1). See: យុវរាជ
យៅវរេស	[yɨv vɔɔ ree sɑɑ] [[យៅ]] [[វ]] [[រេ]] [[ស]] <br>1). unmarried / virgin prince or princess
យៅវ៍	[yɨv] <br>1a). adj to be youthful, young;<br> unmarried. <br>1b). n youth, young (unmarried) person,adolescent See: យុវៈ See: យៅវ
យំ	[yum] <br>1). v to weep, cry;<br> to sing (of birds);<br> to chirp (of crickets)
យំកន្លេង	[yum kɑnleɛŋ] [[យំ]] [[កន្លេង]] <br>1). to cry long and sadly
យំខ្លាំង	[yum klaŋ] [[យំ]] [[ខ្លាំង]] <br>1). to cry profusely
យំខ្សឹកខ្សួល	[yum ksək-ksuəl] [[យំ]] [[ខ្សឹកខ្សួល]] <br>1). to sob continuously
យំគគ្រូក	[yum kɔkruuk] [[យំ]] [[គគ្រូក]] <br>1). to sob loudly
យំគាំង	[yum keaŋ] [[យំ]] [[គាំង]] <br>1). to sob until one is hoarse (esp. of babies)
យំគោក	[yum kook] [[យំ]] [[គោក]] <br>1). to sob
យំង៉ាំងៗ	<br>1). to cry loudly (of a baby)
យំចុងជើង	[yum coŋ cəəŋ] [[យំ]] [[ចុងជើង]] <br>1). to weep at the feet of a deceased or seriously ill person
យំឆ្ពែប	[yum cpɛɛp] [[យំ]] [[ឆ្ពែប]] <br>1). to snivel, whimper, whine See: ច្បែប, ស្បែប
យំញ៉េបៗ	<br>1). ញ៉េបៗ
យំត្អើក	[yum tʔaǝk] [[យំ]] [[ត្អើក]] <br>1). to sob
យំថ្ងូរ	[yum tŋoo] [[យំ]] [[ថ្ងូរ]] <br>1). to groan, moan, lament
យំទួញ	[yum tuəɲ] [[យំ]] [[ទួញ]] <br>1). to weep and lament
យំប៉ផ្ដាក់ប៉ផ្ដឺត	[yum pɑpdak - pɑpdəɨt] [[យំ]] [[ប៉ផ្ដាក់ប៉ផ្ដឺត]] <br>1). to sob
យំប៉ផ្អែប	[yum pɑpʔaep] [[យំ]] [[ប៉ផ្អែប]] <br>1). to cry while sobbing and sighing
យំពិលាប	[yum piʔliep] [[យំ]] [[ពិលាប]] <br>1). to lament
យំយប់	[yum yup] [[យំ]] [[យប់]] <br>1). to cry during the night (of children)
យំយាម	[yum yiem] [[យំ]] [[យាម]] <br>1). to mourn at a scheduled time (for royalty and high-ranking officials;<br> usually four times a day, at midnight, dawn, noon, and sunset)
យំយែក	[yum yɛɛk] [[យំ]] [[យែក]] <br>1). to weep copiously, lament
យំរងែក	[yum rɔŋɛɛk] [[យំ]] [[រងែក]] <br>1). to drone on / cry / whine (of many children)
យំរហាម	[yum rɔhaam] [[យំ]] [[រហាម]] <br>1). to cry a lot
យំរឡ	[yum rɔlɑɑ] [[យំ]] [[រឡ]] <br>1). to weep repeatedly and loudly
យំរៀបរាប់	[yum riəp roap] [[យំ]] [[រៀបរាប់]] <br>1). See: យំទួញ
យំរំងាស់	[yum rumŋoah] [[យំ]] [[រំងាស់]] <br>1). to sob / moan continuously (esp. of children)
យំរំអុក	[yum rumʔok] [[យំ]] [[រំអុក]] <br>1). See: យំលំប៉ា
យំរ៉ាំរ៉ៃ	[yum ram ray] [[យំ]] [[រ៉ាំរ៉ៃ]] <br>1). See: យំរំងាស់
យំលំប៉ា	[yum ------] [[យំ]] [[លំប៉ា]] <br>1). to cry for something (of children)
យំសសឹក	[yum sɑsək] [[យំ]] [[សសឹក]] <br>1). to whimper, snivel, sob
យំសោក	[yum saok] [[យំ]] [[សោក]] <br>1). to sob sorrowfully
យំសោកបោកខ្លួន	[yum saok baok kluən] [[យំសោក]] [[បោក]] [[ខ្លួន]] <br>1). to weep and wail (beating one's breast in sorrow)
យំស្ងួត	[yum sŋuǝt] [[យំ]] [[ស្ងួត]] <br>1). See: យំគោក
យំឡ(ៗ)	<br>1). to cry loudly
យំឡែ	[yum lae] [[យំ]] [[ឡែ]] <br>1). to cry loudly
យំអណ្ដឺតអណ្ដក	[yum ------ ------] [[យំ]] [[Pអណ្ដឺត]] [[អណ្ដក]] <br>1). to sob
យះ	[yeah] <br>1). v to spread / pull / place apart (esp. of the legs), to cleave, divide into parts, split
យះកន្ធែក	[yeah kɑntʰɛɛk] [[យះ]] [[កន្ឋែក]] <br>1). to place the កោយបោះ on the top of the foot and from that position kick it at the កោយ​ដាំ in the game called ល្បែងបោះអង្គញ់ See: យះកន្ឋែង, ចាក់កន្ធែក
យះជើង	[yeah cəəŋ] [[យះ]] [[ជើង]] <br>1). to spread the legs apart, stand with legs astride
យ៉	[yɑɑ] <br>1). n deck (of a house);<br> balcony <br>2). v to shorten, compress;<br> to summarize, abbreviate <br>3). i exclamation which may indicate anger, reproach, amazement, or approval: phooey! Well done! etc.
យ៉ង	[yɑɑŋ] <br>1). n the bridge of the tro;<br> an easel See: យ៉ងទ្រ <br>2). i may it be so, amen (exclamation used at the end of a prayer by a sorcerer) Surin
យ៉ង់ស៊ីឃៀង	[yɑŋsii kʰieŋ] <br>1). n Yangtze River (in China)
យ៉មុខ	[yɑɑ muk] [[យ៉]] [[មុខ]] <br>1). front deck
យ៉ស	[yɑɑh] <br>1). i exclamation used to chase an animal away
យ៉សេចក្តី	[yɑɑ sackdǝy] [[យ៉]] [[សេចក្តី]] <br>1). to summarize a text
យ៉ាក	[yaak] <br>1). adj to be in a difficult situation / hard up / in need;<br> to be poor;<br> to be difficult to (do something) <br>2). n misery, pain See: តោកយ៉ាក
យ៉ាកចុន	[yaak con] [[យ៉ាក]] [[ចុន]] <br>1). to be miserable, impoverished, deprived
យ៉ាង	[yaaŋ] <br>1a). n kind, type, way, manner. <br>1b). clf for kinds, types prenp like, as សូមកុំច្រឡំមនុស្ស​យ៉ាងខ្ញុំ សុខចិត្តស្លាប់មិនលន់តួអ្នកណា​ឡើយ . Don't make a mistake;<br> a person like me would rather die than beg. Chinese នៅចំណតនេះមានរថយន្ត​ច្រើនយ៉ាង There are many kinds of cars in this lot. <br>2). pap pre-adjectival particle forming adverbial phrases eg. យ៉ាងខ្លី briefly ( ខ្លី `short') <br>3). pap pre-adjectival particle, similar to ដ៏, used to connect an attributive to a noun;<br> it often has a slight emphatic meaning;<br> very នេះជាភស្តុតាងយ៉ាងជាក់ស្តែង ... សំរាប់បង្ហាញថា ...។ This is very clear proof ... to show that ....
យ៉ាងខ្លាំងក្លា	[yaaŋ klaŋ klaa] [[យ៉ាង]] [[ខ្លាំងក្លា]] <br>1). vigorously;<br> fiercely
យ៉ាងងងើល	[yaaŋ ŋɔŋəəl] [[យ៉ាង]] [[ងងើល]] <br>1). with impunity
យ៉ាងច្រើនណាស់	[yaaŋ craən nah] [[យ៉ាង]] [[ច្រើន]] [[ណាស់]] <br>1). at (the) most
យ៉ាងឆាប់ណាស់	[yaaŋ cʰap nah] [[យ៉ាង]] [[ឆាប់]] [[ណាស់]] <br>1). the earliest
យ៉ាងដូច	[yaaŋ dooc] [[យ៉ាង]] [[ដូច]] <br>1). like, for example, for instance See: ដូចយ៉ាង
យ៉ាងដូចម្ដេច	[yaaŋ dooc mdəc] [[យ៉ាង]] [[ដូចម្ដេច]] <br>1). how about, what about, how, in what way, what (kind of)
យ៉ាងណា	[yaaŋ naa] [[យ៉ាង]] [[ណា]] <br>1). how, (in) which way, however;<br> anyhow
យ៉ាងណាក៏ដោយ	[yaaŋ naa kɑɑ daoy] [[យ៉ាងណា]] [[ក៏ដោយ]] <br>1). anyway, nevertheless
យ៉ាងណាក្តី	[yaaŋ naa kdəy] [[យ៉ាងណា]] [[ក្តី]] <br>1). whatever (kind) ទោះជាមាន​ឧបសគ្គយ៉ាងណាក្តី ខ្ញុំត្រូវពុះពារដើម្បី អនាគតកូនខ្ញុំ In spite of whatever obstacles (there are), I must struggle for the future of my child.
យ៉ាងណាមិញ	[yaaŋ naa mɨɲ] [[ទោះជា]] [[ក៏ដោយ]] [[::]] [[យ៉ាង]] [[ណាមិញ]] [[ទោះជា]] [[ក៏ដោយ]] <br>1). so, thus, consequently, however that may be;<br> just the way that was
យ៉ាងណាមិញ ... (ក៏)	<br>1). however;<br> otherwise, on the other hand ... ប៉ុន្តែ​ យ៉ាងណាមិញលោកក៏មិនបោះបង់ការចរចាដែរ ហើយលោកនៅ​តែចង់បានដំណោះស្រាយជានយោបាយ However, he has not abandoned the talks and still wants a political solution.
យ៉ាងណាមិញ ... (ទោះជា) ... (ក៏ដោយ)	<br>1). likewise ... even though ..., for example យ៉ាង​ណា​មិញ​​ យើងមិនត្រឡប់មកយកអំណាច​បានទេ ទោះជាយើងមានបំណងក៏ដោយ Likewise, we cannot return and seize power even though we want to ....
យ៉ាងតិច	[yaaŋ təc] [[យ៉ាង]] [[តិច]] <br>1). at least
យ៉ាងតិចណាស់ ... ក៏ដែរ	<br>1). at the very least
យ៉ាងទៀតទាត់	[yaaŋ tiət toat] [[យ៉ាង]] [[ទៀត]] [[ទាត់]] <br>1). regularly
យ៉ាងទំនើបថ្មីបំផុត	[yaaŋ tumnəəp tməy bɑmpʰot] [[យ៉ាង]] [[ទំនើប]] [[ថ្មី]] [[បំផុត]] <br>1). ultramodern
យ៉ាងម៉េច	[yaaŋ məc] [[យ៉ាង]] [[ម៉េច]] <br>1). how, why, in what way, in any way;<br> however ... គិតតែធ្វើយ៉ាងម៉េចអោយ​បានប្រាក់ភ្លាមៗ thinks only about anything to make money quickly. បើអញយ៉ាងម៉េចៗទៅ មើលថែរក្សាអូនសោភ័ណផងវ៉ី ...។ If something should happen to me, please look after Saophon... ថ្ងៃក្រោយឯងរត់យ៉ាងម៉េចឲ្យ តែទាន់អញទៅ ជ្រុះស្អីក៏ដោយ The next time, you are to run any way you can and overtake me;<br> don't worry about dropping anything.
យ៉ាងរំភើប	[yaaŋ rumpʰəəp] [[យ៉ាង]] [[រំភើប]] <br>1). touching
យ៉ាងសកម្ម	[yaaŋ saʔkam] [[យ៉ាង]] [[សកម្ម]] <br>1). actively
យ៉ាងហោចក៏ ... ដែរ	<br>1). at least
យ៉ាងហោចណាស់	[yaaŋ haoc nah] [[យ៉ាង]] [[ហោច]] [[ណាស់]] <br>1). at least
យ៉ាងហ្នឹង	[yaaŋ nɨŋ~bǝŋ] [[យ៉ាង]] [[ហ្នឹង]] <br>1). this way, like this
យ៉ាងហ្នឹងបានជាក៏អញ្ចឹង	[yaaŋ nɨŋ~bǝŋ baan cie kɑɑ ʔɑɲcəŋ] [[យ៉ាងហ្នឹង]] [[បានជា]] [[ក៏]] [[អញ្ចឹង]] <br>1). that's why
យ៉ាងហ្នឹងហើយ	[yaaŋ nɨŋ~bǝŋ haǝy] [[យ៉ាង]] [[ហ្នឹងហើយ]] <br>1). like that;<br> that's right, that's true ឫកគាត់យ៉ាងហ្នឹងហើយបានជាប្រពន្ឋគាត់​លែង​ He had a character like that and that's why his wife divorced him.
យ៉ាដ	[yaat] <br>1). n yard (unit of measurement) English
យ៉ាដាំ	[yaadam] <br>1). n aloe;<br> the medicinal sap of the aloe <br>2a). n niello. <br>2b). v to inlay with niello
យ៉ាន័ត្ថុ	[yaanat] <br>1). n medicinal snuff
យ៉ាបឆា	[yaapcʰaa] <br>1). adj to be coarse, rude, obscene, nasty
យ៉ាប់	[yap] <br>1). adj to be bad, troublesome;<br> naughty;<br> difficult, hard, strenuous, exhausting;<br> tired;<br> very busy បើចេះតែយ៉ាប់ឡើងដូច្នេះ​ តើយ៉ាង​ណាទៅ​? What are we to do if things keep on getting worse?
យ៉ាប់យ៉ឺន	[yap yɨɨ nɔɔ] [[យ៉ាប់]] [[យ៉ឺ]] [[ន]] <br>1). to be lamentable, deplorable;<br> to be difficult, arduous;<br> burdensome
យ៉ាវ	[yaav] <br>1). See: យឺតយ៉ាវ <br>2). yaav chaa kvay See: យ៉ាវឆាខ្វៃ <br>1). n kind of Chinese pastry See: នំឆាខ្វៃ
យ៉ាះ	[yah] <br>1). i ouch (exclamation of pain)
យ៉ឺ	[yɨɨ] <br>1). See: យ៉ើ
យ៉ឺរ	[yɨɨ] <br>1). See: យ៉ើរ
យ៉ឺល	<br>1). See: យ៉ើរ
យ៉ូយ	[yooy] <br>1). i ouch, oh (exclamation of pain or fright) See: យូយ, យុយ​
យ៉ូយយ៉ាយ	[yooy - yaay] <br>1). i sound of shouting
យ៉ើ	[yaə] <br>1). i exclamation of anger / surprise / teasing
យ៉ើរ	[yaə] <br>1). adv jerkily, in spurts See: យ៉ឺរ, យ៉ឺល, យ៉ើល
យ៉ើល	<br>1). See: យ៉ើរ
យ៉េៈយ៉ុ	[yeʔyoʔ] <br>1). i babbling sounds made by a baby
យ៉ៃ	[yay] <br>1). n spiral or coil spring;<br> balance wheel <br>2). i oh (exclamation of fear)
យ៉ៃនាឡិកា	[yay nieleʔkaa~nieliʔkaa] [[យ៉ៃ]] [[នាឡិកា]] <br>1). watch spring
យ៉ៅហន	[yav hɑɑn] <br>1). n kind of food made of beef, shrimp, and squid cooked in a sauce (containing coconut milk, salt, sugar, vinegar, peanuts, and spices) and eaten with large, flat noodles and vegetables See: យ៉ាវហន
យ៉ៗ	[yɑɑ - yɑɑ] <br>1). adv in brief, briefly, concisely
យ័ន្ត	[yoan] <br>1). n magical drawing (amulet in the form of an inscription enclosed by a line on a piece of white or red cloth or paper;<br> it is believed to confer magical protection on the wearer) See: យន្ត See: យ័ន្ត្រ
យ័រ	[yoa] <br>1). i exclamation of pleasant surprise See: យី, យើ, យីអើ
រ	[rɔɔ] <br>1). <br>27th). letter of the Cambodian alphabet <br>##1). n picket, stake;<br> specif. fence protecting a bathing place from dangerous aquatic animals
រក	[rɔɔk, rɔɔ] <br>1). v to look / search for, seek;<br> to look up;<br> to see, to visit;<br> to request, ask for, ask someone to do something;<br> to try;<br> to think about, plan / intend to <br>2). prenp to, for
រក (...) ឃើញ	<br>1). to find;<br> to discover, to spot
រក(ស៊ី)ក្រៅ	<br>1). to have an illicit love affair;<br> to make illegal profits on one's job;<br> to moonlight, have a second job
រកកល់	[rɔɔk kɑl] [[រក]] [[កល់]] <br>1). to look for an opportunity / excuse;<br> to be (just) about to, almost ready to រកកល់ភ្លៀង the rain is just about to fall
រកកាត់មិនយល់	[rɔɔk kat mɨn yʊəl] [[រក]] [[កាត់]] [[មិន]] [[យល់]] <br>1). to find something difficult to understand អំពើនេះជាអំពើដ៏សែន ពិបាករកកាត់មិនយល់សោះ This action is extremely difficult to understand.
រកការធ្វើ	[rɔɔk kaa tvəə] [[រក]] [[ការ]] [[ធ្វើ]] <br>1). to look for a job
រកក្តី	[rɔɔk kdəy] [[រក]] [[ក្តី]] <br>1). to make trouble;<br> to look for trouble / an argument, provoke
រកក្របាន	[rɔɔk krɑɑ baan] [[រក]] [[ក្រ]] [[បាន]] <br>1). to be encountered rarely See: រកកំរបាន​
រកក្រៅ	[rɔɔk krav] [[រក]] [[ក្រៅ]] <br>1). See: រកស៊ីក្រៅ
រកខុសរកត្រូវ	[rɔɔk kʰoh rɔɔk trəv] [[រក]] [[ខុស]] [[រក]] [[ត្រូវ]] <br>1). to find out the truth, seek justice
រកខ្យល់(រកដង្ហើម)	<br>1a). to gasp for breath, pant. <br>1b). to try to find a way out of some difficulty
រកគ្នា	[rɔɔk knie] [[រក]] [[គ្នា]] <br>1). to seek companionship, look for a partner (e.g. in a business enterprise)
រកគ្រោះ	[rɔɔk krʊək] [[រក]] [[គ្រោះ]] <br>1). to look for the chance (to)
រកចង់ក្អួត	[rɔɔk cɑŋ kʔuət] [[រក]] [[ចង់]] [[ក្អួត]] <br>1). to feel sick, be nauseated
រកចំណូល	[rɔɔk cɑmnool] [[រក]] [[ចំណូល]] <br>1). to get, gain, make a profit;<br> to earn, have an income ការនាំចេញឆ្នាំ​ ១៩៩២ យើងរកចំណូលបាន ៧០​ លានដុល្លារ In 1992 we made a profit of $70 million. ... តាមស្ថិតិនៃការ​រកចំណូលបានរបស់ប្រជា​ជនក្នុងអាស៊ី ... according to statistics on the income of people in Asia....
រកដណ្ដឹង	[rɔɔk dɑndəŋ] [[រក]] [[ដណ្ដឹង]] <br>1). to search for a wife
រកដើមគល់	[rɔɔk daəm kʊəl] [[រក]] [[ដើម]] [[គល់]] <br>1). to seek the cause(s)
រកដើមរកចុង	[rɔɔk daəm rɔɔk coŋ] [[រក]] [[ដើម]] [[រក]] [[ចុង]] <br>1). to study causes and effects
រកតែ	[rɔɔk tae] [[រក]] [[តែ]] <br>1). + CLAUSE + ក៏មិនកើត so that ... can't even / cannot possibly + CLAUSE គាត់​និយាយច្រើនពេករកតែធ្វើការអីក៏មិនកើត He talks so much that no one can possibly do any work. <br>##1). + CLAUSE + ហ្នឹងហើយ want + CLAUSE + like that, like (the fact) + CLAUSE + like that ខ្ញុំរកតែកូនស្រីខ្ញុំចូលចិត្តរៀន​ហ្នឹងហើយ... I like the fact that my daughter wants to study like that ...
រកទទួលទាន	[rɔɔk tɔtuəl tie nɔɔ] [[រក]] [[ទទួលទាន]] <br>1). See: រកស៊ី
រកទោស	[rɔɔk tooh] [[រក]] [[ទោស]] <br>1). to try to find someone's faults / mistakes / guilt
រកទំនង	[rɔɔk tumnɔɔŋ] [[រក]] [[ទំនង]] <br>1). to get into position <br>##1). to probe, look for an opening
រកនឹក	[rɔɔk nɨk] [[រក]] [[នឹក]] <br>1). to try to figure something out ខ្ញុំរក​នឹកមិនឃើញ I can't figure it out.
រកប្រពន្ធ	[rɔɔk prɑpʊən] [[រក]] [[ប្រពន្ធ]] <br>1). to seek a wife
រកប្រាក់គេ	[rɔɔk prak kee] [[រក]] [[ប្រាក់]] [[គេ]] <br>1). to seek a loan from someone, ask someone for money
រកពុត	[rɔɔk put] [[រក]] [[ពុត]] <br>1). to watch for someone's ulterior motives;<br> put someone under surveillance
រកពុទ្ធោ	[rɔɔk puttʰoo] [[រក]] [[ពុទ្ធោ]] <br>1). to use exclamations such as ពុទ្ឋោ​! Oh Buddha!
រកព្រឹកស៊ីព្រឹក​រកល្ងាចស៊ីល្ងាច	<br>1). to work and live from day to day not caring about the future
រកភិន	[rɔɔk pʰɨn] [[រក]] [[ភិន]] <br>1). to censure, criticize, blame
រកម	<br>1). See: ល្កម
រកមុខ	[rɔɔk muk] [[រក]] [[មុខ]] <br>1). to look for someone (esp. someone who has done something wrong)
រកមើល	[rɔɔk məəl] [[រក]] [[មើល]] <br>1). to try to look for
រករឿង(រកហេតុ)	<br>1). to provoke / start something, pick a fight, look for trouble;<br> to cause trouble;<br> to find fault;<br> to be a troublemaker <br>2). to try to get to the bottom of a matter;<br> to conduct research
រកលុយ	[rɔɔk luy] [[រក]] [[លុយ]] <br>1). to look for money to borrow;<br> to work for wages, make money
រកស៊ី	[rɔɔk sii] [[រក]] [[ស៊ី]] <br>1). to earn a living;<br> to start up a business
រកស៊ីកប	[rɔɔk sii kɑɑp] [[រកស៊ី]] [[កប]] <br>1). to succeed in business
រកស៊ីចូលគ្នា	[rɔɔk sii cool knie] [[រកស៊ី]] [[ចូលគ្នា]] <br>1). to do business together
រកស៊ីដោយប្រវាស់ប៉ះប៉ុន	[rɔɔk sii daoy prɑvah pah pon] [[រកស៊ី]] [[ដោយ]] [[ប្រវាស់]] [[ប៉ះប៉ុន]] <br>1). to struggle to make a living
រកស៊ីតាមសំឡូត	[rɔɔk sii taam ------] [[រកស៊ី]] [[តាម]] [[សំឡូត]] <br>1). to do business with kindness / righteousness
រកស៊ីទាំងត្រដរ	[rɔɔk sii teaŋ trɑdɑɑ] [[រកស៊ី]] [[ទាំង]] [[ត្រដរ]] <br>1). to struggle to make a living
រកស៊ីធាក់ស៊ីក្លូ	[rɔɔk sii tʰeak siikloo] [[រកស៊ី]] [[ធាក់ស៊ីក្លូ]] <br>1). to make a living as a cyclo driver
រកស៊ីប៉ប៉ះប៉ប៉ុន	[rɔɔk sii pɑpah-pɑpon] [[រកស៊ី]] [[ប៉ប៉ះប៉ប៉ុន]] <br>1). to make a living by performing trivial tasks
រកស៊ីប៉ុនគេប្រកាប់	[rɔɔk sii pon kee prɑkap] [[រកស៊ី]] [[ប៉ុន]] [[គេ]] [[ប្រកាប់]] <br>1). to fight for one's living, work very hard to make a living
រកស៊ីមួយឆ្នាំកើនបន្តិច	[rɔɔk sii muə yɔɔ cnam kaən bɑntəc] [[រកស៊ី]] [[មួយ]] [[ឆ្នាំ]] [[កើន]] [[បន្តិច]] <br>1). to make a little profit each year
រកស៊ីម៉េះម៉ស់	[rɔɔk sii meh mɑh] [[រកស៊ី]] [[ម៉េះម៉ស់]] <br>1). to earn a living by selling small items
រកស៊ីលើ	[rɔɔk sii lǝǝ] [[រក]] [[ស៊ីលើ]] <br>1). to exploit
រកស៊ីឡែបឡប	[rɔɔk sii laep-lɑɑp] [[រកស៊ី]] [[ឡែបឡប]] <br>1). to make one's living by fawning
រកហេតុ	[rɔɔk haet] [[រក]] [[ហេតុ]] <br>1). See: រករឿង <br>##1). to provoke, seek a pretext
រកហេតុផល	[rɔɔk haet pʰɑl] [[រក]] [[ហេតុផល]] <br>1). to find out the causes / reason
រកហៅ	[rɔɔk hav] [[រក]] [[ហៅ]] <br>1). to summon, call, ask for help
រកអ្វីប្រៀបពុំបាន	[rɔɔk ʔvǝy priəp pum baan] [[រក]] [[អ្វី]] [[ប្រៀប]] [[ពុំបាន]] <br>1). to be incomparable;<br> incomparably, extremely
រកឫសគល់	[rɔɔk rɨh kʊəl] [[រក]] [[ឫសគល់]] <br>1). to seek the cause(s)
រកឲ្យសព្វ	[rɔɔk ʔaoy sɑp] [[រក]] [[ឲ្យ]] [[សព្វ]] <br>1). to search thoroughly
រកា	[rɔkaa] <br>1). n cock (name of the 10th year of the 12-year cycle) <br>2). n wild kapok tree (Bombax Ceiba;<br> the trunk is covered with short thorns;<br> the wood is used in construction and the roots are used in the preparation of medications to treat diseases of the ovaries)
រកាដែក	[rɔkaa daek] [[រកា]] [[ដែក]] <br>1). Iron Kapok Tree (legendary tree with iron thorns that grows in hell used to punish adulterers)
រកាំ	[rɔkam] <br>1). adj (of the eyes) to have an irritation, be irritated;<br> to be annoyed <br>2). n kind of thorny plant
រកាំចិត្ត	[rɔkam cət] [[រកាំ]] [[ចិត្ត]] <br>1). to be upset, depressed, irritated emotionally
រកាំភ្នែក	[rɔkam ------] [[រកាំ]] [[ភ្នែក]] <br>1). to have an irritation in the eyes (e.g. from bright sunlight) See: ភ្នែករកាំ
រកាំរកូស	[rɔkam ------ ] [[រកាំ]] [[រកូស]] <br>1). to be on bad terms (with);<br> to grow cool (toward someone);<br> to irritate one another;<br> to be irregular;<br> troublesome;<br> uneasy បងប្អូនទាំង អស់នេះចេះតែរកាំរកូសនឹងគ្នា All these siblings are always on bad terms with each other.
រកឹក	[rɔkək] <br>1). i giggling or laughing sound See: កខឹក, កក្អឹក
រកឹង	[rɔkəŋ] <br>1). adj to be prominent / sticking out (as fence posts or the bones of an emaciated person)
រកូត	[rɔkoot] <br>1). adj to be scattered about (as islands in the sea) eg. កោះរកូតក្នុងសមុទ្រ . islands dotting the sea
រកៀម	[rɔkiem] <br>1). See: ថ្មដៃរកៀម
រកៀស	[rɔkieh] <br>1a). v to irritate (e.g. as an eyelash in one's eye), to upset, to trouble. <br>1b). adj to be irritated, troubled, upset
រកេតរកូត	[rɔkeet - rɔkoot] <br>1). adj to be of different sizes;<br> uneven;<br> irregular (of a surface);<br> disorderly, chaotic, scattered here and there
រក៍	[rɔɔ] <br>1). See: រក
រក្ខិតសព	[reakkʰeʔtaʔsɑp] <br>1). n mummy, well-preserved corpse
រក្ស	[reak] <br>1). n guard, keeper, custodian (of something);<br> duty officer, person on duty;<br> (commonly occurs as a suffix in Indic compounds where it means `guarding, taking care of;<br> one who guards or protects') <br>2). v to live a conjugal life See: រួមរក្ស See: រក្សរួម
រក្សសី	[reaksaʔsəy] <br>1). n mermaid
រក្សសៈ	[reaksaʔsaʔ] <br>1). n Rakshasa (member of a class of demons in Indian mythology) See: រាក្ស័ស
រក្សា	[reaksaa] <br>1). v to take care of, protect;<br> to keep, maintain;<br> to observe, pay attention to, watch ... ក៏ពិតមែនតែខ្ញុំបានរក្សានូវជំហរច្បាស់ លាស់មួយ ...។ truly I have been able to maintain a clear position ....
រក្សាខ្លួន	[reaksaa kluən] [[រក្សា]] [[ខ្លួន]] <br>1). See: រក្សាប្រាណ
រក្សាថែ	[reaksaa tʰae] [[រក្សា]] [[ថែ]] <br>1). to protect, defend;<br> take care of See: ថែរក្សា
រក្សាទុក	[reaksaa ------] [[រក្សា]] [[ទុក]] <br>1). to keep, preserve, reserve, take good care of
រក្សាធិក្រឹត	[reaksaa ------ ] [[រក្សា]] [[ធិក្រឹត]] <br>1). district chief
រក្សាប្រាណ	[reaksaa praan] [[រក្សា]] [[ប្រាណ]] <br>1). to preserve / maintain life;<br> to take care of
រក្សាព្រះទ័យ	[reaksaa preah tey] [[រក្សា]] [[ព្រះទ័យ]] <br>1). to comport oneself, to care about other's feeling
រក្សាព្រះអង្គ	[reaksaa preah ʔɑŋ] [[រក្សា]] [[ព្រះអង្គ]] <br>1). royal guard(s)
រក្សាភិបាល	[reaksaa ------] [[រក្សា]] [[Iអភិបាល]] <br>1). custodian, keeper;<br> administrator, executive officer;<br> title of the mayor of a town
រក្សាមារយាទ	[reaksaa mieyiet] [[រក្សា]] [[មារយាទ]] <br>1). to behave properly (esp. of young women)
រក្សាសន្តិបាល	[reaksaa sɑnteʔ baal] [[រក្សា]] [[សន្តិបាល]] <br>1). to keep an eye on things (to see that order is maintained), maintain order;<br> to observe
រក្សាសិទ្ធិ	[reaksaa settʰiʔ~sət] [[រក្សា]] [[សិទ្ធិ]] <br>1). to reserve all rights
រក្សាសីល	[reaksaa sel~sǝl] [[រក្សា]] [[សីល]] <br>1). to adhere to a religious teaching or moral principle
រក្សាឲ្យគង់	[reaksaa ʔaoy kʊəŋ] [[រក្សា]] [[ឲ្យ]] [[គង់]] <br>1). to maintain carefully
រខក	[rɔkʰɑɑk] <br>1). i sound of something loose, rattling sound (see rlugrxk )
រខក់	[rɔkʰɑk] <br>1). adj to be loose, precariously connected, insecurely joined See: រលុង​រខក់​
