w	def
កងកំឡាំង	[kɑɑŋ ------] [[កង]] [[កំឡាំង]] <br>1). (military) force, armed force(s)
កងកំឡាំងធម្មតា	[kɑɑŋ ------ tʰoammeaʔ~tʰoam taa] [[កងកំឡាំង]] [[ធម្មតា]] <br>1). conventional armed forces
កងកំឡាំងបេរេបៃតង	[kɑɑŋ ------ bav ree baytɑɑŋ] [[កងកំឡាំង]] [[បេ]] [[រេ]] [[បៃតង]] <br>1). UN peace keeping force (lit. `Green Beret Force')
កងកំឡាំងប្រជាការពារ	[kɑɑŋ ------ prɑcie kaa pie] [[កងកំឡាំង]] [[ប្រជា]] [[ការពារ]] <br>1). people's defense forces
កងកំឡាំងប្រដាប់អាវុធប្រជាជនរំដោះជាតិ​កម្ពុជា	<br>1). Popular Armed Forces for the Liberation of the Cambodian Nation (title of the KR forces before they were driven out of Phnom Penh by the Vietnamese in 1979)
កងកំឡាំងរំដោះជាតិប្រជាពលរដ្ឋខ្មែរ	[kɑɑŋ ------ rumdɑh ciet prɑcie pʊəl roat~roattʰaʔ kmae] [[កងកំឡាំង]] [[រំដោះ]] [[ជាតិ]] [[ប្រជាពលរដ្ឋ]] [[ខ្មែរ]] <br>1). Khmer People's National Liberation Armed Forces (military force of Son Sann's KPNLF) កងកំឡាំងអចិន្ត្រៃយ៍ regular forces, permanent army
កងក្រវែល	[kɑɑŋ krɑvael] [[កង]] [[ក្រវែល]] <br>1). border patrol <br>##1). guard patrol, guard detail
កងក្រោយ	[kɑɑŋ kraoy] [[កង]] [[ក្រោយ]] <br>1). rear guard
កងខេមរភូមិន្ទ	[kɑɑŋ --i4-- ] [[កង]] [[ខេមរភូមិន្ទ]] <br>1). Royal Guards <br>##1). Royal Khmer Armed Forces (FARK) (1954 - 1970)
កងចលនូបត្ថម្ភ	[kɑɑŋ ------ ] [[កង]] [[ចលនូបត្ថម្ភ]] <br>1). supply unit, logistics unit
