ភូមិ​^គោកធ្លង់កណ្ដាល	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Kouk Thlong Kandal	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020608
ភូមិ​^អូរស្ងួត	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ou Snguot	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020609
ភូមិ​^អូរប្រាសាទ	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ou Prasat	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020610
ភូមិ​^គោកអំពិល	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Kouk Ampil	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020611
ភូមិ​^រ៉ាចំការចេក	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ra Chamkar Chek	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020612
ភូមិ​^ពោធិ៍រៀង	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Pou Rieng	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020613
ភូមិ​^រូងក្របៅ	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Rung Krabau	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020614
ភូមិ​^ភ្នំតូចត្បូង	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Phnum Touch Tboung	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020701
ភូមិ​^ភ្នំតូចជើង	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Phnum Touch Cheung	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020702
ភូមិ​^ថ្នល់បត់	@ភ្នំតូច	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Thnal Bat	@Phnum Touch	@Mangkul Bourei	@Banteay Meanchey	@01020703
