ben	bdef
magic/magic arts	(the use of spells to invoke supernatural powers or influence events) <p-l>មន្តអាគម (គ.បៈ : វិជ្ជាប្លែកៗ គ.ខ.បៈ : អំពើអាបធ្មប់)</p-l> magician <p-l>គ្រូមន្តអាគម។</p-l>
magic and sorcery”	<p-l>«មន្តអាគម និងធ្មប់»</p-l>
Magnificat, the...	(the prophecy of Mary in Lk. 1:46-55, taking its name from the Latin Vulgate) <p-l>«ទំនាយនាងម៉ារា»។</p-l>
Magog	(son of Japheth) <p-l>ម៉ាកុក</p-l>
Mahalalel	(son of Kenan) <p-l>ម៉ាលេលាល</p-l>
Maher-shalal-hash-baz	(name of the second mentioned son of the prophet Isaiah, meaning "hurry to spoil") <p-l>ម៉ាហេសាឡាលហាសបាស។</p-l>
maid	(a female servant, who in biblical times was effectively a slave) <p-l>បាវស្រី (គ.ប : បាវស្រី គ.ខ.ប : ស្រីបំរើ)។</p-l>
make	(vb) (to bring into being by shaping, changing or combining materials, ideas, etc.) <p-l>បង្កើត។</p-l>
Maker	(div) (title for God focusing upon his role as Creator) <p-l>ព្រះដែលបានបង្កើត</p-l> (short) <p-l>អង្គបង្កើត។</p-l>
majesty	(supreme power or authority) <p-l>អំណាចចុងក្រោយ</p-l>
majesty	(great dignity of bearing) <p-l>ចេស្តា</p-l> (div) <p-l>ព្រះចេស្តា (គ.ប : សិរីល្អសេចក្តីរុងរឿង ឬទានុភាព តេជានុភាព) (គ.ខ.ប: កិត្តិនាម សិរីរុងរឿង ភាពថ្កុំថ្កើង ភាពថ្កុំថ្កើងរុងរឿង)]។</p-l>
Majesty	(title used to refer to the sovereign God) <p-l>ព្រះអម្ចាស់ (គ.ប: ឫទានុភាពព្រះអម្ចាស់ (គ.ខ.ប : ព្រះដ៏ឧត្តុង្គឧត្តម ព្រះជាម្ចាស់ដ៏ឧត្តុង្គឧត្តម ព្រះមហាក្សត្រាធិរាជ បារមីឧត្តុងឧត្តម)]។</p-l>
Major Prophets	(reference to the books of Joshua, Judges, Samuel and Kings) <p-l>កណ្ឌហោរា ធំ។</p-l>
maketh	(vb) (archaic English "to make") <p-l>បង្កើត</p-l>
Mal.	(abbreviation "Book of Malachi") <p-l>ម៉ាឡ</p-l>.
Malachi, Book of...	<p-l>កណ្ឌម៉ាឡាគី</p-l>
Malta, Island of...	<p-l>កោះមេលីត</p-l>
Mamilla Pool	<p-l>អាងម៉ាមើលឡា</p-l>
Maimonides	[full name: Moses ben-Maimon, was a preeminent medieval Jewish philosopher and Torah scholar (1135-1204)] <p-l>ម៉ៃម៉ូនីដេស។</p-l>
Mamre	(a modern site by this name lies halfway between Halhul and Hebron) <p-l>កន្លែង ម៉ាមរេ។</p-l>
Mamre, oaks of...	<p-l>ដើមម៉ែសាក់របស់ម៉ាមរេ</p-l>
man	(an adult male human being) <p-l>មនុស្សប្រុស</p-l>
Man	(a human being considered as a representative of mankind) <p-l>មនុស្សលោក</p-l>
Man	(an indirect reference to Jesus, as God in human form) <p-l>អង្គមនុស្ស</p-l>
man of God	(title of respect applied to prophets and beloved religious leaders of Israel) <p-l>អ្នកសំណព្វរបស់ព្រះ (គ.បៈ អ្នកសំណប់របស់ព្រះ គ.ខ.បៈ : អ្នកជំនិតរបស់ព្រះជាម្ចាស់)។</p-l>
man of war	(a man reknown for his participation in battle) <p-l>អ្នកចម្បាំង</p-l>
manager	(a person who directs an estate or organization) <p-l>អ្នកជំរួត (គ.ប : អ្នកធំរួត គ.ខ.ប : អ្នក បំរើ)។</p-l>
Manasseh	<p-l>ម៉ានាសេ</p-l> (tribe of...) <p-l>អំបូរម៉ានាសេ</p-l> (...King of Judah) <p-l>ស្ដេចម៉ានាំសេ</p-l>
Manasseh, Prayer of...	(Apocrypha) <p-l>«កណ្ឌសេចក្តីអធិស្ឋាននៃម៉ាន៉ាសេ»</p-l>
Mandaeism	(an early monotheistic religion with a dualistic world view) <p-l>សាសនាម៉ាន់ដៃ</p-l>
mandate	(an official or authoritative instruction) (div) <p-l>ព្រះរាជបញ្ជា</p-l>
Manetho	[an Egyptian historian and priest from Sebennytos in Ancient Egypt who lived during the Ptolemaic era (c. 3rd Century BC) whose work is used as evidence for the chronology of the reign of the pharaohs] <p-l>ម៉ានេថូ។</p-l>
manger	(a trough in a stable or barn from which horses or cattle feed) <p-l>ស្មុកសត្វ</p-l>
manhood	(the state of being human) <p-l>ភាពជាមនុស្ស</p-l>
manhood	(the state of being a man) <p-l>ប្រុសពេញវ័យ</p-l>
Mani	[Iranian prophet and founder of Manichaeism (c. 216-276 AD)] <p-l>ម៉ានី</p-l>
Manichaeism	[an Iranian gnostic religion based on the writings of the prophet Mani (216-276 AD), who taught a cosmology describing the struggle between a good spiritual world of light, and an evil, material world of darkness] <p-l>ម៉ែនណរយី និយម។</p-l>
manifest	(vb) (to show plainly; reveal or display) <p-l>បើកសម្តែង</p-l> (adj) <p-l>ច្បាស់លាស់ ជាក់ស្តែង</p-l>
manifestation	<p-l>ការសម្តែងលេចមក។</p-l>
manifold	(adj) (having several different forms, features or elements) <p-l>ច្រើន</p-l>
mankind	(human beings collectively) <p-l>មនុស្សជាតិ</p-l>
manna	(the miraculous food which sustained the Israelites while in the Wilderness) <p-l>នំ ម៉ានា។</p-l>
manner	(way of doing something) <p-l>របៀប</p-l>
Manoah	<p-l>ម៉ាណូអា</p-l>
manslaughter	(the unlawful killing of one human being by another without malice or forethought) <p-l>ស្លាប់ដោយអចេតនា។</p-l>
manumission	(freedom from slavery) <p-l>ការដោះលែងពីទាសភាព</p-l>
manuscript	(a document written by hand) <p-l>ឯកសារសរសេរដោយដៃ</p-l> (short) <p-l>ឯកសារដៃ</p-l>
manuscript	(the original handwritten or typed version of an article, book etc., as submitted by an author for publication) <p-l>និពន្ធមិនទាន់បោះពុម្ព។</p-l>
manward	(adv) (towards humanity) <p-l>ចំពោះមនុស្សលោក</p-l>
Maranatha	(Aramaic "Our Lord, come") <p-l>ភាសាអ៊ីរ៉ាម «ម៉ារ៉ាណាថា»</p-l> (informal) <p-l>ព្រះអម្ចាស់សូម យាងមក។</p-l>
Marcion	[heretic of Early Christianity who taught that the God of the OT was not the true God and rejected the Hebrew Bible (85-160 AD)] <p-l>ម៉ាសៀន។</p-l>
Marcion Prologues, the...	(Latin prologues to the Pauline epistles found in various manuscripts attributed to Marcion) <p-l>បុរេកថាម៉ាសៀន។</p-l>
Marcionism	(an early Christian dualistic belief system that originated in the teachings of Marcion of Sinope at Rome; see Marcion) <p-l>ម៉ាសៀននិយម។</p-l>
Marcus Aurelius	[Roman Emperor from 161-180 AD and an important Stoic philosopher (121-181 AD)] <p-l>អធិរាជម៉ាគុសអូរ៉េលាស។</p-l>
Marduk	(Babylonian god who became head of the Babylonian pantheon) <p-l>ព្រះម៉ាដុក</p-l>
marginalised, the...	(those people the world regards as unimportant) <p-l>មនុស្សដែលពិភពលោក គិតថាមិនមានតម្លៃ។</p-l>
Mari	(an ancient Sumerian and Amorite city located on the Middle Euphrates River in modern Syria) <p-l>ក្រុងម៉ារី។</p-l>
Mari tablets	(more than 25,000 clay tablets in Akkadian language written in cuneiform found at Mari) <p-l>ផ្ទាំងថ្មម៉ារី។</p-l>
marjoram	(a Mediterranean plant) <p-l>ជីរនាងវង</p-l>
mark	(a visual inpression) <p-l>ចំណាំ (គ.ប : ចំណាំ គ.ខ.ប : សញ្ញា)</p-l>
Mark	<p-l>ម៉ាកុស</p-l>
Mark, Gospel according to...	<p-l>ដំណឹងល្អតាមលោកម៉ាកុស</p-l> (short) <p-l>កណ្ឌម៉ាកុស</p-l>
Markan	(adj) (belonging to Mark's Gospel) <p-l>នៃកណ្ឌម៉ាកុស</p-l>
marriage	(the state or formal relationship of a man and a woman being husband and wife) <p-l>អាពាហ៍ពិពាហ៍</p-l> (...ceremony) <p-l>ពិធីរៀបការ ពិធីអាពាហ៍ពិពាហ៍</p-l> (ceremony taking place at the home of the groom) <p-l>អាវាហៈ</p-l> (ceremony taking place at the bride's home) <p-l>វិវាហៈ</p-l> marry (vb) <p-l>រៀបការ</p-l> marital (adj) <p-l>រវាងប្តីប្រពន្ធ។</p-l>
martyr	(vb) (to kill someone who fails to renounce his/her religious beliefs) <p-l>ធ្វើឲ្យទៅជាទុក្ករកម្ម។</p-l>
Mars Hill	(or Areopagus) <p-l>ភ្នំអេរីយ៉ូស</p-l>
Marshall, I.H.	[Professor Emeritus of NT exegesis at University of Aberdeen, Scotland and author of numerous publications focussing on NT theology (1934-)] <p-l>បណ្ឌិតម៉ាសល។</p-l>
Martin, R.P.	[British NT scholar who wrote commentaries on Mark, Romans, Philippians and James (1925-2013)] <p-l>បណ្ឌិតម៉ាទីន។</p-l>
martyr	(person who suffers death rather than renounce his/her belief) <p-l>ទុក្ករបុគ្គល (រងទុក្ខដោយព្រោះជំនឿ)</p-l> martyrdom <p-l>ទុក្ករកម្ម។</p-l>
Martyrdom of Isaiah	(the first five chapters of the book "Ascension of Isaiah" from the Pseudepigrapha, which recounts and expands on the events of 2 Kings 21) <p-l>«ទុក្ករកម្មនៃហោរាអេសាយ»។</p-l>
Mary	<p-l>នាងម៉ារា</p-l>
Mary, Gospel of...	(an apocryphal manuscript discovered in Cairo in 1896) <p-l>«កណ្ឌដំណឹងល្អនាងម៉ារា»។</p-l>
Mary Magdalene	<p-l>ម៉ារាពីស្រុកម៉ាក់ដាឡា</p-l>
Maryanu	(a caste of chariot-mounted warrior nobility which dominated many Middle East societies during the Bronze Age) <p-l>វីរជនម៉ារីអាន។</p-l>
Marxism	(the economic and political theory and practice that actions and human institutions are economically determined, and class struggle is the agency of change) <p-l>ម៉ាក្សនិយម</p-l> Marxist <p-l>អ្នកកាន់ទ្រឹស្តីម៉ាក្ស។</p-l>
Masada	(an ancient fortification on top of an isolated rock plateau on the eastern edge of the Judaean Desert) <p-l>ម៉ាសាដា។</p-l>
masculine	(adj) (grammar: denoting a gender of nouns occurring in many inflected languages, that include different referents) <p-l>ដូចប្រុស។</p-l>
Mass	(Roman Catholicism: the central act of worship in the Roman Catholic Church where it is believed that the bread and wine of the Eucharist are "converted" into Christ's body and blood) <p-l>ពិធីអរព្រះគុណព្រះជាម្ចាស់។</p-l>
masseka	(Hebrew "a cast image”) <p-l>សូនរូបលោហធាតុ (ភាសាហេព្រើរ)</p-l>
Massoretes	(members of the school of rabbis who produced the Masora, a text of the Hebrew Bible revised between the 6th and 10th Century AD) <p-l>ពួកម៉ាសសូរ៉េត។</p-l>
Massoretic text	(the authoritative Hebrew text of the Jewish Bible that defines the books of the Jewish canon and the precise letter-text of the biblical books, primarily copied and distributed by a group of Jews called the Massoretes) <p-l>ព្រះគម្ពីរ ម៉ាសសួត។</p-l>
Master	(title used for Jesus by his disciples) <p-l>លោកម្ចាស់ (គ.បៈ : លោកគ្រូ គ.ខ.បៈ : ព្រះគ្រូ)</p-l> material/materialistic (adj) (composed of, or relating to matter as opposed to form)
istuar	(informal) <p-l>ដែលមានរូបរាង។</p-l>
materialism	(theory/philosophy that matter is the only reality and that the mind is only a function of matter) <p-l>សម្ភារនិយម</p-l> materialist <p-l>ជនសម្ភារនិយម។</p-l>
materialize	(vb) (to take a tangible form) <p-l>ធ្វើឲ្យមានរូបរាងជាក់ស្តែង</p-l> materialization <p-l>សម្ភារកម្ម</p-l> (informal) <p-l>ការធ្វើឲ្យកើតជារូបរាងជាក់ស្តែង។</p-l>
matriarchy	(a form of social organization in which the female is the head of the family and kinship is traced through the female line) <p-l>មាត្យកា</p-l> (informal) <p-l>ស្ត្រីជាមេគ្រួសារ ឬកុលសម្ព័ន្ធ។</p-l>
matrilocal	(adj) (residence referring to the social system where a married couple resides with the wife's parents) <p-l>មាតុដ្ឋាន</p-l> (informal) <p-l>នៃរស់នៅញាតិសន្តានខាងម្តាយ។</p-l>
Matrimony	(Roman Catholicism: the sacrament of marriage between a man and a woman, freely entered into and consummated, and not to be dissolved, made in the presence of a priest and at least two witnesses) <p-l>អគ្គសញ្ញាអាពាហ៍ពិពាហ៍។</p-l>
Mattathias ben Johanan	(a Jewish priest who inspired a revolt against the Syrian Greeks) as related in the Books of Maccabees) <p-l>ម៉ាត្រាធាស។</p-l>
matter	(n) (object that occupies space and has mass) <p-l>រូបធាតុ</p-l>
Matthan	<p-l>ម៉ាថាន</p-l>
Matthat	<p-l>ម៉ាត់ថាត់</p-l>
Matthean	(adj) (belonging to Matthew's Gospel) <p-l>នៃដំណឹងល្អតាមសាវកម៉ាថាយ</p-l>
Matthew	<p-l>ម៉ាថាយ</p-l> (the Apostle...) <p-l>សាវកម៉ាថាយ</p-l>
Matthew, Gospel according to...	<p-l>ដំណឹងល្អតាមសាវកម៉ាថាយ</p-l> (short) <p-l>កណ្ឌម៉ាថាយ</p-l>
Matthew Bible	(an English Bible published in 1537 by John Rogers, under the pseudonym "Thomas Matthew”) <p-l>ព្រះគម្ពីរអង់គ្លេសតាមលោកម៉ាថាយ។</p-l>
Matthias, the Apostle...	<p-l>សាវកមាត់ធាស</p-l>
maturity	(state of being relatively advanced physically) <p-l>ភាពពេញវ័យ</p-l> (state of being relatively advanced mentally, emotionally and/or moraily) <p-l>ភាពពេញខ្នាតគ្របលក្ខណៈ របស់មនុស្ស-ពេញវ័យ (គ.ប ពេញខ្នាត គ.ខ.ប : គ្រប់លក្ខណៈរបស់មនុស្សពេញវ័យ)</p-l> (adj) <p-l>ពេញខ្នាត។</p-l>
Maundy Thursday	(Church calendar: feast or holy day on the Thursday before Easter) <p-l>ថ្ងៃ ព្រហស្បតិ៍មុនថ្ងៃព្រះយេស៊ូវមានព្រះជន្មរស់ឡើងវិញ។</p-l>
Mauritania	(former Berber Kingdom and province of the Roman Empire, and a presentday W African country on the western edge of the Sahara Desert) <p-l>នគរម៉ូរីតានី ខេត្ត ម៉ូរីតានី។</p-l>
maxim	(a brief expression of a general truth) <p-l>ពាក្យទំនៀម</p-l>
Mazdaeism	(another name for Zoroastrianism) <p-l>ម៉ាសេដនិយម</p-l>
McGready, James	[Presbyterian minister and revivalist who was an important figure of the Second Great Awakening on the American frontier (1763-1817) <p-l>ចេមស ម៉ាក់ហ្វ្រេឌី។</p-l>
meadow	(piece of grassland, often used for the production of hay) <p-l>វាលស្មៅ</p-l>
meal-offering	(a general sacrifice) <p-l>ដង្វាយយញ្ញបូជា</p-l>
meaning	(significance of a word, sentence, symbol, etc.) <p-l>អត្ថន័យ</p-l>
measure	(n) (measuring tool) <p-l>ផ្ទាល</p-l>
meat-offering	(animal sacrifice) <p-l>ដង្វាយ យញ្ញបូជា</p-l>
Mecca	(Islam: the birthplace of Muhammad, Islam's holicat city, and a pilgrimage to id known as the Hajj is obligatory for all able Muslims) (<p-l>ក្រុងមេកា។</p-l>
Media	(ancient Iranian kingdom that dominated the Mesopotamian region c. 610-550 BC with territory from north-eastern Iran to the Halys River in Anatolia) <p-l>នគរមេឌី។</p-l>
mediacy	(the position of bringing about agreement between parties in a dispute) <p-l>តួនាទីជា-អ្នកសម្រុះសម្រួល</p-l> (div) <p-l>តួនាទីជាអង្គសម្រុះសម្រួល។</p-l>
mediaeval/medieval	(adj) [describes the period between the fall of the Western Roman Empire and the Renaissance (c. 476-1453 AD)] <p-l>នៃនាមជ្ឈិមសម័យ</p-l> (informal) <p-l>នៃសតវត្សទី៥ ដល់១៥។</p-l>
mediate	(vb) (to intervene between parties in a dispute in order to bring about agreement) <p-l>សម្រុះសម្រួល</p-l> mediation <p-l>ការសម្រុះសម្រួល</p-l> mediatorial (adj) <p-l>នៃការសម្រុះសម្រួល</p-l> mediator <p-l>អ្នកសម្រុះសម្រួល [(គ.បៈ : អ្នកសម្របសម្រួល អ្នកកណ្តាល អ្នកសង្រួបសង្រួម) (គ.ខ.បៈ មនុស្សម្នាក់ដែល ធ្វើអន្តរាគមន៍ ស្ពានមេត្រី ស្ពាន)]។</p-l>
mediate	(vb) (to serve as a medium for causing a result) <p-l>ទាក់ទងនឹងប្រយោជន៍</p-l>
Mediator	(div) (title for Jesus emphasizing his role as medium between God and humanity) <p-l>ព្រះអង្គសម្រុះសម្រួល</p-l> Mediatorship <p-l>ភាពជាអង្គសម្រុះសម្រួល។</p-l>
Medina	(the second holiest city in Islam after Mecca and the burial place of Muhammad) <p-l>ក្រុងម៉េឌីណា។</p-l>
meditate	(vb) (to think deeply about/upon something) <p-l>រំពឹងគិត នឹកជញ្ជឹង រិះគិត ពិចារណា [(គ.បៈ : រំពឹងគិត នឹកជញ្ជឹង នឹករំពឹង) (គ.ខ.បៈ សញ្ជឹងគិត រិះគិត ពិចារណា)]។</p-l>
Mediterranean Sea	<p-l>សមុទ្រមេឌីទែរ៉ាណេ</p-l>
medium	(a person used as a spiritual intermediary between the dead and the living) <p-l>គ្រូខាប (គ.បៈ គ្រូខាប គ.ខ.ប : គ្រូអន្ទងខ្មោច)។</p-l>
meeting	(n) (an encounter or coming together) <p-l>ការប្រជុំ (គ.បៈ ប្រជុំ គ.ខ.បៈ : ការប្រជុំ)</p-l>
Megiddo, City of...	<p-l>ក្រុងមេគឺដោ</p-l>
Mehujael	<p-l>មហ្វីយ៉ែល</p-l>
Melanchthon, Philip	[German reformer, first systematic theologian of the Protestant Reformation, and intellectual leader of the Lutheran Reformation (1497-1560)] <p-l>បណ្ឌិតភីលីព មីលេនថុន។</p-l>
Melchizedek	<p-l>មើលគីស្សាដែក</p-l>
member	(a part of the body such as a limb) <p-l>អវយវៈ</p-l>:
memorial	(place serving as a remembrance) <p-l>វត្ថុរំឭក</p-l> (...ceremony) <p-l>ពិធីរំឭក</p-l>
Memphis, City of...	(2) Ki. 15) <p-l>ក្រុងណូព</p-l>
Menahem, King...	<p-l>ស្តេចមណាហិម</p-l>
Menahoth, Tractate...	(section of the Talmud dealing with the laws of Temple flour offerings) <p-l>រឿងខ្លីៗ «ម៉េណាហត់»។</p-l>
Mennonites	[a Protestant group based around the church communities of the Anabaptist denominations named after Menno Simons (1496-1561) of Friesland who formalized the teachings of earlier Swiss founders] <p-l>មីណូណៃ។</p-l>
Merari	(one of the sons of Levi) <p-l>ម៉ារី</p-l>
mercy	(compassionate treatment of, or attitude towards an offender) <p-l>សេចក្តីមេត្តាករុណា (គ.បៈ : មេត្តាប្រណី គ.ខ.ប : សព្វព្រះហឫទ័យ)</p-l>
mercy seat	(the gold platform covering the Ark, regarded as the throne of God) <p-l>ទីប្រណី សន្តោស (គ.បៈ : ទីសន្តោសប្រោស គ.ខ.ប : គំរបហិប)។</p-l>
Merenptah	(fourth pharaoh of the 19th Dynasty of Egypt, who ruled 1213 to 1203 BC) <p-l>ជាប៉ានម៉េរែនតា។</p-l>
merit	(spiritual credit granted or received for good works) <p-l>កុសល</p-l> meritorious (adj) <p-l>ដែល ជាកុសល។</p-l>
merit	(vb) (to be worthy; to deserve) <p-l>សមនឹងទទួល</p-l>
merit theology	(the systematic study of God and his nature from the perspective that spiritual credit is received or granted for good works) <p-l>ទេវសាស្ត្រសលនិយម។</p-l>
Meroë	(Nubian capital of Cush in present day Sudan, from where the "Ethiopian eunuch" of Acts 8:27... came from) <p-l>ក្រុងមេរូ។</p-l>
Mesha	(a place in Gen. 10:30) <p-l>មេសា</p-l>
Mesha, King...	(a king of Moab) <p-l>ស្តេចមេសា</p-l>
Meshech	(son of Japeth) <p-l>មែសេក</p-l>
Meshech	(son of Aram, son of Shem <p-l>ម៉ាស</p-l>
mesolithic	(adj) (archeology: the culture between paleolithic and neolithic, and is generally used to describe material from the Levant dated 20,000 to 9,500 BC) <p-l>នៃ យុគ្គសម័យកណ្តាល។</p-l>
Mesopotamia, the area of...	(the area of the Tigris-Euphrates river system) <p-l>តំបន់មេសូប៉ូតាមា</p-l> Mesopotamians <p-l>ពួកមេសូប៉ូតាមា។</p-l>
message	(communication from one person or group to another) <p-l>សារ</p-l> (div) <p-l>ព្រះរាជសារ</p-l>
messenger	(a person who takes messages from one person or group to another) <p-l>ទូត</p-l>
Messiah, the...	(the awaited King of the Jews) <p-l>ព្រះមែសី (ព្រះដែលបានចាក់ប្រេងតាំង)</p-l> Messianic (adj) <p-l>របស់ព្រះមែសី</p-l> Messiahship (role of the Messiah) <p-l>ព្រះមែសីភាព។</p-l>
Messianism	(belief in a messiah, saviour or redeemer) <p-l>ព្រះមែស៊ីនិយម</p-l>
metaphor	(figure of speech in which a word or phrase is applied to an object or action that it does not literally denote) <p-l>ឧបមា</p-l> metaphorically (adv) <p-l>ដោយឧបមា។</p-l>
metaphysical distinction	(a distinction concerning the system of first principles underlying an enquiry or theory) <p-l>ភាពខុសគ្នាបែបអរូបី។</p-l>
metaphysics	(the branch of philosophy dealing with first principles) <p-l>បរមត្ថវិជ្ជា</p-l> metaphysical (adj) <p-l>នៃបរមត្ថវិជ្ជា។</p-l>
meter	(prosody: indicating a verse having a specified number of groups of two or more syllables in which one syllable has the major stress) <p-l>បទកំណាព្យ</p-l> metrical (adj) <p-l>ដែលមានបទកំណាព្យ។</p-l>
Methodism	(a Protestant movement represented by a number of denominations and organizations, tracing their roots to John Wesley's revival movement within Anglicanism in 18th Century England and Wales) <p-l>ចលនាមេតូឌីស្ទ។</p-l>
Methuselah	(son of Enoch) <p-l>មធូសាឡា</p-l>
Methushael	<p-l>មទូសែល</p-l>
mg.	(abbreviation “margin”) <p-l>រឹមទំព័រ</p-l>
Mi.	(abbreviation "Book of Micah") <p-l>មី</p-l>.
Micah	<p-l>មីកា</p-l>
Micah, Book of...	<p-l>កណ្ឌមីកា</p-l>
Michaelis, Johann David	[German biblical scholar and teacher (1706-1757)] <p-l>បណ្ឌិត ម៉ៃខលលីស។</p-l>
Michal	<p-l>មីកាល</p-l>
Michmash	(meaning "Concealed Place", a town of Benjamin, east of Bethel) <p-l>ក្រុង មឹកម៉ាស។</p-l>
middle	[Greek grammar: voice of a verb that describes the relationship between the action and the participants (subject, object) where the subject has elements of both agent and object] <p-l>វាចេះរវាងសកម្ម និងអកម្ម។</p-l>
Middle Ages	[period between the fall of the Western Roman Empire and the Renaissance (c. 476-1453 AD)] <p-l>មជ្ឈិមសម័យ (សតវត្សទី៥-១៥)។</p-l>
Middle Assyria	(the Assyrian Kingdom from the 15th to 10th Century BC) <p-l>មជ្ឈឹមសម័យ អាសសើរ។</p-l>
Middle Bronze Age	(period 2100-1550 BC) <p-l>យុគសំរិទ្ធមជ្ឈឹម</p-l>
Middle East	(area immediately east of the Mediterranean Sea, especially Israel and the Arabic countries from Turkey to North Africa, and west to Iran) <p-l>តំបន់មជ្ឈឹម បូព៌ា។</p-l>
Middle English	(the dialects of the English language from the late 12th to late 15th Century) <p-l>ភាសាអង់គ្លេសមជ្ឈិមសម័យ។</p-l>
Middle Kingdom	(Ancient Egypt from the establishment of the Eleventh Dynasty to the end of the Fourteenth Dynasty, 2055-1650 BC) <p-l>សម័យមជ្ឈឹមព្រះរាជាណាចក្រ អេស៊ីព្ទ។</p-l>
Midian	<p-l>ម៉ាឌាន</p-l> (land of...) <p-l>ស្រុកម៉ាបាន</p-l>
Midianites	<p-l>សាសន៍ម៉ាឌាន</p-l>
midrash	(a homily on a passage of Scripture derived by traditional Jewish exegetical methods and consisting usually of embellishments of the scriptural narrative) <p-l>ការអធិប្បាយរបស់សាសន៍យូដា។</p-l>
might	(power, force, or vigour, especially of a great or supreme kind) <p-l>ឥទ្ធិឫទ្ធិ (គ.បៈ ឥទ្ធិឫទ្ធិ គ.ខ.បៈ : ឫទ្ធិបារមី)។</p-l>
Milcah	(Nahor's wife; Gen. 11:29) <p-l>មើលកា</p-l>
Miletus, port of...	<p-l>ក្រុងមីលេត</p-l>
milieu	(surroundings, location or setting) <p-l>មជ្ឈដ្ឋាន</p-l>
Milkila	(mayor or ruler of Gezer in mid-14th Century BC, and author of 5 of the Amarna Letters to the Pharaoh of Egypt) <p-l>មើលគីលូ។</p-l>
millennialism/millenarianism	(the view that there will be a future period of ideal peace and happiness) <p-l>សហស្សវត្សនិយម។</p-l>
millennium	(a period of one thousand years) <p-l>សហស្សវត្ស</p-l> millennia (pl)
millennium, the...	(period of one thousand years of peace of Rev. 20) <p-l>សហស្សវត្សសន្តិភាព</p-l>
Millo, the...	(a stone structure in Jerusalem, recorded as having been built by Solomon and repaired by Hezekiah) <p-l>មីឡូរ។</p-l>
mind	(n) (the human faculty to which thought and feeling are ascribed) <p-l>ចិត្តគំនិត</p-l>
minion	(a servile agent) <p-l>អ្នកជំនួយការ</p-l>
monarchic	(adj) (concerning the rule of someone in high authority) <p-l>ដែលគ្រប់គ្រងដោយមហាក្សត្រ។</p-l>
monarchy	(a form of government in which supreme authority is vested in a single and usually hereditary figure) <p-l>រាជាធិបតេយ្យ។</p-l>
Monarchy, the...	(reference to the establishment of kings who ruled over Israel and Judah) <p-l>រាជាធិបតេយ្យ។</p-l>
Monarchy, the...	(reference to the period of the kings in Israel and Judah, from Saul to the commencement of the Exile) <p-l>រជ្ជកាលស្តេចសូលដល់និរទេស</p-l> (short) <p-l>រជ្ជកាលស្តេច ច្រើន។</p-l>
monastery	(the buildings of a community of Christian monks) <p-l>កុដិគ្រីស្ទបរិស័ទ</p-l>
monastic	(adj) (relating to Christian monasteries) <p-l>នៃកុដិគ្រីស្ទបរិស័ទ</p-l> (relating to Christian monks etc.) <p-l>នៃលោកសង្ឃគ្រីស្ទបរិស័ទ។</p-l>
money	(medium of exchange that functions as legal tender) <p-l>ប្រាក់កាស</p-l>
money-changer	(person engaged in the business of exchanging currencies) <p-l>អ្នកដូរប្រាក់</p-l>
monk	(male member of a religious community bound by vows of poverty, chastity and obedience) <p-l>លោកសង្ឃ។</p-l>
monogamy	(the state or practice of having only one spouse over a period of time) <p-l>ឯកពន្ធ ភាព</p-l> (informal) <p-l>ការនិយមឲ្យមានប្រពន្ធ ឬប្តីតែម្នាក់។</p-l>
monograph	(an academic paper, book or work concerned with a single subject) <p-l>ឯក លេខនា។</p-l>
Monophysitism	(a belief that Christ's divinity dominates and overwhelms his humanity) <p-l>និស្ស័យតែមួយនិយម។</p-l>
monotheism	(belief there is only one god) <p-l>ឯកទេពនិយម</p-l>
Montanism	(a prophetic movement that broke out in Phrygia in Asia Minor at around 172 AD, and condemned by various Church synods) <p-l>ចលនាម៉ុនថានុសនិយម។</p-l>
Montanus	[a recent convert who began prophesying (c.135-177 AD) claiming inspiration from the Holy Spirit, and urged his followers to fast and pray so they might share these revelations, sparking a movement (Montanism) that threatened to split the Church] <p-l>ម៉ុនថានុស។</p-l>
monument	(an obelisk, stature, building etc. erected in commemoration of a person, event or in celebration of something) <p-l>វិមាន។</p-l>
mood	(grammar: a category of verb or verbal inflection that expresses semantic and grammatical differences, including the indicative, subjective and imperative forms) <p-l>ប្រភេទកិរិយាសព្ទដែលបញ្ជាក់ពីគម្រោងនៃប្រធាន។</p-l>
Moody Bible Institute	(Christian institute of higher education for Christian workers founded by Dwight L. Moody in 1886, the main campus in Chicago, USA) <p-l>វិទ្យាស្ថានព្រះគម្ពីរមូឌី។</p-l>
Moody, Dwight Lyman	[American evangelist and publisher who founded the Moody Bible Institute and Moody Publishers (1837-1899)] <p-l>ឌីអិលមូឌី។</p-l>
Morah, oak of...	(Gen. 12:6) <p-l>ដើមម៉ៃសាក់របស់ម៉ូរេ</p-l>
moral	(a principle of behaviour in accordance with standards of right and wrong) <p-l>សីលធម៌។</p-l>
moral	(adj) (concerned with human behaviour, especially the distinction between right and wrong behaviour) <p-l>ដោយសីលធម៌។</p-l>
moralist	(person who seeks to regulate the morals of others, or imbue others with a sense of morality) <p-l>អ្នកសីលធម៌និយម</p-l> moralistic (adj) <p-l>ខាងសីលធម៌និយម។</p-l>
moral law	(laws governing morality) <p-l>ក្រឹត្យវិន័យសីលធម៌</p-l> (general) <p-l>ច្បាប់សីលធម៌</p-l>
