w	def
... ក៏ ... ដែរ	<ul><li>also, as well ខ្ញុំក៏ធ្វើការដែរ I am working also.
... ក៏... ក៏	<ul><li>both ... and ...
... ក៏ដោយ ... ក៏ដោយ	<ul><li>whether... or..., it's all the same សើចក៏ដោយយំក៏ដោយ Laugh if you like, cry if you like.
... ក៏បាន ... ក៏បាន	<ul><li>either... or...
... ក៏បានដែរ	<ul><li>... would be all right, can get along with ..., ... is OK បើគ្មានផ្កាស្លាទេ យើងយកផ្កាផ្សេងមកជំនួសក៏បានដែរ If they don't have areca flowers we'll be able to get along with a substitute.
កងជំនួយ	[kɑɑŋ cumnuəy] [[កង]] [[ជំនួយ]] 	<ul><li>relief force, reinforcements
កងឈ្លប(ការណ៍)	<ul><li>scout unit, reconnaissance unit, village guerillas (esp. referring to an irregular force unit used for reconnaissance by the KR);<br> fifth column See: <p-a>ទ័ពឈ្លប</p-a>
កងដឹកនាំ	[kɑɑŋ dək noam] [[កង]] [[ដឹកនាំ]] 	<ul><li>transportation unit
កងដៃ	[kɑɑŋ day] [[កង]] [[ដៃ]] 	<ul><li>bracelet
កងតាៗ	<ul><li>See: <p-a>កងជរា</p-a>
កងតូច	[kɑɑŋ tooc~tuuc] [[កង]] [[តូច]] 	<ul><li>platoon (esp. KR - about 30 - 40 people)
កងតំបន់	[kɑɑŋ tɑmbɑn] [[កង]] [[តំបន់]] 	<ul><li>regional unit
កងតំរួតក្រហម	[kɑɑŋ tɑmruət krɑhɑɑm] [[កង]] [[តំរួត]] [[ក្រហម]] 	<ul><li>(Chinese) Red Guards
កងតំរួតរក្សាខែត្រ	[kɑɑŋ tɑmruət reaksaa kʰaet] [[កង]] [[តំរួត]] [[រក្សា]] [[ខែត្រ]] 	<ul><li>provincial guard
កងថ្មើរជើង	[kɑɑŋ tmaə cəəŋ] [[កង]] [[ថ្មើរជើង]] 	<ul><li>infantry, infantry unit
កងទាហានជាង	[កងទាហានវិស្វករ :: kɑɑŋ tiehien cieŋ kɑɑŋ ------ ] [[កង]] [[ទាហានជាង]] 	<ul><li>engineer troops, engineer brigade
កងទាហានជើងគោក	[kɑɑŋ tiehien cəəŋ kook] [[កង]] [[ទាហានជើងគោក]] 	<ul><li>ground force(s), infantry
កងទាហានវិស្វករ	[kɑɑŋ tiehien vihsvaʔkɑɑ] [[កង]] [[ទាហាន]] [[វិស្វករ]] 	<ul><li>See: <p-a>កងទាហានជាង</p-a>
កងទ័ព	[kɑɑŋ toap] [[កង]] [[ទ័ព]] 	<ul><li>troops, armed forces, army;<br> soldier;<br> army corps
