ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ប្រហារដោយសត្រា,"[prɑhaa daoy sattraa] [[ប្រហារ]] [[ដោយ]] [[សត្រា]] <br>1). to kill with a sharp-edged weapon."
កែវពន្លក,"[kaev pʊənlɔɔk] [[កែវ]] [[ពន្លក]] <br>1). dear
រឿងរង្សី,"[rɨəŋ reaŋsəy] [[រឿង]] [[រង្សី]] <br>1). shining bright light."
បុច្ឆនសញ្ញា,"[poccʰaʔnaʔsaɲɲaa] <br>1). n question mark (?)."
ពានបន្ទាយ,"[pien bɑntiey] [[ពាន]] [[បន្ទាយ]] <br>1). to mount an assault on a fortress."
មនុស្សមានជោគ,"[mɔnuh~meaʔnuh~mɔnɨh mien cook] [[មនុស្ស]] [[មានជោគ]] <br>1). successful man
ចំណែក,"[cɑmnaek] <br>1). n part
បុព្វការី,"[boppeaʔkaarəy] <br>1). n one who has given support or assistance to someone;<br> foundation
វិជយភេរី,"[viʔceaʔyeaʔ~viʔcey pʰeerii] [[វិជយ]] [[ភេរី]] <br>1). victorious drum (drum that is beaten on the occasion of a victory)."
បន្លួញ,"[bɑnluəɲ] <br>1). n wedge;<br> tenon;<br> peg;<br> bolt. See: ពន្លួញ"
ឧទកណ្ណព,"[ʔuʔteaʔkaʔ~ʔuʔtɔǝk ------ ] [[ឧទក]] [[ណ្ណព]] <br>1). ocean."
ទៅយូរ,"[tɨv~toh yuu] [[ទៅ]] [[យូរ]] <br>1). to go (somewhere) for a long time."
យក្ខុម្មត្តកៈ,"[yeak ʔummattaʔkaʔ] [[Iយក្ខ]] [[I]] [[ឧម្មត្តកៈ]] <br>1). insane as a result of being possessed by demons. See: បិសាចុម្មត្តកៈ"
រារាំង,"[rie reaŋ] [[រា]] [[រាំង]] <br>1). (or: រាំងរា) to stop someone
ថោមនាការ,"[tʰaomaʔnaakaa] <br>1). n congratulations;<br> the act of praising
សប្បដិភាគ,"[sappaʔdeʔpʰiek] <br>1). n anything that is in contrast to something else
ឃុយឆាយ,"<br>1). See: ឃិនឆាយ."
ប្រតិលិខិត,"[prɑteʔliʔkʰət] <br>1). n defeasance. Sanskrit pratilikhita 'written back
អារម្ភកថា,"[ʔaarampʰeaʔ~ʔaarɑm kaʔtʰaa] [[អារម្ភ]] [[កថា]] <br>1). preface
មហាវិថី,"[mɔhaaviʔtʰəy] <br>1). n boulevard. Sanskrit
អនេកអនន្ត,"[ʔaʔnaek ʔaʔnɑn] [[អនេក]] [[អនន្ត]] <br>1). countless<br>#..). p innumerable. Pali aneka;<br> ananta 'endless.'"
កាំបិតរង្គោះ,"[kambət rʊəŋkʊəh] [[កាំបិត]] [[រង្គោះ]] <br>1). knifeblade that is loose from its handle."
មូលមតិគ្នាជាឯកឆន្ទ,"[muul meaʔteʔ knie cie ʔaek cʰan] [[មូលមតិគ្នា]] [[ជាឯក]] [[ឆន្ទ]] <br>1). to be unanimous in a decision (or a view)
ឡេមឡាម,"[leɛm-laam] <br>1). p alarmed
អ្នកមានបរិញ្ញាបត្រ,"[neak mien paʔrəɲɲaabat] [[អ្នកមាន]] [[បរិញ្ញាបត្រ]] <br>1). one who has received a master's degree or its equivalent. French licencié"
ឃ្លោកភ្លុក,"[klook pluk] [[ឃ្លោក]] [[ភ្លុក]] <br>1). gourd in the shape of an elephant's tusk."
ចំរូងចំរាស,"[cɑmrooŋ-cɑmraah] <br>1a). p harsh
រត់លូន,"[rʊət luun] [[រត់]] [[លូន]] <br>1). to escape or to flee to the jungle in order to hide oneself.<br>#..). to flee and hide in the forest."
សមាសពល,"[saʔmaah pʊəl] [[សមាស]] [[ពល]] <br>1). force or velocity of a machine produced by the combining of forces."
គោះកន្ទេល,"[kʊəh kɑnteel] [[គោះ]] [[កន្ទេល]] <br>1). to beat a mat to get rid of dust."
ប្រតិចក្រវាត,"[prɑteʔcaʔkrɑviet] <br>1). n anticyclone. Sanskrit praticakra 'discus;' vāta 'wind.'"
ស្ងៀមស្ងាត់,"[sŋiǝm sŋat] [[ស្ងៀម]] [[ស្ងាត់]] <br>1). silent (without speech)."
សុច្ឆន្ទៈ,"[soccʰanteaʔ] <br>1). n good will. Pali succhanda"
សន្តិករ,"[sɑnteʔ kɑɑ] [[សន្តិ]] [[ករ]] <br>1). peacemaker. See: សន្តិការិកា See: សន្តិការកៈ"
ល្វន់,"[lvʊən] <br>1). p soft
បិតុឃាត,"<br>1). See: បិតុឃាតកម្ម."
កញ្ចឹងក,"[kaɲcǝŋ kaa] <br>1). n nape of the neck
ពូជខ្មែរ,"[puu cɔɔ kmae] [[ពូជ]] [[ខ្មែរ]] <br>1). Khmer race."
នគ្គកម្មសិទ្ធិ,"[neakkeaʔkammeaʔsəttʰiʔ] <br>1). n property without usufruct."
ក្រអុលអុល,"[krɑʔol ------ ] [[ក្រអុល]] [[អុល]] <br>1). squat
ទឹកមូត្រឈាម,"[tɨk moot cʰiem] [[ទឹកមូត្រ]] [[ឈាម]] <br>1). hematuria"
ឫទ្ធានុភាព,"[rɨt~rɨttʰea? ʔaʔnuʔpʰiep] [[ឫទ្ធ]] [[អនុភាព]] <br>1). magic power."
មំសវិក្រ័យក៍,"[meaŋsaʔviʔkray] <br>1). n butcher. Pali maṁsa;<br> Sanskrit vikrayaka 'vendor
ដើរចំទែង,"[daə cɑmtɛɛŋ] [[ដើរ]] [[ចំទែង]] <br>1). to walk quickly."
អាត្មោបជីវីន,"[ʔaatmaopaʔciivɨn] <br>1). n person who is self-supporting. See: អាត្មោបជីវិនី See: អត្តូបជីវី Sanskrit atmopajīvin"
