ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
អាណោច,"[ʔaanaoc] <br>1). p to pity;<br> to sympathize;<br> sympathetic
សក្ករជាតិ,"[sakkaʔraʔciet] <br>1). n saccharose
ប្រកាសិត,"[prɑkaasət] <br>1a). p proclaimed
លីបិក្រម,"[liipeʔkrɑm] <br>1). n index
ទ្រាប់ក្ដារ,"[troap kdaa] [[ទ្រាប់]] [[ក្ដារ]] <br>1). to place a board or plank under..."
ទទួលមរតក,"[tɔtuəl meaʔreaʔdɑk] [[ទទួល]] [[មរតក]] <br>1). to inherit."
បុស្ស,"[boh] <br>1). n name of the 2nd month of the lunar calendar. Pali pussa;<br> phussa"
ចាំមុខ,"[cam muk] [[ចាំ]] [[មុខ]] <br>1). to remember someone's face."
រលៀក,"[rɔliək] <br>1). n kind of small thorny bamboo;<br> it is very strong and often used to make ladders."
ស្លង់,"[slaŋ] <br>1). p to plug
ជជ្រុលជជ្រួស,"[cɔcrul-cɔcruəh] <br>1). a exceedingly."
វិសមាមាត្រ,"[viʔsaʔmaamiet] <br>1). n disproportion. Pali visamā;<br> Sanskrit mātra"
បង្កើតក្តី,"[bɑŋkaət kdəy] [[បង្កើត]] [[ក្តី]] <br>1). to cause a lawsuit"
សាលសន្ទនា,"[saal sɑnteaʔnie] [[សាល]] [[សន្ទនា]] <br>1). parlor
យានូបភោគ,"[yienuupaʔpʰook] <br>1). n filling station
ស្បូវ,"[sbǝv] <br>1). n kind of grass (Saccharum spicatum) used for thatching roofs."
រាជតាទ្រិ,"[rieceaʔtaatriʔ] <br>1). n silver. mountain
រលៀង,"[rɔliəŋ] <br>1). p inclined slightly
ខ្យងសោក,"[kyɑɑŋ~kcɑɑŋ saok] [[ខ្យង]] [[សោក]] <br>1). marine conch Tandart
រន្ធផើយ,"[rʊən pʰaəy] [[រន្ធ]] [[ផើយ]] <br>1). escape passage or air passage of an underground cell. See: រន្ធហុយ"
ផ្ទះមានយ៉មុខយ៉ក្រោយ,"[pteah mien yɑɑ muk yɑɑ kraoy] [[ផ្ទះ]] [[មាន]] [[យ៉]] [[មុខ]] [[យ៉]] [[ក្រោយ]] <br>1). a house with front and back porches."
បលាណ្ឌកូល,"[paʔlaaneaʔdeaʔkool] <br>1). n liliaceous plants
សទាទាន,"[saʔtietien] <br>1). n perpetual gift. Pali sadā;<br> dāna"
ក្របួច,"[krɑbuəc] <br>1). p to make a knot;<br> to tie up hastily. See: ក្បួច"
ត្រដេបត្រដាប,"[trɑdeɛp-trɑdaap] <br>1). p lamentable
មូលធនក្រុមហ៊ុន,"[muul tʰʊən krom~krommaʔ- hun] [[មូលធន]] [[ក្រុមហ៊ុន]] <br>1). registered capital."
វីតរាគ,"[viit riek] [[វីត]] [[រាគ]] <br>1). free from passion."
ល្អដូចគេស្រិត,"[lʔɑɑ dooc kee srǝt] [[ល្អ]] [[ដូច]] [[គេ]] [[ស្រិត]] <br>1). smooth and beautiful like polished rice."
ឥត្ថីបមុខ,"[ʔettʰəy bɑɑ muk] [[ឥត្ថី]] [[ប]] [[មុខ]] <br>1). person who relies on women. See: ស្ត្រីប្រមុខ"
ទើសមុខទើសក្រោយ,"[təəh muk təəh kraoy] [[ទើសមុខ]] [[ទើស]] [[ក្រោយ]] <br>1). constantly bothersome
ច្រត់ទំពាំង,"[crat tumpeaŋ] [[ច្រត់]] [[ទំពាំង]] <br>1). to cut bamboo shoots."
បង្អាប់បង្អោន,"<br>1). See: បង្អាប់បង្អូន."
ជាប់កិច្ចរវល់,"[coap kəc rɔvʊəl] [[ជាប់]] [[កិច្ច]] [[រវល់]] <br>1). to be occupied
យាត្រា,"[yietraa] <br>1a). n walk
ភូមធ្យរេខា,"[pʰuumeaʔtyeaʔreekʰaa] <br>1). n equator. Pali bhūma"
សុធម្មា,"[soʔtʰoammie] <br>1). n name of one of Indra's wives. (Indra's four main wives were: សុធម្មា
ឧទរបាត្រ,"[ʔuʔtɔɔ baat] [[ឧទរ]] [[បាត្រ]] <br>1). stomach."
រំអាឲ្យខ្លាច,"[rumʔaa ʔaoy klaac] [[រំអា]] [[ឲ្យ]] [[ខ្លាច]] <br>1). to threaten
គ្រួស,"[kruəh] <br>1). n gravel
ឪពុកធំ,"[ʔǝv puk tʰom] [[ឪពុក]] [[ធំ]] <br>1). uncle (elder brother of one's mother or father). See: ធំ"
ខែកុម្ភៈ,"[kʰae kompʰeak] [[ខែ]] [[កុម្ភៈ]] <br>1). February."
ចំរុង,"[cɑmroŋ] <br>1). n reforging See: ច្រុង. See: ចម្រុង <br>2). p to promote progress
ឧបមាតា,"[ʔuʔpaʔmiedaa] <br>1). n adopted mother. Pali upamātu"
អនិលសខា,"[ʔaʔniʔleaʔsaʔkʰaa] <br>1). n fire. See: អនិលសម្ភព Pali anilasakha 'friend of the wind.'"
សម្តេចព្រះអនុជាធីរាជ,"[sɑmdac preah ʔaʔnuʔ cie tʰiiriec] [[សម្ដេច]] [[ព្រះ]] [[អនុ]] [[ជា]] [[ធីរាជ]] <br>1). younger brother of the king
គង់,"[kʊəŋ] <br>1). p well kept
ទាទឹម,"[tie tɨm] [[ទា]] [[ទឹម]] <br>1). stuffed duck."
រលៀប,"[rɔliəp] <br>1). n arrow poison. Tandart"
អាល័យសមុគ្ឃាត,"[ʔaalay ------] [[អាល័យ]] [[Aសមុគ្ឃាត]] <br>1). abandoning a feeling of love."
រលាំ,"[rɔloam] <br>1). p soaked
សោមគ្រោះ,"[saomaʔkrʊəh] <br>1). n good luck. 'planet.') See: បាបគ្រោះ Sanskrit somya or saumya 'relating to soma;' graha"
ជញ្ជួច,"[cʊəɲcuəc] <br>1). p to make a certain kind of sound (of elephants - the sound is made by placing the trunk in the mouth). <br>2). p to blow a horn."
សំដីល្អ,"[sɑmdəy lʔɑɑ] [[សំដី]] [[ល្អ]] <br>1). pleasant words."
គ្រេចដៃ,"[krɨc day] [[គ្រេច]] [[ដៃ]] <br>1). to sprain one's arm."
សហប្បវេណី,"[saʔhaʔ ------] [[សហ]] [[Qប្រវេណី]] <br>1). same tradition
ឌឺដង,"[dɨɨ dɑɑŋ] <br>1). p to insult indirectly
រលំរលាយ,"[rɔlum rɔliey] [[រលំ]] [[រលាយ]] <br>1). to have a complete downfall (to fall from authority and be in disgrace)
ទងត្រចៀក,"[tɔɔŋ trɑciək] [[ទង]] [[ត្រចៀក]] <br>1). lobe of the ear."
និយាយលះ,"[niʔyiey leah] [[និយាយ]] [[លះ]] <br>1). to speak clearly."
រវ៉ើក,"[rɔvaək] <br>1). a (walking) up and down everywhere. <br>2). a slowly and unceasingly (of talking)."
សង្គ្រាមជ័យ,"[sɑŋkriem cey] [[សង្គ្រាម]] [[ជ័យ]] <br>1). victory (in a war)."
ត្រៃរត្ន,"[trayroat] <br>1). n the Three Jewels: the Buddha. the law (dharma)
ត្រដក់ត្រសុំ,"[trɑdɑk-trɑsom] <br>1). p to save up (by saving little things)."
អាក្រម,"[ʔaakrɑm] <br>1). n crossing over
សន្សើម,"[sɑnsaǝm] <br>1). n dew
កូនទំពាំង,"[koon tumpeaŋ] [[កូន]] [[ទំពាំង]] <br>1). bud
ស្ងប់រម្ងាប់,"[sŋɑp ------] [[ស្ងប់]] [[រម្ងាប់]] <br>1). very calm
បបរមាន់,"[bɑbɑɑ~pɑbɑɑ moan] [[បបរ]] [[មាន់]] <br>1). chicken-rice soup."
ផ្ទះទីទៃ,"[pteah tii tey] [[ផ្ទះ]] [[ទីទៃ]] <br>1). separate house(s)
វណ្ណសណ្ឋាន,"[vannaʔ sɑntʰaan] [[វណ្ណ]] [[សណ្ឋាន]] <br>1). color and shape."
លើកដី,"[lǝǝ kɑɑ dəy] [[លើក]] [[ដី]] <br>1). to embank<br>#..). to pile up dirt."
ផ្អាប់ទុក,"[pʔap ------] [[ផ្អាប់]] [[ទុក]] <br>1). to keep hidden for a while."
ជ្រើម,"[crəəm] <br>1). p to agitate (in groups). See: ជ្រួលជ្រើម"
បាត់យស,"[bat yʊəh] [[បាត់]] [[យស]] <br>1). to be disgraced
ចង្វាក់,"[cɑŋvak] <br>1). n rhythm
សត្វឃាត,"[sat kʰiet] [[សត្វ]] [[ឃាត]] <br>1). slaughtering (of animals). See: សត្តឃាត"
យថាប្រភេទ,"[yeaʔtʰaaprɑpʰeet] <br>1). p specific."
នីតិសម្បទា,"[niiteʔsampaʔtie] <br>1). n skill
ជលវេគ,"[ceaʔleaʔveek] <br>1). n torrent of water. Sanskrit
តារាបថ,"[taaraabɑt] <br>1). n sky
អាជានេយ្យ,"[ʔaacieney] <br>1). n vigorous person
មិថុន,"[miʔtʰon] <br>1). n couple (husband and wife). <br>2). n June. (a.w.: មិថុនៈ mithoʔneaʔ.) Sanskrit
មើលធ្លុះ,"[məəl tluh] [[មើល]] [[ធ្លុះ]] <br>1). to see through
មានអាសង្កា,"[mien ʔaasɑŋkaa] [[មាន]] [[អាសង្កា]] <br>1). to have a strong suspicion or doubt."
ព្រះដែន,"[preah daen] [[ព្រះ]] [[ដែន]] <br>1). border
ចិត្តទោទន់,"[cət too tʊən] [[ចិត្ត]] [[ទោ]] [[ទន់]] <br>1). tenderness
អភិសិត្តរាជ,"[ʔaʔpʰiʔsettaʔriec] <br>1). n crowned king. See: អនភិត្តរាជ See: មុទ្ធាភិសិត្ត(រាជ)រាជ/ref> Pali abhisittarāja"
បៃតង,"[baytɑɑŋ] <br>1). p green (color). Thai bajtɔɔŋ 'banana leaf.'"
បដិកោសលវិច័យ,"[paʔdeʔkaosɑlviʔcay] <br>1). n counter-valuation
អនុរក្តិ,"[ʔaʔnuʔreak] <br>1). n love
ច្រវាប,"[crɑvaap] <br>1). p big
ដើរតាមលង្វែកផ្ទះ,"[daə taam lʊəŋvɛɛk pteah] [[ដើរ]] [[តាម]] [[លង្វែកផ្ទះ]] <br>1). to walk in the space between houses."
ជ្រើស,"[crəəh] <br>1). p to pick out
ភ្នែកលលាម,"[------ lɔliem] [[ភ្នែក]] [[លលាម]] <br>1). eyes which show one's bravery."
ស៊ីម៉ងត៍អារម៉េ,"[siimɑŋ ------] [[ស៊ីម៉ងត៍]] [[អារម៉េ]] <br>1). reinforced concrete. See: បេតុង
ទូរលេខរំហូត,"[tuu leek rumhoot] [[ទូរលេខ]] [[រំហូត]] <br>1). direct line telegram (Fr. télégramme omnibus)."
ស្រមៀន,"[srɑmiən] <br>1). a quietly
ប្រភព,"[prɑpʰup] <br>1). n source (of news
គ្រាប់បែកឆេះ,"[kroap baek cʰeh] [[គ្រាប់បែក]] [[ឆេះ]] <br>1). incendiary bomb."
បិទមុខ,"[bet~bət muk] [[បិទ]] [[មុខ]] <br>1). to cover one's face<br>#..). to mask<br>#..). n kind of turtle with the carapace projecting forward. <br>2a). p mysterious
នៅពេលថ្ងៃជ្រេ,"[nɨv peel tŋay cree] [[នៅ]] [[ពេលថ្ងៃ]] [[ជ្រេ]] <br>1). in the afternoon."
អាស្វាស,"<br>1). See: អស្សាស. 	 អាស្វាសៈ"
ជញ្ជួយ,"[cʊəɲcuəy] <br>1). p to tremble;<br> to cause to tremble;<br> to cause to ripple. See: រញ្ជួយ"
យូរណាស់,"[yuu nah] [[មក]] [[ហើយ]] [[::]] [[យូរ]] [[ណាស់]] [[មក]] [[ហើយ]] <br>1). very slow
ចុងដង្ហើម,"[coŋ dɑŋhaəm] [[ចុង]] [[ដង្ហើម]] <br>1). the hollow of the chest
ពិសេលពិសាល,"[------ piʔsaal] [[ពិសេល]] [[ពិសាល]] <br>1). greatest
ធរណិន្ទ,"[tʰɔɔreaʔnən] <br>1). n king
រនាស់គោ,"[rɔnoah koo] [[រនាស់]] [[គោ]] <br>1). small harrow pulled by oxen."
និមិត្ត,"[niʔmit] <br>1). n cause;<br> presage
ផុងកៃ,"[pʰoŋ kay] [[ផុង]] [[កៃ]] <br>1). to have a firearm (rifle
ស្សរាយតនៈ,"[------ ʔaayaʔtaʔnaʔ] [[Aស្សរ]] [[I]] [[អាយតនៈ]] <br>1). dwelling for dignitaries."
ផ្ដួចផ្ដើម,"[pduəc pdaəm] [[ផ្តួច]] [[ផ្ដើម]] <br>1). to initiate something."
ចែកទាន,"[caek tie nɔɔ] [[ចែក]] [[ទា]] [[ន]] <br>1). to distribute gifts.<br>#..). to give alms."
ទឹកសំបថ,"[tɨk sɑmbɑt] [[ទឹក]] [[សំបថ]] <br>1). any water which is used for swearing or oath taking. See: ទឹកពិភទ្ទសច្ចា"
សិង្គាលី,"<br>1). See: សិគាល."
សប្បុរិស,"[sappoʔreʔsaʔ] <br>1). n sage
និកម្មវេលាក្លែង,"[niʔkammaʔveelie klaeŋ] [[និកម្មវេលា]] [[ក្លែង]] <br>1). unemployment due to the seasonal nature of a job."
ចោរម័ទ,"[caoraʔmat] <br>1). n kleptomania. Sanskrit
សេចក្តីរីករាយ,"[sackdǝy riik riey] [[សេចក្តី]] [[រីករាយ]] <br>1). pleasure
វិសមិត,"[viʔsaʔmit] <br>1). p incompatible. Sanskrit vishamita"
បំផ្លិច,"[bɑmpləc] <br>1). p to immerse
មហាស្រ័យ,"[meaʔhaasray] <br>1). p magnanimous
និព្ភយៈ,"[nippʰeaʔyeaʔ] <br>1). p fearless (?). Pali nibbhaya"
ស្វាយសង្កើច,"[svaa yɔɔ sɑŋkaəc] [[ស្វាយ]] [[សង្កើច]] <br>1). kind of mango (Mangifera foetida). The wood becomes very hard after being soaked in water. Tandart"
លំពែងចំពុះទុង,"[lumpɛɛŋ cɑmpuh tuŋ] [[លំពែង]] [[ចំពុះទុង]] <br>1). kind of lance."
ខ្ទឹមស,"[ktɨm sɑɑ] [[ខ្ទឹម]] [[ស]] <br>1). garlic. (Allium sativum.)"
សមរប្រកាសន៍,"[saʔmaʔraʔ~saʔmɑɑ ------] [[សមរ]] [[ប្រកាសន៍]] <br>1). declaring war."
លើកដៃ,"[lǝǝ kɑɑ day] [[លើក]] [[ដៃ]] <br>1). to raise the hand."
ឡកចុះឡកឡើង,"[laak coh laak laəŋ] [[ឡក]] [[ចុះ]] [[ឡក]] [[ឡើង]] <br>1). up and down in confusion."
ឥសិបព្វជ្ជា,"[ʔiʔseʔ bappaccie] [[ឥសិ]] [[បព្វជ្ជា]] <br>1). becoming a hermit. See: ឥសិប្បព្វជ្ជា"
លញ់,"[lʊəɲ] <br>1). p to roll out (soft things
គំនិតមារយាទ,"[kumnit mieyiet] [[គំនិត]] [[មារយាទ]] <br>1). conduct
វ័ធ,"[voat] <br>1). p to gore
ចុណ្ណភាព,"[connaʔpʰiep] <br>1). n particle. Pali cuṇṇa 'dust
ពុំទាន់,"[ផង ស្រាប់តែ :: pum toan pʰɑɑŋ srap tae ] [[ផង]] [[ស្រាប់តែ]] [[::]] [[ពុំទាន់]] [[ផង]] [[ស្រាប់]] [[តែ]] <br>1). not yet."
បរិវិសកម្ម,"[paʔreʔvihsaʔkam] <br>1). n joining (of a club
ទូរសព្ទ,"[tuureaʔsap] <br>1). n telephone. Sanskrit
ជំពាក់ប្រាក់គេ,"[cumpeak prak kee] [[ជំពាក់]] [[ប្រាក់]] [[គេ]] <br>1). to be in debt (financially)."
មន្ត្រវិត,"[mʊəntraʔvit] <br>1). n spy
កប់,"[kɑp] <br>1). p to bury (something);<br> to be buried;<br> to sink deeply (into). <br>2). p to be deeply involved in."
ឧច្ចសនៈ,"[ʔuccaʔ ------ ] [[ឧច្ច]] [[សនៈ]] <br>1). high seat. See: ឧច្ចាសន៍"
អៀនប្រៀន,"[ʔiǝn-priǝn] <br>1). p very bashful
អយោព្វនភាព,"[ʔaʔyooppoannaʔpʰiep] <br>1). n prepubescence."
សត្តសារ,"[sattaʔ saa~saaraʔ] [[សត្ត]] [[សារ]] <br>1). depth or the heart of living creatures
មូលនាម,"[muul niem] [[មូល]] [[នាម]] <br>1). original name;<br> name given at birth."
ដំឡង់,"<br>1). See: តម្លង់."
បុព្វកិច្ច,"[boppeaʔkəc] <br>1). n preparation(s)
អង្វរ,"[ʔɑŋvɑɑ] <br>1). p to beg
ទំហេង,"[tumheeŋ] <br>1). n emptiness lack. See: ធេង."
សព្វភ័យ,"[sɑp pʰey] [[សព្វ]] [[ភ័យ]] <br>1). all kinds of fears."
វរាសនៈ,"[veaʔrieasʔnaʔ] <br>1). n expensive seats
រទង,"[rɔtɔɔŋ] <br>1). p frayed
ដំរូវ,"<br>1). See: តម្រូវ."
អស់ធ្ងល់,"[ʔɑh cŋɑl] [[អស់]] [[ឆ្ងល់]] <br>1). to suspect or doubt no longer."
វីមំសាវិជ្ជា,"[------ vɨccie] [[វីមំសា]] [[វិជ្ជា]] <br>1). knowledge acquired through painful research."
ងីក,"[ŋiik] <br>1). a squirmingly
អ្ហូះ,"[ʔhooh] <br>1). i exclamation of disagreement or admiration."
ក្រវ៉ាត់ក,"[kɑɑ ------ kɑɑ ] [[ក]] [[្រវ៉ាត់]] [[ក]] <br>1). necktie."
ត្រូវទណ្ឌកម្ម,"[trəv toan kam~kammeaʔ or kammaʔ] [[ត្រូវ]] [[ទណ្ឌកម្ម]] <br>1). to be punished. See: ទទួលទណ្ឌកម្ម"
ឫស្យា,"[rɨhsyaa] <br>1a). n jealousy
មហាក្សត្រី,"[meaʔhaaksatrəy] <br>1). n queen. Sanskrit mahākshatrī"
បោលដាក់,"[baol dak] [[បោល]] [[ដាក់]] <br>1). to run (to)
ចាប់មាត់,"[cap moat] [[ចាប់]] [[មាត់]] <br>1). delicious ( that pleases the mouth)."
ខ្លាធ្មុង,"[klaa tmuŋ] [[ខ្លា]] [[ធ្មុង]] <br>1). leopard. Tandart"
សិថិលកម្ម,"[seʔtʰǝl kam~kammeaʔ or kammaʔ] [[សិថិល]] [[កម្ម]] <br>1). compromising
មាត់គត់,"<br>1). See: មាត់ជិត"
អគ្គបុរស,"[ʔakkeaʔboʔrɑh] <br>1). n gentleman. Pali agga-;<br> purusa 'man.'"
សំគាល់ហេតុ,"[sɑmkoal haet] [[សំគាល់]] [[ហេតុ]] <br>1). mark indicating a footnote
ដេញពិណ,"[dəɲ pɨn] [[ដេញ]] [[ពិណ]] <br>1). to play any such stringed instrument."
ចាត់ការ,"[cat kaa] [[ចាត់]] [[ការ]] <br>1). to execute (an order)
វ៉ែត,"[vaet] <br>1). n long boat (used by high officials)."
មន្ទីរដូរប្រាក់,"[mʊəntii doo prak] [[មន្ទីរ]] [[ដូរ]] [[ប្រាក់]] <br>1). exchange office."
សារព័ស្តុ,"[saa~saaraʔ poah] [[សារ]] [[ព័ស្តុ]] <br>1). valuable object. See: សារវត្ថុ"
វង្ស,"[vɔǝŋ ~ vaŋsaʔ] () <br>1). n family
ប្រភា,"[prɑpʰie] <br>1). n light;<br> brightness;<br> splendor
ដង្កាវ,"[dɑŋkaav] <br>1). n pole with a hook at one end."
ឈរស្ដឹង,"[cʰɔɔ sdǝŋ] [[ឈរ]] [[ស្ដឹង]] <br>1). to stand motionlessly."
ផ្លូវស្រួលរហូន,"[pləv sruǝl rɔhoon] [[ផ្លូវស្រួល]] [[រហូន]] <br>1). clear road."
អ្នកចោទ,"[neak caot] [[អ្នក]] [[ចោទ]] <br>1). accuser.<br>#..). the accuser;<br> plaintiff."
សោតសម្ផស្ស,"[saot sampʰahsaʔ~sampʰɑh] [[សោត]] [[សម្ផស្ស]] <br>1). auditory perception."
សម្មជ្ជនកិច្ច,"[sammacceaʔneaʔ kəc] [[សម្មជ្ជន]] [[កិច្ច]] <br>1). cleaning work."
សំទាញ,"[sɑmtieɲ] <br>1a). p swelling
គល់ឈើ,"[kʊəl cʰəə] [[គល់]] [[ឈើ]] <br>1). base of a tree<br>#..). base of the tree
ម៉ឹមៗ,"<br>1). See: ម៉ិមៗ."
អ្នក​ខ្នះ​ខ្នែង​,"<br>1). active worker;<br> organizer."
វ៉ែន,"[vaen] <br>1). n type of ring set with precious stones. Thai w?ɛn 'ring.'"
ព្រះចន្ទ,"[preah can] [[ព្រះ]] [[ចន្ទ]] <br>1). day Tandart"
ដើមយុថ្កា,"[daəm yut tkaa] [[ដើម]] [[យុថ្កា]] <br>1). type of large thorny vine."
ធ្វើតាមបែប,"[tvəə taam baep] [[ធ្វើតាម]] [[បែប]] <br>1). to do something in accordance with a model or example
អង្គុលី,"[ʔɑŋkuʔlii] <br>1). n finger;<br> finger's breadth
រំយោល,"[rumyool] <br>1). n hanging fringe
ប្រភូ,"[prɑpʰuu] <br>1). n proprietor
ប្រែគំនិតប្រព្រឹត្តល្អរំលុបកេរ្តិ៍អាក្រក់,"[prae kumnit prɑprɨt lʔɑɑ rumlup kee ʔaakrɑk] [[ប្រែ]] [[គំនិត]] [[ប្រព្រឹត្ត]] [[ល្អ]] [[រំលុប]] [[កេរ្តិ៍]] [[អាក្រក់]] <br>1). to change one's mode of behavior and perform good deeds in order to remove a bad reputation."
រខីត,"[rɔkʰəət] <br>1). p tall and skinny."
ធ្វើបតិដ្ឋប័ន,"[tvəə ------ ------] [[ធ្វើ]] [[Aបតិដ្ឋ]] [[ប័ន]] <br>1). to constitute
មគ្គចិត្ត,"[meak cət] [[មគ្គ]] [[ចិត្ត]] <br>1). holiness of the mind."
ស្លាបប្រចៀវ,"[slaap praciǝv] <br>1). n bat's wing. See: ស្លាបប្រជៀវ <br>2). n scapula
អាភៀន,"[ʔaapʰiən] <br>1). n opium. 'in.) Hakka ā-p'ièn;<br> Cantonese á-p"
ជើងទ្រនាប់,"[cəəŋ trɔnoap] <br>1). n anvil. See: ជើងទេញ"
គុណមាតាបិតា,"[kun miedaa bəydaa] [[គុណ]] [[មាតាបិតា]] <br>1). (good) deeds of parents which deserve the children's gratitude. See: គុណឳពុកម្តាយ"
ផឹក,"[pʰək ~ pʰɑk] <br>1). p to drink
ក្លាក់ម្ជុល,"[klak mcul] [[ក្លាក់]] [[ម្ជុល]] <br>1). cylindrical box for needles."
ប្រហែក,"[prɑhaek] <br>1). p to tear or rip each other or each other's belongings. See: ហែក."
ទៅវិញទៅមក,"[tɨv~toh vɨɲ tɨv~toh mɔɔk] [[ទៅវិញ]] [[ទៅមក]] <br>1). to each other
ត្រឡុង,"[trɑloŋ] <br>1a). p shiny (and round
បក្ខព័ន្ធ,"[pakpoan] <br>1). n partisan;<br> joining in a group. See: បក្សព័ន្ធ"
លង់លុះ,"[lʊəŋ luh] <br>1). c until."
បង្ហើរខ្លែង,"[bɑŋhaə klaeŋ] [[បង្ហើរ]] [[ខ្លែង]] <br>1). to fly a kite."
សេចក្តីអត់ឱន,"[sackdǝy ʔɑt ʔaon] [[សេចក្តី]] [[អត់ឱន]] <br>1). clemency
ទងសួត,"[tɔɔŋ suǝt] [[ទង]] [[សួត]] <br>1). bronchus"
និយាម,"[niʔyiem] <br>1). n regulations
ផឹង,"[pʰəŋ] <br>1). n a centimeter."
និយាយ,"[niʔyiey] <br>1). p to speak
ជេតពន,"<br>1). See: ជេតវន."
សល្លាប,"[sɑllaapaʔ] <br>1). n friendly talk
ចតុរស្ស,"[caʔtoʔrahsaʔ ~ caʔtoʔrɑh] <br>1). p quadrilateral
ខោជើងវែង,"[kʰao cəəŋ vɛɛŋ] [[ខោ]] [[ជើងវែង]] <br>1). trousers."
មួយគីឡូក្រាម,"[muə yɔɔ kiiloo kraam] [[មួយ]] [[គីឡូក្រាម]] <br>1). one kilogram."
សន្លាក់,"[sɑnlak] <br>1). n joint
ស្រុកក្លិង្គ,"[srok kləŋ] [[ស្រុក]] [[ក្លិង្គ]] <br>1). India."
សំទារ,"[sɑmtie] <br>1a). p to roar or to shout loudly. <br>1b). a loudly (of shouting). See: សម្ទារ"
សស្លើតសស្លក់,"[sɑslaət-sɑslɑk] <br>1). a in a flurry."
ងីល,"[ŋɨl] <br>1). i sound of a dog growling."
គំនូរជីវចល,"[kumnuu cii vɔɔ cɑɑ lɔɔ] [[គំនូរ]] [[ជី]] [[វ]] [[ច]] [[ល]] <br>1). animated cartoon."
សុរិយមណ្ឌល,"[soʔreʔyaʔ mʊəndʊəl] [[សុរិយ]] [[មណ្ឌល]] <br>1). disc of the sun."
ងីវ,"[ŋiiv] <br>1). n Chinese theater
អាភៀស,"[ʔaapʰiəh] <br>1). p to escape
វិលាសវតី,"[viʔliehsaʔveaʔtǝy] <br>1a). p coquettish. <br>1b). n coquette. Sanskrit
មកអំពីផ្សារ,"[mɔɔk ʔɑmpii psaa] [[មក]] [[អំពី]] [[ផ្សារ]] <br>1). to come from the market."
វិភាករ,"[viʔpʰiekɑɑ] <br>1). n one who shines. (= sun). Sanskrit
ខ្លាចបាក់ស្បាត,"[klaac bak sbaat] [[ខ្លាច]] [[បាក់ស្បាត]] <br>1). to be so afraid that one will never dare to do something again."
វេទន្ត,"<br>1). See: វេទាន្ត."
ខឹងឆួល,"[kʰəŋ cʰuəl] [[ខឹង]] [[ឆួល]] <br>1). to be furious."
ចំរុះ,"[cɑmroh] <br>1a). p mixed (together);<br> diverse. <br>1b). a in a mixed (together) manner
សមភាគ,"[sɑɑ mɔɔ pʰiek] [[សម]] [[ភាគ]] <br>1). equal part
មុខដាវមុខលំពែង,"[muk daav muk lumpɛɛŋ] [[មុខ]] [[ដាវ]] [[មុខ]] [[លំពែង]] <br>1). to take up someone's cause in a struggle. See: រងមុខដាវមុខលំពែង"
មិថ្យាចារ,"<br>1). See: មិច្ឆាចារ."
អាឌម្ពរ,"[ʔaadampeaʔreaʔ] <br>1). n big drum used to warn the public in case of emergencey
ប័ណ្ណសំគាល់ខ្លួន,"[ban sɑmkoal kluən] [[ប័ណ្ណ]] [[សំគាល់]] [[ខ្លួន]] <br>1). identification card."
ចក្ខុគោចរ,"[cakkʰoʔ koocɑɑ] [[ចក្ខុ]] [[គោចរ]] <br>1). coming within the range of the eye. Pali cakkhugocara 'sphere
តាំងពីតូច,"[taŋ pii tooc~colloquial tuuc] [[តាំងពី]] [[តូច]] <br>1). since childhood."
ក្បឿងស្រទបចេក,"[kbɨəŋ srɑtɔɔp ceɛk] [[ក្បឿង]] [[ស្រទបចេក]] <br>1). convex tile."
មេជើង,"[mee cəəŋ] [[មេ]] [[ជើង]] <br>1). big toe."
សេចក្តីសាទរ,"[sackdǝy saatɔɔ] [[សេចក្តី]] [[សាទរ]] <br>1). enthusiasm
លឿនឆាល់,"[lɨǝn cʰal] [[លឿន]] [[ឆាល់]] <br>1). with tremendous speed."
រើសំដី,"[rəə sɑmdəy] [[រើ]] [[សំដី]] <br>1). to change one's words (in speaking)."
ប្រតិប័ក្ស,"[prɑteʔpak] <br>1). n adversary
អាណត្តិការណ៍,"[ʔaanat~ʔaanatteʔ kaa] [[អាណត្តិ]] [[ការណ៍]] <br>1). reason for an order."
ចតុរមុខ,"<br>1). See: ចតុម្មុខ."
រសផល,"[rʊəh pʰɑl] [[រស]] [[ផល]] <br>1). delicious-tasting fruit;<br> coconut tree."
ស្រតឹក,"[srɑtək] <br>1). a motionlessly."
ព្យត្តវោហារ,"[pyattaʔvoohaa] <br>1). n great oratorical skill;<br> a great orator. Pali vyatta;<br> vohāra 'common use of language.'"
អង្គុលៈ,"[ʔɑŋkuʔleaʔ] <br>1). See: អង្គុលី <br>1). n finger(s);<br> a finger's breadth. <br>2). n a measure equal to eight barleycorns. Pali aṅgula 'finger
រោចនភាព,"[rooc~roocaʔnaʔ pʰiep] [[រោចន]] [[ភាព]] <br>1). splendid nature."
ល្មមឈោងដល់,"[lmɔɔm cʰooŋ dɑl] [[ល្មម]] [[ឈោង]] [[ដល់]] <br>1). within (one's) reach."
ដីមានល្បប់,"[dəy mien lbɑp] [[ដី]] [[មាន]] [[ល្បប់]] <br>1). alluvial soil."
