#desc	Goːgle Khmer Lexicon via: <a href="https://huggingface.co/datasets/seanghay/goːgle-khmer-lexicon">seanghay</a> translated to G2K's phonetics.
#priority	2
anwar	ʔan.wɑː
ao	ʔao
aob	ʔaop
aoi	ʔeː.ʔoː.ʔaːj
aok	ʔaok
aolaok	ʔao.laok
aomal	ʔao.mal
aon	ʔaon
aong	ʔaoŋ
aongkar	ʔaoŋ.kaː
aopheasang	ʔao.phie.saŋ
aoral	ʔao.ral
ap	ʔeː.phiː
apache	ʔaː.pac
apartment	ʔaː.phaːt.mən
apartments	ʔaː.phath.mən
apiwat	ʔak.phiʔ.woat
apk	ʔeː.phiː.kheː
apollo	ʔaː.poː.loː
apostle	ʔaː.poː.stɑːl
app	ʔɛːp
apparel	ʔaː.phaː.rɛːl
apple	ʔɛːp.phɑːl
application	ʔɛːp.pliː.kheː.sən
applications	ʔɛːp.pliː.kheː.sən
applied	ʔəp.plaːj
apply	ʔaː.plaːj
aptargroup	ʔɛːp.thaː.grup
aquarelle	ʔaː.kwaː.rɛːl
ar	ʔaː
araen	ʔaː.raen
aramark	ʔaː.raː.maːk
arang	ʔaː.rɑːŋ
aranh	ʔaː.raɲ
arc	ʔaːk
arcbest	ʔaːk.ɓɛh
arcelona	ʔaː.seː.loː.naː
arch	ʔaːch
archer	ʔaː.chəː
archi	ʔaː.khiː
archimedes	ʔaː.khiː.meː.ɗɛːh
archipelago	ʔaː.khiː.peː.laː.goː
archive	ʔaː.kaːj
archun	ʔɑː.cuːn
are	ʔaː
areaks	ʔaː.reak
arei	ʔaː.rəj
arena	ʔaː.reː.naː
argentina	ʔaː.cɛːn.thiː.naː
argon	ʔaː.gon
ariel	ʔaː.riəl
aristotle	ʔaː.riː.stoːt
arm	ʔaːm
armenian	ʔaː.meː.niən
armour	ʔaː.məː
armstrong	ʔaːm.strɑːŋ
army	ʔaː.miː
arn	ʔaːn
arnaud	ʔaː.nɑːt
arnault	ʔaː.nol
arnett	ʔaː.neːt
arney	ʔaː.nəj
arnold	ʔaː.nol
arpa	ʔaː.paː
array	ʔaː.reː
arris	ʔaː.rih
arrow	ʔaː.roː
arsenal	ʔaː.səː.nɑːl
arsene	ʔaː.seːn
art	ʔaːt
arthur	ʔaː.thuə
artikelmajalah	ʔaː.tiː.keːl.maː.jaː.laːh
arts	ʔaːt
as	
asbury	ʔas.ɓəː.riː
ascena	ʔaːh.seː.naː
ase	ʔeː.ʔɛːs.ʔiː
asen	ʔaː.sɛːn
ashland	ʔaːh.slɛːn
ashley	ʔaːs.liː
ashwoːd	ʔaːs.wuːt
