#desc	2022 version of the <a href="https://play.google.com/store/apps/details?id=com.optimiskh.chuonnathdictionary&hl=en-US">Chuon Nath Digital Dictionary</a>
#priority	1
#word	khph	def
មេត្តាកាយកម្ម	[មេត-តា-កា-យ៉ៈ-កាំ]	<ul><li><strong>ន.</strong> អំពើដែលធ្វើដោយកាយប្រកបដោយមេត្តា។</li></ul>
មេត្តាចិត្ត	[មេត-តា-ចិត]	<ul><li><strong>ន.</strong> ចិត្តដែលប្រកបដោយមេត្តា, ចិត្តមានមេត្តា។</li></ul>
មេត្តាធម៌	[មេត-តា-ធ័រ]	<ul><li><strong>ន.</strong> ធម៌ប្រកបដោយមេត្តា គឺចិត្តប្រកបដោយមេត្តានុះឯង។</li></ul>
មេត្តាបារមី	[មេត-តា-បា-រៈ-ម៉ី]	<ul><li><strong>ន.</strong> បារមីមួយក្នុងចំណោមបារមីទាំង១០ដែលព្រះពោធិសត្វក្នុងជាតិជាព្រះសុវណ្ណសាមបានបំពេញដោយការផ្សាយមេត្តាធម៌។</li></ul>
មេត្តាប្រោស	[មេត-តា-ប្រោស]	<ul><li><strong>កិ.</strong> ប្រោសប្រាណដោយមេត្តា<em> :ទ្រង់ព្រះមេត្តាប្រោស, សូមទ្រង់មេត្តាប្រោស; សូមទានមេត្តាប្រោស។</em></li></ul>
មេត្តាភាវនា	[មេត-តា-ភា-វៈ-នា]	<ul><li><strong>ន.</strong> ការចម្រើនមេត្តា, ដូចយ៉ាងរំពឹងថា សូមឱ្យសត្វទាំងឡាយបានសេចក្ដីសុខរាល់គ្នា! ... </li></ul>
មេត្តាមនោកម្ម	[មេត-តា-មៈ-នោ-កាំ]	<ul><li><strong>ន.</strong> អំពើដែលធ្វើដោយចិត្តប្រកបដោយមេត្តា។</li></ul>
មេត្តាវចីកម្ម	[មេត-តា-វៈ-ចី-កាំ]	<ul><li><strong>ន.</strong> អំពើដែលធ្វើដោយវាចាប្រកបដោយមេត្តា។</li></ul>
មេត្តាវិហារិនី	[មេត-តា-វិ-ហា-រិ-នី]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេត្តាវិហារី)។</li></ul>
មេត្តាវិហារី	[មេត-តា-វិ-ហា-រី]	<ul><li><strong>ន.</strong> អ្នកដែលសម្រេចឥរិយាបថនៅដោយមេត្តា គឺអ្នកដែលមានមេត្តាគ្រប់ឥរិយាបថទាំង ៤(ដើរ, ឈរ, អង្គុយ, ដេក)។</li></ul>
មេត្រី	[មេ-ត្រី]	<ul><li>(<strong>សំ.</strong> មៃត្រី; <strong>បា.</strong> មេត្តិ)<strong>ន.</strong> សេចក្ដីរាប់រក, សេចក្ដីរាប់អាន, ប្រណី។(<strong>វេវ.</strong> មេត្តា)។</li></ul>
មេត្រីចិត្ត	[មេ-ត្រី-ចិត]	<ul><li><strong>ន.</strong> ចិត្តដែលប្រកបដោយមេត្រី<em> :មានមេត្រីចិត្តរកគ្នា។</em></li></ul>
មេត្រីភាព	[មេ-ត្រី-ភាប]	<ul><li><strong>ន.</strong> ភាពមានមេត្រីរកគ្នា។</li></ul>
មេត្រូប៉ូល	[មេ-ត្រូ-ប៉ូល]	<ol><li>រាជធានីឬរដ្ឋធានីនយោបាយនៃប្រទេសមួយ។</li><li>ទីក្រុងធំជាងគេឬមជ្ឈមណ្ឌលសេដ្ឋកិច្ចសំខាន់ជាងគេនៃតំបន់មួយ។</li></ol>
មេថុន	[មេ-ថុន]	<ul><li>(<strong>បា.សំ.</strong> មៃថុន)<strong>ន.</strong> គូ, គូនៃបុរសនិងស្ត្រី; ការរួមសំវាស។</li></ul>
មេថុនកម្ម	[មេ-ថុ-ណៈ-កាំ]	<ul><li><strong>ន.</strong> ការរួមសំវាស, ការរួមបវេណី, រួមដំណេកបង្គុយ។</li></ul>
មេថុនធម្ម	[មេ-ថុ-ណៈ-ធ័ម]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេថុនកម្ម)។</li></ul>
មេថុនវិរតិ	[មេ-ថុ-ណៈ-វិ-រៈ-តិ]	<ul><li><strong>ន.</strong> ការវៀរចាកមេថុន។</li></ul>
មេថុនសេវនៈ	[មេ-ថុ-ណៈ-សេ-វៈ-នៈ]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេថុនកម្ម)។</li></ul>
មេថុនសេវនៈកិច្ច	[មេ-ថុ-ណៈ-សេ-វៈ-នៈ-កិច]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេថុនកម្ម)។</li></ul>
មេថុនសំវាស	[មេ-ថុ-ណៈ-ស័ង-វ៉ាស់]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេថុនកម្ម)។</li></ul>
មេទនី	[មេ-ទៈ-នី]	<ul><li>(<strong>បា.សំ.</strong> មេទិនី)<strong>ន.</strong> ពសុធា, ផែនដី (ហៅថា មេទិនី ក៏បាន)។</li></ul>
មេទាហាន	[មេ-ទា-ហ៊ាន]	<ul><li><strong>ន.</strong> មន្ត្រីដែលមានអំណាចត្រួតត្រាលើពួកទាហានមានកំណត់ចំនួនប៉ុណ្ណោះៗ ក្នុងបន្ទាយមួយៗ ឬក្នុងក្រុមមួយៗ។</li></ul>
មេទឹក	[មេ-ទឹក]	<ul><li><strong>ន.</strong> ទឹកអន្លង់ជាដើមសម្រាប់បើក, បង្ហូរឬបាចដាក់ស្រែ។</li></ul>
មេទោ	[មេ-ទោ]	<ul><li>(<strong>បា.</strong> < មេទ; <strong>សំ.</strong> មេទស៑)<strong>ន.</strong> ខ្លាញ់ខាប់; (<strong>រ.ស.</strong>)<em> :ព្រះមេទោ។</em>
មេទ័ព	[មេ-ទាប់]	<ul><li><strong>ន.</strong> មេរបស់កងទ័ព គឺមន្ត្រីដែលជាអធិបតីត្រួតត្រាពួកទ័ព។</li></ul>
មេទ្រីត	[មេ-ទ្រីត]	<ul><li><strong>ន.</strong> រលាកស្បូន, អាការៈរលាកជាទូទៅនៃជាលិកាស្បូនចាប់ពីភ្នាសក្នុងនៃស្បូន រហូតដល់សាច់ដុំនៃស្បូន<em> :មេទ្រីតតម្រូវជាចាំបាច់ឱ្យអ្នកជំងឺទៅជួបនឹងគ្រូពេទ្យឯកទេសរោគស្ត្រី។</em></li></ul>
មេធគភាព	[មេ-ធៈ-គៈ-ភាប]	<ul><li>(<strong>បា.</strong> < មេធគ ជម្លោះ + ភាវ ភាព, ដំណើរ)<strong>ន.</strong> ដំណើរឈ្លោះគ្នា ការឈ្លោះទាស់ទែងគ្នា<em> :មេធគភាពជាដំណើរនាំឱ្យកើតសាមគ្គីភេទបែកកន្ធែកគ្នា។</em>
មេធា	[មេ-ធា]	<ul><li>(<strong>សំ.បា.</strong>)<strong>ន.</strong> គំនិត, ប្រាជ្ញា (គំនិតឬប្រាជ្ញាដែលអាចទម្លុះទម្លាយដំណើរអ្វីនីមួយៗ)។</li></ul>
មេធាវិនី	[មេ-ធា-វិ-នី]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេធាវី)។</li></ul>
មេធាវី	[មេ-ធា-វី]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> មេធាវិន៑ ឬ មេធិន៑)<strong>ន.</strong> ដែលមានមេធា; អ្នកប្រាជ្ញ។</li><li><strong>ន.</strong> ស្មាក្ដី<em> :ទៅពឹងមេធាវីឱ្យជួយក្នុងរឿងក្ដី។(បើស្ត្រីជា មេធាវិនីឬមេធិនី)។</em></li></ul>
មេធិនី	[មេ-ធិ-នី]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេធាវិនី)។</li></ul>
មេធី	[មេ-ធី]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេធាវី)។</li></ul>
មេន	[មេន]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេរុ)។</li></ul>
មេនព្វន្ត	[មេ-នប់-ពន់]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេលេខ)។</li></ul>
មេនំ	[មេ-នំ]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេដោះ)។</li></ul>
មេបទ	[មេ-បត់]	<ul><li><strong>ន.</strong> អ្នកដែលជាមេបើកបទពំនោលល្ខោនឬជាមេតាំងផ្ដើមមុនក្នុងការសូត្របទឬច្រៀង។</li></ul>
មេបន្ទុក	[មេ-បន់-ទុក]	<ul><li><strong>ន.</strong> អ្នកដែលជាប្រធានក្នុងការទទួលរងបន្ទុក (អ្នកចិញ្ចឹមរក្សាគេ)។</li></ul>
មេបា	[មេ-បា]	<ol><li>មេនិងបា។</li><li>អ្នកដែលជាប្រធានក្នុងដំណើរនិយាយកិច្ចការផ្សេងៗ ជាមួយនឹងអ្នកផ្លូវចៅមហា ក្នុងមង្គលការអាពាហ៍ពិពាហ៍<em> :សូមជម្រាបអស់លោកមេបា ...។</em></li><li>ខ្មោចចំបួរជួរ<em> :ខុសមេបា, សែនមេបា, មេបាចាស់ទុំ។</em></li></ol>
មេបំណុល	[មេ-បំ-ណុល]	<ul><li><strong>ន.</strong> អ្នកឱ្យគេបុល។</li></ul>
មេប៊ត	[មេ-ប៊ត]	<ul><li><strong>ន.</strong> បន្ទះដ៏សំខាន់នៃកុំព្យូទ័រដែលជាកន្លែងផ្ទុកខួរក្បាលកុំព្យូទ័រ កាតមេម៉ូរីផ្សេងៗ ឈីបសំខាន់ៗ និងឧបករណ៍អេឡិចត្រូនិកដែលផ្ដល់មុខងារដល់កុំព្យូទ័រ។</li></ul>
មេប្រយោគ	[មេ-ប្រ-យោក]	<ul><li><strong>ន.</strong> ក្រុមសន្និបាតអ្នកត្រួតត្រាពិនិត្យការប្រឡង។</li></ul>
មេផ្ទះ	[មេ-ផ្ទះ]	<ul><li><strong>ន.</strong> ស្ត្រីដែលជាប្រធានក្នុងការចាត់ចែងកិច្ចការក្នុងផ្ទះ (ប្រពន្ធ)។</li></ul>
មេពាក្យ	[មេ-ពាក]	<ul><li><strong>ន.</strong> ពាក្យដែលរៀបរៀងជាមេតាមលំដាប់អក្សរ (ដូចយ៉ាងរបៀបពាក្យក្នុងវចនានុក្រមនេះ)។</li></ul>
មេព្រាយ	[មេ-ព្រាយ]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> ព្រាយ)។</li></ul>
មេព្រើល	[មេ-ព្រើល]	<ul><li><strong>ន.</strong> មេនាំឱ្យព្រើល។</li></ul>
មេព្រៃ	[មេ-ព្រៃ]	<ul><li><strong>ន.</strong> ឈ្មោះក្រុមរាជការត្រួតត្រាខាងឈើព្រៃចម្រើនប្រយោជន៍ក្នុងរដ្ឋមណ្ឌល<em> :ក្រុមមេព្រៃ, រាជការមេព្រៃ!</em></li></ul>
មេភ្លៀង	[មេ-ភ្លៀង]	<ul><li><strong>ន.</strong> សុខុមសត្វមួយប្រភេទ សាច់ទន់ ស្លាបសម្បុរក្រហមក្រមៅ កើតក្លាយអំពីកណ្ដៀរធំៗឬអំពីកណ្ដាច់ ហើរចេញតែក្នុងវេលាមានភ្លៀងធំ, ជាសត្វចូលចិត្តពន្លឺភ្លើង, ច្រើនមានតែក្នុងខែដើមឆ្នាំ។</li></ul>
មេមត់	[មេ-មត់]	<ul><li><strong>ន.</strong> ខ្មោចអារក្ស; ស្រីរូបអារក្ស<em> :បន់មេមត់, រៀបទ្រនឹបជូនមេមត់។(ពាក្យ មត់ ទំនងជាក្លាយមកពី </em><strong>បា.</strong> មត ដែលស្លាប់ហើយឬមនុស្សដែលស្លាប់ហើយ ខ្មោច មេមត គឺមេខ្មោច?)។</li><li><strong>ន.</strong> ឈ្មោះស្រុកមួយក្នុងខេត្តកំពង់ចាមប៉ែកខាងកើត ប្រទល់គ្នានឹងខេត្តរោងដំរី។ បច្ចុប្បន្នក្លាយជាខេត្តត្បូងឃ្មុំ តាមរយៈព្រះរាជក្រឹត្យលេខ នស/រកត/១២១៣/១៤៤៥ចុះថ្ងៃទី៣១ខែធ្នូ ឆ្នាំ២០១៣ដែលកាត់យកក្រុងចំនួន១ស្រុកចំនួន៦ពីខេត្តកំពង់ចាម មាន ក្រុងសួង ស្រុកត្បូងឃ្មុំ ស្រុកអូររាំងឪ ស្រុកក្រូចឆ្មារ ស្រុកតំបែរ ស្រុកពញាក្រែក និងស្រុកមេមត់។</li></ul>
មេម៉ាយ	[មេ-ម៉ាយ]	<ol><li><strong>គុ.</strong>, <strong>ន.</strong> ដែលបាត់បង់ប្ដី (ស្លាប់ប្ដី) ឬលែងគ្នា គឺស្ត្រីដែលមានប្ដីហើយប្ដីស្លាប់ទៅ ឬលែងគ្នា (នៅជាស្ត្រីឥតគូ) ; ស្ត្រីមេម៉ាយ, នៅជាមេម៉ាយ; និយាយដោយបរិយាយតាមដំណើរថា មេម៉ាយស្លាប់ប្ដី ឬ មេម៉ាយប្ដីស្លាប់, មេម៉ាយប្ដីលែង, មេម៉ាយលែងប្ដី។(<strong>ម.ព.</strong> ពោះម៉ាយ ផង)។</li><li>(<strong>ព.ប្រ.</strong>) ការងារដែលធ្វើទៅនៅស្កកមិនហើយស្រេច ព្រោះមានធុរៈណាមួយមកជំទាស់ឬព្រោះអស់ប្រាក់<em> :ការមេម៉ាយ ។(ហៅថា ការខ្មាយ ក៏បាន, តាមត្រូវការប្រើ)។</em></li></ol>
មេម៉ាយខាន់ស្លា	[មេ-ម៉ាយ-ខាន់-ស្លា]	<ul><li><strong>ន.</strong> ស្ត្រីដែលដាច់ចំណងមេត្រី ខកខានមិនបានរៀបអាពាហ៍ពិពាហ៍បន្ទាប់ពីភ្ជាប់ពាក្យរួច<em> :នាងក្លាយជាមេម៉ាយខាន់ស្លា។</em></li></ul>
មេម៉ូរី	[មេ-ម៉ូ-រី]	<ul><li><strong>ន.</strong> ឧបករណ៍ គ្រឿង ឬផ្នែកនៃកុំព្យូទ័រ ដែលអាចផ្ទុកទិន្នន័យ កម្មវិធីជាអចិន្ត្រៃយ៍ឬបណ្ដោះអាសន្ន។ ឧបករណ៍នេះផ្ទុកទិន្នន័យក្នុងទម្រង់ជាឈីប។</li></ul>
មេយ៉ូស	[មេ-យ៉ូស]	<ul><li><strong>ន.</strong> ដំណើរចែកកោសិកាដែលចំនួនក្រូម៉ូសូមត្រូវបានបន្ថយពាក់កណ្ដាលពីឌីប្លូអ៊ីត<em> :ចំណែកទី I មេយ៉ូសមានការតម្លើងទ្វេក្រូម៉ូសូមនៅចន្លោះវគ្គ។</em></li></ul>
មេរុ	[មេ-រុ]	<ul><li>(<strong>សំ.បា.</strong>)១)ភ្នំព្រះសុមេរុ។</li></ul><ol><li>(<strong>ព.ប្រ.</strong>) ខ្មែរប្រើជាឈ្មោះនៃមណ្ឌបដែលសង់ធ្វើរាងជាប្រាសាទមានកំពូលមានផ្ទៃផ្ទាល់នឹងផែនដីសម្រាប់ធ្វើឈាបនកិច្ចសពឥស្សរជន<em> :ធ្វើមេរុ, បុណ្យមេរុ។(សរសេរជា មេន ក៏មាន។ ពាក្យថា នេរុ, នេរុរាជ, មេរុរាជ, សិនេរុ, សិនេរុរាជ, សុមេរុ, សុមេរុរាជ នេះជាឈ្មោះនៃភ្នំសុមេរុ ដូចគ្នា)។</em></li></ol>
មេរុដ្ឋាន	[មេ-រុត-ឋាន]	<ul><li>(<strong>បា.</strong>)<strong>ន.</strong> ទីកន្លែងមណ្ឌបដែលគេសង់ធ្វើរោងជាប្រាសាទ មានកំពូល មានផ្ទៃផ្ទាល់នឹងផែនដីសម្រាប់ធ្វើឈាបនកិច្ចសពឥស្សរជន។</li></ul>
មេរៀម	[មេ-រៀម]	<ul><li><strong>គុ.</strong> (<strong>ព.បុ.</strong>) ធំ, ធំចម្បង។</li><li><strong>ន.</strong> ឈ្មោះកាំភ្លើងធំយ៉ាងធំបំផុត<em> :កាំភ្លើងមេរៀម។</em></li></ul>
មេរោគ	[មេ-រោក]	<ol><li>អតិសុខុមប្រាណដែលបង្កជាជំងឺ<em> :អ្នកផ្ទុកមេរោគអេដស៍, មេរោគកូរ៉ូណា។</em></li><li>វីរុសដែលជ្រៀតចូលក្នុងប្រព័ន្ធកុំព្យូទ័រ រួចបង្កើតជាបញ្ហាណាមួយ<em> :មេរោគអុកឡុកប្រព័ន្ធកុំព្យូទ័រ។</em></li><li>(<strong>ព.ប្រ.</strong>) មនុស្សឬអំពើដែលជាដើមចមនៃបញ្ហា វិបត្តិ អន្តរាយផ្សេងៗដល់សង្គម<em> :ឈ្មួញគ្រឿងញៀនជាមេរោគនៃវិបត្តិសង្គម។</em></li></ol>
មេរ័យ	[មេ-រ៉ៃ]	<ul><li>(<strong>បា.</strong> មេរយ; <strong>សំ.</strong> មៃរេយ)<strong>ន.</strong> ទឹកស្រវឹងដែលធ្វើដោយត្រាំគ្រឿងផ្សំផ្សេងៗ (ដូចយ៉ាងទឹកត្នោតជូរជាដើម, ទីទៃពីសុរា)<em> :ផឹកមេរ័យ, វៀរចាកសុរានិងមេរ័យ។(</em><strong>ម.ព.</strong> សុរា{¥¥}២{££}និងវារុណី ផង)។</li></ul>
មេលឹម	[មេ-លឹម]	<ul><li><strong>ន.</strong> ទង់តូចសណ្ឋានកន្ទុយអន្ទង់ សម្រាប់ដាក់នៅចុងដងក្ដោងឬនៅចុងដងទង់ធំ។</li></ul>
មេលេខ	[មេ-ឡេក]	<ul><li><strong>ន.</strong> ពាក្យដែលចងជាមេទន្ទេញចំនួនសំខ្យាមានវិធីផ្សំជាដើម សម្រាប់ប្រើក្នុងវិជ្ជានព្វន្ត។</li></ul>
មេលោង	[មេ-លោង]	<ul><li>a,ឈ្មោះសីមួយបែបធ្វើដោយបន្ទោះផ្ដៅមានសណ្ឋានមូល សម្រាប់ទាត់សណ្ដូកជើងត្រង់ទៅមុខឱ្យឡើងខ្ពស់ត្រដែតសំដៅទៅរកអ្នកទាត់ផងគ្នា<em> :ការលេងសីមេលោង ជាវិធីហាត់ប្រាណមួយយ៉ាងរបស់ខ្មែរ។</em></li><li>b,ឈ្មោះដំណើរទាត់សីនុះឯង<em> :មេលោងឡើងខ្ពស់ត្រដែត។</em></li><li><strong>c,កិ.</strong> ទាត់សណ្ដូកជើងត្រង់ទៅមុខពេញទំហឹង<em> :មេលោងមួយជើង។</em></li></ul>
មេលំ	[មេ-លំ]	<ol><li><strong>ន.</strong> ស្នូកមានសណ្ឋានជាកែងសម្រាប់គ្របត្រង់ប្រសព្វមុខស្លឹក, ស្បូវឬក្បឿង ជាជំនួសព្រំ។</li><li>(<strong>ព.ប្រ.</strong>) មនុស្ស សត្វ ឬឈើ ដែលជាចាស់ឬជាប្រធានលើគេក្នុងពួកមួយៗ<em> :មេលំស្រុក, មេលំក្រោល, មេលំព្រៃ។</em></li></ol>
មេល័ក្ដ	[មេ-លាក់]	<ul><li><strong>ន.</strong> សត្វល្អិតរស់នៅលើរុក្ខជាតិ ដែលសម្បុករបស់វាមានសារធាតុជ័រខាប់ ពណ៌ក្រហម សម្រាប់ប្រើផ្សំជាពណ៌ជ្រលក់សូត្រឬអំបោះក្នុងកិច្ចការតម្បាញរបស់ខ្មែរ<em> :ជំនាន់មុន ប្រជាជនខ្មែរនិយមចិញ្ចឹមមេល័ខ ដើម្បីយកពណ៌ជ្រលក់សូត្រឬអំបោះ។</em></li></ul>
មេល័ខ	[មេ-លាក់]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេល័ក្ដ)។</li></ul>
មេវត្ត	[មេ-វ័ត]	<ul><li><strong>ន.</strong> ចៅអធិការវត្ត<em> :លោកមេវត្ត!</em></li></ul>
មេស	[មេ-ស]	<ul><li><strong>ន.</strong> បិសាចស្រី, យាយទែព, អ្នកតាស្រី<em> :មេ-សជ្រៃ, មេ-សប្រចណ្ឌ។ល។</em></li><li>(<strong>បា.</strong> មេស; <strong>សំ.</strong> មេឞ)<strong>ន.</strong> ពពែឬចៀម; ឈ្មោះខែទី១នៃសុរិយគតិ, មាន៣០ថ្ងៃ, ត្រូវគ្នានឹងខែអាវ្រីល (ខែទី ៤) បារាំងសែស<em> :ខែមេស (ហៅថា មេសរាសី ក៏បាន)។សព្វថ្ងៃប្រើជា មេសា ជាខែទី ៤ ដែរ។</em></li></ul>
មេសបាល	[មេ-សៈ-បាល]	<ul><li>(<strong>បា.សំ.</strong> មេឞ—)<strong>ន.</strong> អ្នកឃ្វាលពពែឬគង្វាលចៀម; បើស្ត្រីជា មេសបាលី។</li></ul>
មេសបាលី	[មេ-សៈ-បា-ឡី]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេសបាល)។</li></ul>
មេសរាសី	[មេ-សៈ-រា-សី]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> មេស)។</li></ul>
មេសា	[មេ-សា]	<ul><li><strong>ន.</strong> ឈ្មោះខែទី ៤តាមសុរិយគតិ មាន ៣០ថ្ងៃ និងរាសីរូបពពែ។</li></ul>
មេសូត្រ	[មេ-សូត]	<ol><li>ពាក្យដែលចងជាមេទន្ទេញប្រាប់វិធីវេយ្យាករណ៍បាលីសម្រាប់ប្រើក្នុងការរៀនបាលីភាសា (ខាងវេយ្យាករណ៍សំស្ក្រឹតបែបបុរាណ ក៏មានមេសូត្រដែរ)។</li><li>កំណាព្យដែលគ្រូបង្រៀនតម្រូវឱ្យសិស្សទន្ទេញចាំមាត់<em> :ច្បាប់កេរកាលជាមេសូត្រសម្រាប់សិស្ស។</em></li></ol>
មេសៈ	[មេ-សៈ]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong>មេស)។</li></ul>
មេស្រុក	[មេ-ស្រុក]	<ul><li><strong>ន.</strong> មន្ត្រីជាអធិបតីក្នុងឃុំ គឺពញារក្សាភិបាល (ក្នុងសម័យឥឡូវហៅថា នាយសង្កាត់ ...)។</li></ul>
មេស្រែ	[មេ-ស្រែ]	<ul><li><strong>ន.</strong> អ្នកដែលកាន់កាប់រក្សាស្រែព្រះកេរ្តិ៍ឬអ្នកដែលមានស្រែច្រើនជួលឱ្យគេធ្វើ។</li></ul>
មេហ្វូង	[មេ-វ៉ូង]	<ul><li><strong>ន.</strong> អ្នកនាំមុខគេ<em> :ក្របីមេហ្វូង។</em></li></ul>
មេអណ្ដើក	[មេ-អន់-ដើក]	<ul><li><strong>ន.</strong> អ្នកនាំការឱ្យបុរសស្ត្រី គឺអ្នកដែលនាំការចុះឡើងពីប្រុសទៅស្រី ពីស្រីមកប្រុស ដើម្បីឱ្យបានគ្នាជាសហាយស្មន់។</li></ul>
មេអំបៅ	[មេ-អំ-បៅ]	<ul><li><strong>ន.</strong> សុខុមសត្វមួយប្រភេទ មានច្រើនបែប, មានស្លាបបួនផ្នែកសណ្ឋានស្រទាង មានសាច់ទន់ផុយ ឬជាផង់ធូលី សម្បុរតែមួយព័ណ៌ ឬរំលេចព័ណ៌ផ្សេងៗ, ជាសត្វមានកំណើតក្លាយមកពីដង្កូវ<em> :មេអំបៅជាសត្វទិវាចរក៏មាន, រត្តិចរក៏មាន។</em></li></ul>
មេអ្នកបាអ្នក	[មេ-នាក់-បា-នាក់]	<ul><li><strong>ន.</strong> (<strong>ព.សា.</strong>) មនុស្សដែលមានអានុភាពស្មើនឹងគេរាល់គ្នា ឥតមានអ្នកណាសន្មតទុកដាក់ឱ្យជាប្រធានលើគេទេ ក៏ស្រាប់តែចេញទែង សម្ដែងអាការៈជាអ្នកត្រួតត្រាហែហៃលើគេក្នុងកិច្ចការអ្វីមួយ គឺតាំងខ្លួនឯងជាមេជាបាលើអ្នកទាំងអស់។</li></ul>
មែ	[មែ]	<ul><li><strong>គុ.កិ.</strong>, <strong>ឧ.</strong> ច៎ះ, ចា៎ះ ឬ ចាស; ពាក្យសម្រាប់ស្ត្រីឆ្លើយចំពោះក្សត្រី (ស្ដេចស្រី) គឺឆ្លើយថា ព្រះមែម្ចាស់!, ព្រះមែ!, មែម្ចាស់!, មែ! (តាមស័ក្ដិធំតូច) ; បើស្ត្រីឆ្លើយក្សត្រ (ស្ដេចប្រុស) ថា ព្រះពរម្ចាស់!, ពរម្ចាស់, ពរ!</li></ul>
មែក	[មែក]	<ol><li><strong>ន.</strong> អវយវៈឬប៉ែកនៃរុក្ខជាតិដែលដុះបែកចេញពីដើម<em> :មែកឈើ, ឈើបែកមែក, សួតាមមែក។</em></li><li>(<strong>ព.ប្រ.</strong>) ជួរឬក្រសែវង្សត្រកូលដែលកើតបែកចេញពីត្រកូលមួយតៗទៅ<em> :មែកខាងមាតា, មែកខាងបិតា។(</em><strong>ម.ព.</strong> សាខា ផង)។</li></ol>
មែកធាង	[មែក-ធាង]	<ul><li><strong>ន.</strong> រចនាសម្ព័ន្ធឬការបែងចែកទៅតាមវិស័យ ចំណាត់ប្រភេទ ពួក ក្រុម ជាដើម<em> :វប្បធម៌និងសង្គមធម៌ជាមែកធាងនៃអរិយធម៌។</em></li></ul>
មែន	[មែន]	<ul><li><strong>គុ.កិ.</strong> ពិត, ប្រាកដ។</li></ul>
មែន?	[មែន]	<ul><li><strong>គុ.កិ.</strong> ដូចពាក្យ មិនមែនឬ? ដូចពាក្យ មិនពិតឬ? ពិតមែនឬ?។</li></ul>
មែនដែរ	[មែន-ដែ]	<ul><li>ពិតដែរ។</li></ul>
មែនណាស់	[មែន-ណាស់]	<ul><li>ពិតណាស់។</li></ul>
មែនទើបគេថា	[មែន-ទើប-គេ-ថា]	<ul><li>(<strong>ព.ទ.បុ.</strong>) បានជាគេថាព្រោះដំណើរនុះពិត។</li></ul>
មែនទែន	[មែន-ទែន]	<ul><li>ពិតមែន, ប្រាកដប្រជា។</li></ul>
មែនពិត	[មែន-ពិត]	<ul><li>ដោយពិត, ដោយនូវពិត, តាមពិត្ត។</li></ul>
មែនមាន	[មែន-មាន]	<ul><li><strong>កិ.</strong> មានមែន, មានពិតមែន<em> :(</em><strong>ព.កា.</strong>) កាលណោះមែនមានព្រានព្រៃ ឃោរឃៅពេកក្រៃ អាស្រ័យនៅជិតជើងភ្នំ (តែងកាព្យនេះបង្គ្រប់ជាឧទាហរណ៍)។</li></ul>
មែនមាំ	[មែន-មាំ]	<ul><li><strong>គុ.កិ.</strong> ជាប់មិនដាច់, ប្រដិតប្រជី, ប៉ុកប៉ឺន<em> :ធ្វើការមែនមាំ, រកស៊ីមែនមាំ, រៀនមែនមាំ។ ច្រើនប្រើក្នុងកំណាព្យ។</em></li></ul>
មែនហើយ	[មែន-ហើយ]	<ul><li>ពិតហើយ, ប្រាកដហើយ។</li></ul>
មែរ	[មែ]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> ម៉ាក់)។</li></ul>
មៃៗ	[មៃ-មៃ]	<ul><li><strong>គុ.កិ.</strong> មមៃ, ដែលភ្នករឿយៗ<em> :នឹកមៃៗ។</em></li></ul>
មោក	[មោក]	<ul><li><strong>ន.</strong> ឈ្មោះឈើព្រៃមួយប្រភេទ មានបន្លាតាមដើមនិងមែក ស្លឹកល្អិតៗ<em> :ដើមមោក។</em></li></ul>
មោក្ខ	[មោក-ខៈ]	<ul><li>(<strong>បា.</strong> មោក្ខ; <strong>សំ.</strong> មោក្ស)<strong>ន.</strong> ការរួច, រដោះ, ផុតចាកទុក្ខភ័យ; ព្រះនិព្វាន។</li></ul>
មោក្ខធម៌	[មោក-ខៈ-ធ័រ]	<ul><li><strong>ន.</strong> ធម៌ដែលនាំសត្វឱ្យរួចចាកទុក្ខ (មគ្គផល និព្វាន)។</li></ul>
មោក្ខុបាយ	[មោក-ខុ-បាយ]	<ul><li>(<strong>បា.</strong> < មោក្ខ + ឧបាយ; <strong>សំ.</strong> មោក្ស—)<strong>ន.</strong> ឧបាយដែលនឹងឱ្យរួច, ឱ្យរដោះ, ឱ្យផុតចាកទុក។
