#desc	ANT dictionary from <a href="https://antkh.com">antkh.com</a>
#priority	3
ព្រៃស្រល់	នាម 1.(បច្ចេកទេស) Pinewood <br/>
ព្រៃស្រោង	1.(បច្ចេកទេស) Jungle, phytome  2.Jungle with very tall trees.  3.Jungle of high trees on a mountain or other high land. <br/>
ព្រៃហេមពាន្ដ	នាម 1.The Himalayas. <br/>
ព្រៃហ័តព្រៃហោង	1.Jungle, dangerous jungle. <br/>
ព្រៃហ័តហោង	1.Deep dark forest. <br/>
ព្រៃៗ	កិរិយាសព្ទ 1.To be impolite, awkward, rude, barbarous (in speech). <br/>
ព្រោក	កិរិយាសព្ទ 1.To be porous, soft and fragile, rotten. ▪ មើលពាក្យ ៖ ព្រុកៗ, ព្រួកៗ<br/>
ព្រោកប្រាជ្ញ	កិរិយាសព្ទ 1.To talk at length, to be very talkative. ▪ ស្មើនឹង​ពាក្យ ៖ ប្រាជ្ញព្រោក<br/>
ព្រោង	1.Glowing, radiating light in all directions, sparkling. <br/>
ព្រោងព្រាត	1.Scattered and bright. ▪ មើលពាក្យ ៖ ព្រាត<br/>
ព្រោងព្រាយ	កិរិយាសព្ទ 1.To be bright, brilliant, splendid; (of a person) prosperous, glorious. <br/>
ព្រោន	នាម 1.Large shrimp. <br/>
ព្រោះ	នាម 1.The sun. <br/>
ព្រោះតែ	1.Because (of). ▪ ស្មើនឹង​ពាក្យ ៖ ហេតុតែ<br/>
ព្រោះស្រូវ	កិរិយាសព្ទ 1.To sow rice seeds.  2.To broadcast rice (seeds) (which are notto be transplanted). <br/>
ព្រោះហេតុនេះ	1.For this reason ▪ ស្មើនឹង​ពាក្យ ៖ ដោយហេតុនេះ<br/>
ព្រៅ	នាម 1.Old maid, spinster.  2.Name of a primitive tribe. <br/>
ព្រំ	នាម 1.Kind of rug or carpet.  2.Boundary, limit, confine; landmark; milestone.  3.Top portion of a roof which is covered by the ridge-plate; <br/>កិរិយាសព្ទ 1.To cover the top-most part of the roof. <br/>
ព្រំខ្យល់	នាម 1.(បច្ចេកទេស) Air boundary <br/>
ព្រំជើងគ្រែ	1.Bedside carpet or rug. <br/>
ព្រំដែន	▪ មើលពាក្យ ៖ ទល់ដែន<br/> 1.Border, limit, frontier. ▪ ស្មើនឹង​ពាក្យ ៖ ព្រំប្រទល់<br/>
ព្រំដែនខ្មែរ-លាវ	1.Khmer-Lao border. <br/>
ព្រំដែននៃអធិប្បតេយ្យ	1.Border, limit of jurisdiction. <br/>
ព្រំដែនបច្ចុប្បន្ន	1.Present boundary. <br/>
ព្រំប្រទល់	1.Border, frontier. ▪ ស្មើនឹង​ពាក្យ ៖ ព្រំដែន<br/> 2.Frontier, boundary, border; border or boundary line. <br/>
ព្រំប្រទល់រួម	នាម 1.(បច្ចេកទេស) Abuttals <br/>
ព្រះ	1.Excellent, distinguished, superior; sacred, divine, holy (often serving as an honorific / elevated form, particularly before words pertaining to members of the royal family.priests, the Buddha, Cod, and certain deified elements: land, fire, etc). <br/>នាម 1.God. <br/>
ព្រះកន្លោង	នាម 1.The mother of Buddha. <br/>
ព្រះកន្លោងព្រះ	នាម 1.The mother of God (Christian). <br/>
ព្រះករុណា	1.His / Her highness, His / Her majesty <br/>នាម 1.The king. <br/>
ព្រះកាយាព្រះអង្គ	នាម 1.The Eucharist. <br/>
ព្រះកេតុមាលា	1.It began in the year 621 of the Buddhist calendar (or 78 A.D). <br/>
ព្រះកំចាត់	នាម 1.Kind of medicinal plant. <br/>
ព្រះកំចាយ	នាម 1.Kind of medicinal plant. <br/>
ព្រះក្រាប	នាម 1.(បច្ចេកទេស) Mimosa pudica  2.Kind of grass which grows close to the ground. <br/>
ព្រះខាន់	នាម 1.Cloth.  2.A kind of rug.  3.Bracelet, collar, ring.  4.The sacred sword - a symbol of authority of the reigning Khmer king. According to one legend anyone who can draw the sword must be king, but if the sword is drawn someone must be killed with it. ▪ អាចសរសេរជា ៖ ខ័ន ក៏បាន<br/>
ព្រះខែ	▪ ស្មើនឹង​ពាក្យ ៖ ចន្ទ្រ<br/>
ព្រះខ័ន	1.Royal sword <br/>
ព្រះខ័នរាជ្យ	នាម 1.The sacred sword. ▪ មើលពាក្យ ៖ ខ័នរាជ្យ<br/>
ព្រះខ្លប	1.(បច្ចេកទេស) Mimosa invisa, mimosa plant <br/>នាម 1.Name of a thorny herb.  2.The Mimosa cast a tree. <br/>
ព្រះឃ្លាំង	1.Royal treasury. <br/>
ព្រះចក្រី	នាម 1.The king, Vishnu. <br/>
ព្រះចន្ទ	1.Day. <br/>នាម 1.(បច្ចេកទេស) Moon <br/>
ព្រះចន្ទកាលបក្ខ	1.Waning moon. ▪ ស្មើនឹង​ពាក្យ ៖ ព្រះចន្ទរនោច<br/>
ព្រះចន្ទខាងខ្នើត	▪ ស្មើនឹង​ពាក្យ ៖ ព្រះចន្ទសុបក្ខ<br/>
ព្រះចន្ទពេញបូរមី	1.Full moon. <br/>នាម 1.(បច្ចេកទេស) Full moon <br/>
ព្រះចន្ទពេញវង្ស	1.Full moon. <br/>
ព្រះចន្ទរនោច	▪ ស្មើនឹង​ពាក្យ ៖ ព្រះចន្ទកាលបក្ខ<br/>
ព្រះចន្ទរះ	នាម 1.(បច្ចេកទេស) Moonrise <br/>
ព្រះចន្ទសុបក្ខ	1.Waxing moon. ▪ ស្មើនឹង​ពាក្យ ៖ ព្រះចន្ទខាងខ្នើត<br/>
ព្រះចន្ទ្រ	នាម 1.The moon  2.The moon. <br/>
ព្រះចន្ទ្ររះ	▪ ស្មើនឹង​ពាក្យ ៖ ខែរះពន្លឺ<br/>
ព្រះចេស្ដា	1.Divine power, royal power. <br/>
ព្រះច័ន្ទពេញបូណ៌មី	1.Full moon. ▪ ស្មើនឹង​ពាក្យ ៖ ខែពេញបូណ៌មី<br/>
ព្រះជននី	1.(រាជវង្ស) Queen mother. <br/>
ព្រះជិនស្រី	នាម 1.The Buddha. <br/>
ព្រះជិវ្ហា	នាម 1.The tongue. <br/>
ព្រះដំណាក់	1.Royal palace. <br/>
ព្រះតថាគត	1.Title given to Buddhist arahanta. <br/>
ព្រះតេជព្រះគុណ	1.You, your excellency (in addressing the king or a Buddhist monk). <br/>
ព្រះត្រពាំង	1.Name of a former Khmer province now in South Vietnam and known as Travinh. ▪ ស្មើនឹង​ពាក្យ ៖ ខែត្រព្រះត្រពាំង<br/>
ព្រះថ្កាល	▪ អាចសរសេរជា ៖ ព្រះផ្កោល ក៏បាន<br/>
ព្រះទន្ដ	1.Royal tooth. <br/>
ព្រះទាឋា	1.Sacred canine tooth of the Buddha; canine tooth of the king. <br/>
ព្រះទីនាំងនាវា	1.Royal boat (ship). <br/>
ព្រះទីន័ងគជេន្ទ្រ	1.Royal elephant. <br/>
ព្រះទីន័ងទេវាវិនិឆ្ឆ័យ	1.Palace where the throne is located. ▪ ស្មើនឹង​ពាក្យ ៖ ប្រាសាទទេវាវិនិឆ្ឆ័យ<br/>
ព្រះទីន័ងហត្ថី	1.Male elephant that the king rides on. <br/>
ព្រះទីន័ងអស្សតរ	1.Royal horse. <br/>
ព្រះទែន	1.(រាជវង្ស) Bedroom <br/>
ព្រះទ្រង់ញាណ	1.(LITERARY) The enlightened one <br/>នាម 1.The Buddha, Buddha knows. <br/>
ព្រះទ្រហឹង	នាម 1.Kind of plant. <br/>
ព្រះធម៌	នាម 1.The dharma, the law. <br/>
ព្រះធម្មលិខិត	1.Title given to a senior Buddhist monk. <br/>
ព្រះធរណី	នាម 1.The earth. <br/>
ព្រះធរណីស្រូប	កិរិយាសព្ទ 1.To be swallowed by the earth (believed to be a punishment for sinful people). <br/>
ព្រះធីតុបតិ	▪ ស្មើនឹង​ពាក្យ ៖ រាជធីតុបតិ<br/>
ព្រះនាងកាមទេព	1.Goddess of love.  2.Goddess of love, Venus. <br/>នាម 1.Venus. <br/>
ព្រះនាងពិម្ពា	▪ ស្មើនឹង​ពាក្យ ៖ យសោធរា<br/>
ព្រះនាម	1.Royal name, sacred name. <br/>
ព្រះនារាយណ៍	▪ ស្មើនឹង​ពាក្យ ៖ វាសុទេព<br/>
ព្រះបដិមា	1.Statue of the Buddha. <br/>
ព្រះបត់	នាម 1.Folded painting of the Buddha, painting of the Buddha on a screen. <br/>
ព្រះបទមសព	1.Corpse of the king. <br/>
ព្រះបរមគ្រូ	នាម 1.The Greatest Teacher (Buddha). <br/>
ព្រះបរមរាជវាំង	នាម 1.The king's palace, the royal palace. <br/>
ព្រះបរមរាជវាំងចតុម្មុខ	នាម 1.The Royal Palace, (at Phnom Penh). <br/>
ព្រះបាទ	1.Yes (speaking to a member of the royal family). ▪ ស្មើនឹង​ពាក្យ ៖ ព្រះបាទម្ចាស់<br/>
ព្រះបាទម្ចាស់	▪ ស្មើនឹង​ពាក្យ ៖ ព្រះបាទ<br/>
ព្រះបារមី	1.Title of the king. <br/>
ព្រះបាឡាត់សង្ឃវង្ស	1.Certain rank of monk. ▪ ស្មើនឹង​ពាក្យ ៖ បាឡាត់ខាងស្ដាំ<br/>
ព្រះបាឡាត់សង្ឃវិជ្ជា	1.Certain rank of monk. ▪ ស្មើនឹង​ពាក្យ ៖ បាឡាត់ខាងឆ្វេង<br/>
ព្រះផ្កោល	1.Name of a plant. ▪ អាចសរសេរជា ៖ ព្រះថ្កាល ក៏បាន<br/>
ព្រះផ្ដៅ	នាម 1.A very tough species of rattan.  2.Species of very strong rattan, used to make cord. <br/>
ព្រះពន្លា	ឃ្លាដែលទាក់ទង<br/>ព្រះពន្លាកិល- large tent used by the king<br/>ព្រះពន្លាជ័យ- king's battlefield tent.<br/>
ព្រះពន្លាកិល	1.Large tent used by the king <br/>
ព្រះពន្លាជ័យ	1.King's battlefield tent. <br/>
ព្រះពរសំពះអាពាហ៍ពិពាហ៍	1.Wedding blessing. <br/>
ព្រះពាយ	នាម 1.The wind. <br/>
ព្រះពិធុរ	▪ ស្មើនឹង​ពាក្យ ៖ ពិធុរ<br/>
ព្រះពិរុណ	1.Rain; god of rain. ▪ មើលពាក្យ ៖ វរុណ<br/>
ព្រះពុទ្ធ	នាម 1.The Buddha. ▪ មើលពាក្យ ៖ ពុទ្ធ<br/> 2.The Gautama Buddha, born ca. 563 B.C. and attained parinirvana 483 B.C. Known as 'The Sage of the Sakya Tribe' (Sakyamuni), be experienced 'enlightenment' ca. 528 B.C. <br/>
ព្រះពុទ្ធជាម្ចាស់	1.Lord. Buddha. <br/>
ព្រះពុទ្ធមានព្រះដីកាថា	នាម 1.The Buddha said (that). <br/>
ព្រះពុទ្ធរូបសយ្យាសន៍	1.Statue of the sleeping Buddha. <br/>
ព្រះពុទ្ធរូប៥អង្គ	1.Five statues of the Buddha. <br/>
ព្រះពុទ្ធសករាជ	1.Buddhist Era, beginning about 543 B.C. <br/>
ព្រះភក្ដ្រ	1.(រាជវង្ស) Face <br/>
ព្រះភគវត័	នាម 1.The Buddha. <br/>
ព្រះភព	1.Siva <br/>
ព្រះភូធរ	1.King. <br/>
ព្រះភូមិន្ទ	នាម 1.The king. <br/>
ព្រះមន្ទីរហ្លួង	1.Royal palace. <br/>
ព្រះមហាក្សត្រ	នាម 1.The Buddha. ▪ មើលពាក្យ ៖ ពុទ្ធ<br/>
ព្រះមហាក្សត្រីយានី	1.Queen. <br/>
ព្រះមហាទេវី	▪ ស្មើនឹង​ពាក្យ ៖ មាយា<br/>
ព្រះមហេសី	នាម 1.The queen (wife of a reigning king). ▪ ស្មើនឹង​ពាក្យ ៖ សម្ដេចព្រះអគ្គមហេសី<br/>
ព្រះមានបុណ្យ	1.Title of the Buddha. <br/>
ព្រះមានព្រះភាគ	នាម 1.The Buddha. <br/>
ព្រះមេ	▪ ស្មើនឹង​ពាក្យ ៖ មេ<br/>
ព្រះមោលី	នាម 1.The Buddha's chignon. <br/>
ព្រះរាជ	នាម 1.The king. <br/>
ព្រះរាជកំណត់	1.Law, royal decree. <br/>
ព្រះរាជក្រម	1.Royal proclamation. <br/>នាម 1.(បច្ចេកទេស) Royal code <br/>
ព្រះរាជក្រិត្យ	1.Royal decree, royal order. <br/>
ព្រះរាជឃ្លាំង	នាម 1.(បច្ចេកទេស) Royal warehouse <br/>
ព្រះរាជទាន	1.Royal grant or gift. <br/>
ព្រះរាជទូត	1.Royal ambassador. <br/>
ព្រះរាជទ្រព្យ	នាម 1.(បច្ចេកទេស) Royal properties <br/>
ព្រះរាជធានី	1.Royal capital. <br/>
ព្រះរាជធីតា	1.Princess, daughter of the king. <br/>
ព្រះរាជនិវេសន៍	1.Royal palace. <br/>
ព្រះរាជបញ្ជា	នាម 1.(បច្ចេកទេស) Royal command, royal order <br/>
ព្រះរាជបញ្ញាតិ	នាម 1.(បច្ចេកទេស) Royal order <br/>
ព្រះរាជបុត្រ	1.Prince. <br/>
ព្រះរាជបុត្រី	1.Princess.  2.(រាជវង្ស) Prince, princess <br/>
ព្រះរាជបុព្វសិទ្ធិ	នាម 1.(បច្ចេកទេស) Royal prerogative <br/>
ព្រះរាជប្រកាស	1.Royal proclamation, royal decree. <br/>
ព្រះរាជពិធី	នាម 1.(បច្ចេកទេស) Royal ceremony <br/>
ព្រះរាជពិធីចំរើនព្រះជន្ម	នាម 1.(បច្ចេកទេស) Royal Birthday Ceremony <br/>
ព្រះរាជពិធីច្រត់ព្រះនង្គ័ល	នាម 1.(បច្ចេកទេស) Royal Ploughing Ceremony <br/>
ព្រះរាជពិធីបរមាឃ	▪ ស្មើនឹង​ពាក្យ ៖ បរមាឃ<br/>
ព្រះរាជភណ្ឌ	1.(បច្ចេកទេស) Royal possession <br/>
ព្រះរាជមុទ្រា	▪ ស្មើនឹង​ពាក្យ ៖ ព្រះលញ្ចករ<br/>
ព្រះរាជរោង	1.Royal hall. <br/>
ព្រះរាជវង្សានុវង្ស	នាម 1.(បច្ចេកទេស) Royal family <br/>
ព្រះរាជវាំង	1.Royal palace. <br/>
ព្រះរាជសារ	1.(រាជវង្ស) King's letter, royal message <br/>
ព្រះរាជអនុញាត	1.(បច្ចេកទេស) Royal approval <br/>
ព្រះរាជអាជ្ញា	នាម 1.(បច្ចេកទេស) Prosecutor <br/>
ព្រះរាជអាជ្ញាតុលាការក្រុង	នាម 1.(បច្ចេកទេស) Municipal court prosecutor <br/>
ព្រះរាជអាជ្ញារង	នាម 1.(បច្ចេកទេស) Deputy prosecutor <br/>
ព្រះរាជអាណាចក្រ	1.Kingdom. ▪ ស្មើនឹង​ពាក្យ ៖ ព្រះរាជាណាចក្រ<br/>
ព្រះរាជអំណាច	នាម 1.(បច្ចេកទេស) Royal gift <br/>
ព្រះរាជឱង្ការ	នាម 1.Royal edict / wish / desire / command.. <br/>
ព្រះរាជឱង្ការនូវព្រះបន្ទូលសូរសីហនាទ	1.Message issued by the king to the people. <br/>
ព្រះរាជឱង្ការលេខា	1.Letter written by a king himself. <br/>
ព្រះរាជា	1.Royal. <br/>
ព្រះរាជាណាចក្រ	1.Kingdom. ▪ ស្មើនឹង​ពាក្យ ៖ ព្រះរាជអាណាចក្រ<br/>
ព្រះរាជាណាចក្រកម្ពុជា	1.Kingdom of Cambodia. <br/>
ព្រះរាជាណាចក្រអង់គ្លេស	នាម 1.The United Kingdom. <br/>
ព្រះរាជានឹងមន្ដ្រីធំតូចនូវអស់ប្រជាជនទាំងឡាយ	1.The king, dignitaries of all ranks, and the people  2.The king, dignitaries of all ranks, and the people... <br/>
ព្រះរាជានុសិទ្ធិ	នាម 1.(បច្ចេកទេស) Regent <br/>
ព្រះរាហុសោយ	1.Bad luck. <br/>
ព្រះរៀម	1.Elder prince (or princess). <br/>
ព្រះរំងាច	នាម 1.The king. <br/>
ព្រះលញ្ចករ	នាម 1.The king's seal. ▪ ស្មើនឹង​ពាក្យ ៖ ព្រះរាជមុទ្រា<br/>
ព្រះលាន	1.Large yard in front of a royal palace, courtyard of a palace. ▪ ស្មើនឹង​ពាក្យ ៖ មុខព្រះលាន<br/>
ព្រះលោកវិទូ	1.He who knows the world, name of the Buddha. <br/>
ព្រះលោហិត	1.Royal blood. <br/>
ព្រះវ	1.Simple palanquin <br/>
ព្រះវរញ្ញ	▪ ស្មើនឹង​ពាក្យ ៖ វរញ្ញ<br/>
ព្រះវរបិតា	▪ ស្មើនឹង​ពាក្យ ៖ វរបិតា<br/>
ព្រះវរមាតា	▪ ស្មើនឹង​ពាក្យ ៖ វរមាតា<br/>
ព្រះវាលវិជនី	▪ ស្មើនឹង​ពាក្យ ៖ ស៊ែ<br/>
ព្រះវិហារសាសនា	នាម 1.(បច្ចេកទេស) Chaplain <br/>
ព្រះវីជនី	1.King's fan. <br/>
ព្រះសង្ឃ	នាម 1.Kind of vegetable resembling spinach. <br/>
ព្រះសង្ឃចៅកូវ	1.Chief of a Buddhist monastery. <br/>
ព្រះសង្វោយ	▪ ស្មើនឹង​ពាក្យ ៖ សង្វោយ<br/>
ព្រះសង្ហារ	នាម 1.Priest, bonze. <br/>
ព្រះសព្វញ្ញ	▪ ស្មើនឹង​ពាក្យ ៖ សព៌ជ<br/>
ព្រះសម្ពុទ្ធ	▪ ស្មើនឹង​ពាក្យ ៖ សម្ពុទ្ធ<br/>
ព្រះសម្មាសម្ពុទ្ធ	▪ ស្មើនឹង​ពាក្យ ៖ សម្មាសម្ពុទ្ធ<br/>
ព្រះសយម្ភូ	នាម 1.A name of the Buddha. <br/>
ព្រះសាគរ	នាម 1.Royal seal, royal insignia. <br/>
ព្រះសិរ	1.(រាជវង្ស) Head <br/>
ព្រះសិវ	▪ ស្មើនឹង​ពាក្យ ៖ សូលី<br/>
ព្រះសិវិកា	▪ ស្មើនឹង​ពាក្យ ៖ សិវិកា<br/>
ព្រះសុគន្ធ	1.High-ranking monk in the Buddhist religion. <br/>
ព្រះសុព័ណ៍បាទុក	1.(រាជវង្ស) Gold shoes <br/>
ព្រះសុមេរ៉ី	▪ ស្មើនឹង​ពាក្យ ៖ សិនេរុ<br/>
ព្រះសូរសៀង	1.(រាជវង្ស) Sound; voice <br/>
ព្រះសេទោ	1.(រាជវង្ស) Sweat <br/>
ព្រះសែងង៉ាវ	1.Royal saber. <br/>
ព្រះស្ដេច	នាម 1.God of the sea. <br/>
ព្រះស្ដែង	នាម 1.A title given to an official of the royal household who is in charge of certain religious matters. His full title is: ឱកញ៉ាព្រះស្ដេចសុរិន្ទ្រាធិបតី. <br/>
ព្រះស្រង់	▪ ស្មើនឹង​ពាក្យ ៖ ស្រង់<br/>
ព្រះស្រីខណ្ឌ	1.(រាជវង្ស) Dry areca slice. ▪ ស្មើនឹង​ពាក្យ ៖ ស្លាក្រក<br/>
ព្រះស្រីចុណ្ណ	1.(រាជវង្ស) Mashed areca. ▪ ស្មើនឹង​ពាក្យ ៖ ស្លាបុក<br/>
ព្រះស្រីជីប	1.(រាជវង្ស) Lime-pasted betel. ▪ ស្មើនឹង​ពាក្យ ៖ ម្លូបៀក<br/>
ព្រះស្រីតម្ពុល	1.(រាជវង្ស) Ripe areca fruit that is kept until the skin or envelope becomes spoiled or decomposed. ▪ ស្មើនឹង​ពាក្យ ៖ ស្លាតម្ពុល<br/>
ព្រះស្រីសន្លឹក	1.(រាជវង្ស) Betel leaf. ▪ ស្មើនឹង​ពាក្យ ៖ ម្លូ<br/>
ព្រះស្រីសុក្កា	1.(រាជវង្ស) Dry ripe areca fruit. ▪ ស្មើនឹង​ពាក្យ ៖ ស្លាស្លឹង<br/>
ព្រះស្រីសួង	1.(រាជវង្ស) Chewing tobacco ▪ ស្មើនឹង​ពាក្យ ៖ ថ្នាំចុក<br/>នាម 1.(រាជវង្ស) Cigar or cigarette. <br/>
ព្រះស្រីហរិត	1.Green areca fruit. ▪ ស្មើនឹង​ពាក្យ ៖ ស្លាខ្ចី<br/>
ព្រះស្រោត្រ	1.(រាជវង្ស) Ear. <br/>
ព្រះអង្កោល	1.You (familiar term of address used between high-ranking officials, or by high-ranking officials to subordinates). ▪ អាចសរសេរជា ៖ ប្រស្ដែង ក៏បាន<br/>
ព្រះអង្គកែវ	1.Former title of an important dignitary in the Khmer kingdom. <br/>
ព្រះអង្គម្ចាស់	1.You (term of address used for members of the royal family no matter what their age) ; child of a king, member of the royal family. <br/>
ព្រះអដ្ឋិ	1.Ashes (=bones) of a king. <br/>
ព្រះអទិទេព	1.(បច្ចេកទេស) Creator of the world, God <br/>
ព្រះអន្លក់	នាម 1.Kind of spice. <br/>
ព្រះអរហំ	នាម 1.Title given to the Buddha. <br/>
ព្រះអរុណ	នាម 1.The early morning sun, dawn. <br/>
ព្រះអាទិត្យ	នាម 1.The sun  2.The sun.  3.Kind of vegetable. <br/>
ព្រះអាទិត្យអស្ដង្គត	1.Sunset. <br/>
ព្រះឥន្ទ្រ	▪ ស្មើនឹង​ពាក្យ ៖ វាសវៈ<br/>
ព្រះឥសូរ	▪ ស្មើនឹង​ពាក្យ ៖ សិវៈ<br/>
ព្លិការ	កិរិយាសព្ទ 1.To sow (seeds), to scatter (seed, small objects, etc). <br/>និបាត​សព្ទ 1.Because (of).<br/>ឧទាហរណ៍៖ ខ្ញុំធ្វើការពុំកើតព្រោះឈឺ។<br/>Example: I cannot work because of illness. <br/>
ព្លីការ	▪ អាចសរសេរជា ៖ ព្លែមៗ ក៏បាន<br/>
ព្លែមៗ	▪ អាចសរសេរជា ៖ ព្លីការ ក៏បាន<br/>▪ មើលពាក្យ ៖ ពលិការ<br/>
ភក់គ្មាន	នាម 1.(បច្ចេកទេស) Dewatered sludge <br/>
ភក់ជីវ	នាម 1.(បច្ចេកទេស) Bilogical sludge <br/>
ភក់ដីឥដ្ឋ	1.(បច្ចេកទេស) Fano, fargo, mud <br/>
ភក់ទឹកលូសំអុយ	នាម 1.(បច្ចេកទេស) Sewage sludge <br/>
ភក់មាត់បឹង	នាម 1.(បច្ចេកទេស) Mudflats <br/>
ភក់ល្បាប់	1.Sediment.  2.Mud, slime, mire, alluvium. <br/>
ភក់សកម្ម	នាម 1.(បច្ចេកទេស) Activated sludge <br/>
ភក់ស្ងួត	នាម 1.(បច្ចេកទេស) Dried sludge <br/>
ភក់អាស៊ីត	នាម 1.(កសិកម្ម) Acid sludge <br/>
ភក្ដិ	1.Mud. ▪ មើលពាក្យ ៖ ផុក<br/>
ភក្ដី	1.(Combining form of ភក្ដី) <br/>
ភក្ដីភាព	នាម 1.Devotion, respect, honesty, liking, friendliness, association, sharing dividing <br/>កិរិយាសព្ទ 1.To be devoted (to) dedicated (to) ▪ មើលពាក្យ ៖ ភក្ដិ<br/>
ភក្ដីឧទ័យ	1.Rank of royal official. <br/>
ភក្ដ្រ	នាម 1.Devotion, attachment; zeal, fidelity. <br/>
ភក្សា	1.(រាជវង្ស) Face. ▪ អាចសរសេរជា ៖ ភ័ក្ដ្រ ក៏បាន<br/>
ភក្សាហារ	នាម 1.Food. meal. ' to eat. ' <br/>
ភគណ្ឌលា	នាម 1.Foods. ' food.' <br/>
ភគន្ទររោគ	1.(POETIC, ROYAL) Hemorrhoids. 'ulcer, fistula' ▪ អាចសរសេរជា ៖ ភគន្ទលា ក៏បាន<br/>
ភគន្ទលា	▪ អាចសរសេរជា ៖ ភគន្ទររោគ ក៏បាន<br/>
ភគវន្ដមុនី	▪ មើលពាក្យ ៖ ភគវ័ត<br/>
ភគវា	នាម 1.Great wise man, venerable scholar; title of the Buddha. <br/>
ភគវាន	▪ ស្មើនឹង​ពាក្យ ៖ ភគិនី<br/>
ភគវ័ត	▪ មើលពាក្យ ៖ ភគណ្ឌលា<br/>
ភគវ័ន្ដ	នាម 1.Wise man, scholar; savior; winner. 'fortunate. glorious; holy' <br/>កិរិយាសព្ទ 1.To be victorious; powerful; honorable; fortunate. <br/>
ភគិនី	▪ ស្មើនឹង​ពាក្យ ៖ ភគវាន<br/>▪ មើលពាក្យ ៖ ភគវ័ត<br/>
ភគិនីភស្ដា	នាម 1.Sister. (According to T. this word is used by Buddhist priests when they are addressing some pious woman). <br/>
ភង្គី	នាម 1.Kind of cloth made of many different varieties (or colors) of cotton. 'hemp, hemp cloth. ភង្គពស្ដ្រ  (id). <br/>
ភង្គៈ	នាម 1.Brother-in-law, husband of one's sister. <br/>
ភណ្ឌ	នាម 1.Kind of tree with a medicinal bark. (possibly related to ' bend, curve') <br/>
ភណ្ឌទេយ្យ	1.Wealth, possession, capital; utensils, instruments equipment. ▪ អាចសរសេរជា ៖ ភណ្ឌៈ ក៏បាន<br/>
ភណ្ឌនការណ៍	1.Cause of a conflict, source of a quarrel. ▪ ស្មើនឹង​ពាក្យ ៖ ភណ្ឌនហេតុ<br/>
ភណ្ឌនការិនី	▪ ភណ្ឌនការី បើស្ត្រីជា ភណ្ឌនការិនី<br/>
ភណ្ឌនការី	1.One who quarrels; one who likes to cause a quarrel or conflict. ▪ បើស្ត្រីជា ៖ ភណ្ឌនការិនី<br/>
ភណ្ឌននិកេតន៍	▪ មើលពាក្យ ៖ ភណ្ឌនការណ៍<br/>
ភណ្ឌនហេតុ	1.Quarrel, conflict, argument, fighting. <br/>
ភណ្ឌនៈ	នាម 1.Replacement (object to replace something which had been borrowed, then lost or broken). <br/>
ភណ្ឌរថ	នាម 1.School exhibit. 'equipment' ; 'house, mansion' <br/>
ភណ្ឌហាសិនី	នាម 1.Van, truck, freight car, supply vehicle. 'chariot.' <br/>
ភណ្ឌាគមន៍	នាម 1.Prostitute. <br/>
ភណ្ឌាគារ	នាម 1.Merchandise which as just arrived. 'arrival.' <br/>
ភណ្ឌាគារប្រត្យក្ស	1.Bonded warehouse. leased to private enterprise <br/>
ភណ្ឌាគារពិសេស	1.Special warehouse <br/>
ភណ្ឌាគារសន្មត	1.Temporary warehouse (to be used by private enterprise only when it is vacant) <br/>
ភណ្ឌាគារសព្វធន	1.General warehouse <br/>
ភណ្ឌាគារិក	នាម 1.Ware-house, storehouse. 'house, hut' ▪ ស្មើនឹង​ពាក្យ ៖ ឃ្លាំង<br/>
ភណ្ឌាគារិកា	▪ ភណ្ឌិកា បើស្ត្រីជា ភណ្ឌាគារិកា<br/>
ភណ្ឌិកា	1.Warehouse keeper. ▪ បើស្ត្រីជា ៖ ភណ្ឌាគារិកា<br/>
ភណ្ឌិកាអនុសិដ្ឋ	1.Registered parcel. <br/>
ភណ្ឌិល	នាម 1.Package, parcel, box (of something less than 10 kilograms in weight). 'collections of goods, bundle' <br/>
ភណ្ឌុកម្ម	នាម 1.Messenger; mailman. 'messenger.' ភណ្ឌិលជន  (id) ភណ្ឌិលបុរស  (id) <br/>
ភណ្ឌៈ	▪ អាចសរសេរជា ៖ ភណ្ឌទេយ្យ ក៏បាន<br/>
ភតិកម្ម	1.Shaving of the head (in accordance with Buddhist regulations) ▪ អាចសរសេរជា ៖ ភណ្ឌុកម្ម ក៏បាន<br/>នាម 1.(បច្ចេកទេស) Tenancy <br/>
ភតិកម្មកាន់កាប់បន្តរ	នាម 1.(បច្ចេកទេស) Holdover tenant <br/>
ភតិកម្មឆន្ទះ	នាម 1.(បច្ចេកទេស) Tenancy at will <br/>
ភតិកម្មមានកំណត់កាល	នាម 1.(បច្ចេកទេស) Tenancy for years <br/>
ភតិកម្មលើសអាណិត្ត	នាម 1.(បច្ចេកទេស) Tenancy at sufferance <br/>
ភតិការ	នាម 1.Saving job. ' wages, fee, pay; ' <br/>
ភតិការិកា	▪ ភតិការី បើស្ត្រីជា ភតិការិកា<br/>
ភតិការី	1.Hired hand, worker. ▪ បើស្ត្រីជា ៖ ភតិការិកា<br/>
ភតិសន្យា	1.Hired hand, worker. ▪ មើលពាក្យ ៖ ភតិការ<br/>
ភតិសន្យាជួល	នាម 1.(បច្ចេកទេស) Lease <br/>
ភតិសន្យាទូទាត់សុទ្ធ	1.(បច្ចេកទេស) Net lease <br/>
ភតិសន្យាបតី	នាម 1.Lease. ' wages fee; ' ' accord, agreement.' <br/>
