ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ທາວ	ກ.	ເອົາມືຫລືຂອງໃຊ້ແທນມືຊວ້ານເອົາຂອງຢູ່ໃນນໍ້າຂຶ້ນ, ເດ່ມືຄວາໄປ, ສືບສາວ. 	
ທາວໃຍ	ກ.	ດຶງສາຍໃຍໃຫ້ຜ່ານກັນໄປມາ (ດັ່ງມ້ອນທາວໃຍແມງມຸມທາວໃຍ) ເອົາມືຊາວໄປມາ. 	
ທ່າວ	ກ.	ເຊໄປເກືອບລົ້ມ, ລົ້ມ. 	
ທ້າວ	ນ.	ເປັນຄຳນຳໜ້າເພດຊາຍ (ຄຳທ້າວນີ້ ແຕ່ບູຮານໝາຍເອົາພຣະກະສັດ ຫລື ລູກຊາຍພຣະກະສັດ)  	
ທິວ	ນ.	ແຖວ, ລຽບ. 	
ແທວ	ນ.	ແຖວ (ມາຈາກ ສອງແທວ ໃສ່ເຂົ້າປ້ອງແອ້ວ) 	
ທຽວ	ກ.	ເດີນໄປມາ. 	
ທ່ຽວ	ວ.	ໄວ (ໄປທ່ຽວມາທ່ຽວ ຄື ໄປໄວມາໄວ) 	
ທວາຍ	ກ.	ແກ້, ຄະເນ, ບອກ, ບອກຕາມເລກຫລືຕາມຄຶດເຫັນ. 	
ທວານ	ນ.	ຜັກຕູ, ປ່ອງຢ້ຽມ, ປ່ອງສີໜ້າເຮືອນ, ປ່ອງຕາມຮ່າງກາຍ ດັ່ງ ປ່ອງຫູ, ປ່ອງຕາ    ເປັນຕົ້ນ (ປ. ທວາຣ) 	
ນ	ເປັນພຍັນຊນະຕົວທີ 13 ເປັນພວກອັກສອນຕໍ່າໃຊ້ເປັນຕົວສະກົດທັມມະດາ ໃນແມ່ກັນ. 	
ນະ	ບຸ.	ໃນ, ທີ່ ເປັນຄຳຊີ້ບອກເວລາຫລືສະຖານທີ່. 	
ນະຂະ	ນ.	ເລັບ (ປ.) 	
ນະຂະເລຂາ	ກ.	ການຂີດດ້ວຍເລັບ, ການທາເລັບ (ສ.) 	
ນະຂາ	ນ.	ເລັບ.  	
&nbsp; &nbsp; &nbsp; 	ນະຂາລິຂິດ	ນ. ເຄື່ອງໝາຍວົງເລັບຮູບດັ່ງນີ້ () (ສ. ນຂາລິຂິຕ) 	
ນະຄະຣະ	ນ.	ເມືອງ, ເມືອງຫລວງຂອງປະເທດ (ປ. ນຄຣ)   	
&nbsp; &nbsp; &nbsp; 	ນະຄະຣະວາສີ	ນ. ຊາວເມືອງ.   	
&nbsp; &nbsp; &nbsp; 	ນະຄະຣິນ	ນ.    ເຈົ້າເມືອງ, ເຈົ້າແຜ່ນດິນ (ປ. ນຄຣິນທ) 	
ນະຄະຣະໂສເພນີ	ນ.	(ນະຄອນໂສເພນີ) 	
ນະຄອນ	(ມາຈາກ ນະຄະຣະ) 	
ນະຄອນໂສເພນີ	ນ.	ຍິງງາມເມືອງ (ແມ່ຈ້າງ) (ປ. ນຄຣໂສເພນີ) 	
ນະຄອນບານ	ນ.	ການປົກຄອງເມືອງ, ການຮັກສາເມືອງ (ປ. ນຄຣປາລ) 	
ນະຄອນຫລວງ	ນ.	ເມືອງໃຫຍ່, ເມືອງເອກຂອງປະເທດ. 	
ນະຍະ	ນ.	ເຄົ້າຄວາມທີ່ບອກໃຫ້ເຂົ້າໃຈເອົາເອງ, ຫົວຂໍ້, ເງື່ອນຄວາມ (ປ.) 	
ນະຍະນາ	ນ.	ໜ່ວຍຕາ (ປ.) 	
ນະໂຍບາຍ	ນ.	ວິທີດຳເນີນການ (ປ. ນຍ+ອຸປາຍ) 	
ນະທີ	ນ.	ແມ່ນໍ້າ (ປ.) 	
ນະປຸງສະກະລິງ	ນ.	ຊື່ເພດທີ່ບໍ່ແມ່ນຍິງ ຫລື ຊາຍ (ປ. ນປຸງສກລິງຄ) 	
ນະພະ	ວ.	ເກົ້າ, ໃໝ່ (ປ. ນວ) ຄຳນີ້ຖ້າມີຄຳອື່ນມາຕໍ່ເຮົາອອກສຽງເປັນ ນົບ ດັ່ງ ນົພຄຸນ    (ອ່ານວ່າ ນົບພະຄຸນ) ເປັນຕົ້ນ. 	
ນະພະ	ນ.	ຟ້າ, ອາກາດ (ປ. ນພ)   	
&nbsp; &nbsp; &nbsp; 	ນະພະຈອນ	ນ. ຜູ່ໄປໃນຟ້າ ຄືນົກ (ປ. ນພຈຣ)  	
&nbsp; &nbsp; &nbsp; 	ນະພະດົນ	ນ.    ພື້ນຟ້າ.  (ປ. ນພຕລ)   	
&nbsp; &nbsp; &nbsp; 	ນະພະວິຖີ	ນ. ທາງຟ້າ (ປ.) 	
ນະພາ	ນ.	ຟ້າ, ອາກາດ, ກາງຫາວ (ປ.) 	
ນະມະ-ນະໂມ	ນ.	ການນ້ອມໄຫວ້, ການໂຄຣົບ, ຄວາມຢຳແຢງ (ປ.) 	
ນະມັສການ (ນະມັດສະການ)	ນ.	ການນ້ອມໄຫວ້ (ສ.) 	
ນະມັດຖຸ 	ນ.	ຄວາມນ້ອມໄຫວ້ຈົ່ງມີ (ປ. ນະມະ+ວັດຖຸ) 	
ນະຣະ	ນ.	ຄົນ, ຄົນຜູ່ຊາຍ (ເພດຍິງໃຊ້ວ່າ ນາຣີ ຄຳນະຣະນີ້ ລາວອອກສຽງເປັນ ນໍຣະ) (ປ.) 	
ນະຣາ	ນ.	ຄົນທັງຫລາຍ. 	
ນະຣາທິບ	ນ.	ພຣະຣາຊາ (ປ. ນຣ+ອທິປ) 	
ນະຣິດ	ນ.	ພຣະເຈົ້າແຜ່ນດິນ (ສ. ນຣ+ອິສ) 	
ນະຣິນ	ນ.	ນາຍຄົນ, ພຣະເຈົ້າແຜ່ນດິນ (ປ. ນຣ+ອິນທ) 	
ນະຣີ 	ນ.	ນາງ (ສ.) 	
ນະຣຶ	ວ.	ບໍ່ມີ, ອອກ (ຄຳນີ້ມັກໃຊ້ນຳໜ້າຄຳອື່ນ) 	
ນະຣຶ	ນ.	ຄົນ (ຄຳນີ້ເປັນພາສາສັນສະກຣິດໃຊ້ນຳໜ້າຄຳອື່ນ ດັ່ງ ນະຣຶດົມ ນ. ຄົນຊາຍ ທີ່    ປະເສີດຫລືແຂງແຮງ. ນະຣຶເທບ, ນະຣຶບໍດີ ນ. ພຣະກະສັດ. ນະຣຶບານ ນ. ພຣະຣາຊາ)  	
ນະຣຶພານ	ນ.	ນິບພານ, ນີຣະພານ (ສ.) 	
ນະຣຶມານ	ນ.	ການສ້າງແປງ, ການແທກສ່ວນ (ສ.) 	
ນະຣຶມິດ	ກ.	ສ້າງ, ຕົກແຕ່ງ, ເຮັດ (ສ. ນຣຶມິຕ) 	
ນະເຣດ	ນ.	ພຣະກະສັດ, ເຈົ້າແຜ່ນດິນ (ສ. ນຣ+ອິສ) 	
ນະເຣນ	(ຄຳດຽວກັບ ນະຣິນ ນໍຣິນ) 	
ນະເຣສູນ-ນະເຣສວນ	ນ.	ເຈົ້າແຜ່ນດິນ (ສ. ນຣ+ອິສູຣ,ນຣ+ອິສວຣ) 	
ນະຣົກ	ນ.	ໂລກເປັນທີ່ລົງໂທດຄົນຜູ່ເຮັດບາບເມື່ອຕາຍໄປແລ້ວ (ປ. ນຣກ) 	
ນະໂຣດົມ	ນ.	ພຣະກະສັດ, ຄົນຜູ່ສູງສຸດ (ສ. ນໂຣຕ‍ຕມ) 	
ນະລາດ	ນ.	ໜ້າຜາກ (ປ. ນລາຕ) 	
ນະລິນ	ນ.	ດອກບົວ (ປ.ສ.) 	
ນະລິນີ	ນ.	ສະດອກບົວ, ປ່າດອກບົວ (ປ.ສ.) 	
ນະວະ	ວ.	ໃໝ່ (ໃຊ້ເປັນຄຳນຳໜ້າສັບອື່ນ):  	
&nbsp; &nbsp; &nbsp; 	ນະວະກັມ	
&nbsp; &nbsp; &nbsp; 	ນະວະກິດ	
&nbsp; &nbsp; &nbsp; 	ນະວະການ	ນ. ການສ້າງແປງ (ປ.    ນວກັມມ, ນວກິຈຈ, ນວກາຣ)  	
&nbsp; &nbsp; &nbsp; 	ນະວະກັມມິກະ	ນ. ຜູ່ເບິ່ງແຍງການສ້າງແປງ,    ຜູ່ຄວບຄຸມການສ້າງສາ. 	
ນະວະ	ວ.	ເກົ້າ, ຈຳນວນເກົ້າ (ໃຊ້ເປັນຄຳນຳໜ້າ):  	
&nbsp; &nbsp; &nbsp; 	ນະວເຄາະ	ນ. ດາວທັງເກົ້າ ຄື: ພຣະອາທິດ,    ພຣະຈັນ, ອັງຄານ, ພຸດ, ພະຫັດ, ສຸກ, ເສົາ, ຣາຫູ, ເກດ.   	
&nbsp; &nbsp; &nbsp; 	ນະວະຄຸນ	ນ. ນົພຄຸນ    ຄຳເນື້ອເກົ້າ (ການເອີ້ນຄຳເນື້ອເກົ້າ ຫລື ນໍ້າເກົ້ານັ້ນ ກຳນົດເອົາຕາມຣາຄາຄື    ແຕ່ບູຮານຖືວ່າ ຄຳຢ່າງດີທີ່ສຸດ ໜັກບາດນຶ່ງຣາຄາເກົ້າບາດ)   	
&nbsp; &nbsp; &nbsp; 	ນະວະທວານ	ນ.    ປ່ອງທັງເກົ້າໃນຮ່າງກາຍ ຄື: ຕາ 2  ຫູ 2  ດັງ 2  ປາກ 1  ທວານໜັກ 1  ທວານເບົາ 1. 	
ນະວະກະ	ນ.	ຜູ່ໃໝ່, ຊັ້ນຕົ້ນ, ຜູ່ບວດໃໝ່.   	
&nbsp; &nbsp; &nbsp; 	ນະວະກະພູມ	ນ. ຊັ້ນຕົ້ນ, ຊັ້ນໃໝ່ (ປ.) 	
ນະວະໂກວາດ	ນ.	ຄຳສອນສຳລັບຜູ່ບວດໃໝ່ (ນວໂກວາທ) 	
ນະວະນີດ	ນ.	ເນີຍແຂ້ນ (ປ. ນວນີຕ) 	
ນະວະຣັດ	ນ.	(ຄຳນີ້ອອກສຽງເປັນເນົາວະຣັດ) ແກ້ວເກົ້າປະການ ຄື:  ແກ້ວຂາວ (ເພັດ)  ແກ້ວແດງ    (ພິລາ)  ແກ້ວຂຽວ (ມໍຣະກົດ)  ແກ້ວເຫລືອງ (ບຸສຍະ ຫລື ແກ້ວບຸດ)  ແກ້ວນໍ້າຄັ່ງ    (ໂກເມນ)  ແກ້ວດຳ (ນິນ)  ແກ້ວສີໝອກ ຫລື ໄຂ່ຫອຍກວ້າງ (ມຸກດາ)  ແກ້ວເພທາຍ    (ສີແດງມົວ)  ແກ້ວຕາແມວ (ໄພທູນ) (ປ. ນວຣັຕນ) 	
ນະວະໂລຫະ	ນ.	ໂລຫະເກົ້າປະການ ຄື: 1/ເຫລັກ,  2/ບາແລ່ນ,  3/ທອງແດງ,  4/ເງິນ,  5/ຄຳ    (ຫ້າຢ່າງນີ້ຮຽກວ່າ ປັນຈະໂລຫະ)  6/ຈ້າວຫລືເຈົ້ານໍ້າເງິນ (ແມ່ນແຮ່ແນວນຶ່ງສີຂຽວ    ເປັນສີນໍ້າເງິນ)  7/ສັງກະສີ (ເຖິງນີ້ ເອີ້ນວ່າ ສັດຕະໂລຫະ)  8/ຊືນ     9/ທອງແດງບໍຣິສຸດ (ປ.) 	
ນະວະອະຣະຫາທິຄຸນ	ນ.	ຄຸນພຣະພຸທເຈົ້າເກົ້າປະການ (ຄຳນີ້ເວົ້າຜິດໄປເປັນ ນະວະຫໍຣະຄຸນ) 	
ນະວັງຄະສັດຖຸສາດ	ນ.	(ປ. ນວັງຄສັຕຖຸສາສນ) ເປັນຄຳສອນຂອງພຣະພຸທເຈົ້າ ມີອົງ 9 ປະການ ຄື: ສຸດຕະ,    ເຄຍຍະ, ເວຍຍາກະຣະນະ, ຄາຖາ, ອຸທານ, ອິຕິວຸດຕະກະ, ຊາດົກ, ອັບພູຕະທັມ,    ເວທັນລະ. 	
ນະວາງ	ນ.	ອົງຂອງເກົ້າ ຄື ສ່ວນຂອງເກົ້າ ໄດ້ແກ່ດາວ 108 ດວງ ອັນເປັນບໍຣິວານຂອງດາວເຄາະ    ທັງເກົ້າ "ທັງນະວາງຄາດຄູ່ ພ້ອມກັນຢູ່ສວນລອນ" 	
ນະຫາຣຸ	ນ.	ເອັນ (ປ.) 	
ນະຫຸດ	ວ.	ຈຳນວນ 10.000 (ໝື່ນຖ້ວນ) (ປ. ນຫຸຕ) 	
ນະຫຸດ	ນ.	ຊື່ສັງຂຍາຈຳນວນ 10.000.000 ກຳລັງ 4 ຫລື ເລກ 1 ມີສູນນຳໜ້າ 28 ໂຕ. 	
ນາ	ນ.	ດິນພຽງມີຄົນປ້ານນໍ້າໄວ້ສຳລັບປູກເຂົ້າ. 	
ນາ	ວ.	ເປັນຄຳສ້ອຍທ້າຍ ເພື່ອໃຫ້ມີຄວາມມ່ວນຂຶ້ນ ດັ່ງພີ່ນາ ເປັນຕົ້ນ. 	
ນ້າ	ນ.	ເປັນຄຳຮຽກພໍ່ ຫລື ແມ່ ທີ່ບໍ່ແມ່ນພໍ່ຄີງ ແມ່ຄີງ ວ່າ ພໍ່ນ້າ ແມ່ນ້າ,  	
&nbsp; &nbsp; &nbsp; 	ນ້າສາວ	ນ. ນ້ອງສາວຂອງແມ່.   	
&nbsp; &nbsp; &nbsp; 	ນ້າບ່າວ	ນ. ນ້ອງຊາຍຂອງແມ່. 	
ນາຄະ	ນ.	ຊ້າງ, ໄມ້ກາກະທິງ (ຖ້າຢູ່ທ້າຍຄຳອື່ນອອກສຽງ ວ່າ ນາກ) (ປ.) 	
ນາຄະ	ນ.	ຜູ່ປະເສີດ, ຜູ່ບໍ່ເຮັດບາບ, ຄົນຜູ່ກຳລັງຈະບວດເປັນພິກຂຸ (ຢູ່ທ້າຍຄຳວ່າ ນາກ)    (ປ.) 	
ນາຄະ	ນ.	(ໃຊ້ວ່າ ນາກ) ງູໃຫຍ່, ງູໃຫຍ່ຕາມນິທານ, ລວງ (ນາກ ແມ່ນຄຳປາລີ ລວງ ແມ່ນຄຳລາວ    ໝາຍເອົາສັດແນວດຽວກັນ) 	
ນາຄາ	ນ.	ນາກ, ຊ້າງ.  	
&nbsp; &nbsp; &nbsp; 	ນາຄີ	ນ. ນາງນາກ.   	
&nbsp; &nbsp; &nbsp; 	ນາໂຄ	ນ. ນາກ, ຊ້າງ. 	
ນາຄິນ,ນາເຄນ	ນ.	ພຣະຍາຊ້າງ (ປ. ນາຄິນທ) 	
ນາສາ	ນ.	ດັງ (ປ.) 	
ນາສິກ	ນ.	ດັງ (ສ.) 	
ນາຊ່າວ	ນ.	ນາທີ່ເຮັດໃໝ່. 	
ນາແຊງ	ນ.	ນາທີ່ໃຊ້ເຮັດໃນຍາມແລ້ງ. 	
ນາຍິກາ	ນ.	ຍິງຜູ່ເປັນຫົວໜ້າ (ປ.) 	
ນາຍົກ	ນ.	ຊາຍຜູ່ເປັນຫົວໜ້າ. (ປ.) 	
ນາຍົກຣັຖມຸນຕີ	ນ.	ຕຳແໜ່ງຫົວໜ້າຣັຖມຸນຕີ (ປ.) 	
ນາຕະ	ນ.	(ຄຳນີ້ເຮົາໃຊ້ເປັນ ນາດ) ນາງລະຄອນ, ນາງຟ້ອນ (ປ.) 	
ນາຕະກັມ	ນ.	ການຟ້ອນ, ການຫລິ້ນລະຄອນ (ປ.) 	
ນາຕະສິນ	ນ.	ວາດຫລິ້ນລະຄອນ (ສ. ນາຕສິລ‍ປ) (ຂຽນເປັນນາຕສິນ ກໍໄດ້) 	
ນາທີ	ນ.	ຊື່ມາດຕານັບເວລາທໍ່ກັບ 1 ສ່ວນ 60 ຂອງໂມງ (ສ.) 	
ນານາ	ວ.	ຕ່າງໆ (ປ.) (ຂຽນເປັນ ນາໆ ກໍໄດ້) 	
ນານານັປການ-ນານາປະການ	ວ.	ມີຫລາຍແນວ (ປ. ນານານັປປກາຣ) 	
ນາພີ	ນ.	ທ້ອງ, ສາຍບື, ດຸມກຽນຫລືຣົດ, ສູນກາງ (ປ.ສ.) 	
ນາເຟືອງ	ນ.	ພື້ນທີ່ນາຊຶ່ງເຮັດມາຫລາຍປີ, ນາທີ່ມີຄັນແທແລ້ວ. 	
ນາມາພິໄທ	ນ.	ຊື່, ການຕັ້ງຊື່ (ປ. ນາມາພິເທຍ‍ຍ) 	
ນາຣາ	ນ.	ຣັສມີ, ແສງ (ປ.) 	
ນາຣີ	ນ.	ນາງ, ຄົນຜູ່ຍິງ (ປ.) 	
ນາຣົກ	ນ.	(ນະຣົກ) 	
ນາເຣດ	ນ.	ນາງ, ນາງງາມ (ປ.) 	
ນາຣາຍ	ນ.	ຊື່ພຣະເຈົ້າອົງນຶ່ງຂອງສາສນາພຣາມ (ລາວເຮົາໝາຍເອົາພຣະຣາມ) 	
ນາລິກາ	ນ.	ເຄື່ອງນັບເວລາ (ຄຳນີ້ກາຍມາຈາກ ສ. ນາດິກາສຽງຕົວ ດ ເປັນສຽງ ລ ໄດ້ ຫລື ຈາກ ປ.    ນາລິເກຣະ (ເຊີ່ງແປວ່າ ໝາກພ້າວ) 	
ນາລີ	ນ.	ຂັນ, ໂອ, ກ້ານ, ໝວດ, ລຳ, ຮູບນ້ອຍໆ (ປ.) 	
ນາວາ	ນ.	ເຮືອ (ປ.) 	
ນາວິກ-ນາວິກະ	ນ.	ຄົນເຮືອ, ຊາວເຮືອ (ປ.) 	
ນາວິກໂຍທິນ-ໂຍທິ	ນ.	ທະຫານເຮືອທີ່ປະຈຳການພົນຣົບໃນກອງທັບເຮືອ (ສ.)  	
ນາວີ	ນ.	ເຮືອ, ກອງທັບເຮືອ (ສ.) 	
ນາເວດ	ນ.	ເຮືອ (ສ.) 	
ນາເຮື້ອ	ນ.	ດິນນາທີ່ປະໄວ້ບໍ່ເຮັດ. 	
ນາຮົກ	ນ.	
ນິກາຍ	ນ.	ໝູ່, ພວກ, ໝວດ, ຊຸມ: ຮຽກຄັມພີພຣະສຸດຕັນຕະປິດົກ ທີ່ແບ່ງອອກເປັນ 5 ໝວດ ຄື:    ທີຄະນິກາຍ, ມັດຊິມະນິກາຍ, ສັງຍຸດຕະນິກາຍ, ອັງຄຸດຕະຣະນິກາຍ, ຂຸດທະກະນິກາຍ    (ປ.) 	
ນິກອນ	ນ.	ໝູ່, ພວກ, ຊຸມ (ປ. ນິກຣ) 	
ນິຄົນ	ນ.	ນັກບວດພວກນຶ່ງນອກຈາກພຸທສາສນາ (ປ. ນິຄັນຖ) 	
ນິຄົມ	ນ.	ບ້ານໃຫຍ່, ເຂດຕາແສງ,    ຄຳກອນທີ່ເວົ້າແຄບແລະຄື້ມຄວາມເກົ່າເພື່ອໃຫ້ຜູ່ຟັງຈື່ງ່າຍ (ປ. ນິຄົມ) 	
ນິໂຄດ	ນ.	ຕົ້ນໄຮ (ປ. ນິໂຄຣທ) 	
ນິສາ	ນ.	ເວລາກາງຄືນ (ສ.)  	
&nbsp; &nbsp; &nbsp; 	ນິສາກອນ	ນ. ເດືອນ (ສ. ນິສາກຣ)  	
&nbsp; &nbsp; &nbsp; 	ນິສາການ	ນ. ເວລາຄໍ່າມືດ (ສ.    ນິສາກາລ) 	
ນິສາດ	ນ.	ພານປ່າ, ຄົນປ່າ, ພວກຫາປາ (ສ. ນິສາທ) 	
ນິສັຍ	ນ.	ທີ່ເພີ່ງ, ບ່ອນອາສັຍ, ຄວາມປະພຶດທີ່ເຮັດມາຈົນເຄີຍ, ຄຳແປ (ເອີ້ນຄຳນິສັຍ    ສ່ວນຄຳປາລີ ເອີ້ນວ່າ ຄຳອັດ) (ປ. ນິສ‍ສຍ) 	
ນິສິດ	ນ.	ລູກສິດ, ຜູ່ອາສັຍຢູ່ນຳເພື່ອສຶກສາ, ນັກສຶກສາຊັ້ນສູງ (ປ. ນິສສິຕ) 	
ນິສີທະນະ	ນ.	ການນັ່ງ ຜ້າປູນັ່ງຂອງພິກຂຸ (ປ.) 	
ນິສີທະນາການ	ນ.	ການນັ່ງ (ປ. ນິສີທນາກາຣ) 	
ນິຍາຍ	ນ.	ນິທານ, ເຣື່ອງທີ່ເວົ້າສືບກັນມາ (ປ.) 	
ນິຍຸດ	ກ.	ປະກອບເຂົ້າ, ເຮັດໃຫ້ແໜ້ນ (ປ. ນິຍຸຕຕ) 	
ນິຍົດ	ວ.	ທ່ຽງແທ້, ແນ່ນອນ (ປ. ນິຍຕ) 	
ນິຍານ	ນ.	ກຳນົດ, ທາງ, ຢ່າງ, ວິທີ, ກຳນົດຄວາມໝາຍທີ່ແນ່ນອນ (ປ.) 	
ນິຍົມ	ນ.	ຄາບ, ກຳນົດ, ກ. ນັບຖື, ມັກ, ຊອບ. 	
ນິຕິ-ນີຕິ	ນ.	ກົດໝາຍ, ແບບແຜນ, ປະເພນີ, ທັມນຽມ, ແບບຢ່າງວິທີປົກຄອງ, ເຄື່ອງແນະນຳ,    ອຸບາຍອັນດີ (ປ.)  	
ນິຕິການ	ນ.	ການເປັນໄປຫລືຂໍ້ເທັດຈິງ ເຊີ່ງມີຜົນຕາມກົດໝາຍ (ປ. ນິຕິກາຣນ) 	
ນິຕິກອນ	ນ.	ການຮັບຮອງຂອງເຈົ້າພະນັກງານວ່າລາຍມືຊື່ໃນຕາສານເປັນການຖືກຕ້ອງຕາມກົດໝາຍ (ປ.    ນິຕິກາຣນ) 	
ນິຕິກັມ	ນ.	ການເຮັດດ້ວຍຈົງໃຈທີ່ຈະຜູກຄວາມສັມພັນທາງກົດໝາຍຂຶ້ນລະຫວ່າງບຸກຄົນ (ປ.) 	
ນິຕິສາດ	ນ.	ວິຊາກົດໝາຍ, ຫລັກກົດໝາຍ (ສ.) 	
ນິຕິສົມມຸດ	ນ.	ຄວາມທີ່ສົມມຸດຂຶ້ນໃນກົດໝາຍ. 	
ນິຕິສັມພັນ	ນ.	ຄວາມກ່ຽວຂ້ອງທາງກົດໝາຍ. 	
ນິຕິທັມ	ນ.	ຫລັກກົດໝາຍ (ປ.) 	
ນິຕິນັຍ	ນ.	ທາງກົດໝາຍ (ຄູ່ກັບພິດຕິນັຍ ທາງຂໍ້ເທັດຈິງ ຫລືທາງປະພຶດ (ປ.) 	
ນິຕິບັນຍັດ	ກ.	ການແຕ່ງຕັ້ງຂໍ້ກົດໝາຍ (ປ.) 	
ນິຕິບຸກຄົນ	ນ.	ອົງການເຊີ່ງກົດໝາຍຖືວ່າເປັນບຸກຄົນທີ່ມີສິດແລະໜ້າທີ່ຕາມກຳນົດໄວ້ໃນກົດໝາຍ. 	
ນິຕິພາວະ	ນ.	ຄວາມເປັນຜູ່ມີອາຍຸແລະຄວາມສາມາດບໍຣິບູນຕາມກົດໝາຍ. 	
ນິທັສນະ	ນ.	ຕົວຢ່າງທີ່ນຳມາສະແດງໃຫ້ເຫັນເປັນຫລັກຖານ (ປ. ນິທັສສນ) 	
ນິທານ	ນ.	ເຫດ (ເກີດເຫດການນິທານແນວໃດ), ເຣື່ອງແຕ່ເກົ່າ (ວັດຖຸນິທານ) (ປ.) 	
ນິທິ	ນ.	ຂຸມຊັບ, ບ່ອນມ້ຽນຊັບສົມບັດ (ປ.) 	
ນິເທດ	ນ.	ຄຳສະແດງ, ຄຳແຈກອອກ, ກ. ຊີ້ແຈ່ງ, ຈຳແນກແຈກອອກ (ປ. ນິເທສ) 	
ນິບາດ	ນ.	ຊື່ຄັມພີພວກນຶ່ງໃນພຣະພຸທສາສນາ (ປ. ນິປາຕ) 	
ນິປ-ຣິຍາຍ (ນິບປະຣິຍາຍ)	ນ.	ຄວາມອ້ອນແອ້ນ, ວ. ໝົດກ້ຽງ (ປ. ນິປປຣິຍາຍ) 	
ນິພັນ	ນ.	ການແຕ່ງເຣື່ອງ, ກ. ແຕ່ງໜັງສື (ປ. ນິພັນທ) 	
ນິພານ	ນ.	ຄວາມດັບກິເລດແລະກອງທຸກ (ປ. ນິພພານ) 	
ນິມິດ	ກ.	ນີຣະມິດ, ສ້າງ, ແປງ (ໃຊ້ວ່າ ນີມິດ ຫລື ນີຣະມິດ (ປ. ນິມມິຕ) 	
ນິມິດ	ນ.	ເຄື່ອງໝາຍ, ລາງ, ເຫດ, ເຄົ້າມູນ, ຄວາມຝັນ, ອະວັຍວະບ່ອນສືບແນວ (ປ. ນິມິຕ) 	
ນິມົນ	ກ.	ເຊີນ, ເຊີນພິກຂຸ ຫລື ພຣະເຈົ້າແຜ່ນດິນ (ປ. ນິມັນຕ) 	
ນິຣະ	ວ.	ບໍ່ມີ, ອອກ, ບໍ່ (ໃຊ້ປະກອບໜ້າຄຳອື່ນ ດັ່ງ  	
&nbsp; &nbsp; &nbsp; 	ນິຣະຄຸນ	ບໍ່ມີຄຸນ.   	
&nbsp; &nbsp; &nbsp; 	ນິຣະໂທດ	ບໍ່ມີໂທດ ເປັນຕົ້ນ) 	
ນິຣະຄຸນ	ວ.	ບໍ່ມີຄຸນ, ຊົ່ວ, ບໍ່ຮູ້ຄຸນ (ໃຊ້ເປັນ ເນຣະຄຸນ) (ປ.) 	
ນິຣະໂຄດ	ວ.	ບໍ່ມີສຽງ, ສງັດ (ປ. ນິຣະໂຄສ) 	
ນິຣະຍະ	ນ.	ນະຮົກ ຫລື ນາຮົກ.  	
&nbsp; &nbsp; &nbsp; 	ນິຣະຍະບານ	ນ. ຜູ່ກຳກັບນາຮົກ (ປ. ນິຣິຍປາລ) 	
ນິຣະເທດ	ກ.	ເນຣະເທດ, ໄລ່ໜີຈາກປະເທດ (ສ. ນິຣະເທສ) 	
ນິຣະມິດ	ກ.	ນິມິດ, ສ້າງ, ແປງ, ເຮັດ, ບັນດານໃຫ້ມີຂຶ້ນຕາມໃຈ (ສ. ນິຣມິຕຕ) 	
ນິຣະມົນ	ວ.	ບໍ່ມີມົນທິນ, ບໍ່ເສົ້າ, ສົດໃສ, ງາມ (ສ. ນິຣມລ) 	
ນິຣັນດອນ	ວ.	ບໍ່ມີແນວຂັ້ນ, ຕິດຕໍ່ກັນ, ບໍ່ເວັ້ນຫວ່າງ, ສເມີ (ປ. ນິຣັນຕຣ) 	
ນິຣັນຕະຣາຍ	ວ.	ບໍ່ມີອັນຕະຣາຍ, ປາສຈາກອົນຕາຍ (ປ.) 	
ນິຣາ	ກ.	ຈາກໄປ, ວ. ບໍ່ມີ (ສ.) 	
ນິຣາພາດ	ວ.	ບໍ່ມີຄວາມເຈັບໄຂ້ (ສ. ນິຣາພາທ) 	
ນິຣາມັຍ	ວ.	ບໍ່ມີພຍາດ, ສະບາຍ, ເປັນສຸກ (ປ.ສ.) 	
ນິຣາມິດ	ວ.	ບໍ່ມີເຫຍື່ອ, ບໍ່ມີເຄື່ອງລໍ້, ບໍ່ຮັບສິນບົນ (ປ.ສ. ນິຣາມິສສ) 	
ນິຣາລັຍ	ວ.	ບໍ່ມີບ່ອນຢູ່, ບໍ່ເປັນຫ່ວງ (ປ.) 	
ນິຣາດ	ກ.	ຈາກໄປ, ຮາມຮ້າງ, ຮາມຈາກຄູ່ຮັກ ຫລືສະຖານ, ປາສຈາກຄວາມຫວັງ, ບໍ່ມີຄວາມຕ້ອງການ,    ໝົດຢາກ (ປ.ສ. ນິຣາສ) 	
ນິຣຸດຕິ	ນ.	ພາສາ, ຄຳເວົ້າ (ປ.ນິຣຸຕຕິ, ສ. ນິຣຸກຕິ) 	
ນິຣຸດຕິສາດ	ນ.	ວິຊາກ່ຽວເຖິງບ່ອນມາແລະຄວາມໝາຍຂອງຄຳ (ປ.ສ. ນິຣຸກຕິສາສຕຣ) 	
