ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ກະສິງ	ນ.	ນາງຟ້ອນ, ນາງລະຄອນ, ການຟ້ອນລຳ. (ນາງກະສິງປະດັບແກວ່ງແຟນເຟືອຍຟ້ອນ) 	
ກະສັຍ	ນ.	ການໝົດສ້ຽງ, ການສູນໄປ, ຊື່ພຍາດຝີໃນທ້ອງຫລືປອດແຫ້ງ (ສ. ກສຍ) 	
ກະສັຍການ (ກະໄສຍະການ)	ນ.	ເວລາສ້ຽງໂລກ, ເວລາສຸດແຫ່ງສິ່ງທັງປວງ (ສ. ກສັຍກາລ) 	
ກະສັຍໂຣກ (ກະໄສຍະໂລກ)	ນ.	ຝີໃນທ້ອງ (ສ. ກະສັຍໂຣຄ) 	
ກະສາຍ	ນ.	ການຕິດຕໍ່, ການເປັນສື່, ຢາຕົ້ມ, ຢາປະສົມນໍ້າກິນຣົດຝາດ: ວ. ຫອມ, ແດງອ່ອນ,    ເຫລືອງເຂັມ. (ສ. ກສາຍ) 	
ກະສັດ	ນ.	ພຣະເຈົ້າແຜ່ນດິນ (ປ. ຂັຕຕິຍະ ສ. ກສັຕຣິຍະ ໝາຍຄວາມວ່າ ຜູ່ປົກຄອງເຂດ)  	
&nbsp; &nbsp; &nbsp; 	ກະສັດຕາ	ເຈົ້າແຜ່ນດິນ.  	
&nbsp; &nbsp; &nbsp; 	ກະສັດຜາທິຣາດ	ນ. ພຣະເຈົ້າແຜ່ນດິນຜູ່ຍິ່ງໃຫຍ່.  	
&nbsp; &nbsp; &nbsp; 	ກະສັດຕາໄທ້	ນ.    ພຣະເຈົ້າແຜ່ນດິນຜູ່ປະເສີດ. 	
ກະສັດຕິ	ນ.	ນາງກະສັດ (ສ. ກສັຕຣີ) 	
ກະເສດ	ນ.	ຜັກແນວນຶ່ງເກີດຢູ່ນໍ້າ ເປັນເຄືອ ມີປອດສີຂາວຕິດຢູ່ນຳເຄືອ. 	
ກະເສດ	ນ.	ທົ່ງນາ, ທີ່ດິນ, ເຂດແດນ, (ສ. ກເສຕຣ) 	
ກະເສຕກັມ (ກະເສດຕະກຳ)	ນ.	ການປູກຫວ່ານແລະການລ້ຽງສັດ, ການທຳໃຫ້ເກີດຜົນຈາກດິນ (ສ. ກເສຕຣກັມມ) 	
ກະເສຕສາດ (ກະເສດຕະສາດ)	ນ.	ວິຊາກ່ຽວດ້ວຍກະເສຕກັມ. (ສ. ກເສຕຣສາຕຣ) 	
ກະສັນ	ກ.	ຄະນິງ, ຄຶດ, ຄຶດຢາກໄດ້, ມັກໃນທາງກາມາຣົມ 	
ກະສິນ	ນ.	ຊື່ກັມມະຖານໝວດນຶ່ງ ທີ່ທຳການແອບເຝິກດ້ວຍການເລັງແລ ເພື່ອທຳຈິດໃຈໃຫ້ຕັ້ງໝັ້ນ    ມີ 10 ປະການ ມີອາໂປກະສິນ ການເລັງແລເບິ່ງນໍ້າເປັນຕົ້ນ (ປ. ກສິນ) 	
ກະສຸນ	ນ.	ລູກປືນ. (ກະຖຸນ ກໍວ່າ) 	
ກະເສນ	ນ.	ຊື່ໝາກມ່ວງແນວນຶ່ງ ໜ່ວຍໃຫຍ່. 	
ກະສຽນ	ກ.	ຂຽນ, ຂຽນຄຳແປດ້ວຍຕົວໜັງສືນ້ອຍໆໄວ້ໃຕ້ສັບເດີມ. 	
ກະສຽນ	ວ.	ສ້ຽງໄປ, ໝົດໄປ. (ສ. ກສິນ) 	
ກະສຽນອາຍຸ	ຜູ່ມີອາຍຸເຖິງເຂດແລ້ວ (ສ. ກສິນາຍຸສ): (ຄຳນີ້ບູຮານໝາຍເອົາຄົນຜູ່ມີອາຍຸພົ້ນ    ກຳໜົດເກນ ຄືຜູ່ເຖິງຊະຣາແລ້ວ ເອີ້ນວ່າອາຍຸກະສຽນ ແຕ່ທຸກວັນນີ້ໝາຍເອົາຜູ່ມີ    ອາຍຸເຖິງ 18 ປີແລ້ວຂຶ້ນໄປ)  	
ກະສວນ	ນ.	ສ່ວນ. 	
ກະສາບ	ນ.	ນໍ້າໜັກເງິນຕາທໍ່ກັບ 4 ບາດ (ສ. ກສາປນ)  "ຮ້ອຍກະສາບໄດ້ຍໍໃຫ້ແກ່ພາມ"    (ຈາກອາກອນເຣື່ອງເວດສັນຕຣະ) 	
ກະເສີມ	ນ.	ຄວາມສຳຣານ, ຄວາມສນຸກສຸກສະບາຍ, ຄວາມຈະເຣີນ (ສ. ກເສມ ປ. ເຂມ) 	
ກະຊະ	ນ.	ໄມ້ໄຜ່ປ່າແນວນຶ່ງ ມັກເກີດຕາມແຄມນໍ້າ. 	
ກະຊ້າ	ນ.	ພາຊນະ ສານດ້ວຍໄມ້ໄຜ່ ຫລືຂອງອື່ນສຳລັບໃສ່ສິ່ງຂອງ. "ຈວງຈັນຫລ້າງຂອງແພງ ທາງເທດ    ສັງຊິມາຄວ່າຫ້ອຍຫູກະຊ້າທ່ຽວຂາຍ" (ຄຳກອນບູຮານ) 	
ກະແຊ	ນ.	ຊື່ການຫລິ້ນຢ່າງນຶ່ງຂອງພວກລາວເໜືອ. 	
ກະແຊ	ນ.	ຊື່ພຍາດເຈັບທ້ອງຢ່າງນຶ່ງ ມີອາການເຈັບສຽບ. 	
ກະໂຊ້	ນ.	ເຄື່ອງໃຊ້ສານດ້ວຍໄມ້ໄຜ່ມີ 2 ຢ່າງ ຄື: 1/ກະໂຊ້ສະນໍ້າ ຮູບຍາວ ມີຄັນຈັບ.     2/ກະໂຊ້ກຽນສຳລັບປູພື້ນກຽນ ເພື່ອຮອງສິ່ງຂອງ. 	
ກະໂຊ້	ນ.	ຊື່ແມງແນວນຶ່ງຕົວນ້ອຍ ຢູ່ໃນນໍ້າ ຮູບຄືກະໂຊ້ສະນໍ້າ. 	
ກະເຊີ	ນ.	ເຄື່ອງສານດ້ວຍໄມ້ໄຜ່ຮູບຄືກະບຸງ ແຕ່ປາກກວ້າງກົ້ນຮອມ. 	
ກະເຊົາ	ນ.	ກະຊ້າ. "ສາຍກະເຊົາຫ້ອຍບ່າໄວ້ ກໍມາຊຸດຫລຸດຕົກເສັຍ" (ເວດສັນຕຣະຊາດົກ) 	
ກະຊັກ	ນ.	ຊື່ພູໜ່ວຍນຶ່ງໃນແຂວງຫລວງພຣະບາງ ເຊີ່ງລາວເທິງພວກນຶ່ງອາໄສຢູ່ເທິງພູນີ້    ເອີ້ນວ່າ ພູກະຊັກ. 	
ກະຊາກ	ກ.	ດຶງມາໂດຍແຮງ, ຊາກມາ. 	
ກະຊັງ	ກ.	ຟ້າວຕື່ນໃນຂະນະທີ່ກຳລັງຝັນ. "ຣາຕີຂ້ອນເລີຍກະຊັງສະດຸ້ງຕື່ນ" 	
ກະແຊງ	ນ.	ຊື່ເຮືອໃຫຍ່ທີ່ມີແປ້ນບອງຂ້າງສຳລັບຍ່າງຖໍ່ເອີ້ນວ່າ ເຮືອກະແຊງ. 	
ກະຊວງ	ນ.	ສະຖານທີ່ທຳຣາຊການຂອງຣັຖບານ ອັນເປັນບ່ອນໂຮມກິຈການຂອງປະເທດສ່ວນນຶ່ງໆ    ເຊີ່ງມີຫົວໜ້າເປັນຣັຖມຸນຕີ. 	
ກະຊາຍ	ນ.	ຜັກແນວນຶ່ງຈຳພວກຫວ້ານ ມີກິ່ນຫອມ ຫົວແລະຮາກໃຊ້ເປັນອາຫານໄດ້. 	
ກະຊອນ	ນ.	ເຄື່ອງສຳລັບຕັກອາຫານສານດ້ວຍລວດ ຫລືໄມ້ໄຜ່ກໍມີ ມີຄັນສຳລັບຈັບຕັກ (ຕ່ອງຊອນ    ຫລືກະຕ່ອງຊອນ ກໍເອີ້ນ) 	
ກະຊອນ	ນ.	ແມງແນວນຶ່ງໝົ້ນຢູ່ຕາມດິນ ຕົວນ້ອຍໆທີ່ຂາໜ້າມີກ້າມໃຫຍ່ສຳລັບໃຊ້ເບີກທາງ    (ແມງຊອນ ຫລື ຈີ່ຊອນ ກໍເອີ້ນ) 	
ກະຊິບ	ກ.	ເວົ້າຄ່ອຍໆໃກ້ຫູ, ສໍ່າ ຫລືສຶ່ມໃສ່ຫູ. 	
ກະຊິບກະຊາບ	ວ.	ອາການເວົ້າຄ່ອຍໆແລະຟ້າວ. 	
ກະຊາມ	ວ.	ກະເທີນ, ເຖິງຍາມ.  "ເດືອນ 12 ມາຮອດແລ້ວພໍກະຊາມໄຂ້ສັ່ນ ປີນີ້ເດືອນຍີ່ມາ    ແລ່ນຮ້ອນເດືອນ 5 ຕ່າວໜາວ" (ຄຳກອນບູຮານ) 	
ກະຍ່າ	ນ.	ຜັກແນວນຶ່ງ ກິ່ນຂິວ ໃບເປັນສ້ອຍ ຕາມກ້ານແລະຕົ້ນມີໜາມ (ກ້ານຍ່າ ຫລື ກ້ານຫຍ້າ    ກໍເອີ້ນ) 	
ກະຍາຫານ	ນ.	ເຄື່ອງກິນ, ອາຫານ (ຂ.) 	
ກະຍູງ	ນ.	ໄມ້ແນວນຶ່ງແກ່ນສີດຳແດງ ເປັນໄມ້ຢ່າງດີທີ 1 (ໄມ້ຍູງ ກໍວ່າ) 	
ກະແຍງ	ນ.	ຊື່ປາແນວນຶ່ງ ຕົວນ້ອຍ ມີງ່ຽງຢູ່ແຄມຫູແລະສັນຫລັງ. 	
ກະແຍງ	ນ.	ຊື່ຜັກແນວນຶ່ງ ກິ່ນຂິວ ເກີດຕາມໄຮ່ນາໃນຣະດູຝົນ. 	
ກະແຍງໂຄ	ນ.	ປາກະແຍງແນວຕົວໃຫຍ່. 	
ກະໂຍມ	ນ.	ຄົນຊາວບ້ານ. (ເປັນຄຳພຣະພິກຂຸເອີ້ນຊາວບ້ານ)  	
ກະຍອມ	ນ.	ໄມ້ແນວນຶ່ງແກ່ນແຂງຄືໄມ້ແຄນ ດອກເປັນພົ້ວສີຂາວ ກິ່ນຫອມ ເປັນດອກໃນຣະດູເດືອນ 3    ເດືອນ 4. 	
ກະເຍີມ	ວ.	ຕາມແຕ່ຈະເປັນ. 	
ກະດີ	ນ.	ເຮືອນຂອງພິກຂຸ (ປ. ກຸຕິ) 	
ກະດໍ	ນ.	ອະວັຍວະ ຂອງຄົນຊາຍແລະສັດຕົວຜູ້, ເດືອຍທີ່ຕັ້ງຊັນຂຶ້ນສຳລັບມີແນວສຸບໃສ່. 	
ກະດໍ້	ວ.	ໂພດ, ເຫລືອ. 	
ກະໄດ	ນ.	
