#no sort

GEN 4:13	@<p-n> Gênesis  4:13</p-n>	<p>E disse Caim ao SENHOR: Grande é minha iniquidade para ser perdoada.  
GEN 4:14	@<p-n> Gênesis  4:14</p-n>	<p>Eis que me expulsas hoje da face da terra, e de tua presença me esconderei; e serei errante e fugitivo na terra; e sucederá que qualquer um que me achar, me matará.  
GEN 4:15	@<p-n> Gênesis  4:15</p-n>	<p>E respondeu-lhe o SENHOR: Certo que qualquer um que matar a Caim, sete vezes será castigado. Então o SENHOR pôs sinal em Caim, para que não o ferisse qualquer um que o achasse.  
GEN 4:16	@<p-n> Gênesis  4:16</p-n>	<p>E saiu Caim de diante do SENHOR, e habitou na terra de Node, ao oriente de Éden.  
GEN 4:17	@<p-n> Gênesis  4:17</p-n>	<p>E conheceu Caim a sua mulher, a qual concebeu e deu à luz a Enoque: e edificou uma cidade, e chamou o nome da cidade do nome de seu filho, Enoque.  
GEN 4:18	@<p-n> Gênesis  4:18</p-n>	<p>E a Enoque nasceu Irade, e Irade gerou a Meujael, e Meujael gerou a Metusael, e Metusael gerou a Lameque.  
GEN 4:19	@<p-n> Gênesis  4:19</p-n>	<p>E tomou para si Lameque duas mulheres; o nome de uma foi Ada, e o nome da outra Zilá.  
GEN 4:20	@<p-n> Gênesis  4:20</p-n>	<p>E Ada deu à luz a Jabal, o qual foi pai dos que habitam em tendas, e criam gados.  
GEN 4:21	@<p-n> Gênesis  4:21</p-n>	<p>E o nome de seu irmão foi Jubal, o qual foi pai de todos os que manejam harpa e flauta.  
GEN 4:22	@<p-n> Gênesis  4:22</p-n>	<p>E Zilá também deu à luz a Tubalcaim, feitor de toda obra de bronze e de ferro: e a irmã de Tubalcaim foi Naamá.  
GEN 4:23	@<p-n> Gênesis  4:23</p-n>	<p>E disse Lameque a suas mulheres: Ada e Zilá, ouvi minha voz; Mulheres de Lameque, escutai meu dito: Que matei um homem por ter me ferido, E um rapaz por ter me golpeado:  
GEN 4:24	@<p-n> Gênesis  4:24</p-n>	<p>Se sete vezes será vingado Caim, Lameque em verdade setenta vezes sete o será.  
GEN 4:25	@<p-n> Gênesis  4:25</p-n>	<p>E conheceu de novo Adão à sua mulher, a qual deu à luz um filho, e chamou seu nome Sete: Porque Deus (disse ela) me substituiu outra descendência em lugar de Abel, a quem matou Caim.  
GEN 4:26	@<p-n> Gênesis  4:26</p-n>	<p>E a Sete também lhe nasceu um filho, e chamou seu nome Enos. Então os homens começaram a invocar o nome do SENHOR.   </p>
GEN 5:1	@<p-n> Gênesis  5:1</p-n>	<p>Este é o livro das gerações de Adão. No dia em que criou Deus ao ser humano, à semelhança de Deus o fez;  
GEN 5:2	@<p-n> Gênesis  5:2</p-n>	<p>Macho e fêmea os criou; e os abençoou, e chamou o nome deles Adão, no dia em que foram criados.  
GEN 5:3	@<p-n> Gênesis  5:3</p-n>	<p>E viveu Adão cento e trinta anos, e gerou um filho à sua semelhança, conforme sua imagem, e chamou seu nome Sete.  
GEN 5:4	@<p-n> Gênesis  5:4</p-n>	<p>E foram os dias de Adão, depois que gerou a Sete, oitocentos anos: e gerou filhos e filhas.  
GEN 5:5	@<p-n> Gênesis  5:5</p-n>	<p>E foram todos os dias que viveu Adão novecentos e trinta anos, e morreu.  
GEN 5:6	@<p-n> Gênesis  5:6</p-n>	<p>E viveu Sete cento e cinco anos, e gerou a Enos.  
GEN 5:7	@<p-n> Gênesis  5:7</p-n>	<p>E viveu Sete, depois que gerou a Enos, oitocentos e sete anos: e gerou filhos e filhas.  
GEN 5:8	@<p-n> Gênesis  5:8</p-n>	<p>E foram todos os dias de Sete novecentos e doze anos; e morreu.  
GEN 5:9	@<p-n> Gênesis  5:9</p-n>	<p>E viveu Enos noventa anos, e gerou a Cainã.  
GEN 5:10	@<p-n> Gênesis  5:10</p-n>	<p>E viveu Enos depois que gerou a Cainã, oitocentos e quinze anos: e gerou filhos e filhas.  
GEN 5:11	@<p-n> Gênesis  5:11</p-n>	<p>E foram todos os dias de Enos novecentos e cinco anos; e morreu.  
GEN 5:12	@<p-n> Gênesis  5:12</p-n>	<p>E viveu Cainã setenta anos, e gerou a Maalalel.  
GEN 5:13	@<p-n> Gênesis  5:13</p-n>	<p>E viveu Cainã, depois que gerou a Maalalel, oitocentos e quarenta anos: e gerou filhos e filhas.  
GEN 5:14	@<p-n> Gênesis  5:14</p-n>	<p>E foram todos os dias de Cainã novecentos e dez anos; e morreu.  
GEN 5:15	@<p-n> Gênesis  5:15</p-n>	<p>E viveu Maalalel sessenta e cinco anos, e gerou a Jarede.  
GEN 5:16	@<p-n> Gênesis  5:16</p-n>	<p>E viveu Maalalel, depois que gerou a Jarede, oitocentos e trinta anos: e gerou filhos e filhas.  
GEN 5:17	@<p-n> Gênesis  5:17</p-n>	<p>E foram todos os dias de Maalalel oitocentos noventa e cinco anos; e morreu.  
GEN 5:18	@<p-n> Gênesis  5:18</p-n>	<p>E viveu Jarede cento e sessenta e dois anos, e gerou a Enoque.  
GEN 5:19	@<p-n> Gênesis  5:19</p-n>	<p>E viveu Jarede, depois que gerou a Enoque, oitocentos anos: e gerou filhos e filhas.  
GEN 5:20	@<p-n> Gênesis  5:20</p-n>	<p>E foram todos os dias de Jarede novecentos e sessenta e dois anos; e morreu.  
GEN 5:21	@<p-n> Gênesis  5:21</p-n>	<p>E viveu Enoque sessenta e cinco anos, e gerou a Matusalém.  
GEN 5:22	@<p-n> Gênesis  5:22</p-n>	<p>E caminhou Enoque com Deus, depois que gerou a Matusalém, trezentos anos: e gerou filhos e filhas.  
GEN 5:23	@<p-n> Gênesis  5:23</p-n>	<p>E foram todos os dias de Enoque trezentos sessenta e cinco anos.  
GEN 5:24	@<p-n> Gênesis  5:24</p-n>	<p>Caminhou, pois, Enoque com Deus, e desapareceu, porque Deus o levou.  
GEN 5:25	@<p-n> Gênesis  5:25</p-n>	<p>E viveu Matusalém cento e oitenta e sete anos, e gerou a Lameque.  
GEN 5:26	@<p-n> Gênesis  5:26</p-n>	<p>E viveu Matusalém, depois que gerou a Lameque, setecentos e oitenta e dois anos: e gerou filhos e filhas.  
GEN 5:27	@<p-n> Gênesis  5:27</p-n>	<p>Foram, pois, todos os dias de Matusalém, novecentos e sessenta e nove anos; e morreu.  
GEN 5:28	@<p-n> Gênesis  5:28</p-n>	<p>E viveu Lameque cento e oitenta e dois anos, e gerou um filho:  
GEN 5:29	@<p-n> Gênesis  5:29</p-n>	<p>E chamou seu nome Noé, dizendo: Este nos aliviará de nossas obras, e do trabalho de nossas mãos, por causa da terra que o SENHOR amaldiçoou.  
GEN 5:30	@<p-n> Gênesis  5:30</p-n>	<p>E viveu Lameque, depois que gerou a Noé, quinhentos noventa e cinco anos: e gerou filhos e filhas.  
GEN 5:31	@<p-n> Gênesis  5:31</p-n>	<p>E foram todos os dias de Lameque setecentos e setenta e sete anos; e morreu.  
GEN 5:32	@<p-n> Gênesis  5:32</p-n>	<p>E sendo Noé de quinhentos anos, gerou a Sem, Cam, e a Jafé.   </p>
GEN 6:1	@<p-n> Gênesis  6:1</p-n>	<p>E aconteceu que, quando começaram os homens a multiplicar-se sobre a face da terra, e lhes nasceram filhas,  
GEN 6:2	@<p-n> Gênesis  6:2</p-n>	<p>Vendo os filhos de Deus que as filhas dos homens eram belas, tomaram para si mulheres, escolhendo entre todas.  
GEN 6:3	@<p-n> Gênesis  6:3</p-n>	<p>E disse o SENHOR: Não brigará meu espírito com o ser humano para sempre, porque certamente ele é carne: mas serão seus dias cento e vinte anos.  
GEN 6:4	@<p-n> Gênesis  6:4</p-n>	<p>Havia gigantes na terra naqueles dias, e também depois que entraram os filhos de Deus às filhas dos homens, e lhes geraram filhos: estes foram os valentes que desde a antiguidade foram homens de renome.  
GEN 6:5	@<p-n> Gênesis  6:5</p-n>	<p>E o SENHOR viu que a maldade dos seres humanos era muita na terra, e que todo desígnio dos pensamentos dos seus corações era só mau continuamente.  
GEN 6:6	@<p-n> Gênesis  6:6</p-n>	<p>E o SENHOR se arrependeu de haver feito o ser humano na terra, e pesou-lhe em seu coração.  
GEN 6:7	@<p-n> Gênesis  6:7</p-n>	<p>E disse o SENHOR: Apagarei os seres humanos que criei de sobre a face da terra, desde o ser humano até o animal, e até o réptil e as aves do céu; porque me arrependo de havê-los feito.  
GEN 6:8	@<p-n> Gênesis  6:8</p-n>	<p>Porém Noé achou favor aos olhos do SENHOR.  
GEN 6:9	@<p-n> Gênesis  6:9</p-n>	<p>Estas são as gerações de Noé: Noé, homem justo, foi íntegro em suas gerações; Noé andava com Deus.  
GEN 6:10	@<p-n> Gênesis  6:10</p-n>	<p>E gerou Noé três filhos: a Sem, a Cam, e a Jafé.  
GEN 6:11	@<p-n> Gênesis  6:11</p-n>	<p>Porém a terra se corrompeu diante de Deus, e a terra encheu-se de violência.  
GEN 6:12	@<p-n> Gênesis  6:12</p-n>	<p>E Deus olhou a terra, e eis que estava corrompida; porque toda carne  havia corrompido seu caminho sobre a terra.  
GEN 6:13	@<p-n> Gênesis  6:13</p-n>	<p>E disse Deus a Noé: O fim de toda carne veio diante de mim; porque a terra está cheia de violência por causa deles; e eis que eu os destruirei com a terra.  
GEN 6:14	@<p-n> Gênesis  6:14</p-n>	<p>Faze-te uma arca de madeira de gôfer: farás aposentos na arca e a selarás com betume por dentro e por fora.  
GEN 6:15	@<p-n> Gênesis  6:15</p-n>	<p>E desta maneira a farás: de trezentos côvados o comprimento da arca, de cinquenta côvados sua largura, e de trinta côvados sua altura.  
GEN 6:16	@<p-n> Gênesis  6:16</p-n>	<p>Uma janela farás à arca, e a acabarás a um côvado de elevação pela parte de cima: e porás a porta da arca a seu lado; e lhe farás piso abaixo, segundo e terceiro.  
GEN 6:17	@<p-n> Gênesis  6:17</p-n>	<p>E eu, eis que eu trago um dilúvio de águas sobre a terra, para destruir toda carne em que haja espírito de vida debaixo do céu; tudo o que há na terra morrerá.  
GEN 6:18	@<p-n> Gênesis  6:18</p-n>	<p>Mas estabelecerei meu pacto contigo, e entrarás na arca tu, e teus filhos e tua mulher, e as mulheres de teus filhos contigo.  
GEN 6:19	@<p-n> Gênesis  6:19</p-n>	<p>E de tudo o que vive, de toda carne, dois de cada espécie porás na arca, para que tenham vida contigo; macho e fêmea serão.  
GEN 6:20	@<p-n> Gênesis  6:20</p-n>	<p>Das aves segundo sua espécie, e dos animais segundo sua espécie, de todo réptil da terra segundo sua espécie, dois de cada espécie entrarão contigo para que tenham vida.  
GEN 6:21	@<p-n> Gênesis  6:21</p-n>	<p>E toma contigo de toda comida que se come, e traga-a a ti; servirá de alimento para ti e para eles.  
GEN 6:22	@<p-n> Gênesis  6:22</p-n>	<p>E o fez assim Noé; fez conforme tudo o que Deus lhe mandou.   </p>
GEN 7:1	@<p-n> Gênesis  7:1</p-n>	<p>E o SENHOR disse a Noé: Entra tu e toda tua casa na arca porque a ti vi justo diante de mim nesta geração.  
GEN 7:2	@<p-n> Gênesis  7:2</p-n>	<p>De todo animal limpo tomarás de sete em sete, macho e sua fêmea; mas dos animais que não são limpos, dois, macho e sua fêmea.  
GEN 7:3	@<p-n> Gênesis  7:3</p-n>	<p>Também das aves dos céus de sete em sete, macho e fêmea; para guardar em vida a descendência sobre a face de toda a terra.  
GEN 7:4	@<p-n> Gênesis  7:4</p-n>	<p>Porque passados ainda sete dias, eu farei chover sobre a terra quarenta dias e quarenta noites; e apagarei toda criatura que fiz de sobre a face da terra.  
GEN 7:5	@<p-n> Gênesis  7:5</p-n>	<p>E fez Noé conforme tudo o que lhe mandou o SENHOR.  
GEN 7:6	@<p-n> Gênesis  7:6</p-n>	<p>E sendo Noé de seiscentos anos, o dilúvio das águas foi sobre a terra.  
GEN 7:7	@<p-n> Gênesis  7:7</p-n>	<p>E veio Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com ele à arca, por causa das águas do dilúvio.  
GEN 7:8	@<p-n> Gênesis  7:8</p-n>	<p>Dos animais limpos, e dos animais que não eram limpos, e das aves, e de todo o que anda arrastando sobre a terra,  
GEN 7:9	@<p-n> Gênesis  7:9</p-n>	<p>De dois em dois entraram a Noé na arca: macho e fêmea, como mandou Deus a Noé.  
GEN 7:10	@<p-n> Gênesis  7:10</p-n>	<p>E sucedeu que ao sétimo dia as águas do dilúvio foram sobre a terra.  
