a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
abalo	masculine noun <ol><li>1 Geology tremor <br><p-l>XXX um abalo de terra/sísmico </p-l>YYYan earth/a seismic tremor </li><li>2 (comoção) shock <br><p-l>XXX sofrer/provocar um grande abalo </p-l>YYYto get/cause a big shock <br><p-l>XXX um abalo emocional/psicológico </p-l>YYYan emotional/psychological shock </li><li>3 (trepidação) shaking, shuddering </li><li>4 Economics (recessão) decline </li><li>5 (tumulto) commotion </li></ol>
abalroamento	masculine noun <ol><li>1 Nautical collision </li><li>2 Motor Vehicles (de veículos) collision, crash </li><li>3 (destruição) collapse </li></ol>
abalroar	<ul><li>A transitive verb <ol><li>1 Nautical to collide with ‹embarcação› </li><li>2 (colidir com) to run or crash into ‹veículo› <br><p-l>XXX o caminhão abalroou o muro </p-l>YYYthe truck ran into the wall </li><li>3 humorous (atropelar) to wreck </li><li>B intransitive verb <br>Nautical «embarcação» to collide <br><p-l>XXX a canoa abalroou contra o cais </p-l>YYYthe canoe collided with the jetty </li><li>C abalroar-se pronominal verb <ol><li>1 (colidir) «veículos» to collide, to crash <br><p-l>XXX um automóvel e uma motocicleta abalroaram-se na estrada </p-l>YYYa car and a motorbike collided or crashed in the street <br><p-l>XXX abalroar-se com algo </p-l>YYYto collide with sth, to crash into sth </li><li>2 (colidir com) «veículo» to collide </li></ol></li></ul>
abalroação	feminine noun <br>▶ abalroamento 
abanadela	feminine noun Portugal informal <ol><li>1 (de cauda) wag </li><li>2 (agitamento) shake </li></ol>
abanador	masculine noun Brazil <br>fan 
abananado	adjective Portugal <ol><li>1 (semelhante à banana) banana-like ‹sabor› </li><li>2 informal (aparvalhado) stunned ‹pessoa› <br><p-l>XXX estar or ficar abananado </p-l>YYYto be stunned </li><li>3 informal (aturdido) confused ‹pessoa› </li></ol>
abanar	<ul><li>A transitive verb <ol><li>1 (fazer sinal de não) to shake ‹cabeça› <br><p-l>XXX abanou a cabeça em tom de reprovação </p-l>YYYhe shook his head disapprovingly </li><li>2 (agitar o ar) to fan ‹fumaça, brasas› </li><li>3 (refrescar) to fan ‹pessoa, parte do corpo› <br><p-l>XXX tirou o chapéu e abanou o rosto </p-l>YYYhe took off his hat and fanned his face </li><li>4 (sacudir) to shake <br><p-l>XXX o vento abanava os ramos </p-l>YYYthe wind shook the branches </li><li>5 (agitar) to wag ‹cauda, rabo› </li><li>B intransitive verb <ol><li>1 (oscilar) «construção» to shake </li><li>2 informal humorous (estremecer) to shake </li><li>C abanar-se pronominal verb <br>(refrescar-se) to fan oneself <br><p-l>XXX abanava-se com o chapéu </p-l>YYYhe fanned himself with the hat <br>EXPRESSÕES <br>abanar as ancas <br>Portugal informal humorous to shake one's booty informal <br>abanar o capacete/esqueleto <br>Portugal informal humorous to dance, to jig about informal </li></ol></li></ul>
abancar	<ul><li>A intransitive verb informal <ol><li>1 (sentar-se) «pessoa» to sit <br><p-l>XXX abanca aí! </p-l>YYYsit there! </li><li>2 (permanecer) «pessoa» to stay <br><p-l>XXX ele abancou ali durante um bom tempo </p-l>YYYhe stayed there a long time </li><li>B abancar-se pronominal verb informal <ol><li>1 (sentar-se) «pessoa» to sit down </li><li>2 (permanecer longamente) «pessoa» to settle down </li></ol></li></ul>
abandalhado	adjective Portugal informal <br>(desleixado) messy ‹ar, roupa, pessoa› 
abandalhamento	masculine noun Portugal <ol><li>1 (perda de dignidade) degradation </li><li>2 (desleixo) laxity, laxness </li></ol>
abandalhar	<ul><li>A transitive verb Portugal informal <ol><li>1 (enxovalhar) to lower the tone of ‹conversa, debate› </li><li>2 (descurar) to massacre informal ‹língua› </li><li>B abandalhar-se pronominal verb <br>Portugal (descuidar-se) «pessoa» to let oneself go informal <br><p-l>XXX ele foi-se abandalhando </p-l>YYYhe let himself go </li></ol></li></ul>
abandon	<ul><li>A transitive verb <ol><li>1 (leave behind) abandonar ‹child, position› <br><p-l>XXX to abandon sb to their fate </p-l>YYYabandonar alguém ao seu destino <br><p-l>XXX to abandon one's post </p-l>YYYabandonar o posto <br><p-l>XXX to abandon ship </p-l>YYYabandonar o navio <br><p-l>XXX to abandon territory to the enemy </p-l>YYYabandonar o território ao inimigo </li><li>2 (relinquish) abandonar ‹hope, belief› <br><p-l>XXX they abandoned any hope of victory </p-l>YYYabandonaram qualquer esperança de vitória </li><li>3 (cancel) interromper ‹game, match, prosecution› <br><p-l>XXX the game was abandoned after the pitch was invaded </p-l>YYYo jogo foi interrompido depois que o campo foi invadido </li><li>B to abandon oneself reflexive verb <br><p-l>XXX to abandon oneself to sth </p-l>YYYentregar-se a algo <br><p-l>XXX to abandon oneself to a life of pleasure </p-l>YYYentregar-se a uma vida de prazeres <br><p-l>XXX to abandon oneself to despair </p-l>YYYentregar-se ao desespero </li><li>C noun uncountable <br>literary despreocupação f <br><p-l>XXX with gay or wild abandon </p-l>YYYcom alegre or ousada despreocupação <br><p-l>XXX they launched themselves with abandon into a frenetic dance </p-l>YYYeles se lançaram sem inibição em uma dança frenética </li></ol></li></ul>
abandonado	adjective <br>abandoned ‹local, edifício, animal, pessoa› <br><p-l>XXX um cachorrinho abandonado </p-l>YYYan abandoned puppy <br><p-l>XXX ele vivia num prédio abandonado </p-l>YYYhe lived in an abandoned building 
abandonar	<ul><li>A transitive verb <ol><li>1 (retirar-se) to leave ‹lugar› <br><p-l>XXX os turistas abandonam o país </p-l>YYYtourists are leaving the country </li><li>2 (deixar) to leave ‹esposo, esposa, família› <br><p-l>XXX nunca irei abandonar vocês </p-l>YYYI'll never leave you <br><p-l>XXX esse pensamento não me abandonava </p-l>YYYthat thought remained with me </li><li>3 (renunciar a) to abandon ‹ideia, projeto, corrida› <br><p-l>XXX ela abandonou a carreira teatral </p-l>YYYshe abandoned her acting career </li><li>4 (largar em) to abandon ‹veículo, objeto› <br><p-l>XXX o carro foi abandonado na rua </p-l>YYYthe car was abandoned in the street </li><li>5 (desamparar) to abandon ‹pessoa› <br><p-l>XXX abandonar alguém à sua sorte </p-l>YYYto abandon sb to their fate </li><li>B abandonar-se pronominal verb <br>(entregar-se) to give oneself up <br><p-l>XXX decidiu abandonar-se nas mãos de Deus </p-l>YYYhe decided to give himself up to God's care <br>EXPRESSÃO <br>abandonar o barco <br>to leave the sinking ship; <br>to abandon ship </li></ol></li></ul>
abandoned	adjective <ol><li>1 (left behind) abandonado ‹building, possession, child› <br><p-l>XXX abandoned children </p-l>YYYcrianças abandonadas <br><p-l>XXX an abandoned car </p-l>YYYum carro abandonado </li><li>2 (wild) desmedido ‹movements, gestures, dancing› <br><p-l>XXX the abandoned movements of the dancers </p-l>YYYos movimentos desmedidos dos dançarinos </li><li>3 archaic (dissipated) desinibido ‹behavior, person› </li></ol>
