a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
parafuso de arquimedes	masculine noun <br>Archimedes' screw 
parafuso phillips	@parafuso Estrela Mechanics <br>masculine noun <br>Phillips screw 
parafuso sem fim	masculine noun <br>endless or worm screw 
paragem	<ul><li>A feminine noun <ol><li>1 (parada) stop <br><p-l>XXX paragem de emergência </p-l>YYYemergency stop </li><li>2 Medicine failure <br><p-l>XXX uma paragem cardíaca </p-l>YYYheart failure </li><li>3 (pausa) break <br><p-l>XXX vamos fazer uma pequena paragem? </p-l>YYYshall we have a short break? </li><li>4 Transport stop </li><li>B paragens feminine plural noun <br>(sítio) area (sing) <br>▸ não conheço essas paragens </li><li>I don't know this area </li></ol></li></ul>
paragem de bonde	feminine noun <br>streetcar stop US, tram stop British 
paragem de ônibus	feminine noun <br>bus stop 
paraglider	noun <ol><li>1 (canopy) parapente m </li><li>2 (person) parapentista mf </li></ol>
paragliding	noun <br>uncountable parapente m <br><p-l>XXX to go paragliding </p-l>YYYfazer parapente 
paragoge	feminine noun Linguistics <br>paragoge 
paragon	noun <ol><li>1 (perfect example) modelo m <br><p-l>XXX a paragon of virtue/honesty/politeness </p-l>YYYum modelo de virtude/honestidade/educação </li><li>2 (model of excellence) referência f <br><p-l>XXX you can't expect politicians to be moral paragons </p-l>YYYnão se pode esperar que os políticos sejam referências morais </li></ol>
paragraph	<ul><li>A noun <ol><li>1 (section of text) parágrafo m </li><li>2 (article) parágrafo m </li><li>3 (also paragraph mark) Printing pé m  de mosca </li><li>B transitive verb <br>dividir em parágrafos ‹page, piece of writing› </li></ol></li></ul>
paraguai	proper noun <br>Paraguay 
paraguaio	<ul><li>A paraguaia masculine noun, feminine noun <br>(natural ou habitante do Paraguai) Paraguayan </li><li>B adjective <ol><li>1 (do Paraguai) Paraguayan </li><li>2 (relativo ao Paraguai) Paraguayan ‹território, economia› </li></ol></li></ul>
paraguay	proper noun <br>Paraguai m 
paraguayan	<ul><li>A adjective <br>paraguaio ‹city, people, culture› </li><li>B noun <br>paraguaio m / paraguaia f </li></ul>
paraibano	<ul><li>A adjective <br>from/of the state of Paraíba </li><li>B paraibana masculine noun, feminine noun: <br>person from the state of Paraíba </li></ul>
parakeet	noun <br>periquito m 
para-lama	@para-lamas <br>masculine noun pl para-lamas Brazil <br>mud flap US, mudguard British 
paralaxe	feminine noun <br>parallax 
paralela	<ul><li>A feminine noun <br>Mathematics parallel line <br><p-l>XXX traçar uma paralela </p-l>YYYto draw a parallel line </li><li>B paralelas feminine plural noun Brazil <br>(aparelho de ginástica) bars <br><p-l>XXX paralelas assimétricas </p-l>YYYuneven bars US, asymmetric bars British </li></ul>
paralelamente	adverb <ol><li>1 (simultaneamente) in parallel ‹decorrer, desenvolver, realizar-se› <br><p-l>XXX paralelamente às plenárias serão realizadas workshops </p-l>YYYthere will be workshops running in parallel with the main sessions </li><li>2 (a uma distância constante) parallel </li></ol>
paralelepípedo	masculine noun <ol><li>1 Mathematics parallelepiped </li><li>2 (para pavimentação) block <br><p-l>XXX a pavimentação em paralelepípedo </p-l>YYYblock paving <br><p-l>XXX assentar paralelepípedos </p-l>YYYto lay block paving </li></ol>
paralelismo	masculine noun <br>parallelism 
paralelo	<ul><li>A adjective <ol><li>1 Mathematics parallel ‹linha, reta› </li><li>2 (na mesma direção) parallel ‹avenida, caminho› <br><p-l>XXX uma rua paralela àquela em que eu moro </p-l>YYYa street that runs parallel with the one where I live <br><p-l>XXX ser paralelo a algo </p-l>YYYto be parallel to sth </li><li>3 (simultâneo) parallel ‹realidade, universo› ; concurrent ‹evento, atividade› <br><p-l>XXX uma economia paralela </p-l>YYYa parallel economy <br><p-l>XXX em paralelo </p-l>YYYin parallel <br><p-l>XXX em paralelo com os concertos, decorrem outras atividades </p-l>YYYother activities are running in parallel with the concerts </li><li>4 figurative (semelhante) parallel ‹situação› </li><li>B masculine noun <ol><li>1 figurative (comparação) parallel <br><p-l>XXX traçar or estabelecer um paralelo </p-l>YYYto draw a parallel <br><p-l>XXX sem paralelo(s) </p-l>YYYunparalleled <br><p-l>XXX é uma obra de arte sem paralelos </p-l>YYYit is an unparalleled work of art </li><li>2 Geography parallel </li></ol></li></ul>
paralelogramo	masculine noun Mathematics <br>parallelogram 
paralisante	adjective <ol><li>1 (incapacitante) paralyzing US, paralysing British ‹gás, toxina› </li><li>2 figurative paralyzing US, paralysing British, crippling ‹burocracia› ; <br>paralyzing US, paralysing British ‹medo› </li></ol>
paralisar	<ul><li>A transitive verb <ol><li>1 (imobilizar) to paralyze US, to paralyse British ‹parte do corpo› <br><p-l>XXX a trombose paralisou-lhe o lado direito </p-l>YYYthe stroke left him paralyzed on the left side </li><li>2 (fazer parar) to paralyze US, to paralyse British <br><p-l>XXX o pânico paralisou-o </p-l>YYYhe was paralyzed by panic <br><p-l>XXX a greve paralisou os transportes públicos </p-l>YYYthe strike shut down public transport <br><p-l>XXX a tempestade paralisou o trânsito </p-l>YYYthe storm brought the traffic to a halt </li><li>B intransitive verb <ol><li>1 (ficar paralítico) to become paralyzed US, to become paralysed British <br><p-l>XXX paralisou do lado esquerdo </p-l>YYYhe was paralyzed on the left side </li><li>2 (ficar incapaz de agir) to freeze <br><p-l>XXX ela paralisou de medo </p-l>YYYshe froze with fear </li><li>3 (parar) «transporte» to come to a halt <br><p-l>XXX 83 % do setor de transporte paralisaram </p-l>YYY83% of the transport sector came to a halt </li><li>C paralisar-se pronominal verb <ol><li>1 (sofrer paralisia) to become paralyzed US, to become paralysed British </li><li>2 (interromper-se) «situação» to come to a halt <br><p-l>XXX a vida como era conhecida paralisou-se </p-l>YYYlife as they knew it came to a halt </li></ol></li></ul>
paralisação	feminine noun <ol><li>1 (paragem) paralysis, standstill </li><li>2 (de trabalho) stoppage; (greve) strike; (da fábrica) shutdown <br><p-l>XXX uma paralisação parcial/geral </p-l>YYYa partial/general stoppage <br><p-l>XXX convocar/desconvocar uma paralisação </p-l>YYYto call/call off a strike <br><p-l>XXX não haverá paralisação dos trabalhos entre o Natal e o Ano Novo </p-l>YYYthere will be no shutdown between Christmas and New Year </li></ol>
paralisia	feminine noun <br>Medicine paralysis <br><p-l>XXX sofrer uma paralisia </p-l>YYYto become paralyzed 
paralisia agitante	feminine noun <br>Parkinson's disease 
paralisia cerebral	feminine noun <br>Medicine cerebral palsy 
paralisia de sono	feminine noun <br>Medicine sleep paralysis 
paralisia facial	feminine noun <br>Medicine facial palsy 
paralisia infantil	feminine noun <br>Medicine poliomyelitis 
parallel	<ul><li>A adjective <ol><li>1 Mathematics paralelo ‹lines, rows› <br><p-l>XXX parallel to or with sth </p-l>YYYparalelo a algo </li><li>2 (similar) paralelo ‹case, situation, circumstances› <br><p-l>XXX to develop along parallel lines </p-l>YYYdesenvolver em linhas paralelas </li><li>3 (concurrent) paralelo <br><p-l>XXX a parallel universe </p-l>YYYum universo paralelo </li><li>4 Electronics paralelo ‹circuit, connection› </li><li>B adverb <ol><li>1 (side by side) paralelamente ‹move› <br><p-l>XXX parallel to or with sth </p-l>YYYparalelamente a algo <br><p-l>XXX to swim parallel to the shore </p-l>YYYnadar paralelamente à costa <br><p-l>XXX to run parallel to or with the road </p-l>YYYcorrer paralelamente à estrada </li><li>2 (concurrently) paralelamente ‹develop› <br><p-l>XXX parallel to or with sth </p-l>YYYparalelamente a algo <br><p-l>XXX to evolve/develop parallel to one another </p-l>YYYevoluir/desenvolver paralelamente ao outro </li><li>C noun <ol><li>1 Mathematics paralela f </li><li>2 Geography paralelo m </li><li>3 (similarity, comparison) paralelo m <br><p-l>XXX to be on a parallel with sth </p-l>YYYestar em paralelo com algo <br><p-l>XXX to draw or establish a parallel between … </p-l>YYYfazer or estabelecer um paralelo entre … <br><p-l>XXX to develop/proceed in parallel </p-l>YYYdesenvolver/seguir em paralelo <br><p-l>XXX without parallel </p-l>YYYsem paralelos </li><li>4 Electronics paralelo m <br><p-l>XXX to be connected in parallel </p-l>YYYestar conectado em paralelo </li><li>D transitive verb pres p paralleling paralleled US parallelling parallelled <br>British <ol><li>1 (be side by side with) correr paralelamente </li><li>2 (be similar) assemelhar-se </li><li>3 (equal) ter paralelo </li><li>4 (find analogy in) ser comparável </li></ol></li></ul>
parallel bars	plural noun <br>barras fpl  paralelas 
parallelism	noun uncountable <br>paralelismo m 
parallel processing	noun <br>uncountable processamento m  em paralelo 
paralympic games	Paralympics  | pɛrəˈlɪmpɪks | <br>plural noun <br>Jogos mpl  Paralímpicos 
paralyse	transitive verb <br>British <br>= paralyze 
paralysis	noun uncountable  and countable pl paralyses  | pəˈræləsiz | <br>paralisia f <br><p-l>XXX paralysis of the arm </p-l>YYYparalisia do braço <br><p-l>XXX paralysis of the railroad network </p-l>YYYparalisia da rede ferroviária 
paralytic	adjective <ol><li>1 Medicine paralítico <br><p-l>XXX the incidence of paralytic disease </p-l>YYYa incidência de doença paralítica </li><li>2 pred British informal (drunk) bêbado m / bêbada f </li></ol>
paralyze	@paralyse British  | AmE ˈpɛrəˌlaɪz, BrE ˈparəlʌɪz | <br>transitive verb <br>paralisar 
paralítico	<ul><li>A adjective <br>paralyzed US, paralysed British <br><p-l>XXX estar/ficar paralítico </p-l>YYYto be paralyzed <br><p-l>XXX ela ficou paralítica após acidente de carro </p-l>YYYshe was left paralyzed after a car accident <br><p-l>XXX sofreu um derrame, que o deixou parcialmente paralítico </p-l>YYYhe had a stroke that left him partially paralyzed </li><li>B paralítica masculine noun, feminine noun <br>paralytic <br><p-l>XXX conseguir que os paralíticos movam seus membros </p-l>YYYto enable people who are paralyzed to regain movement in their limbs </li></ul>
paramedic	noun <br>paramédico m / paramédica f 
paramentar	<ul><li>A transitive verb <ol><li>1 (enfeitar) to decorate <br><p-l>XXX ele se encarrega de paramentar o altar </p-l>YYYhe is responsible for decorating or dressing the altar </li><li>2 (vestir) to dress ‹sacerdote› <br><p-l>XXX o frei foi paramentado com as vestes de presbítero </p-l>YYYthe friar was dressed in priest's vestments </li><li>B paramentar-se pronominal verb <ol><li>1 (vestir os paramentos) to dress <br><p-l>XXX nas ocasiões especiais, ele paramenta-se com trajes tradicionais </p-l>YYYhe dresses in traditional attire on special occasions </li><li>2 (enfeitar-se) to get dressed up <br><p-l>XXX ele paramentava-se ao espelho </p-l>YYYhe was getting dressed up in front of the mirror </li></ol></li></ul>
paramento	masculine noun <ol><li>1 Religion vestment <br><p-l>XXX paramentos litúrgicos </p-l>YYYliturgical vestments </li><li>2 Building face <br><p-l>XXX o paramento frontal da capela </p-l>YYYthe front face of the chapel </li><li>3 (enfeite) decoration </li></ol>
parameter	noun <ol><li>1 Mathematics parâmetro m </li><li>2 usu pl (limiting factor) parâmetro m <br><p-l>XXX to set/define the parameters of sth </p-l>YYYdefinir o parâmetro de algo <br><p-l>XXX within the parameters of sth </p-l>YYYdentro dos parâmetros de algo </li></ol>
paramilitar	adjective <br>paramilitary ‹corpo, força, organização› 
paramilitary	<ul><li>A adjective <br>paramilitar </li><li>B noun <br>paramilitar mf </li></ul>
paramount	adjective <ol><li>1 (most important) primordial <br><p-l>XXX to be paramountor to be of paramount importance </p-l>YYYser de importância primordial </li><li>2 before n (supreme) supremo ‹leader› </li></ol>
paramédico	<ul><li>A paramédica masculine noun, feminine noun <br>paramedic </li><li>B adjective <br>paramedic ‹profissional› <br><p-l>XXX serviços paramédicos </p-l>YYYparamedic services <br><p-l>XXX ele era paramédico </p-l>YYYhe was a paramedic </li></ul>
paranaense	<ul><li>A adjective <br>from/of the state of Paraná </li><li>B masculine and feminine noun: <br>person from the state of Paraná </li></ul>
parangona	feminine noun <br>Journalism headline <br><p-l>XXX nas parangonas dos jornais </p-l>YYYin the newspaper headlines 
paraninfo	paraninfa masculine noun, feminine noun Brazil <br>keynote speaker <br><p-l>XXX meu discurso de paraninfo aos formandos em Biologia </p-l>YYYmy address as a keynote speaker at the Biology graduation ceremony 
paranoia	feminine noun <ol><li>1 Psychology paranoia </li><li>2 informal (capricho) obsession <br><p-l>XXX tire essas paranoias da cabeça e curta sua vida </p-l>YYYstop obsessing and enjoy your life <br><p-l>XXX este fim de semana estava cheia de paranoias com a roupa </p-l>YYYthis weekend I was obsessing about my clothes <br>EXPRESSÃO <br>entrar em paranoia <br>to get into a panic </li></ol>
paranoiac	@paranoic  | AmE ˌpɛrəˈnɔɪɪk, ˌpɛrəˈnɔɪæk, BrE ˌparəˈnɔɪɪk, <br>ˌparəˈnɔɪak | <br>adjective <br>= paranoid 
paranoico	<ul><li>A paranoica masculine noun, feminine noun <br>Psychology paranoid, paranoiac </li><li>B adjective <br>paranoid <br><p-l>XXX ela era esquizofrênica e paranoica </p-l>YYYshe was a paranoid schizophrenic <br><p-l>XXX o país é paranoico com sua defesa </p-l>YYYthe country is paranoid about defense US or British  defence </li></ul>
paranoid	adjective <ol><li>1 Psychology paranoico ‹schizophrenia› <br><p-l>XXX paranoid delusion </p-l>YYYdelírio paranoico </li><li>2 (suspicious) paranoico ‹person, reaction› <br><p-l>XXX to be paranoid about sth </p-l>YYYestar paranoico com algo </li></ol>
paranormal	<ul><li>A adjective <br>paranormal ‹activity, phenomenon, experience› </li><li>B noun <br><p-l>XXX the paranormal </p-l>YYYo paranormal </li></ul>
parança	feminine noun <ol><li>1 (ato de parar) halt <br><p-l>XXX fez parança numa estalagem </p-l>YYYhe stopped at an inn </li><li>2 (descanso) break, rest <br><p-l>XXX trabalhar sem parança </p-l>YYYto work without a break, to work nonstop </li></ol>
parapeito	masculine noun <ol><li>1 (muro de proteção) parapet </li><li>2 (peitoril) sill <br><p-l>XXX o parapeito de uma janela </p-l>YYYthe windowsill </li></ol>
parapente	masculine noun Sport <br>paragliding <br><p-l>XXX fazer parapente </p-l>YYYto go paragliding 
parapet	noun <ol><li>1 Architecture parapeito m </li><li>2 Military parapeito m <br>IDIOM <br>to put or stick one's head above the parapet <br>arriscar o pescoço </li></ol>
paraphernalia	noun \\+ v sing or pl <ol><li>1 (items, equipment) parafernália f </li><li>2 British (trappings) parafernália f </li></ol>
paraphrase	<ul><li>A noun <br>paráfrase f </li><li>B transitive verb <br>parafrasear </li></ul>
paraplegia	feminine noun Medicine <br>paraplegia 
paraplegic	<ul><li>A adjective <br>paraplégico ‹man, patient, child› </li><li>B noun <br>paraplégico m / paraplégica f </li></ul>
paraplégico	<ul><li>A adjective Medicine <br>paraplegic <br><p-l>XXX estar/ficar paraplégico </p-l>YYYto be/become paraplegic <br><p-l>XXX ficou paraplégico após um acidente de carro </p-l>YYYhe was left paraplegic after a car accident </li><li>B paraplégica masculine noun, feminine noun Medicine <br>paraplegic </li></ul>
parapsicologia	feminine noun <br>Psychology parapsychology 
parapsicológico	adjective <br>Psychology parapsychological ‹estudo, capacidade› 
parapsicólogo	<ul><li>A parapsicóloga masculine noun, feminine noun <br>parapsychologist </li><li>B adjective <br>parapsychological </li></ul>
parapsychology	noun uncountable <br>parapsicologia f 
paraquedas	masculine noun <br>parachute <br><p-l>XXX realizar um salto de paraquedas </p-l>YYYto do a parachute jump <br>EXPRESSÕES <br>cair de paraquedas <br>to be thrown in at the deep end <br>aparecer de paraquedas <br>to pop up 
paraquedismo	masculine noun <br>parachuting 
paraquedista	<ul><li>A masculine and feminine noun <br>(civil) parachutist; (militar) paratrooper <br><p-l>XXX ele atuou 17 anos no batalhão de paraquedistas </p-l>YYYhe served for 17 years in the paratroop regiment </li><li>B adjective <br><p-l>XXX tropas paraquedistas </p-l>YYYparatroops </li></ul>
parar	<ul><li>A transitive verb <ol><li>1 (cessar a marcha) to stop ‹veículo› </li><li>2 (interromper) to stop ‹trânsito, hemorragias› </li><li>3 Sport to stop ‹jogada› </li><li>4 (abordar) to stop <br><p-l>XXX parar pessoas na rua </p-l>YYYto stop people in the street </li><li>B intransitive verb <ol><li>1 (cessar a marcha) «veículo» to stop </li><li>2 (ordem) stop <br><p-l>XXX pare! </p-l>YYYstop! </li><li>3 (fazer uma pausa) to stop <br><p-l>XXX parou para descansar </p-l>YYYhe stopped to rest </li><li>4 (deixar de funcionar) to stop <br><p-l>XXX o relógio havia parado </p-l>YYYthe clock had stopped </li><li>5 (cessar) to stop <br><p-l>XXX a hemorragia parou </p-l>YYYthe bleeding stopped <br><p-l>XXX parar de </p-l>YYYto stop <br><p-l>XXX parou de chover </p-l>YYYit stopped raining <br><p-l>XXX ele não para de falar </p-l>YYYhe never stops talking </li><li>6 (permanecer) to stay <br><p-l>XXX crianças que não param quietas </p-l>YYYchildren who won't stay still <br><p-l>XXX parar em </p-l>YYYto be <br><p-l>XXX minha mãe não para em casa </p-l>YYYmy mother is hardly ever home </li><li>7 (dar em) to end up <br><p-l>XXX não sei onde esse país vai parar </li><li>I don't know where the country's going to end up </li><li>8 (não ir além de) to end </p-l>YYY▸ a história não para aqui <br>the story doesn't end there </li><li>9 (frequentar) to hang out <br><p-l>XXX para bastante no café da esquina </p-l>YYYhe's always hanging out at the coffee shop on the corner <br>EXPRESSÕES <br>de parar o trânsito <br>stunning <br>ir parar em <br>to end up at: <br><p-l>XXX foi parar no hospital </p-l>YYYhe ended up in hospital <br>sem parar <br>nonstop: <br><p-l>XXX trabalhava sem parar </p-l>YYYhe worked nonstop </li></ol></li></ul>
para-raios	masculine noun pl para-raios <br>lightening rod 
parasailing	noun <br>uncountable parasailing m <br><p-l>XXX to go parasailing </p-l>YYYfazer parasailing 
parascending	noun uncountable <br>British <br>= parasailing 
parasita	<ul><li>A masculine and feminine noun <ol><li>1 Biology parasite </li><li>2 (pessoa que vive à custa dos outros) parasite </li><li>B adjective <br>Biology parasitic ‹inseto, planta› </li></ol></li></ul>
parasitar	<ul><li>A transitive verb <ol><li>1 (nutrir-se como parasita de) to parasitize </li><li>2 figurative (explorar) to live off <br><p-l>XXX o rapaz parasitou os pais durante muitos anos </p-l>YYYthe boy lived off his parent's for many years </li><li>B intransitive verb <br>figurative to freeload US, to sponge British </li></ol></li></ul>
parasite	noun <ol><li>1 Botany, Zoology parasita m </li><li>2 derogatory (person) parasita mf </li></ol>
parasitic	| <br>adjective <ol><li>1 Botany, Zoology parasita ‹plant, animal, insect› </li><li>2 derogatory (exploitative) parasita <br><p-l>XXX to be parasitic on sb/sth </p-l>YYYser parasita de alguém/algo </li></ol>
parasitismo	masculine noun <ol><li>1 Biology parasitism </li><li>2 figurative (vida de quem vive na ociosidade) freeloading US, sponging <br>British </li></ol>
para-sol	masculine noun pl para-sóis <br>sunshade 
parasol	noun <ol><li>1 (for beach, table) guarda-sol m </li><li>2 (hand-held) sombrinha f </li></ol>
parassimpático	masculine noun <br>Anatomy parasympathetic 
paratrooper	noun <br>soldado m  paraquedista 
paraíso	masculine noun <ol><li>1 Religion Paradise <br><p-l>XXX Adão e Eva foram expulsos do Paraíso </p-l>YYYAdam and Eve were expelled from Paradise </li><li>2 (morada extraterrena) paradise <br><p-l>XXX o Paraíso celeste </p-l>YYYthe heavenly paradise <br><p-l>XXX ir para o Paraíso </p-l>YYYto go to heaven </li><li>3 (lugar aprazível) paradise <br><p-l>XXX um paraíso tropical </p-l>YYYa tropical paradise <br><p-l>XXX um verdadeiro paraíso para os mergulhadores </p-l>YYYa real paradise for divers <br><p-l>XXX tudo está muito bem, estamos vivendo um verdadeiro paraíso </p-l>YYYeverything's great, we're living the dream </li></ol>
paraíso fiscal	masculine noun <br>tax haven 
parboil	transitive verb <br>ferventar Brazil, aferventar Portugal ‹potatoes, vegetables› 
parceiro	parceira masculine noun, feminine noun <ol><li>1 (de dança) partner; (de viagem) companion </li><li>2 (cônjuge) partner </li><li>3 Economics partner <br><p-l>XXX um parceiro de negócios </p-l>YYYa business partner </li><li>4 (entidade representativa) partner <br><p-l>XXX os parceiros do acordo/da reunião </p-l>YYYthe partners to the agreement/meeting <br><p-l>XXX os parceiros sociais </p-l>YYYsocial partners </li><li>5 (cúmplice) partner </li><li>6 (colega) partner </li></ol>
parcel	<ul><li>A noun <ol><li>1 (mainly British) (package) pacote m <br><p-l>XXX a parcel of sth </p-l>YYYum pacote de algo </li><li>2 (piece of land) lote m </li><li>B transitive verb <br>pres p etc parceling parceled US parcelling parcelled British <br>= parcel up <br>PHRASAL VERBS <br>parcel out <br>[parcel out sth, parcel sth out] <br>dividir ‹land, supplies, work› <br>parcel up <br>[parcel up sth, parcel sth up] <br>empacotar </li></ol></li></ul>
parcela	feminine noun <ol><li>1 (pequena parte) share </li><li>2 Farming parcel (of land) </li><li>3 (prestação) installment US, instalment British </li><li>4 (quantidade) amount </li></ol>
parcelamento	masculine noun <ol><li>1 (ato de parcelar) parceling </li><li>2 (loteamento) parceling US, parcelling British </li><li>3 (pagamento) installment payment US, instalment payment British </li></ol>
parcelar	<ul><li>A adjective <br>partial ‹imposto, montante› </li><li>B transitive verb <br>to split ‹pagamento› <br><p-l>XXX o valor poderá ser parcelado em 12 pagamentos </p-l>YYYthe amount can be split into 12 installments </li></ul>
parcel bomb	noun <br>carta-bomba f, pacote bomba m 
parcel office	noun <br>correio m 
parcel post	noun uncountable <br>serviço m  de encomenda postal <br><p-l>XXX to send sth (by) parcel post </p-l>YYYenviar algo por serviço de encomenda postal 
parceria	feminine noun <ol><li>1 (sociedade) partnership </li><li>2 (associação) partnership <br><p-l>XXX em parceria (com) </p-l>YYYin partnership (with) </li><li>3 (ligação) partnership </li></ol>
parch	transitive verb <br>ressecar Brazil, secar Portugal ‹crops, land, soil› 
parched	adjective <ol><li>1 (dry) ressecado Brazil, seco Portugal ‹land› </li><li>2 pred informal (thirsty) sedento <br><p-l>XXX to be parched </p-l>YYYestar sedento </li></ol>
parchment	noun <ol><li>1 uncountable History (material) pergaminho m </li><li>2 countable History (document) pergaminho m </li><li>3 uncountable (high-quality paper) papel-pergaminho m </li></ol>
parcial	adjective <ol><li>1 (parte de um todo) partial <br><p-l>XXX eclipse parcial </p-l>YYYpartial eclipse </li><li>2 (reduzido) partial ‹demonstração› <br><p-l>XXX esta análise parcial é a primeira parte de um projeto mais amplo </p-l>YYYthis partial analysis is the first part of a wider project </li><li>3 (favorável a uma das partes) partial, biased <br><p-l>XXX o narrador mostrou-se parcial </p-l>YYYthe narrator showed himself to be partial </li><li>4 (em partes) part (before n) <br><p-l>XXX ele tem um emprego a tempo parcial </p-l>YYYhe has a part-time job <br><p-l>XXX carga parcial </p-l>YYYpart load </li></ol>
parcialidade	feminine noun <ol><li>1 (tendência) partiality, bias <br><p-l>XXX agir/julgar com parcialidade </p-l>YYYto be partial in one's actions/judgements </li><li>2 (favoritismo) partiality <br><p-l>XXX a parcialidade dos árbitros locais </p-l>YYYthe partiality of the local referees </li></ol>
parcialmente	adverb <br>partly, partially ‹destruir, interditar› <br><p-l>XXX céu parcialmente nublado </p-l>YYYpartly cloudy skies 
parcimonioso	adjective <ol><li>1 (poupado) parsimonious ‹gestão, organização› </li><li>2 (frugal) frugal ‹mesa, regime› </li><li>3 (moderado) moderate ‹atitude, costume, modo› </li></ol>
parcimônia	@parcimónia Portugal <br>feminine noun <ol><li>1 (frugalidade) thrift <br><p-l>XXX com rigor e parcimônia </p-l>YYYrigorously and sparingly </li><li>2 (moderação) moderation <br><p-l>XXX usado com parcimônia </p-l>YYYused in moderation </li><li>3 (qualidade do que é poupado) parsimony <br><p-l>XXX a parcimônia verbal do poeta </p-l>YYYthe verbal parsimony of the poet </li></ol>
parco	adjective <ol><li>1 (moderado) sparing <br><p-l>XXX ser parco em palavras </p-l>YYYto be sparing with words <br><p-l>XXX ser parco em elogios </p-l>YYYto be sparing in one's praise </li><li>2 (escasso) sparse ‹conhecimento› ; low ‹salário› <br><p-l>XXX concebeu a teoria com os parcos recursos de que dispunha </p-l>YYYhe conceived the theory with the sparse resources that he had available to him </li><li>3 (frugal) frugal ‹refeição› </li><li>4 (que poupa) miserly </li></ol>
pardacento	adjective <ol><li>1 (nublado) grey ‹ambiente, céu, dia› </li><li>2 figurative (discreto) dull ‹figura, imagem› </li><li>3 (que tende para o pardo) greyish </li></ol>
pardal	masculine noun <br>Zoology sparrow 
pardieiro	masculine noun <ol><li>1 (casa em ruínas) ramshackle house </li><li>2 (casebre) shack </li></ol>
pardo	<ul><li>A adjective <ol><li>1 (acastanhado) brown, dun ‹papel› ; dark ‹pele, pelo, tom› <br><p-l>XXX envelopes pardos </p-l>YYYbrown envelopes </li><li>2 (acinzentado) grey ‹céu, dia› </li><li>3 figurative dark <br><p-l>XXX sua figura parda foi vista regressando a casa </p-l>YYYhis dark figure was seen returning home </li><li>B masculine noun <br>derogatory person of mixed race <br>EXPRESSÕES <br>à noite todos os gatos são pardos <br>all cats look grey in the dark <br>ser a eminência parda <br>to be an éminence grise <br>ver-se em calças pardas <br>to find oneself in a sticky situation </li></ol></li></ul>
pardon	<ul><li>A noun <ol><li>1 uncountable (forgiveness) perdão m <br><p-l>XXX to ask sb's pardon </p-l>YYYpedir pelo perdão de alguém </li><li>2 countable Law indulto m <br><p-l>XXX royal/presidential pardon </p-l>YYYindulto real/presidencial </li><li>B exclamation <ol><li>1 pardon? <br>(excuse me?) como? </li><li>2 pardon! <br>(sorry!) desculpe-me! </li><li>C transitive verb <ol><li>1 (forgive) perdoar ‹person, mistake, rudeness› <br><p-l>XXX to pardon sb for sth/doing sth </p-l>YYYperdoar alguém por algo/fazer algo <br><p-l>XXX pardon me! </p-l>YYYdesculpe-me! <br><p-l>XXX pardon me for breathing or for living </p-l>YYYironic desculpe-me por eu ter nascido or por existir </li><li>2 Law indultar ‹person, offender, criminal› </li></ol></li></ul>
pare	transitive verb <ol><li>1 (peel) descascar ‹fruit, vegetables› </li><li>2 (trim) aparar ‹nails› </li><li>3 (reduce) reduzir ‹costs, margins, outlay› <br>IDIOM <br>to pare sth to the bone <br>reduzir algo ao mínimo necessário <br>PHRASAL VERB <br>pare down <br>[pare sth down, pare down sth] <br>reduzir ‹budget, costs, spending› </li></ol>
parecença	feminine noun <ol><li>1 (semelhança física) resemblance <br><p-l>XXX ele não tinha nenhuma parecença física com o milionário </p-l>YYYhe didn't look at all like a millionaire </li><li>2 (semelhança) similarity <br>▸ penso que os filmes têm parecenças técnicas </li><li>I think the films are technically similar </li></ol></li></ul>
