abode	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><p style="padding-left:1em;margin:0"><font color="gray"><i>(</i></font><i><font color="darkcyan">formal</font></i><font color="gray"><i>)</i></font> domicílio</p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="rosybrown"><b>LOCUÇÕES E EXPRESSÕES</b></font></p><p style="padding-left:0.3em;margin:0"><font color="gold">■</font> <font color="steelblue"><i><b>Ver</b></i></font> <font color="darkslategray"><i> FIXED</i></font></p>
abolish	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>verbo transitivo</b></i></font></p><p style="padding-left:1em;margin:0">abolir</p>
abolition	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><p style="padding-left:1em;margin:0">abolição</p>
abominable	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>adjetivo</b></i></font></p><p style="padding-left:1em;margin:0">abominável</p>
abort	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>verbo</b></i></font></p><p style="padding-left:0.3em;margin:0"><sup><b><font color="gray">1.</font></b></sup> <font color="green"><i><b>verbo transitivo</b></i></font>, <font color="green"><i><b>verbo intransitivo</b></i></font> <font color="gray"><i>(</i></font><i><font color="darkcyan">Medicina</font></i><font color="gray"><i>)</i></font> abortar</p><p style="padding-left:0.3em;margin:0"><sup><b><font color="gray">2.</font></b></sup> <font color="green"><i><b>verbo transitivo</b></i></font> abortar:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>They aborted the launch.</i></font> Eles cancelaram o lançamento.</p>
abortion	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><p style="padding-left:1em;margin:0">aborto ( <font color="darkslategray"><i>intencional</i></font> ):</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>to have an abortion</i></font> abortar</p><p style="padding-left:0.3em;margin:0"><font color="gold">■</font> <font color="steelblue"><i><b>Comparar com</b></i></font> <font color="darkslategray"><i> MISCARRIAGE</i></font></p>
abortive	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>adjetivo</b></i></font></p><p style="padding-left:1em;margin:0">fracassado:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>an abortive coup/attempt</i></font> um golpe de Estado fracassado/uma tentativa fracassada</p>
abound	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>verbo intransitivo</b></i></font></p><p style="padding-left:1em;margin:0"><b>abound (with sth)</b> abundar, ser rico ( em algo )</p>
about	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>advérbio</b></i></font></p><ol><li> ( <font color="purple"><i><b>também</b></i></font> around ) mais ou menos, aproximadamente:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>about the same height as you</i></font> mais ou menos da sua altura</p></li><li> ( <font color="purple"><i><b>também</b></i></font> around ) cerca de:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>I got home at about half past seven.</i></font> Eu cheguei em casa lá pelas sete e meia.</p><p style="padding-left:0.3em;margin:0"><font color="gold">■</font> <font color="steelblue"><i><b>Ver nota em</b></i></font> <font color="darkslategray"><i> AROUND<sup>1</sup></i></font></p></li><li> ( <font color="darkslategray"><i>tb esp USA</i></font> around ) por perto:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>She's somewhere about.</i></font> Ela está por aqui.</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>There are no jobs about at the moment.</i></font> Não há empregos no momento.</p></li><li> quase:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>Dinner's about ready.</i></font> O jantar está quase pronto.</p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="rosybrown"><b>LOCUÇÕES E EXPRESSÕES</b></font></p><p style="padding-left:1em;margin:0"><b>to be about to do sth</b> estar prestes a fazer algo</p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><b><font color="darkred">about</font></b><sup>2</sup></p><p style="padding-left:0.3em;margin:0">  ( <font color="darkslategray"><i>especialmente </i></font> <font color="darkred"><b><i>GB</i></b></font> )  ( <font color="darkslategray"><i>tb esp USA</i></font> around, <font color="darkred"><b><i>GB</i></b></font> round ) <font color="darkslategray"><i>partíc advérbio</i></font></p><ol><li> de um lado para o outro:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>I could hear people moving about.</i></font> Eu ouvia pessoas andando de um lado para outro.</p></li><li> aqui e ali:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>People were standing about in the street.</i></font> Havia pessoas paradas na rua.</p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="darkblue">►</font><font color="darkred">►</font> Para o uso de <b>about</b> em <font color="darkred"><b>PHRASAL VERBS</b></font>, ver os verbetes dos verbos correspondentes, <font color="darkslategray"><i>por exemplo</i></font> <b>to lie about</b> em LIE.</p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><b><font color="darkred">about</font></b><sup>3</sup></p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>preposição</b></i></font></p><ol><li> por:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>papers strewn about the room</i></font> papéis espalhados pela sala</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>She's somewhere about the place.</i></font> Ela está em algum lugar por aqui.</p></li><li> sobre:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>a book about flowers</i></font> um livro sobre flores</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>What's the book about?</i></font> Do que trata o livro?</p></li><li> <font color="gray"><b><font color="darkslategray"><i>com adjetivo</i></font></b></font>:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>angry/happy about sth</i></font> zangado/feliz com algo</p></li><li> ( <font color="darkslategray"><i>característica</i></font> ):</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>There's something about her I like.</i></font> Há algo nela que me atrai.</p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="rosybrown"><b>LOCUÇÕES E EXPRESSÕES</b></font></p><p style="padding-left:1em;margin:0"><b>how/what about?</b>:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>What about his car?</i></font> E o carro dele?</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>How about going swimming?</i></font> Que tal irmos nadar?</p></li></ol>
above	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>advérbio</b></i></font></p><p style="padding-left:1em;margin:0">acima:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>the people in the apartment above</i></font> as pessoas no apartamento de cima</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>children aged eleven and above</i></font> crianças de onze anos para cima</p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><b><font color="darkred">above</font></b><sup>2</sup></p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>preposição</b></i></font></p><ol><li> acima de, além de:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>1,000 meters above sea level</i></font> 1.000 metros acima do nível do mar</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>I live in the apartment above the store.</i></font> Vivo no apartamento acima da loja.</p></li><li> mais de:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>above 50%</i></font> acima de 50%</p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="rosybrown"><b>LOCUÇÕES E EXPRESSÕES</b></font></p><p style="padding-left:1em;margin:0"><b>above all</b> acima de tudo, sobretudo</p></li></ol>
