abad	<p-n>A</p-n> <br><p-l>1 </p-l>century. <br><p-l>2 </p-l>era, age. <br><p-l>3 </p-l>a long period of time. <br><p-l>4 </p-l>eternity; <i>opp</i> AJAL. – <p-n>al</p-n><i>abid</i> eternity. – <i>atom</i> the atomic age. – <i>emas</i> a) Golden Age. b) flourishing period. – <i>keduapuluh</i> the 20th cen- tury. – <i>keemasan</i> a) Golden Age. b) flourishing period. – <i>ke</i>- <i>majuan</i> era of progress. – <i>Pencerahan</i> Age of Enlightenment.\n– <i>Pertengahan</i>/<i>Tengah</i> the Middle Ages.<br><p-l>seabad </p-l>one century, 100 years. <br><p-l>berabad-<b>abad</b> </p-l>for centuries. <br><p-l>mengabad </p-l>to last for centuries.
abadi	<p-n>A</p-n> eternal, everlasting, perpetual, permanent, abiding, without end, unbreakable. <i>tetap</i> – will last for ever and ever. <i>tidak</i> – temporary, ephemeral. <bi>ketidak</bi>-<bi>abadian</bi> temporari- ness, ephemerality.<br><p-l>seabadi </p-l>as eternal as.<br><p-l>mengabadikan and <b>memperabadikan</b></p-l> <br><p-l>1 </p-l>to immortalize, perpet- uate, make s.t. last forever. ~ <i>dengan</i> <i>kaméra</i> to take a picture of, immortalize on film. <br><p-l>2 </p-l>to keep s.t. alive, preserve.<br><p-l>terabadi(<b>kan</b>) </p-l>immortalized, remembered forever, made per- manent.<br><p-l>keabadian</p-l> <br><p-l>1 </p-l>eternity. <br><p-l>2 </p-l>durability, permanence, immortality.<br><p-l>pengabadian </p-l>the act of making s.t. immortal, immortalizing, perpetuating.
abadiah and abadiat	<p-n>A</p-n> eternity; → KEABADIAN.
abah I	direction (of compass), course, aim. <i>tak</i> <i>tentu</i> –<i>nya</i> con- stant change of direction.<br><p-l>mengabah </p-l>~ <i>ke</i> to head for, steer toward.<br><p-l>mengabahkan </p-l>to aim s.t. (at), steer s.t. (toward), strive (for). <i>Motorbotnya</i> <i>diabahkan</i> <i>ke</i> <i>pulau</i> <i>Batam</i>. He steered the mo- torboat toward Batam.
abah II	 → ABA I.
abah III	<p-n>Jv</p-n> implement.<br><p-l>abah-<b>abah</b></p-l> <br><p-l>1 </p-l>implements, tools. <br><p-l>2 </p-l>cords, ropes. ~ <i>kapal</i> rigging. ~ <i>kuda</i> harness. ~ <i>perahu</i> rigging. ~ <i>tenun</i> loom.
abai	 <br><p-l>1 </p-l>careless, negligent, neglectful. <i>tidak</i> – <i>daripada</i> <i>berawas</i>- <i>awas</i> to be constantly on one’s guard. <br><p-l>2 </p-l>disregarded, neglected. <br><p-l>mengabaikan</p-l> <br><p-l>1 </p-l>to neglect, ignore, disregard, pay no attention to. <i>Negara</i> <i>itu</i> <i>berani</i> ~ <i>résolusi</i> <i>itu</i>. That country had the nerve to ignore the resolution. <br><p-l>2 </p-l>to underestimate (the enemy, etc.). <i>Jangan</i> <i>abaikan</i> <i>musuh</i> <i>yang</i> <i>kuat</i> <i>itu</i>. Don’t underestimate a strong enemy. <br><p-l>3 </p-l>to break (a promise/agreement), betray (a se- cret) through carelessness. ~ <i>janji</i> to break a promise. <br><p-l>4 </p-l>to overlook (a fact), miss (a chance), not comply with. <i>Sayang</i> <i>sekali</i> <i>Anda</i> <i>abaikan</i> <i>peluang</i> <i>emas</i> <i>itu</i>. It’s a shame you missed that golden opportunity. <br><p-l>5 </p-l>to disappoint (s.o.’s expectations). <br><p-l>6 </p-l>to let things drift/take their natural course, leave unfinished (of work). ~ <i>segala</i> <i>sesuatu</i> to let things drift along/take their\nnatural course. <i>tidak</i> ~ <i>usahanya</i> not slacken one’s efforts.<br><p-l>terabai </p-l>neglected, ignored, disregarded. <br><p-l>keterabaian </p-l>disregard, neglect.<br><p-l>terabaikan </p-l>overlooked, neglected, disregarded. <i>Gedung</i> <i>itu</i> <i>ber</i>- <i>tahun</i>-<i>tahun</i> ~. The building was neglected for years and years. <i>tidak</i> ~ nonnegligible.<br><p-l>abaian </p-l>(in philology) omission, textual corruption.<br><p-l>pengabai</p-l> <br><p-l>1 </p-l>slovenly, sloppy, careless, nonchalant, indifferent. \n<b>2</b>\na negligent/careless person.<br><p-l>pengabaian </p-l>neglecting, ignoring, disregarding, negligence, disre- gard, disobeying.
abaimana	(<i>Hind</i> <i>cla</i>) the lower orifices of the body, anus and pu- denda.
abaka	<p-n>D</p-n> abaca, <i>Musa</i> <i>textilis</i>.
abakus	<p-n>E</p-n> abacus.
