#no sort
GEN 5:27	<p-n>@1. Mose  5:27</p-n>	also daß Methusalahs ganzes Alter 969 Jahre betrug, da er starb.  
GEN 5:28	<p-n>@1. Mose  5:28</p-n>	Lamech war 182 Jahre alt, als er einen Sohn zeugte;  
GEN 5:29	<p-n>@1. Mose  5:29</p-n>	den nannte er Noah, indem er sprach: Der wird uns trösten ob unserer Hände Arbeit und Mühe, die herrührt von dem Erdboden, den der HERR verflucht hat!  
GEN 5:30	<p-n>@1. Mose  5:30</p-n>	Und Lamech, nachdem er den Noah gezeugt, lebte 590 Jahre lang und zeugte Söhne und Töchter;  
GEN 5:31	<p-n>@1. Mose  5:31</p-n>	also daß Lamechs ganzes Alter 772 Jahre betrug, da er starb.  
GEN 5:32	<p-n>@1. Mose  5:32</p-n>	Und Noah war 500 Jahre alt, da er den Sem, Ham und Japhet zeugte.   
GEN 6:1	<p-n>@1. Mose  6:1</p-n>	Als sich aber die Menschen zu mehren begannen auf Erden und ihnen Töchter geboren wurden,  
GEN 6:2	<p-n>@1. Mose  6:2</p-n>	sahen die Söhne Gottes, daß die Töchter der Menschen schön waren und nahmen sich von allen diejenigen zu Weibern, welche ihnen gefielen.  
GEN 6:3	<p-n>@1. Mose  6:3</p-n>	Da sprach der HERR: Mein Geist soll den Menschen nicht ewig darum strafen, daß auch er Fleisch ist, sondern seine Tage sollen hundertundzwanzig Jahre betragen!  
GEN 6:4	<p-n>@1. Mose  6:4</p-n>	Die Riesen waren auf Erden in jenen Tagen, und zwar daraufhin, daß die Söhne Gottes zu den Töchtern der Menschen kamen und diese ihnen gebaren. Das sind die Helden, die von alters her berühmt gewesen sind.  
GEN 6:5	<p-n>@1. Mose  6:5</p-n>	Als aber der HERR sah, daß des Menschen Bosheit sehr groß war auf Erden und alles Gebilde der Gedanken seines Herzens nur böse allezeit,  
GEN 6:6	<p-n>@1. Mose  6:6</p-n>	da reute es den HERRN, daß er den Menschen gemacht hatte auf Erden, und es bekümmerte ihn in seinem Herzen.  
