#no sort
ECC 9:13	<p-n>@Prediger  9:13</p-n>	Auch das habe ich als Weisheit angesehen unter der Sonne, und sie schien mir groß:  
ECC 9:14	<p-n>@Prediger  9:14</p-n>	Gegen eine kleine Stadt, in welcher wenig Männer waren, kam ein großer König und belagerte sie und baute große Belagerungstürme wider sie.  
ECC 9:15	<p-n>@Prediger  9:15</p-n>	Da fand sich in derselben Stadt ein armer, aber weiser Mann, der rettete die Stadt durch seine Weisheit, und kein Mensch hatte an diesen armen Mann gedacht.  
ECC 9:16	<p-n>@Prediger  9:16</p-n>	Da sprach ich: Weisheit ist besser als Stärke! Aber die Weisheit des Armen ist verachtet, und man hört nicht auf ihn.  
ECC 9:17	<p-n>@Prediger  9:17</p-n>	Die Worte der Weisen, die man in der Stille vernimmt, sind besser als das Schreien eines Herrschers unter den Narren.  
ECC 9:18	<p-n>@Prediger  9:18</p-n>	Weisheit ist besser als Kriegsgerät; aber ein einziger Sünder verdirbt viel Gutes.   
ECC 10:1	<p-n>@Prediger  10:1</p-n>	Giftige Fliegen machen das Öl des Salbenbereiters stinkend und faulend; ein wenig Torheit kommt teurer zu stehen als Weisheit und Ehre!  
ECC 10:2	<p-n>@Prediger  10:2</p-n>	Der Weise trägt sein Herz auf dem rechten Fleck, der Narr hat es am unrechten Ort;  
ECC 10:3	<p-n>@Prediger  10:3</p-n>	auf welchem Wege der Narr auch gehen mag, es fehlt ihm überall an Verstand, und er sagt jedermann, daß er ein Tor sei.  
ECC 10:4	<p-n>@Prediger  10:4</p-n>	Wenn der Zorn des Herrschers gegen dich entbrennt, so verlaße deinen Posten nicht; denn Gelassenheit verhütet große Sünden.  
ECC 10:5	<p-n>@Prediger  10:5</p-n>	Es gibt ein Übel, das ich unter der Sonne sah, wie ein Mißgriff, von einem Machthaber getan:  
ECC 10:6	<p-n>@Prediger  10:6</p-n>	Die Torheit ward auf große Höhen gestellt, und Reiche mußten unten bleiben;  
ECC 10:7	<p-n>@Prediger  10:7</p-n>	ich sah Knechte auf Pferden, und Fürsten gingen wie Knechte zu Fuß.  
ECC 10:8	<p-n>@Prediger  10:8</p-n>	Wer eine Grube gräbt, fällt hinein; und wer eine Mauer einreißt, den wird eine Schlange beißen.  
ECC 10:9	<p-n>@Prediger  10:9</p-n>	Wer Steine bricht, verwundet sich daran, und wer Holz spaltet, bringt sich in Gefahr.  
ECC 10:10	<p-n>@Prediger  10:10</p-n>	Wenn ein Eisen stumpf ist und ungeschliffen bleibt, so muß man um so mehr Kraft anwenden; aber durch Weisheit kommt man zum Gelingen.  
ECC 10:11	<p-n>@Prediger  10:11</p-n>	Wenn die Schlange beißt, weil man sie nicht beschworen hat, so hat der Beschwörer keinen Nutzen von seiner Kunst.  
ECC 10:12	<p-n>@Prediger  10:12</p-n>	Die Reden eines Weisen sind anmutig; aber die Lippen des Toren verschlingen ihn selbst.  
ECC 10:13	<p-n>@Prediger  10:13</p-n>	Der Anfang seiner Worte ist Dummheit und das Ende seiner Rede die schlimmste Tollheit.  
ECC 10:14	<p-n>@Prediger  10:14</p-n>	Auch macht der Tor viele Worte, obgleich kein Mensch weiß, was geschehen ist; und was nach ihm sein wird, wer kann es ihm sagen?  
ECC 10:15	<p-n>@Prediger  10:15</p-n>	Die Mühe, die der Tor sich gibt, der den Weg zur Stadt nicht kennt, ermüdet ihn.  
ECC 10:16	<p-n>@Prediger  10:16</p-n>	Wehe dir, Land, dessen König ein Knabe ist und dessen Fürsten schon am Morgen schmausen!  
ECC 10:17	<p-n>@Prediger  10:17</p-n>	Heil dir, du Land, dessen König ein Sohn der Edlen ist und dessen Fürsten zu rechter Zeit essen, zur Stärkung, und nicht aus Genußsucht.  
ECC 10:18	<p-n>@Prediger  10:18</p-n>	Durch Faulheit verfault das Gebälk, und wegen Nachlässigkeit der Hände rinnt das Dach.  
ECC 10:19	<p-n>@Prediger  10:19</p-n>	Zum Vergnügen backt man Brot, und der Wein erfreut die Lebendigen, und das Geld gewährt alles.  
ECC 10:20	<p-n>@Prediger  10:20</p-n>	Fluche dem König nicht einmal in deinen Gedanken, und verwünsche den Reichen auch in deiner Schlafkammer nicht; denn die Vögel des Himmels tragen den Laut davon, und ein geflügelter Bote verkündigt das Wort.   
ECC 11:1	<p-n>@Prediger  11:1</p-n>	Sende dein Brot übers Wasser, so wirst du es nach langer Zeit wieder finden!  
ECC 11:2	<p-n>@Prediger  11:2</p-n>	Verteile an sieben und an acht; denn du weißt nicht, was Schlimmes auf Erden geschehen mag!  
ECC 11:3	<p-n>@Prediger  11:3</p-n>	Wenn die Wolken voll sind, so gießen sie Regen auf die Erde. Ob der Baum nach Süden fällt oder nach Norden, nach welchem Ort der Baum fällt, da bleibt er liegen.  
ECC 11:4	<p-n>@Prediger  11:4</p-n>	Wer auf den Wind achtet, sät nicht, und wer auf die Wolken sieht, erntet nicht.  
ECC 11:5	<p-n>@Prediger  11:5</p-n>	Gleichwie du nicht weißt, welches der Weg des Windes ist, noch wie die Gebeine im Mutterleib bereitet werden, also kennst du auch das Werk Gottes nicht, der alles wirkt.  
ECC 11:6	<p-n>@Prediger  11:6</p-n>	Frühe säe deinen Samen, und des Abends laß deine Hand nicht ruhen; denn du weißt nicht, ob dieses oder jenes geraten, oder ob beides zugleich gut wird.  
ECC 11:7	<p-n>@Prediger  11:7</p-n>	Süß ist das Licht, und gut ist's für die Augen, die Sonne zu sehen!  
ECC 11:8	<p-n>@Prediger  11:8</p-n>	Denn wenn der Mensch auch viele Jahre lebt, so soll er sich in ihnen allen freuen und soll bedenken, daß der Tage der Finsternis viele sein werden. Alles, was kommt, ist eitel!  
ECC 11:9	<p-n>@Prediger  11:9</p-n>	Freue dich, Jüngling, in deiner Jugend, und dein Herz sei guter Dinge in den Tagen deines Jünglingsalters; wandle die Wege, die dein Herz erwählt und die deinen Augen gefallen; aber wisse, daß dich Gott für dies alles vor Gericht ziehen wird!  
ECC 11:10	<p-n>@Prediger  11:10</p-n>	Entferne alle Verdrießlichkeit von deinem Herzen und halte dir das Übel vom Leibe fern! Denn Jugend und Morgenrot sind vergänglich!   
ECC 12:1	<p-n>@Prediger  12:1</p-n>	Und gedenke an deinen Schöpfer in den Tagen deiner Jugend, ehe die bösen Tage kommen und die Jahre herzutreten, da du wirst sagen: «Sie gefallen mir nicht»;  
ECC 12:2	<p-n>@Prediger  12:2</p-n>	ehe die Sonne und das Licht, der Mond und die Sterne sich verfinstern und die Wolken wiederkehren nach dem Regen;  
ECC 12:3	<p-n>@Prediger  12:3</p-n>	zur Zeit, wo die Hüter des Hauses zittern und die Starken sich krümmen und die Müllerinnen feiern, weil ihrer zu wenige geworden sind, und finster dreinsehen, die durch die Fenster schauen;  
ECC 12:4	<p-n>@Prediger  12:4</p-n>	wenn die Türen nach der Straße geschlossen werden und das Klappern der Mühle leiser wird, wenn man erwacht vom Vogelsang und gedämpft werden die Töchter des Gesangs;  
ECC 12:5	<p-n>@Prediger  12:5</p-n>	wenn man sich auch vor jeder Anhöhe fürchtet und Schrecknisse auf dem Wege sieht; wenn der Mandelbaum blüht und die Heuschrecke sich mühsam fortschleppt und die Kaper versagt (denn der Mensch geht in sein ewiges Haus, und die Trauernden gehen auf der Gasse umher);  
ECC 12:6	<p-n>@Prediger  12:6</p-n>	ehe denn der silberne Strick zerreißt und die goldene Schale zerspringt und der Krug am Born zerbricht und das Rad zerbrochen in den Brunnen stürzt  
ECC 12:7	<p-n>@Prediger  12:7</p-n>	und der Staub wieder zur Erde wird, wie er gewesen ist, und der Geist zu Gott zurückkehrt, der ihn gegeben hat.  
ECC 12:8	<p-n>@Prediger  12:8</p-n>	O Eitelkeit der Eitelkeiten! spricht der Prediger; alles ist eitel!  
ECC 12:9	<p-n>@Prediger  12:9</p-n>	Und außerdem, daß der Prediger weise war, lehrte er das Volk Erkenntnis und erwog und erforschte und stellte viele Sprichwörter auf.  
ECC 12:10	<p-n>@Prediger  12:10</p-n>	Der Prediger suchte gefällige Worte zu finden und die Worte der Wahrheit richtig aufzuzeichnen.  
ECC 12:11	<p-n>@Prediger  12:11</p-n>	Die Worte der Weisen sind wie Treibstacheln und wie eingeschlagene Nägel die gesammelten Sprüche, von einem einzigen Hirten gegeben.  
ECC 12:12	<p-n>@Prediger  12:12</p-n>	Und außerdem laß dich warnen, mein Sohn! Des vielen Büchermachens ist kein Ende, und viel Studieren ermüdet den Leib.  
ECC 12:13	<p-n>@Prediger  12:13</p-n>	Laßt uns die Summe aller Lehre hören: Fürchte Gott und halte seine Gebote; denn das soll jeder Mensch!  
ECC 12:14	<p-n>@Prediger  12:14</p-n>	Denn Gott wird jedes Werk ins Gericht bringen, samt allem Verborgenen, es sei gut oder böse.   
SOL 1:1	<p-n>@Hohelied  1:1</p-n>	Das Lied der Lieder, von Salomo.  
SOL 1:2	<p-n>@Hohelied  1:2</p-n>	Er küsse mich mit seines Mundes Küssen! Denn deine Liebkosungen sind besser als Wein.  
SOL 1:3	<p-n>@Hohelied  1:3</p-n>	Lieblich duften deine Salben; dein Name ist wie ausgegossenes Öl: darum haben dich Jungfrauen lieb!  
SOL 1:4	<p-n>@Hohelied  1:4</p-n>	Ziehe mich dir nach, so laufen wir! Der König hat mich in seine Gemächer gebracht; wir wollen jauchzen und uns deiner freuen, deine Liebkosungen preisen, mehr als Wein; mit Recht haben sie dich lieb!  
SOL 1:5	<p-n>@Hohelied  1:5</p-n>	Schwarz bin ich, aber lieblich, ihr Töchter Jerusalems, wie die Zelte Kedars, wie die Vorhänge Salomos.  
SOL 1:6	<p-n>@Hohelied  1:6</p-n>	Seht mich nicht an, weil ich so schwärzlich bin, weil die Sonne mich verbrannt hat! Meiner Mutter Söhne zürnten mir, sie setzten mich zur Hüterin der Weinberge; meinen eigenen Weinberg hütete ich nicht!  
SOL 1:7	<p-n>@Hohelied  1:7</p-n>	Tue mir doch kund, o du, den meine Seele liebt: Wo gehst du zur Weide? Wo hältst du Mittagsrast? Warum soll ich wie eine Vermummte bei den Herden deiner Genossen sein?  
SOL 1:8	<p-n>@Hohelied  1:8</p-n>	Ist es dir nicht bekannt, du Schönste unter den Weibern, so gehe nur hinaus, den Spuren der Schafe nach, und weide deine Zicklein bei den Wohnungen der Hirten!  
SOL 1:9	<p-n>@Hohelied  1:9</p-n>	Meiner Stute an den Wagen des Pharao vergleiche ich dich, meine Freundin!  
SOL 1:10	<p-n>@Hohelied  1:10</p-n>	Deine Wangen sind lieblich in den Ketten, dein Hals in den Perlenschnüren!  
SOL 1:11	<p-n>@Hohelied  1:11</p-n>	Wir wollen dir goldene Ketten machen mit silbernen Punkten!  
SOL 1:12	<p-n>@Hohelied  1:12</p-n>	Solange der König an seiner Tafel war, gab meine Narde ihren Geruch.  
SOL 1:13	<p-n>@Hohelied  1:13</p-n>	Mein Freund ist mir ein Myrrhenbüschel, das zwischen meinen Brüsten ruht.  
SOL 1:14	<p-n>@Hohelied  1:14</p-n>	Mein Freund ist mir eine Cypertraube aus den Weinbergen von Engedi!  
SOL 1:15	<p-n>@Hohelied  1:15</p-n>	Siehe, du bist schön, meine Freundin, siehe, du bist schön, deine Augen sind Tauben!  
SOL 1:16	<p-n>@Hohelied  1:16</p-n>	Siehe, du bist schön, mein Freund, so gar lieblich!  
SOL 1:17	<p-n>@Hohelied  1:17</p-n>	Ja, unser Lager ist grün. Zedern sind unsres Hauses Balken, Zypressen unser Getäfel.   
SOL 2:1	<p-n>@Hohelied  2:1</p-n>	Ich bin eine Narzisse von Saron, eine Lilie der Täler.  
SOL 2:2	<p-n>@Hohelied  2:2</p-n>	Wie eine Lilie unter den Dornen, so ist meine Freundin unter den Töchtern!  
SOL 2:3	<p-n>@Hohelied  2:3</p-n>	Wie ein Apfelbaum unter den Bäumen des Waldes, so ist mein Freund unter den Söhnen! In seinem Schatten saß ich so gern, und seine Frucht war meinem Gaumen süß.  
SOL 2:4	<p-n>@Hohelied  2:4</p-n>	Er führte mich ins Weinhaus, und die Liebe ist sein Panier über mir.  
SOL 2:5	<p-n>@Hohelied  2:5</p-n>	Stärket mich mit Rosinenkuchen, erquicket mich mit Äpfeln; denn ich bin krank vor Liebe!  
SOL 2:6	<p-n>@Hohelied  2:6</p-n>	Er lege seine Linke unter mein Haupt und umarme mich mit seiner Rechten!  
SOL 2:7	<p-n>@Hohelied  2:7</p-n>	Ich beschwöre euch, ihr Töchter Jerusalems, bei den Gazellen oder den Hindinnen der Flur: Erreget und erwecket die Liebe nicht, bis es ihr selbst gefällt!  
SOL 2:8	<p-n>@Hohelied  2:8</p-n>	Da ist die Stimme meines Freundes! Siehe, er kommt! Er hüpft über die Berge, er springt über die Hügel!  
SOL 2:9	<p-n>@Hohelied  2:9</p-n>	Mein Freund gleicht einem Reh oder dem jungen Hirsch. Siehe, da steht er hinter unsrer Mauer, schaut zum Fenster hinein, blickt durchs Gitter.  
SOL 2:10	<p-n>@Hohelied  2:10</p-n>	Mein Freund hebt an und spricht zu mir: Mache dich auf, meine Freundin, komm her, meine Schöne!  
SOL 2:11	<p-n>@Hohelied  2:11</p-n>	Denn siehe, der Winter ist vorüber, der Regen hat sich auf und davon gemacht;  
SOL 2:12	<p-n>@Hohelied  2:12</p-n>	die Blumen zeigen sich auf dem Lande, die Zeit des Gesangs ist da, und die Stimme der Turteltauben läßt sich hören in unserm Lande;  
SOL 2:13	<p-n>@Hohelied  2:13</p-n>	am Feigenbaum röten sich die Knoten, und die Reben verbreiten Blütenduft; komm, mach dich auf, meine Freundin, meine Schöne, komme doch!  
SOL 2:14	<p-n>@Hohelied  2:14</p-n>	Meine Taube in den Felsenklüften, im Versteck der Felsenwand, laß mich sehen deine Gestalt, laß mich deine Stimme hören! Denn deine Stimme ist süß und lieblich deine Gestalt.  
SOL 2:15	<p-n>@Hohelied  2:15</p-n>	Fanget uns die Füchse, die kleinen Füchse, welche die Weinberge verwüsten; und unsere Weinberge stehen in Blüte!  
SOL 2:16	<p-n>@Hohelied  2:16</p-n>	Mein Freund ist mein, und ich bin sein, der unter den Lilien weidet, bis der Tag kühl wird und die Schatten fliehen.  
SOL 2:17	<p-n>@Hohelied  2:17</p-n>	Kehre um, mein Freund, sei gleich dem Reh oder dem jungen Hirsch auf den zerklüfteten Bergen!   
SOL 3:1	<p-n>@Hohelied  3:1</p-n>	Auf meinem Lager in den Nächten suchte ich, den meine Seele liebt; ich suchte ihn, aber ich fand ihn nicht!  
SOL 3:2	<p-n>@Hohelied  3:2</p-n>	So stand ich denn auf und lief in der Stadt umher, auf den Straßen und Plätzen, und suchte, den meine Seele liebt; ich suchte ihn, aber ich fand ihn nicht!  
SOL 3:3	<p-n>@Hohelied  3:3</p-n>	Mich fanden die Wächter, welche die Runde machten in der Stadt. Habt ihr den gesehen, den meine Seele liebt?  
SOL 3:4	<p-n>@Hohelied  3:4</p-n>	Kaum war ich an ihnen vorübergegangen, da fand ich, den meine Seele liebt. Ich hielt ihn fest und wollte ihn nicht mehr loslassen, bis ich ihn gebracht hätte in meiner Mutter Haus, ins Gemach derer, die mich empfangen hat.  
SOL 3:5	<p-n>@Hohelied  3:5</p-n>	Ich beschwöre euch, ihr Töchter Jerusalems, bei den Gazellen oder bei den Hindinnen der Flur, daß ihr die Liebe nicht erreget noch erwecket, bis es ihr selbst gefällt!  
SOL 3:6	<p-n>@Hohelied  3:6</p-n>	Wer kommt da von der Wüste herauf? Es sieht aus wie Rauchsäulen von brennendem Weihrauch und Myrrhen, von allerlei Gewürzpulver der Krämer.  
SOL 3:7	<p-n>@Hohelied  3:7</p-n>	Siehe, es ist seine Sänfte, die des Salomo, sechzig Helden sind ringsum, von den Stärksten Israels,  
SOL 3:8	<p-n>@Hohelied  3:8</p-n>	alle mit Schwertern bewaffnet, im Fechten geübt, jeder sein Schwert an der Seite, damit nichts zu fürchten sei während der Nacht.  
SOL 3:9	<p-n>@Hohelied  3:9</p-n>	Eine Sänfte hat sich der König Salomo gemacht aus Libanonholz.  
SOL 3:10	<p-n>@Hohelied  3:10</p-n>	Ihre Säulen machte er von Silber, ihre Lehne von Gold, ihren Sitz von Purpur, das Innere mit Liebe gestickt von den Töchtern Jerusalems.  
SOL 3:11	<p-n>@Hohelied  3:11</p-n>	Kommt heraus, ihr Töchter Zions, und beschauet den König Salomo in dem Kranz, mit welchem seine Mutter ihn bekränzt hat an seinem Hochzeitstag, am Tage der Freude seines Herzens!   
SOL 4:1	<p-n>@Hohelied  4:1</p-n>	Siehe, du bist schön, meine Freundin, siehe, du bist schön; deine Augen sind wie Tauben hinter deinem Schleier; dein Haar gleicht der Ziegenherde, die sich am Berge Gilead lagert.  
SOL 4:2	<p-n>@Hohelied  4:2</p-n>	Deine Zähne gleichen einer Herde frischgeschorener Schafe, die von der Schwemme kommen, die allzumal Zwillinge tragen und deren keines unfruchtbar ist.  
SOL 4:3	<p-n>@Hohelied  4:3</p-n>	Deine Lippen sind wie eine Purpurschnur, und dein Mund ist lieblich; wie Granatäpfelhälften sind deine Wangen hinter deinem Schleier.  
SOL 4:4	<p-n>@Hohelied  4:4</p-n>	Dein Hals gleicht dem Davidsturm, zum Arsenal erbaut, mit tausend Schildern behängt, allen Tartschen der Helden.  
SOL 4:5	<p-n>@Hohelied  4:5</p-n>	Deine beiden Brüste gleichen zwei Rehkälbchen, Gazellenzwillingen, die zwischen den Lilien weiden.  
SOL 4:6	<p-n>@Hohelied  4:6</p-n>	Bis der Tag kühl wird und die Schatten fliehen, will ich auf den Myrrhenberg gehen und auf den Weihrauchhügel!  
SOL 4:7	<p-n>@Hohelied  4:7</p-n>	Ganz schön bist du, meine Freundin, und kein Makel ist an dir!  
SOL 4:8	<p-n>@Hohelied  4:8</p-n>	Komm mit mir vom Libanon, Braut, komm mit mir vom Libanon! Steig herab vom Gipfel des Amana, vom Gipfel des Schenir und des Hermon, von den Wohnungen der Löwen, von den Bergen der Leoparden!  
SOL 4:9	<p-n>@Hohelied  4:9</p-n>	Du hast mir das Herz genommen, meine Schwester, [meine] Braut, mit einem einzigen deiner Blicke, mit einem einzigen Kettchen von deinem Hals!  
SOL 4:10	<p-n>@Hohelied  4:10</p-n>	Wie schön sind deine Liebkosungen, meine Schwester, [meine] Braut; wie viel besser sind deine Liebkosungen als Wein, und der Duft deiner Salben als alle Wohlgerüche!  
SOL 4:11	<p-n>@Hohelied  4:11</p-n>	Honigseim träufeln deine Lippen, o Braut, Honig und Milch sind unter deiner Zunge, und der Geruch deiner Kleider ist wie der Geruch des Libanon!  
SOL 4:12	<p-n>@Hohelied  4:12</p-n>	Ein verschlossener Garten ist meine Schwester, [meine] Braut; ein verschlossener Born, ein versiegelter Quell.  
SOL 4:13	<p-n>@Hohelied  4:13</p-n>	Deine Schößlinge sind ein Granatenpark mit herrlicher Frucht, Cyperblumen mit Narden;  
SOL 4:14	<p-n>@Hohelied  4:14</p-n>	Narden und Krokus, Kalmus und Zimt, samt allerlei Weihrauchbäumen, Myrrhen und Aloe und den vornehmsten Balsamstauden;  
SOL 4:15	<p-n>@Hohelied  4:15</p-n>	ein Gartenquell, ein Brunnen lebendigen Wassers, wie es vom Libanon rinnt!  
SOL 4:16	<p-n>@Hohelied  4:16</p-n>	Erwache, Nordwind; Südwind, komm, durchwehe meinen Garten, daß sein Balsam träufle! Mein Freund komme in seinen Garten und esse seine herrliche Frucht!   
SOL 5:1	<p-n>@Hohelied  5:1</p-n>	Ich komme zu meinem Garten, meine Schwester, [meine] Braut; ich pflücke meine Myrrhe samt meinem Balsam; ich esse meine Wabe samt meinem Honig, ich trinke meinen Wein samt meiner Milch. Esset, meine Freunde, trinkt und werdet trunken, ihr Geliebten!  
SOL 5:2	<p-n>@Hohelied  5:2</p-n>	Ich schlafe, aber mein Herz wacht. Da ist die Stimme meines Freundes, der anklopft! «Tue mir auf, meine Schwester, meine Freundin, meine Taube, meine Makellose; denn mein Haupt ist voll Tau, meine Locken voll nächtlicher Tropfen!»  
SOL 5:3	<p-n>@Hohelied  5:3</p-n>	«Ich habe mein Kleid ausgezogen, wie soll ich es anziehen? Ich habe meine Füße gewaschen, wie soll ich sie besudeln?»  
SOL 5:4	<p-n>@Hohelied  5:4</p-n>	Aber mein Freund streckte seine Hand durch die Luke; da geriet mein Herz in Wallung seinetwegen.  
SOL 5:5	<p-n>@Hohelied  5:5</p-n>	Ich stand auf, meinem Freunde zu öffnen, während meine Hände von Myrrhen troffen und meine Finger von feinster Myrrhe auf die Griffe des Riegels.  
SOL 5:6	<p-n>@Hohelied  5:6</p-n>	Ich tat meinem Freunde auf; aber mein Freund war verschwunden, vorbeigegangen. Meine Seele ging hinaus, auf sein Wort; ich suchte ihn, aber ich fand ihn nicht; ich rief ihm, aber er antwortete mir nicht.  
SOL 5:7	<p-n>@Hohelied  5:7</p-n>	Es fanden mich die Wächter, welche die Runde machen in der Stadt; die schlugen mich wund, nahmen mir den Schleier weg, die Wächter auf der Mauer.  
SOL 5:8	<p-n>@Hohelied  5:8</p-n>	Ich beschwöre euch, ihr Töchter Jerusalems, wenn ihr meinen Freund findet, was wollt ihr ihm melden? Daß ich krank bin vor Liebe!  
SOL 5:9	<p-n>@Hohelied  5:9</p-n>	Was ist dein Freund vor andern Freunden, o du Schönste unter den Weibern? Was ist dein Freund vor andern Freunden, daß du uns also beschwörst?  
SOL 5:10	<p-n>@Hohelied  5:10</p-n>	Mein Freund ist weiß und rot, hervorragend unter Zehntausenden!  
SOL 5:11	<p-n>@Hohelied  5:11</p-n>	Sein Haupt ist reines Gold, seine Locken sind wallend, rabenschwarz.  
SOL 5:12	<p-n>@Hohelied  5:12</p-n>	Seine Augen sind wie Tauben an Wasserbächen, sich badend in Milch, sitzend in einem vollen Gesicht.  
SOL 5:13	<p-n>@Hohelied  5:13</p-n>	Seine Wangen sind wie Balsambeete, in denen würzige Pflanzen wachsen; seine Lippen wie Lilien, aus denen feinste Myrrhe fließt.  
SOL 5:14	<p-n>@Hohelied  5:14</p-n>	Seine Arme sind goldene Walzen, mit Tarsisstein besetzt; sein Leib ein Kunstwerk von Elfenbein, mit Saphiren übersät.  
SOL 5:15	<p-n>@Hohelied  5:15</p-n>	Seine Schenkel sind Marmorsäulen, gegründet auf goldene Sockel; seine Gestalt wie der Libanon, auserlesen wie Zedern.  
SOL 5:16	<p-n>@Hohelied  5:16</p-n>	Sein Gaumen ist süß, und er selbst lauter Lieblichkeit. So ist mein Geliebter, und so ist mein Freund, ihr Töchter Jerusalems!   
SOL 6:1	<p-n>@Hohelied  6:1</p-n>	Wohin ist dein Freund gegangen, du Schönste unter den Weibern? Wohin hat sich dein Freund gewandt? Wir wollen ihn mit dir suchen!  
SOL 6:2	<p-n>@Hohelied  6:2</p-n>	Mein Freund ist in seinen Garten hinabgegangen, zu den Balsambeeten, um in den Gärten zu weiden und Lilien zu pflücken!  
SOL 6:3	<p-n>@Hohelied  6:3</p-n>	Ich bin meines Freundes, und mein Freund ist mein, der unter den Lilien weidet.  
SOL 6:4	<p-n>@Hohelied  6:4</p-n>	Du bist schön, meine Freundin, wie Tirza, lieblich wie Jerusalem, furchtbar wie die Bannerträger!  
SOL 6:5	<p-n>@Hohelied  6:5</p-n>	Wende deine Augen ab von mir; denn sie machen mich ungestüm! Dein Haar ist wie eine Herde Ziegen, die sich am Berge Gilead lagern.  
SOL 6:6	<p-n>@Hohelied  6:6</p-n>	Deine Zähne sind wie eine Herde Mutterschafe, die aus der Schwemme kommen und sämtlich Zwillinge tragen, so daß kein unfruchtbares darunter ist.  
SOL 6:7	<p-n>@Hohelied  6:7</p-n>	Wie ein halber Granatapfel nimmt sich deine Wange hinter deinem Schleier aus.  
SOL 6:8	<p-n>@Hohelied  6:8</p-n>	Ihrer sechzig sind Königinnen und ihrer achtzig Nebenfrauen, dazu Jungfrauen ohne Zahl;  
SOL 6:9	<p-n>@Hohelied  6:9</p-n>	diese Eine ist meine Taube, meine Makellose; sie ist die Einzige ihrer Mutter, die Reinste von allen, die sie geboren hat. Die Töchter sahen sie und priesen sie glücklich, die Königinnen und Nebenfrauen rühmten sie:  
SOL 6:10	<p-n>@Hohelied  6:10</p-n>	Wer ist die, welche herabschaut wie Morgenrot, schön wie der Mond, klar wie die Sonne, furchtbar wie die Bannerträger?  
SOL 6:11	<p-n>@Hohelied  6:11</p-n>	Zum Nußgarten war ich hinabgegangen, um die grünen Plätze des Tales zu betrachten, zu sehen, ob der Weinstock ausgeschlagen, ob die Granaten Blüten getrieben hätten,  
SOL 6:12	<p-n>@Hohelied  6:12</p-n>	wovon ich nichts gewußt hatte, darauf ward meine Seele aufmerksam, auf die Wagen meines edlen Volkes.  
SOL 6:13	<p-n>@Hohelied  6:13</p-n>	(07-1) Kehre wieder, kehre wieder, o Sulamit, kehre wieder, kehre wieder, daß wir dich betrachten! Was wollt ihr Sulamit betrachten wie den Reigen von Mahanaim?   
SOL 7:1	<p-n>@Hohelied  7:1</p-n>	(07-2) Wie schön sind deine Schritte in den Schuhen, du Edelfräulein! Die Wölbungen deiner Hüften sind wie Halsgeschmeide, von Künstlerhand gemacht.  
SOL 7:2	<p-n>@Hohelied  7:2</p-n>	(07-3) Dein Schoß ist ein rundes Becken, welchem der gemischte Wein nicht fehlen darf; dein Leib ein Weizenhaufen, mit Lilien eingefaßt;  
SOL 7:3	<p-n>@Hohelied  7:3</p-n>	(07-4) deine beiden Brüste wie zwei Rehkälbchen, Gazellenzwillinge;  
SOL 7:4	<p-n>@Hohelied  7:4</p-n>	(07-5) dein Hals wie der elfenbeinerne Turm, deine Augen wie die Teiche zu Hesbon am Tore Batrabbim, deine Nase wie der Libanonturm, der gen Damaskus schaut.  
SOL 7:5	<p-n>@Hohelied  7:5</p-n>	(07-6) Dein Haupt auf dir gleicht dem Karmel, und dein Haupthaar dem königlichen Purpur, in Falten gebunden.  
SOL 7:6	<p-n>@Hohelied  7:6</p-n>	(07-7) Wie schön bist du und wie lieblich, o Liebe, unter den Wonnen!  
SOL 7:7	<p-n>@Hohelied  7:7</p-n>	(07-8) Dieser dein Wuchs ist der Palme gleich, und deine Brüste den Trauben.  
SOL 7:8	<p-n>@Hohelied  7:8</p-n>	(07-9) Ich denke, ich will die Palme besteigen und ihre Zweige erfassen, so werden deine Brüste den Weintrauben gleichen und der Duft deiner Nase den Äpfeln  
SOL 7:9	<p-n>@Hohelied  7:9</p-n>	(07-10) und dein Gaumen dem besten Wein, der meinem Geliebten glatt eingeht, über die Lippen Einschlafender gleitet.  
SOL 7:10	<p-n>@Hohelied  7:10</p-n>	(07-11) Ich gehöre meinem Geliebten, und sein Verlangen steht nach mir!  
SOL 7:11	<p-n>@Hohelied  7:11</p-n>	(07-12) Komm, mein Lieber, wir wollen aufs Feld hinausgehen, in den Dörfern übernachten,  
SOL 7:12	<p-n>@Hohelied  7:12</p-n>	(07-13) früh nach den Weinbergen aufbrechen, nachsehen, ob der Weinstock ausgeschlagen, ob die Blütezeit begonnen habe, ob die Granaten blühen; dort will ich dir meine Liebe schenken!  
SOL 7:13	<p-n>@Hohelied  7:13</p-n>	(07-14) Die Liebesäpfel verbreiten Duft, und über unsern Türen sind allerlei edle Früchte; neue und alte habe ich dir, mein Lieber, aufbewahrt!   
SOL 8:1	<p-n>@Hohelied  8:1</p-n>	Ach, daß du mir wärest wie ein Bruder, der meiner Mutter Brüste sog! Dann dürfte ich dich doch küssen, wenn ich dich draußen träfe, ohne daß man mich deshalb verachtete.  
SOL 8:2	<p-n>@Hohelied  8:2</p-n>	Ich wollte dich führen, dich bringen zu meiner Mutter Haus; sie würde mich lehren, dich mit Würzwein zu tränken, mit meinem Granatäpfelmost.  
SOL 8:3	<p-n>@Hohelied  8:3</p-n>	Seine Linke sei unter meinem Haupt, und seine Rechte umfange mich!  
