 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
kakuba	a small stalk or cob of maize, e.g. *Kakuba kaniini aka kajisi popwe lipati.* = That small stalk of maize has a big cob.
kakuko	a pot for conserving or carrying water, e.g. *Meenda azwa mukakuko mmabotu kunywa nkaambo alatontola.* = Water coming from a pot is good to drink because it is cold.
	a small shoulder, e.g. *Kakuko kamwana kalacisa.* = The small shoulder of the child is hurting.
kakukubila	a snare, e.g. Ulati ngu-kwale wajatwa *mukakukubila*. = He was like a partridge caught in a trap. Also *kakkukka*
kakulila	a running-knot, e.g. *Kamu-bamba kakulila alooye Iwampongo*. = Make a running-knot on the goat string.
kakulu	bald head, e.g. Lyoonse wakali kugelwa *kakulu* kayi taakali kuyanda *mvwi* kuti kazilibonya. = He was always shaven bald as he did not want the grey hairs to be seen.
kakumbwi	a small hole in the ground, e.g. Inzoka yakalilizingaide *mukakumbwi*. = A snake had coiled itself up in a hole in the ground.
kakundanyina	a cap, e.g. Twakajana mudaala kumutwe usamide *kakundanyina*. = We found an old man wearing a cap. Also *kakepesi*
kakungo	a group e.g. Uyakujana mpobabede *nkakungo*. = You will find where they are in a group.
kakungu	the base of the back, e.g. *Kakungu kamwana kalacisa nkaambo wawa*. = The base of the child's back is sore because she fell.
kakuni	a violet tree-snake, a variety of boomslang, slightly venemous, feigns death and is like a piece of wood, e.g. *Kakuni talumi ccita wamutalika*. = The violet tree-snake will not bite unless you provoke it. Also *kaankuni, siboninsonje*
	a small piece of firewood, e.g. *Koleta kakuni kasyoonto tuyoosye ndongwe*. = Bring a small piece of firewood so that we roast groundnuts with it.
kakunka	a borassus palm-tree, e.g. *Bamacembele bakaunka kukucela mavwuma kukakunka*. = The old women have gone to gather palms from the borassus palm-tree. Also *kamvwuma*.
	a small valley, e.g. *Inombe zilacela mukakunka*. = The cattle are grazing in a small valley.
kakuta	a very small worn hoe, e.g. *Kamubweza kakuta tukeenge cuumbwe*. = Take a small hoe so that we mark the grave. (This hoe is taken away by the father when he has marked the grave, that is why they usually use an old hoe rather than a new one)
	small grass-screen, e.g. *Bakayaka kakuta kaniini kukwabilila muwo*. = They built a small grass-screen to shelter from the wind.
kakuyu	a fig tree (it's fruit = *inkuyu*), e.g. *Kakuyu akaya kalizyede kapati*. = That fig tree is very prolific.
kakuze	a string of beads, a crown of beads, a necklace, pl. *tukuze*, e.g. *Bamakaintu bakali kusama tukuze mucibuno*. = The women were wearing strings of beads around the waist.
kakwambu	a scratch, e.g. *Ndakapuluka muntenda yamumugwagwa kakunyina kakwambu*. = I was saved frpm a road accident without the least scratch. Also *kankwambu, kankwamu, mukwambululu*.
kakwamu	small loose particles on the bark of a tree, e.g. *Kakwamu kazyila amusamu ulya katapukila ansi*. = The particle has fallen down which has come from the bark of that tree. Also *kafwapu*
	a flaw, e.g. *Cilaa kakwamu*. = It has a flaw.
kakwapa	a young mealie-cob, pl. *tukwapa*, e.g. *Zipoka zijisi tukwapa*. = The stalks have produced young cobs.
kakwapili	animal-skin, e.g. *Mutinta wakabweza mwanaakwe wamubbala a kakwapili nkaakali kusama*. = Mutinta took her child and carried it in the animal-skin she was wearing. *Wakayala kakwapili nkaakajisi walivwunga*. = She spread out an animal-skin which she had and covered herself up in it.
kakweekwe	whooping cough, tuberculosis, e.g. *Tubambo twakali kulibonya*
mbuli	muntu mulwazi uutabukili bulo uuciswa *kakweekwe*. = The little ribs were to be seen like those of a sick bed-ridden man who is suffering from tuberculosis.
kakweelele	a small maize-cob cover, e.g. *Kakweelele kapepukila mucikko*. = The small maize-cob cover fell into the fire.
kakwizyo	the upper-stone for pulverizing red ochre or snuff, e.g. *Bacembele basila tombwe akakwizyo*. = The old lady is grinding tobacco with a grindingstone.
	a knot, e.g. *Kobamba kakwizyo akooye*. = Make a running-knot on the small rope.
kalaambe	hide and seek game played by children, e.g. *Bana basobana kalaambe mangolezya*. Children play hide and seek in the evening.
kalabi	a riddle, conundrum, e.g. Mutinta ulatupa *kalabi komwe*. = Mutinta will give us one riddle.
kalabiko	conundrum, riddle, tale without song. Also *kalabi*.
kalabwi	 a fish-trap, fish-string, e.g. *Baalumi bajaya nswi akalabwi*. = The men have killed fish with a trap.
kala-kasyoonto	the appendix, a wormlike appendage (of the caecum) within the stomach, e.g. *Kuli tulonda mukala-kasyoonto*. = There are sores on the appendix.
kalala	a small palm-leaf, a strip of palm, e.g. Mudaala ubamba cisebe cansuwa *atulala*. The old man is making a funnel for the milk gourd from small palm leaves. Amulete *kalala* toombele cisuwo. = Bring us a strip of palm so that we weave the edge of the basket.
	a patch of unburnt grass left after bush is burnt, pl. *tulala*, e.g. *Muluya kuli tulala tunji*. In the stretch of burnt bush there are many unburnt patches.
kalalu	short-tempered, lunacy, e.g. *Kuti bantu bamwi bacembaala balaa kalalu*. = If some people grow old they can fly into a fury.
kalamatila-bbende	a white frog which lives in the water, e.g. *Mwana wakkalwa kalamatilabbende*. The white frog is sitting on the child.
kalamatila-bele	a small white frog Also *kanamatila-bele*.
kalambe	 a children's game (hide and seek), e.g. *Mweenzuma yamuluma nzoka notwali kusobana kalambe*. My friend has been bitten by a snake when we were playing a game.
kalambo	a large hole in the ground made by water, e.g. *Wakalanga kubusena kwakali kalambo kalamfwu kapati bamwi nkobati kasyaleza (ifwumbwaleza)*. Aaka kasyaleza cakali cilindi cilamfwu kapati, tiicakali kubonwa ankocigolela. = He saw a place where there was very deep hole which was said to be dug by God. This divine creation was a big hole, it was not possible to see the bottom of it.
kalambwa	a pool of water, e.g. *Naakavwumbulwa ngubo, wakabaanga muntu wakazwa mukalambwa*. = When he was uncovered from the blanket, he seemed like a person who had come out of a pool of water.
kalambwe	eternal fire, e.g. *Bayakuloba mukalambwe kamulilo*. = They will perish in eternal fire.
kalanga-bwaaseme	noon, 12.00 hrs. e.g. *Moota wakasika akalanga-bwaaseme*. The car arrived at noon. Bakaya kumunzi kukususula zilyo akalangabwaaseme akukotoka alundindiwana. = They went home to have their lunch at noon and knocked off in the afternoon.
kalapi	a piece of cloth covering the genitals, e.g. *Izyuubo-ubo zyoonse kacembele kakasamununwa kwasyaala buyo kalapi abusyu*. = The little old woman was stripped of all the ragged pieces of blanket with which she covered herself,
kalazyala-zanga	a tobacco-plant (pink flower), e.g. *Tusiko twakalazyalazanga twasyuuka kabotu.* = The stems of the tobacco-plant are growing well.
kaleba	a traditional axe, e.g. *Wakamu-gonka kaleba ncaakafwa.* = He struck her with an axe that is why she died. *Wakaide kudenketa nkata yaloozi, wasowa akaleba akulubikka luno luyumu nta.* = He threw down the bundle of fibres and threw away the axe and started to run very fast.
kaleke	a tin container, with handle, e.g. *Simpongo ulalibambila keembe, nkoli, myuumba, kankuli, cisumo, a kaleke kakujikila musozya wanyabo.* = The goatherd prepares for himself an axe, a club, barbed spears, a gourd, a small spear, and a container for cooking bean stew. *Amundipe bukoko mukaleke.* = Give me beer in a container.
kalembe	an arrow with a short head, pl. *tulembe*, e.g. *Kaindi twakali kujaya bayuni abanyama atulembe.* = Long ago we were killing birds and animals with small-headed arrows.
kalembela	a fig tree, e.g. *Buyuni bunji bulya nkuyu mukalembela.* = Many birds eat figs in the fig tree.
kalembula	potatoe or cassava leaves, e.g. *Cisyu cakalembula cilababotela bamatumbu.* = Cassava leaves are liked by suckling mothers.
kalemukoko	type of plant (Ammocharis tinneana), the pounded heated root is applied after cooling to relieve swelling from sprains. e.g. *Amumucumbe kalemukoko mpaafwuyuka mwana.* = Rub the child where it has a sprain with the powdered root of the *kalemukoko* tree.
Kalenga	the Creator, e.g. *Bantu a zintu zyoonse zyakalengwa a Kalenga.* = People and all things were created by the Creator.
kaleze	a type of bird, the sparrow, e.g. _Kaleze katyoka kababa takauluki._ = The sparrow's wing is broken, it does not fly.
kaleze-kaimbi	a type of bird, the linnet, e.g. _Kalezekaimbi kalaimba kabotu._ = The linnet sings beautifully.
kalezu	a small beard, pl. _tulezu_, e.g. _Bantu bamwi bayanda kulekela kalezu._ = Some people like to let their beard grow. _Bamadaala bakali kwiile kulijata tulezu nibakamvwa lufwu Iwamwami._ = The old men just held themselves by the beards when they heard of the death of the chief. _Kalezu kalamfwu kakooswa mbuli mukkwilo._ = The long beard was plaited like a cattle-whip.
kali	a small amount of money, e.g. _Kaswi aka kaulwa kali kaniini buyo._ = This little fish costs only a little money. Also _mali_.
kalikiliki	disturbance, e.g. _Kunyina ni-kwakazyibidwe kuti buzuba oobu kulaba kalikiliki kali boobu._ = It was not known that on this day there would be such a disturbance.
kalikumbate	a sensitive bush-insect, e.g. _Kalikumbate nkauka kamvwa kapati._ = The _kalikumbate_ is a bush-insect which is very alert.
	sensitive plant, like the insect it folds up when toched.
kalila-musyolo	a slender kind of locust, pl. _bakalila-musyolo_, e.g. _Bamwi bantu balalya tusozi tuunga bakalila-musyolo._ = Some people eat a slender species of locusts.
kalima-beenda	an inedible mushroom, e.g. _Kalima-beenda mbowa bukola, tabu-ligwi._ = _Kalima-beenda_ is a poisonous mushroom, it is inedible.
kalima-bweenda	an edible mushroom, e.g. _Kalima-bweenda mbowa bunona kapati._ = _Kalima-bweenda_ is a very delicious mushroom.
kalimba	a small feather, e.g. Cheelo wakamusomona *kalimba* nkabela Mwiinga wakaba musamu. = Cheelo removed a feather and so Mwiinga became a tree.
	a hand-piano, e.g. *Kalimba* kako kalila kabotu. = Your hand-piano has a lovely sound. Also kankobela.
kalimi-limi	small ligament checking the motion of the tongue (fraenum), e.g. Ndazwa mate kukalimilimi nindamvwa kununkila kwanyama. = My mouth watered at the back of my tongue when I smelt the aroma of the meat.
	proud feeling of a succesful farmer, e.g. Ncibi kulipa *kalimilimi* inga bakulowa bantu. = It is bad to boast as a successful farmer because people may bewitch you.
kalimo	a light job, e.g. Mumupe *kalimo* kaniini mwana oyu. = Give this child a light job.
	measurement of land, e.g. Amuka-tebule *kalimo* kanyemu. = Go and harvest a patch of groundnuts.
kalindi	a small hole, e.g. Tulabikka mpopwe yomwe mukalindi komwe. = We put one maize-seed in one hole.
kalisukulido	a small washing pot, e.g. Kobikka meenda asalala *mukalisukulido* usukulule zisani. = Put clean water in the small washing-pot to rinse out the clothes. Also kabiya, kakata.
kalitukuzyo	 a tooth-brush *kaliyoliyo* a type of bird, the small kingfisher, e.g. *Kaliyoliyo* kalaguna-guna mutwe. = The small kingfisher nods its head.
kalizyo	behaviour, e.g. *Kalizyo* kasyuu-mbwa kalayoosya. = The behaviour of a lion is frightening.
kalo	name given by midwife to newly born child, e.g. Mazina manji ngaakalo antela ngaabusasa. Ino ndizina nzi litegwa ndyaakalo? Eli ndizina mwana ndyaulikwa amucembele wakwe wakamutumbusya; ulaulikwa zina eli buzuba lyaloka lulila antela lukombo-bombo. = Many names are called akalo or busasa. This is the name of the child given by his midwife when s/he is delivered; s/he is given this name on the day that the umbilical cord drops off.
	a little bed, e.g. Simpongo tajisi lubono lunji munanda yakwe, pele muli *kalo* kamatete kakalukwa aloozi Iwamubuyu. = A goatherd has not much possessions in his house, he only has a small bed made from reeds tied together with mubuyu fibre.
kalobo	a fish-hook and line, e.g. Amukanduulile *kalobo* nselobya nswi. = Buy me a fish-hook so that I can hook fish with it.
kalobola	a gynacological problem, e.g. Mukaintu uciswa *kalobola* usilisigwa mujola-bafwu. = A woman who has a gynacological problem is healed by the use of certain roots. Munzya wakatalika kuciswa bulwazi mbobaamba kuti *kalo-bola*. Eeci cakaletelezya kuti ooyu muka-intu katamiti pe. Munzya began to be ill with the sickenss they call *kalobola*. This caused this woman not to conceive.
kalobozyo	a fishing-rod Also *kalobo*.
kalobio	a fish-hook Also *kalobo*.
kalolomi	a toe, e.g. Mwana wayaswa kaunsyakwale *akalolomi*. = The child has been pierced by a small thorn on the toe. (When you chase after a partridge you can be pierced by such a small thorn, then when you stop to remove it the partridge escapes, kaunsya-kwale = that which allows the partridge to fly away) Cilacisa mumoyo, nkuyaswa *akalolomi*.
kalombe	a young boy, a lad, e.g. Akaya *kalombe* kalayabila kabotu. = That young boy sings the kuyabila song well.
kalonda	a small sore, e.g. Aaka *kalonda* takaponi kufwambaana. = This sore does not heal quickly. *kalonde* alchohol, distilled liquor or spirits, e.g. Sunu bantu banywa bukoko *bwakalonde.* = Today the people are drinking spirits.
kalonga	a stream, e.g. Kunyina meenda mukalonga omu. = There is no water in this little stream.
kalongo	a water-furrow, irrigation channel, e.g. Ku Nakambala balabelesya tulongo tunji kwiida minsale. = At Nakambala they use many irrigation channels to water the sugar-cane.
	a small earthen pot, a small cooking pot for vegetables, e.g. Tujikila muka*longo.* = We cook in a small earthen pot.
Meenda	akali kubila *mukalongo* kakali acikko. = The water in the small earthen pot on the fire was boiling.
	a small line, e.g. Tuuka tuleenda *mukalongo* kunjila mubwina. = Insects go in a line to enter the burrow.
kalowa	a trace of blood, e.g. Musankwa walikusoomona kalowa. The boy had a trace of blood in the stool.
	cooked offals mixed with blood, e.g. *Kalowa kampongo kalanona.* = Cooked goat-offals mixed with blood are tasty.
kalowa-boombe	a type of edible mushroom, e.g. *Kalowaboombe* mbowa busubila pyu. = The *kalowaboombe* mushroom is very red.
kalubale	a type of fish, e.g. *Kalubale* ninswi italigwi baminsyi. = Kalubale is a fish which is not eaten by pregnant women. Also syaamwaama.
kalubulubu	 intensive heat of the sun, e.g. Eeci cakali ciindi zuba nolyuumpa ansi kapati cakalubulubu. = This was the time when the sun was burning the land with intensive heat.
kaluba-bwanga	a type of green relish, plants diced and cooked 30 min. e.g. Sunu twalikulisya cisyu cakalubabwanga. = Today we were eating a green relish. Also *kalubya-bwanga*
kalubaluba	 a plant, root heated in water, sips of the liquid said to relieve upset stomach. e.g. Kuti kamucisa mwida, konywa miyanda yakalubaluba. = If you have stomach pains, drink the root juice of the kalubaluba plant.
kalubya-bwanga	wild vegetable which has flowers, e.g. Bacembele baya kukucela cisyu cakalubyabwanga. = The old lady is going to collect a flowering relish.
kalukuni	a type of bird, a turkey, pl. bakalukuni, e.g. Kumitwe bakasamide musyini wamapepe abayuni basiyenesiyene mbuli basikakonze, batumba, bacuungwe, *bakalukuni,* bajule aimwi misyobo yabayuni. On their heads they wore a crown of different birds feathers like jackal-buzzards, owls, vultures, turkeys, secretary-birds and other types of birds. Also *ipilu*
kaluli	umbrella, e.g. Kamubweza *kaluli,* ndiza mvwula ikamujane munzila. = Take an umbrella, perhaps the rain will find you on the way.
	a small roof, e.g. Bapati bayaka *kaluli*
kakabbule	kandongwe. = The elders are building a small roof for the little groundnut granary.
kalulu	madness, e.g. Sincinko ujisi *kalulu,* tacizyi ncacita. = The insane person who is crazy does not know what he is doing. Also *kalalu.*
	a rabbit, e.g. *Kalulu* nkanyama kajisi matwi malamfwu alimwi kamaanu. = The hare is an animal with long ears and is intelligent.
	a type of tree, e.g. Kamuya kumuunda *wakalulu* mukacele myuungu. = Go to the field of the *kalulu* tree and gather pumpkins.
kaluma-bazela	a leech, e.g. Amukasonde kumunanga ubelesya *kalumabazela, tumvwe wamulowa mwana. = Let us go to the withchdoctor who uses a leech so that we understand who has bewitched the child. (the leech can be used in the process of divination) Also munsyundu, musyundu, kaluma-babuzi.
kalumbu	 a traditional one-stringed musical-bow, e.g. Musankwa wakajaya *kalumbu kakwe*. = The boy broke his one-stringed musical-bow.
kalume	the third dice thrown in divination, e.g. *Inkakata yakalume taiko pe*. = The third dice is missing.
kalundu	a small (detached) hill, e.g. *Kamutanta akalundu awo*. = Climb up on that hill.
kalungi	a type of tree (*Strychnos innocua*), monkey orange, wild orange: wood is hard, inclined to split, leaves eaten by livestock, flowers frequented by hornets, seeds yield a reddish fixed oil and have emetic properties, the fruit pulp is good to eat raw or make marmalade and can be dried and used many months later. Also used as a remedy for dysentry or to make ear-drops. The oil from seeds and pulp can be used for soap-making. e.g. *Basimbi babamba nsipa zyakalungi*. = The girls are making soap from the seedoil of the *kalungi* tree. Also muteme, mutu.
kalungu	a small bead, pl. tulungu, e.g. *Milemba ibambwa atutenta twatulungu*. = Face-veils are made from strings of small beads.
	a pool of water, e.g. *Basimbi bakanjila mukalungu kameenda*. = The girls went into a pool of water. Also kazyiba
	the favourite, e.g. *Ooyu mwana musimbi kaali kalungu kaamoyo kuli banyina*. = This daughter was the little bead of her mother's heart. i.e. the favourite.
kaluso	a flexible rod, a switch, e.g. *Bacembele bakauma basimbi akaluso*. = The old woman beat the girls with a switch.
kaluzi	an islet, e.g. *Inombe zyajanika akaluzi*. = The cattle were found on a small island. Also insumbu, kasumbu, kasuwa
kalwalo	 an epidemic, pestilence, infectious disease, e.g. Sikalileke nkalwalo kajaya. = AIDS is a disease which kills.
Wakabaa kalwalo	kamaa= He had epilepsy. Also injowela
kalya	 the grave of a respected chief, used as place of prayer, e.g. Bana baku*kalya balalemekwa*. = The people who belong to the chief's grave are respected.
kalyalyalya	a flight in panic, e.g. *Basankwa nibakatalika kulwana, bakaintu abana boonse kakaide kuba kalyalyalya musyokwe*. = When the men started to fight, the women and children ran away into the bush in panic.
kalyaba	a traditional dance, e.g. *Bamacembele balicizyi kuzyana kalyaba*. = The elderely women know how to dance the *kalyaba*.
kalyango	small entrance to a mouse hole or other small animal's burrow. e.g. *Kamusinka kukalyango*. = Block the burrow at the entrance.
kalyobo-lyobo	intense short-lived rain, e.g. Kaindi kasyoonto kwaba kalyobolyobo kameenda. = In a short space of time there was a heavy but brief rainfall.
kalyuumbo	a swing, e.g. Bana balalyuumbwa akalyuumbo. = The children are swinging themselves on a swing.
kamabala	a type of bird, the flycatcher, e.g. Kayuni kamabala kalya buuka. = The fly-catcher eats insects.
kamando	beer brewed for sale, e.g. *Banyina Mutinta bakaunza kamando kutegwa basambale mwana ajokele kucikolo*. = The mother of Mutinta began to brew beer for sale so that she could sell it and so that her daughter could return to school.
	a boys' wrestling game, e.g. Musankwa watyokela mukamando. = The boy broke a bone in wrestling.
kamanu	neuralgia, pleurisy, e.g. Bamaama bakafwa kamanu mucamba. = My mother died of pleurisy in the chest.
kamaumba	name of a tree, e.g. Mumwezi wa Mulumi bapati balatalika kubikka matuvwu aamusamu wiitwa kuti kamaumba munsuwa zyabo. Oyu musamu ujisi nguzu zyakubunganya mafwuta aamunsuwa. = In the month of February the elders begin to put the leaves of a tree called kamaumba in their gourds. This medicine has the power to bind the oil in their gourds.
kambala	grey sweet-potatoe, e.g. Twakasya kapati kambala. = We dug mostly grey sweet-potatoes.
	a bullet, e.g. Muntobolo kuli buyo kambala komwe. = There is only a single bullet in the gun.
kambizi/kambizyi	a whirlwind, gust of wind, storm, e.g. nanda yakavwumbulwa akambizyi. The house was unroofed by the whirlwind. Also kapepele
kamboni	a witness, e.g. Bantu balayoowa kuba kamboni kukujaigwa kwamuntu. People are afraid of being a witness to the murder of a person.
	pupil of the eye, e.g. Kamboni katoogwa muliso lyamwana. The pupil of the child's eye has been blinded.
kambuma	the medicine or charm which makes one rich, e.g. Kambuma tacili cintu cipati pe alimwi tacipenzyi pe. = The medicine (kambuma) is not difficult or troublesome to acquire. Ulaa nanda ujisi kambuma kamali. The owner of the house has a charm for making himself rich. kambumbulu a small round object made of clay used as a projectile to kill birds, pl. tumbumbulu, e.g. Bana babumba tumbumbulu twakujazya tuyuni. = Children mould small round clay objects to kill birds.
kambundu	cock-crow, early in the morning, e.g. Kacili kambundu nitwasika mumuunda. = It was early in the morning when we reached the field.
kambuumbu	a cake of mbula fruit, e.g. Bacembele bandipa kambuumbu kasyoonto. = The old lady gave me a small mbula cake.
kambuwa	a bun, pl. tumbuwa, e.g. Bana bayanda kulya tumbuwa. = Children like eating buns.
kamebezya	a swallow, pl. tumebezya, e.g. Tumebezya tulauluka kakunyina kulyookezya. The swallows fly without resting. Also kamembya.
kamelo	a wooden milk-bucket, e.g. Kamutila mukupa mukamelo. = Pour the milk into the wooden milk-bucket. Also cibisilo.
kamembya	a type of bird, the swallow, pl. tumembya, e.g. Tumembya tubonwa mainza. = Swallows are seen during the rainy season. Also kamebezya
kameneno	the oesophagus, the gullet, e.g. Mwana waingwa kafwuwa kanswi akameneno. = The child has been choked by a small fish-bone in the gullet. Kabacilya buci umwi mulombwana wakalidikizya anzuki mpoonya yakamuluma akameneno. = When they were still eating the honey, one boy ate a bee as well and thereupon it stung him inside the throat.
kamfwumfwu	laziness in obeying, e.g. Mwana uulaa kamfwumfwu, tagwasyi bazyali bakwe. A child who is slow to obey, does not help it's parents.
kaminkwengwe	a type of bird, the bulbul, e.g. Kayuni nkaanga kaminkwengwe kalakumba. The little bulbul is hatching.
kamini	a back bent inwards, e.g. Mainza ulaa kamini mubulema bwakwe. = Mainza is handicapped by a back which is bent inwards.
kampaafwa	a smaller kind of bat, e.g. Kampaafwa kaleta nsinsini munanda. = The small bat brings bedbugs into the house.
kampakala	a small type of bee, e.g. Kampakala takajisi buci. = The small bee does not produce honey. Also kampamakala.
kampakatwa	a protective charm worn around the armpit, e.g. Sicibende ciindi naakatalika kukkala bakamucitila kampakatwa nkaambo wakaba alucisilwa. = At the tine when Sicibende started sitting by himself they made him a protective charm because he became sickly.
kampalaba	a head-band of 1", e.g. Mwami usamide kampalaba kabotu amutwe. = The chief is dressed in a beautiful head-band.
kampalimba	a bead-ornament about 1" broad, e.g. Bamuka mwami balasama kampalimba. = The chief's wife is wearing a bead-ornament.
kampamakala	mopani bee making honey in trees, pl. tumpamakala, e.g. Tumpamakala tujisi buci bunji. = Mopani bees produce a lot of honey. Also kampakala.
kampanga	a canine tooth, pl. tumpanga, e.g. Mucembele uzutuzya tumpanga cituli canyama. = The old lady is cutting the piece of meat with her canine teeth as she eats. Also isonga-nyama.
kampango	a rib, e.g. Chimuka watyoka kampango nibamuuma ankoli. = Chimuka has broken a rib when they beat him with a club.
	a chapter of a book, e.g. Ncinzi caambwa mukampango omu? = What is said in this chapter?
kampayu	a little porridge sprinkled with powdered medicine, e.g. Munakaundu-ngana wakaunka kumunene kuya kumuzyibya kuti kampayu kamwana kakali kunga kazikunyugwa nokwakali kunga kulainda mazuba one, mwana wapona. = Munakaundungana went to the old man to tell him that it used to happen that if the little porridge for the sick child was sprinkled with powdered medicine, within four days the child would be healed.
kampeleemfwa	top branches of a tree, e.g. Ncibi kulekela bana kuti kabasika kukampeleemfwa nobatanta mumisamu. It is bad to allow children to reach the higher branches when they climb trees.
kampelya	small early kind of maize, e.g. Bana Haacizongo bakaoloka kale mu kampelya. = The people of Haacizongo have already started to eat the early maize. Also kafwamba, kayile
kampenda	a habit, e.g. Musankwa oyu ulaa kampenda kabi kapati. = This boy has a very bad habit.
kampinda	bead-ornaments for the head, a band of beads, pl. tumpinda, e.g. Bazyana masabe balasama tumpinda. = Those who dance the masabe wear headbands of beads. Also musinini, kansinini, milemba.
kampindi	bead-ornaments for the head Also kampinda.
kampombwe	a beaded chest-cord worn by girls at puberty, e.g. Mooye usama kampombwe naakula. = A young girl wears a beaded chest-cord at puberty. Also kampombwa
kamponi	a type of tree (Julbernardia globiflora), used for firewood, heavy constructional work, difficult to work. A good tree for bees with high quality nectar. Resin from bark used for dyeing and as a laxative. Rope is made from bark. e.g. Musamu wakamponi mmubotu kunkuni. = The kamponi tree is good for firewood. Also mumba, sandwe.
kampotomona	a hand-bag, a small bag, e.g. Mukampotomona kabo bakajisi kkukkisi zyamwanaabo alimwi abuswiitiswiiti kusanganizya akabbudula kamwana. = In her handbag she had cakes for her langala. = He just picked up a bundle of child and sweets together with shorts for transparent envelopes. the child. kampuwe a girl who is over-familiar in
kampotwa	a type of small bee, manner, e.g. Kampuwe ulaliletela mamaking honey on trees Also kampakala. penzi. A girl who is too friendly will
	the sand fly, pl. tumpotwa, e.g. Oomu bring problems to herself.
mumusenga	kuli tumpotwa tunji. = Here kampuwe-mpuwe lust, e.g. Musimbi in the sand there are many sand-flies. wakampuwe-mpuwe ulalinyonyoona. = A Also kasusuli, kasusubwi. girl who is controlled by sexual desires kampotyo small kind of tampan tick destroys herself. Also kankwela-nkwela. infesting poultry, pl. tumpotyo, e.g. Inku- kampyoompyo millet Also nzembwe ku zyakalumwa tumpotyo zyakafwa zyoo- kamucamba pleurisy, e.g. Mudaala
nse	All the chickens died which were kalimujisi kamucamba. = The old man is bitten by the tampan ticks. attacked by pleurisy.
kampubu	blackjack plant with yellow kamunimuni a glow-worm/fire-fly, pl. flower used as relish e.g. Kampubu ncisyu tumunimuni, e.g. Mainza tulamweka cinona kapati. Blackjack is a delicious tumunimuni. = Fire-flies shine in the rainy relish. Also haasyipa. nights.
kampububu	Also kampubu kamvwuma a borassus palm, e.g.
kampukwe	cold weather with drizzling Aaka kamvwuma kalizyede kapati kono. = rain, e.g. Sunu mbubwaca kuli kampu- This borassus palm has produced a lot kwe. Today since it dawned there has this year. Its fruit: imvwuma, pl. been a cold drizzling rain. mamvwuma kampumpu a speck, e.g. Mapenzi ala- kamwale an initiated girl who has not ba mbuli kampumpu kakasuko komwe yet had her first child, pl. bakamwale, e.g. mbuli totuya tulibonya mumutungazuba. Kamwale usiba mweembo. = This female = Sufferings will become like a speck of a initiate is blowing a musical horn. Kaindi single grain of dust like those we see in a bakamwale bakali kuvwundikwa kwaray of sunshine. myezi yosanwe naa cisambomwi kabatakampumpwe cloth sufficient to cover zwi munanda. = Long ago female initiates the whole body, e.g. Bana baleelede ku- were put in seclusion for five or six samikwa kampumpwe nokutontola. months without coming out of the house. Children should be fully clothed when it is kamyanku a stick warmed and applied cold. to lips or feet to wake a person, e.g. kamputi a shawl, e.g. Wakaula zibaki, Amumugumye kamyanku Moonde asinsimisinsi, madeleensi, kamputi angubo zya- muke. Touch Moonde with a warm stick mukaintu ngwatiikakwate. He bought to wake her up. blouses, skirts, dresses, a shawl and kamyonzi colic, gripes, e.g. Kuti wabaa blankets for the woman he was about to kamyonzi nkujika makwaa mululwe akumarry. nywa. If you have stomach-pains you kamputu a mote, e.g. Kondifwula nda- should boil and drink the bark of the toogwa kamputu. Blow into my eye I mululwe tree.
have been blinded by a speck kanamala	light beer, e.g. Amundipe kampuuma bundle, e.g. Wakaide ku- kanamala, ndinywe. Give me light beer gomena kampuuma kamvwulupu kaba- so that I drink.
	a traditional hand-piano, e.g. Bantu balizya kanamala adilwe. = People play the hand-piano at a funeral. Also kankobela, kanombyo.
kanamalumbe	anthrax, a contagious disease of cattle, which may be transmitted to humans by inoculation, inhalation and ingestion. e.g. 'Mwana uciswa kanamalumbe. The child is suffering from anthrax. Wakali ankazi anga nkanamalumbe. = He was as persistent as if it was the anthrax disease. Also namalumbe.
kanamani	an animal, like a cow, e.g. Nokaba kanamani kaboya komwe kumunzi takako. = There is not even a single cow in the village.
kanamatila	a stick or straw dipped in milk to be sucked, pl. tunamatila, e.g. Basinombe bakali kunywa cibbobbe atunamatila. = The herds were drinking the frothy mixture of fresh and sour milk through straws. Also sinsa.
kanamatila-bbende	a small frog, e.g. Kamukkala kalamatilabbende mwana. = A small frog sat on the child.
kanamatila-bele	a small frog Also kanamatila-bbende.
kanamifwundu	a small axe with handle covered with copper wire, pl. tunamifwundi, e.g. Tunamifwundu tatulibonyi mazubaano. = The copper-wired handled axes are not seen nowadays.
kanamalumbe	carbuncle, abcess, e.g. Caano eci Mainza cakamucisa kwiinda bucisa kanamalumbe. (bamwi nkobati kabyaabi naa kataambwi) = This story pained Mainza more than a carbuncle.
kanamugoonko	a root for making sweet beer, e.g. Eeci cibwantu cakakumbizigwa akanamugoonko. = This sweet-beer had been brewed with the kanamugoonko root.
kanamulonzola	a chicken disease, e.g. Wakeenda cakutombaila mbuli nkuku iciswa kanamulonzola. = He walked unsteadily as a diseased chicken.
kanamu-namu	a cur, wretched dog, e.g. Aaka kabwa kakaile kuba kanamunamu nkokatalyi. = This dog has become very thin because of not eating.
kanani	reddish millipede, e.g. Kanditantalika kanani akuulu. = A reddish millipede has climbed on to my leg.
