 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
bbuse	finely ground mealie-meal, e.g. Swebo twakaba kale *bbuse* lyabusu kucinyina atuseke tuciliko! = We have become finely ground mealie-meal of flour in which no seeds are to be found!
bbusu	a shoe, pl. *mabbusu*, (ety. Eng. boots.) e.g. *Bbusu* lyangu lyakululyo lyafwa neeligunkula. = My right shoe was broken when I hit myself against something.
bbusumili	*cuumyo cabbusumili* = a whip.
bbuwa	flat space in front of housing, plain, e.g. Bakaunka *kubbuwa* *likkalila ndeke*. = They went to the airport.
bbuyu	a baobab tree or baobab fruit, pl. *mabuyu*, e.g. Baama bajika ceele ca*mabuyu*. = My mother is cooking porridge from the baobab fruit. Bana bacela ma*buyu mubbuyu*. = The children gather fruit from the baobab tree. Nindakali koonza kwakaloka buyo *bbuyu* *lyomwe*. = When I was throwing up sticks there was only one fruit which fell down.
bbwaana	boss (Boer), e.g. Balakwiita ba *bbwaana*. = The boss is calling you. (ety. Kiswahili)
bbwalo	a light spear-shaped stick, pl. *mabbwalo*, e.g. Wakaya kuli basimpongo bakali kuyasa ntinde *abbwalo*. = She went to the goat-herds who were playing a game of piercing the tuber with small sticks. Also *nzonde*.
	pieces of wood or reeds which form the base of a pidgeon house, e.g. Mucaanda cankwilimba twakayasya *bbwalo* lyamatete. In the pidgeon house we built the base with reeds.
bbwatu	sweet-beer, e.g. Basimpongo nibakasika kumunzi bakapegwa *bbwatu*. = When the herdboys came to the village they were given sweet-beer. Also *cibwantu*
bbwaya	the buttocks, e.g. Cintu cakali kumubisya buyo, mulundu *wabbwaya* wakamupede kudiimana bukome. = The only fault she had was the large buttocks which bent her pelvis.
bbwe	a stone, pl. *mabwe*, , e.g. Sulwe wakabweza *bbwe* kuti adinke nondo. = The hare took a stone to beat the tortoise. Also *ibbwe*.
bbwe-luuma	a huge stone, e.g. Awo akali kaanda kwakatuntumene buyo *bbweluuma* lino lipati pee mbuli kuti kulede nzovwu. = There where there had been a small house was resting a huge stone as if an elephant was lying there.
bbwe-njale	a big flat stone, e.g. Nokwakasiya wakayandaula akoona mukasumbu atalaa *bbwenjale* lyakali koona bayuni. = When it was dark she sought a place to sleep on the island on top of a big flat stone where birds had been sleeping.
bbyo	half-cooked food, e.g. Nsima njajika lyoonse *ndibbyo*. = The food which she cooks is never properly cooked. Also *ibbyo, mukonde*.
beembela	second stomach of ruminants, pl. *zeembela*, e.g. Bataata balayanda kulya *beembela*. = My father likes eating the second stomach of the animals. Also ceembela, pl. zeembela; ceembelelo, pl. zeembelelo. (Kaindi ceembela cakali kulidwa kugobelo. = In the past the second stomach was eaten at the male meeting place.)
	herders, pl. of mweembela, e.g. Tabaningasika beembela nombe. = The herders have not yet arrived. Also beembezi,
beenzu	visitors, pl. of mweenzu, e.g. Kumantoombwa kwakali kusika beenzu bakulicengeezya kabajisi atukulikuli. = During the house-keeping tradition for the training of youth, some were arriving pretending to be visitors having luggage.
