#no sort
NEH 13:29	<p-n>@Nehemiya 13:29</p-n>	Kobayita kuti bayeye, Leza wangu, nkambo basofwazya bupayizi, antomwe achizuminano chabupayizi achabu Levi.
NEH 13:30	<p-n>@Nehemiya 13:30</p-n>	Nkenkaako ndakasalazya kuli zyoonse zyakunze, ndabika milimu yabapayizi aba Levi awumwi achibela chakwe. 
NEH 13:31	<p-n>@Nehemiya 13:31</p-n>	Ndaabila zipo zyazisamu muchiindi azya michelo mitaanzi. Kondiyeezya, kondiyeezya, Leza wangu, kuti kubote.
EST 1:1	<p-n>@Esita 1:1</p-n>	Mumazuba a Ahazwelasi, Ahazwelasi alimwi ulizibinkene kuti ngu Zakizesi, ( ooyo ngu Ahazwelasi wakeendelezya kuzwa ku Indiya akuyosika ku Kkusyi, ajulu a 127 zisi), 
EST 1:2	<p-n>@Esita 1:2</p-n>	mumazubayo mwami Ahazwelasi wakakkala aachuno chabwami bwakwe chakali mugunzi lya Susa.
EST 1:3	<p-n>@Esita 1:3</p-n>	Mumunyaka watatu mubwendelezi bwakwe, wakapa ipobwe kuli boonse bendelezi bakwe abazike bakwe. Basilumamba ba Pezyiya aba Midiya, baleli, abendelezi bazisi bakali mubuliwo bwakwe. 
EST 1:4	<p-n>@Esita 1:4</p-n>	Wakabatondezya buvubi bubotu bwabwami bwakwe akulemekwa kwabulemu bwakwe akulemekwa kwabulemu kwabupati kwamazuba miingi, kwamazuba 180.
EST 1:5	<p-n>@Esita 1:5</p-n>	Elyo mazubaya nakamana, mwami wakapa pobwe lyakatola mazuba aali musanu aabili. Lyakali lyabantu boonse bakali mu Susa, kuzwida kubapati kuyosika kubanini bakali kuyandikana, lyakachitilwa mulubuwa lwachilili chamung'anda yamwami. 
EST 1:6	<p-n>@Esita 1:6</p-n>	Busena bwachilili bwakali botezegelwe amalembo abuluba butuba asiyasiya aakangidwe aankole zyamasani amusyobo wantumbula, zyakanzikidwe amubalo wansiliva kuzwa kuminsende yabbwe ibbotu. Kwakali chuno changolida ansiliva akabambidwe kuzwa kububambululwe bwa mozesi kuzwa kubbwe bbotu, jebesi, ijina-lya bwebesi, alimwi kalilamibalabala yamabwe.
EST 1:7	<p-n>@Esita 1:7</p-n>	Zinywigwa zyakali kupedwa muzinywido zyangolida. Aachimwi chinywido chakali siyene, alimwi kwakaliwo wayini ooyo wakaza akambo kaluzyalo lwamwami. 
EST 1:8	<p-n>@Esita 1:8</p-n>	Kunywa kwakabwezedwe aanze kwinda mumalembe, ''Takweelede kuba lusalulo pe,'' Akambo kakuti muli eyinzila mwami wakali wapa malayilile kuli boonse bendelezi bamung'anda yakwe kuti bachite mbuli umwi awumwi muntu mbwayanda.
EST 1:9	<p-n>@Esita 1:9</p-n>	Alakwe Namalelo Vashiti wakapa ipobwe lyabana kazili mung'anda yabwami Ahazwelasi.  
EST 1:10	<p-n>@Esita 1:10</p-n>	Muzuba lyamusanu aabili, eelyo mooyo wamwami niwakamvwa kubotelwa akambo kawayini wakambila Mehamani, Bbizita, Habbona, Bbigita, Abbagata, Zeta a Kkakasi ( bendelezi musanu ababili abo bakali kubelekela munsi lyakwe), 
EST 1:11	<p-n>@Esita 1:11</p-n>	kuti kweetwe Namalelo Vashiti munsi lyakwe amunsini wabwami bwakwe. Wakali kuyanda kutondezya bantu bakwe bubotu bwakwe, nkambo kabube bwakwe bubotu loko.
EST 1:12	<p-n>@Esita 1:12</p-n>	Pesi Namalelo Vashiti wakakaka kuti asike kujwi lyamwami eelyo lyakali lyeetwa kulinguwe abendelezi. Mpawo mwami wakanyema loko; bukali bwakwe bwakayaka mulinguwe.
EST 1:13	<p-n>@Esita 1:13</p-n>	Aboobo mwami wakabuzya kubalumi bakazibinkene kuti mbasongo, bakali kumvwisisisya zyiindi (nkambo eyi nkani yakali nzila yamwami kuli boonse abo bakazi zyamulawu akubetekwa). 
EST 1:14	<p-n>@Esita 1:14</p-n>	Lino abo bakali afwifwi anguwe bakali ngu Kkasyena, Syeta, Adimata, Tasyisyi, Melesi, Masena, a Memukani, banakazi babaami bali musanu ababili bab Pezyiya aba Midiya. Bakali kusika afwifwi amwami alimwi bakalijisi zyuuno zilajulu mubwendelezi mubwami. 
EST 1:15	<p-n>@Esita 1:15</p-n>	''Mukwinda kumulawu, niinzi cheelede kuchitwa kuli Namalelo Vashiti nkambo takaswilila pe kumalayilile amwami Ahazwelasi, aayo akeetedwe kuli nguwe abeendelezi?''
EST 1:16	<p-n>@Esita 1:16</p-n>	Memukkani wakamba kunembo lyamwami abeendelezi, ''Teensi mwami luzutu Vashiti ngwabizya, pesi abendelezi boonse abantu boonse bali muchisi chamwami Ahazwelasi.  
EST 1:17	<p-n>@Esita 1:17</p-n>	Nkambo makani a Namalelo alazibwa abanakazi boonse. Eechi chiyochita kuti banakazi bakachite chakutalemeka balumi babo. Bayowamba kuti, ''Mwami Ahazwelasi wakalayilila Vashiti namalelo kuti ayetwe kunembo lyakwe, pesi wakakaka. 
EST 1:18	<p-n>@Esita 1:18</p-n>	Kalitanamana eeli izuba banakazi balemekeka bamu Pezyiya abamu Midiya aabo bakamvwa makani a Namalelo bayowamba chintu echi nchichonya kubendelezi bang'anda yamwami. Kuyoba kulemeka kupati akunyema.
EST 1:19	<p-n>@Esita 1:19</p-n>	Na chamubotelezya mwami, akube malayilile azwa kumwami aakuti atandwe kuzwa kulinguwe, alimwi azilembwe mumulawu yaba Pezyiya aba Midiya, eecho chitakonzeki kusandulwa kuchitila kuti Vashiti katanochisiki kunembo lya mwami. Akube kuti mwami ape uumbi bwendelezi bwabu Namalelo kuli uumbi uyinda nguwe. 
EST 1:20	<p-n>@Esita 1:20</p-n>	Eelyo malayilile amwami anowambwa mubwami bwakwe boonse, alimwi abonse banakazi bayolemeka balumi babo, kuzwa kubapati kuyosikila kubanini balachakuchita.''
EST 1:21	<p-n>@Esita 1:21</p-n>	Mwami antomwe abendelezi bakwe bakabotelwa anchenjezyo eyi, alimwi mwami wakachita mbubonya mbuli Memukkani mbwakayeyelede. 
EST 1:22	<p-n>@Esita 1:22</p-n>	Wakatumizya magwalo kuliwonse masena abwami bwakwe, kuchisi chimwi achimwi mumalembe aacho, akumusyobo wabantu umwi awumwi mumulaka wabo. Wakalayilila kuti umwi awumwi mwalumi abe mutwe wang'anda yakwe. Aya malayilile akapegwa mumulaka wawumwi awumwi muzisi zyabwami bwakwe.
EST 2:1	<p-n>@Esita 2:1</p-n>	Nizyakayinda zintu eezi, eelyo bukali bwamwami Ahazwelasi nakanyemunukwa, wakayeeya ataala a Vashiti azezyo nzyakali wachita. Wakayeeya  alubo amalayilile ngaakali wabamba atala anguwe. 
EST 2:2	<p-n>@Esita 2:2</p-n>	Mpawo balombwana banini bamubelekela bakati, ''Akube kuyangawulwa kwaba nakalindu bachinini alimwi babotu kubbazu lya mwami.
EST 2:3	<p-n>@Esita 2:3</p-n>	Akube kuti mwami abikke bendelezi muzisi zyoonse zyabwami bwakwe, kuti kubunganisigwe aamwi banakalindu beebeka banini kumwalumi uumwi mumunzi wa Susa. Akube kuti boonse babikkwe mumanza a Hegayi, mwendelezi wamwami, ooyo unolanga banakazi, alimwi abape mafuta aabo akunana kumenso. 
EST 2:4	<p-n>@Esita 2:4</p-n>	Akube kuti ooyo nakalindu munini ooyo utakabotelezye mwami akabe Namalelo abusena bwa Vashiti. Aaya machenjezyo akakondya mwami, alimwi wakachita oobo.
EST 2:5	<p-n>@Esita 2:5</p-n>	Nchobeni kwakaliwo mu Juda mumunzi wa Susa wakali ezina lyakali kutegwa Modekkayi mwana mulombe wa Jayile mwana mulombe wa Simeyi mwana mulombe wa Kkishi, ooyo wakali mu Bbenjamini. 
EST 2:6	<p-n>@Esita 2:6</p-n>	Wakali watolwa mubuzike kuzwa ku Jelusalema abazike aamwi ababo bakali batolwa mubuzike a Jowakkimu, mwami wa Juda, oyo Nebbukkadineza mwami wa Bbabbiloni ngwakatolede mubuzike.
EST 2:7	<p-n>@Esita 2:7</p-n>	Wakali kulanga Hadasa, chaamba kuti Esita, wakali mwana musimbi wa simyunzabo, nkambo takwakalikwe wisi nakuti banyina. Mwanakazi munini wakali achiwa chibotu alimwi wakali kweebeka. Modekkayi wakamubweza mbuli mwanakwe musimbi ngwazyala.
EST 2:8	<p-n>@Esita 2:8</p-n>	Eelyo malayilile amalembe amwami nakaambwa, bachanakazi bakeetwa mumunzi wa Susa. Bakabikwa alimwi munsi lya Hegayi kuti kalokubalanga. Alakwe Esita wakatolegwa mung'anda ya mwami, alimwi wakabikkwa munsi lya Hegayi, wakali kulanga banakazi. 
EST 2:9	<p-n>@Esita 2:9</p-n>	Kasimbi aka kakamukondya loko mwami alimwi kakujana luzyalo mulinguwe. Achakufwambana wakamugwasya mafuta akwe achibeela chakulya. Wakamutuma kubazike bali musanu ababili kuzwa kung'anda yamwami, alimwi wakamutola aamwi abazike bali  musanu ababili kung'anda imbotu loko mung'anda yabanakazi.
EST 2:10	<p-n>@Esita 2:10</p-n>	Esita takwepe ngwakali wabuzya kuti bantu nikuba bamusyobo wakwe mbaani, nkambo kakuti Modekkayi wakali wamulayilila kuti ataambi. 
EST 2:11	<p-n>@Esita 2:11</p-n>	Mazuba woonse Modekkayi wakali kweendenda kunembo amusule kunembo lyalubuwa lwang'anda aanze kung'anda yabanakazi, kuti ayiiye atala azyakuligwasya kwa Esita alimwi aatala azezyo nzyayelede kuchitilwa.
EST 2:12	<p-n>@Esita 2:12</p-n>	Chindi nichakasika chawumwi awumwi musimbi kuti ayinke kumwami Ahazwelasi--  mukutobelezya malayilile nakuti milawu yabanakazi kwamyeezi ikkumi ayibili, nkambo eechi chakali chiindi bubotu bwabo mpobwakali kumamanino akusikwa kwabo. Myeezi musanu awumwi amafuta amuulo alimwi musanu awumwi amuunde amafuta -- 
EST 2:13	<p-n>@Esita 2:13</p-n>	elyo kuchindi musimbi nakali kuya kumwami, kufumbwa eecho nchakali kuyanda wakali kuchipegwa, kuzwa kung'anda yabanakazi kuti lwakwe atole kung'anda yamwami.
EST 2:14	<p-n>@Esita 2:14</p-n>	Mansiku wakali kunjila mukati, alimwi kuseni walikunga wabweeda kung'anda yabili yabanakazi, akung'anda nkubakali kulelwa ya Syasyagazi, mwendelezi wamwi, ooyo wakali kulanga basimamambe. Taakali kunga wabweda lubo pe kumwami aadokuti kwajanika kukondwa kupati muli nguwe alimwi walikumwita azina.
EST 2:15	<p-n>@Esita 2:15</p-n>	Lino chindi cha Esita nichakasika (mwana musimbi wa Abbihayila wisilenzi wa Modekkayi, ooyo wakali wamutola  mbuli mwanakwe ngwazyala)kuti ayinke kumwami, takwepe nchakabuzya pesi eecho Hegayi mwendelezi wamwami, ooyo wakali kulangana abanakazi nzyakayeeya. 
EST 2:16	<p-n>@Esita 2:16</p-n>	Lino Esita wakatambula luzyalo kuli baabo boonse bakamubona. Esita wakatolegwa kumwami Ahazwelasi mumunzi wamwami mumwezi wakkumi ulinguwo mwezi wa Tebbeli, mumunyaka wamusanu ayibili wabwendelezi bwakwe.
EST 2:17	<p-n>@Esita 2:17</p-n>	Mwami wakayandisya Esita kwinda boonse banakazi alimwi wakatambula luzyalo munsi lyakwe kwinda boonse banakalindu. Aboobo wakabamba munsini wabwami amutwe wakwe alimwi akumuchitila namalelo muchiimo cha Vashiti. 
EST 2:18	<p-n>@Esita 2:18</p-n>	Lino mwami wakapanga pobwe pati kuli boonse bendelezi abalanda bakwe. ''Pobwe lya Esita,'' alimwi akumupa eechi nchakali wakumbila mukubotelwa kuzwa mitelo yazisi. Wakamupa lubo chaabilo chabwami muluzyalo.
EST 2:19	<p-n>@Esita 2:19</p-n>	Lino eelyo banakalindu nibakabunganisigwa aamwi lwabili, Modekkayi wakali kkede amulyango wa mwami. 
EST 2:20	<p-n>@Esita 2:20</p-n>	Esita takwepe ngwakayina kubuzya atala anzubo zyakwe nikuba bantu bakwe, mbuli Modekkayi mbwakali wamulayilila. Wakayimikila anembo akutobelezya machenjezyo a Modekkayi, mbuli mbwakachitide eelyo nakaleledwe anguwe. 
EST 2:21	<p-n>@Esita 2:21</p-n>	Mumazubayo, kuchindi  Modekkayi nakakkede amulyango wamwami, Bendelezi babili ba mwami, Bbigitani a Telesi, aabo bakali kulindila mulyango uya mung'anda, bakanyema alimwi bakayandula kuti bamuchisa mwami Ahazwelasi.
EST 2:22	<p-n>@Esita 2:22</p-n>	Eelyo makani nakazibinkana kuli Modekkayi, wakabuzya namalelo Esita, alimwi Esita wakambula kumwami muzina lya Modekkayi. 
EST 2:23	<p-n>@Esita 2:23</p-n>	Mulumbe wakayandulwa alimwi wakajanika, mpawo balumi babili bakanzikwa achanzikilo. Aaya makani akalembwa mubuliwo bwamwami, mubbuku lyazyiindi zyabwendelezi bwakwe.
EST 3:1	<p-n>@Esita 3:1</p-n>	Nikwakayinda zintu ezi, Mwami Ahazwelasi wakasumpula Hamani mwana mulombe wa Hamedata mu Agagite, alimwi akumubika achuno chabwendelezi bwakwe atala aliboonse bendelezi mbakali aabo. 
EST 3:2	<p-n>@Esita 3:2</p-n>	Boonse bazike bamwami aabo bakali amulyango wa mwami kabafugeme akukotama aansi kuli Hamani, mbuli mwami mbwakaba layilide kuti bachite. Pesi Modekkayi takafugama pe nikuba kukotama.
EST 3:3	<p-n>@Esita 3:3</p-n>	Mpawo boonse bazike ba Mwami aabo bakali amulyango bakati kuli Modekkayi, ''Nkambonzi nokaka malayilile a Mwami?'' 
EST 3:4	<p-n>@Esita 3:4</p-n>	Bakali kwambuula kuli nguwe buzuba abuzuba, pesi wakakaka kuti achite eezyo nzibakali kuyanda kuti achite eezyo nzibakali kuyanda. Aboobo bakaambula a Hamani kuti babone nankubona makani atala a Modekkayi akachala kalimbubo na. Nkambo wakababuzizye kuti mu Juda.
EST 3:5	<p-n>@Esita 3:5</p-n>	Eelyo Hamani naakabona kuti Modekkayi taakafugama  pe akumutondezya kutamulemeka, Hamani wakazula bukkali. 
EST 3:6	<p-n>@Esita 3:6</p-n>	Wakaba akuzumina kua amuzezo wakaujaya Modekkayi, nkambo bazike ba mwami bakali bamubuzya kuti bantu ba Modekkayi mbani, Hamani wakeezya kujaya boonse ba Juda, bantu ba Modekkayi, aabo bakali mubwami bwa Ahazwelasi boonse.
EST 3:7	<p-n>@Esita 3:7</p-n>	Mumweezi wakutanguna (ulingomwezi wa Nisani), muminyaka kkumi ayibili ya Ahazwelasi, Puli --chaamba nkakata -- yakawaalwa aansi kunembo lya Hamani, kuti kusalwe buzuba amweezi.  Bakawala nkakata akuzyindulula mane nkakata yakuwa mumwezi wakkumi ayibili (chaamba mwezi wa Adda).
EST 3:8	<p-n>@Esita 3:8</p-n>	Mpawo Hamani wakati ku Mwami Ahazwelasi, ''Kuli bamwi bantu balimumasena babikkidwe akkati kazisi zyabwami bwako zyoonse. Milawu yabo ilisiyene ayabamwi bantu, alimwi tababambi pe milawu ya mwami, abobo tacheelede pe ku Mwami kuti abaleke bakkale. 
EST 3:9	<p-n>@Esita 3:9</p-n>	Naa kachikondelezya kumwami, ngaape malayilile kuti abajaye, alimwi njoyeela mweelo wamakkumi kkumi achuulu chamatalenta ansiliva kuli baabo bali mubwendelezi bwa mulimu wa mwami, kuti lwabo babike munkomo yamwami.''
EST 3:10	<p-n>@Esita 3:10</p-n>	Mpwo mwami wakabweza chitondezyo chanweenwe kuzwa kukuboko akwipa kuli Hamani mwana mulombe wa Hamedata mu Agagiti, sinkondonyina waba Juda. 
EST 3:11	<p-n>@Esita 3:11</p-n>	Mwami wakati kuli Hamani, ''Nzoobona kuti imali iyopegwa lubo kuli nduwe akubantu bako. Uyochita kufumbwa mboyanda anjiiyo.''
EST 3:12	<p-n>@Esita 3:12</p-n>	Mpawo balembi ba mwami  bakayitwa mubuzuba bwakkumi mwatatu lyamwezi mutanzi, alimwi malayilile aakajisi zyoonse eezyo Hamani nzyakali waamba zyakalembelwa kubendelezi bonse bazisi ba Mwami, aabo bakali ajulu abendelezi boonse bazisi kuchisi choonse mubulembwe boonse bwacho, alimwi akumikowa yoonse, mumilaka wabo. Zyakalembwa muzina lyamwami Ahazwelasi alimwi akudindwa anweenwe yakwe. 
EST 3:13	<p-n>@Esita 3:13</p-n>	Magwalo akatolwa amaboko abasikwendelezya magwalo kuzisi zyoonse zya mwami, kuti banyongania akujayigwa, akumwaya boonse kubapati, bana abanakazi, muzuba limwi - mubuzuba bwakkumi aatatu mumwezi wakkumi ayibili aatatu mumwezi wakkumi ayibili (ulinguwo mweezi wa Adda) - alimwi yoola lukono lwabo.
EST 3:14	<p-n>@Esita 3:14</p-n>	Malayilile akali mumagwalo akachitwa mumulawu muzisi zyoonse. Muzisi zyoonse kwakachitwa kuti kuzibwe kubantu boonse kuti belede kubambilila izuba eli. 
EST 3:15	<p-n>@Esita 3:15</p-n>	Basikutola magwalo bakayinka alimwi bakafwambana kutola mulayizyo wa Mwami. Malayilile alwo akatolwa mukati kamyuunzi ya Susa. Mwami antomwe a Hamani bakakkala aansi kuti banywe, pesi dolopo lya Susa lyakaba mukukatazika.
EST 4:1	<p-n>@Esita 4:1</p-n>	Elyo Modekkayi wakayiiya azezyo zyoonse zyakali zyachitikana, wakadelula zyakuzwata alimwi wakasama masaka adyota. Wakayinka akkati kadolopo, akukwila loko ajwi lilajulu kwakunyema. 
EST 4:2	<p-n>@Esita 4:2</p-n>	Wakayinka kupela kuloyiila amulyango wamwami, nkambo tawope wakali kuzumizigwa kwinda mpawo kazwete masaka. 
EST 4:3	<p-n>@Esita 4:3</p-n>	Muchisi choonse, kufumbwa malayilile a mwami amalembe nkwakasikila, kwakaba kukwila akkati kama Juda, akulyiimya akomooka. Biingi baabo bakalilede amasaka adyota.
EST 4:4	<p-n>@Esita 4:4</p-n>	Elyo mwanakazi munini wa Esita amuzike wakwe nibakasika akumubuzya Namalelo wakaba akuusa kupati. Wakatumizya zizwato zyakuti Modekkayi akazwate. (kuchitila kuti agwisye masaka). Pesi takwepe nakazizumina. 
EST 4:5	<p-n>@Esita 4:5</p-n>	Mpawo Esita wakayita Hataki, umwi wabeendelezi bamwami ooyo wakatumudwe kuku mubelekela. Wakamukumbila kuti ayinke kuli Modekkayi kuti akayiiye eezyo zyakali zyachitika akuti zyakali kwambanzi.
EST 4:6	<p-n>@Esita 4:6</p-n>	Aboobo Hataki wakayinka kuli Modekkayi aakati kalubuwa lwa dolopo kunembo amulyango wa mwami. 
EST 4:7	<p-n>@Esita 4:7</p-n>	Modekkayi wakamwambila zyoonse zyakali zyachitika kuli nguwe, abuvule bwamweelwe wansiliva eeyo Hamani njakasyomezezye kweta alimwi akubikka muchibanzilo chamwami kuchitila kubikka ba Juda kulufu. 
EST 4:8	<p-n>@Esita 4:8</p-n>	Wakamupa alubo ipeepa lyamalembe elyo lyakapedwe mu Susa akambo kakujayigwa kwaba Juda. Wakachita eechi kuchitila kuti Hatakki achitondezye Esita, alimwi kuti welede kumupa mulimo wakuya kumwami kuti akakumbile luzyalolwakwe, alimwi akukumbila anguwe kayimvilide bantu bakwe.
EST 4:9	<p-n>@Esita 4:9</p-n>	Aboobo Hataki wakayinka akuyowambila Esita eezyo Modekkayi nzyakali waamba. 
EST 4:10	<p-n>@Esita 4:10</p-n>	Mpawo wakambula a Hataki akumulayilila kuti abwede lubo kuli Modekkayi. Wakati, 
EST 4:11	<p-n>@Esita 4:11</p-n>	''Bonse bazike bamwami abantu bamuzisi bazibe kuti kufumbwa mwalumi na mwanakazi uyinka kumwami mukati kalubuwa katayitidwe, kulumwi kupela mulawu: kuti welede kuti ajigwe- kusiya uumwi ooyo mwami ngwanoli ujisilidi mufungo wangolida kuchitila kuti apone. Nsina kwiitwa pe kuti nzeku mwami kwamazuba makumi atatu aaya.'' 
EST 4:12	<p-n>@Esita 4:12</p-n>	Aboobo Hatakki wakasisya majwi a Esita kuli Modekkayi.
EST 4:13	<p-n>@Esita 4:13</p-n>	Modekkayi wakabwedezya makani aaya kuli Esita. ''Twelede pe kuyeeya eezyo mung'anda yamwami, uyochija kufumbwa kwinda boonse bamwi ba Juda. 
EST 4:14	<p-n>@Esita 4:14</p-n>	Naa wawumuna kuli echi chindi, lugwasyo aluvuno luyoyima kuba Juda kuzwa kuli bumwi busena, pesi iwebo ang'anda yawuso muyofwidilila. Ngwani uuzi nakuyochitikilanzi nwasika kubusena bwabwami akambo kachindi chili mbuli eechi?''
EST 4:15	<p-n>@Esita 4:15</p-n>	Mpawo Esita wakatumizya makani aya kuli Modekkayi. 
EST 4:16	<p-n>@Esita 4:16</p-n>	''Yinka, ukabunganie aamwi boonse ba Juda aabo bakkala mu Susa, alimwi mukalyiimye nkambo kaangu. Mutakalyi pe nikuba kunywa kwamazuba aatatu, mansiku nikuba sikati. Mebo abasimbi bangu banini tiyolyiimya munzila ikozyania. Mpawo njoyinka kumwami, nikuba kuti kazitali mumulawu, alimwi nakuti nkufwa njoofwa.'' 
EST 4:17	<p-n>@Esita 4:17</p-n>	Modekkayi wakiinka akuyochita zyonse eezyo Esita nzyakali wamubuzya kuti azichite.
EST 5:1	<p-n>@Esita 5:1</p-n>	Nikwakinda mazuba atatu, Esita wakazwata zisamo zyabwami akwimikila mulubuwa lwang'anda yamwami, kunembo aang'anda yamwami. Mwami wakali kkede achuno chabwami kalangide kumulyango wang'anda. 
EST 5:2	<p-n>@Esita 5:2</p-n>	Eelyo mwami nakabona Esita namalelo kayimvwi mulubuwa, wakatambula luzyalo mumenso akwe. Aboobo Esita wakaswena alimwi akuguma impela yamufungo.
EST 5:3	<p-n>@Esita 5:3</p-n>	Mwami wakati kulinguwe, ''Niinzi nchoyanda Namalelo Esita? Nchichili chikumbilo chako? Kuyosika kuchisela chabwami bwangu, chiyopegwa kuli nduwe.'' 
EST 5:4	<p-n>@Esita 5:4</p-n>	Esita wakati, ''Naakuti chabotezya mwami, Mwami a Hamani basike sunu kupobwe eelyo ndindamubambila.''
EST 5:5	<p-n>@Esita 5:5</p-n>	Mwami wakati, ''Yeta Hamani kufwambana, kuti azochite eezyo Esita nzyakaamba. Aboobo mwami a Hamani bakiinka kupobwe eelyo Esita ndyakali wabamba. 
EST 5:6	<p-n>@Esita 5:6</p-n>	Elyo wayini niwakali kupegwa kupobwe, mwana wakati kuli Esita, ''Nchichili chikumbizyo chako? Chiyopegwa kuli nduwe. Nchikumbizyo nzii chako? Kuyosika kuchisela chabwami, uyochipegwa.''
EST 5:7	<p-n>@Esita 5:7</p-n>	Esita wakasandula, ''Chikumbilo changu achikumbizyo nceechi, nakuti ndajana luzyalo kumenso a mwami alimwi 
EST 5:8	<p-n>@Esita 5:8</p-n>	nakuti chilakondezya mwami kuti andipe kukukumbila kwangu achikumbizyo changu alimwi akulemeka chikumbizyo changu, aboole mwami a Hamani kupobwe eelyo ndyentakababambile junza alimwi ndiyosandula mubuzyo wamwami.''
EST 5:9	<p-n>@Esita 5:9</p-n>	Hamani wakazwa aanze eelyo zuba kakondeledwe akubotelwa mumoyo. Pesi muchindi Hamani nakabona Modekkayi kumulyango wamwami, takakankamana pe nikuba kuyoowa kunembo lyakwe katakwe nikuba buyofu, wakazula lulaka aatala a Modekkayi. 
EST 5:10	<p-n>@Esita 5:10</p-n>	Nekuba boobo, Hamani wakalijata alimwi wakaya kung'anda yakwe. Wakatuma benzinyina akubabungania aamwi, a Zelesi banakwe. 
EST 5:11	<p-n>@Esita 5:11</p-n>	Hamani wakabalila lubo buvule bwabuvubi bwakwe, mweelwe wabana bakwe balombe biingi, boonse busumpwidwe kwinda muli oobo mwami  mbwaka mulemeka, alimwi ambuli mbwakazwidilila kwinda boonse beendelezi abazike ba mwami.
EST 5:12	<p-n>@Esita 5:12</p-n>	Hamani wakati, ''Namalelo Esita takwe pe ngwakatambide pesi mebo lwangu a mwami kupobwe ndyakabambide. Nikuba junza ndilitambidwe lubo anguwe katuli a mwami. 
EST 5:13	<p-n>@Esita 5:13</p-n>	Pesi zyoonse eezi takwepe nchizindigwasya kufumbwa nkumbwene Modekkayi mu Juda kakkede kumulyango wa mwami.''
EST 5:14	<p-n>@Esita 5:14</p-n>	Mpawo Zelesi banakwe bakati kuli Hamani abazolwani bakwe boonseni, ababambe chanzikilo chamakkumi alimusanu bulamfu. Kuseni ubambwidwe a mwami kuti badine Modekkayi achanzikilo. Mpawo uyinke akukondwa a mwami kupobwe.'' Echi chakakondelezya alimwi wakabamba chanzikilo chamana.
EST 6:1	<p-n>@Esita 6:1</p-n>	Obo busiku mwami takwe pe nakona. Wakambila babelesi bakwe kuti beete ibbuku lyakalembedwe zyakachitika mubwendelezi bwakwe, alimwi lyakabalwa chakoompolola ku mwami. 
EST 6:2	<p-n>@Esita 6:2</p-n>	Kwakajanwa kakulembedwe omo kuti Modekkayi wakamba atala Bbigitana a Teleshi, bobile basilutwe bamwami bakali kulinda mulyango wakumanjililo, abo bakali beezya kuyanda kuchisa mwami Ahazwelasi. 
EST 6:3	<p-n>@Esita 6:3</p-n>	Mwami wakabuzya, '' Niinzi chakachitwa kupa bulemu nikuba kuyeyegwa kuli Modekkayi akuchita eezi?'' Mpawo balumi bachinini bakali kubelekela mwami bakati, ''Takwe nchakachitwa pe.''
EST 6:4	<p-n>@Esita 6:4</p-n>	Mwami wakamba kuti, ''Ngwani sikulinda mulyango ?'' Lino wakanjila kumulyango waanze wang'anda yamwami kuzomwambila atala akujayigwa kwa Modekkayi apulanga ndyaka mubambilide. 
EST 6:5	<p-n>@Esita 6:5</p-n>	Babelesi ba mwami bakamwambila kuti, ''Amumwambile anjile.'' 
EST 6:6	<p-n>@Esita 6:6</p-n>	Eelyo Hamani nakanjila, mwami wakamwambila kuti, ''Ninzi cheelede kuchitilwa muntu mwami ngwabotelelwa mukumulemeka?''Lino Hamani wakalibuzya mumoyo wakwe kuti, ''Ngwani mwami ngwakonzya kubotelelwa akulemeka kwinda ndime?''
EST 6:7	<p-n>@Esita 6:7</p-n>	Hamani wakambila mwami, ''Kumuntu mwami ngwabotelelwa akulemeka, 
EST 6:8	<p-n>@Esita 6:8</p-n>	kazyetwe zisamo zyabwami, zisamo ezyo mwami nzyakasamide, abbiza elyo mwami ndyakagede amusini wabwami kumutwe walyo. 
EST 6:9	<p-n>@Esita 6:9</p-n>	Mpawo zisamo abbiza zipegwe silutwe mwami ngwayandisya. Azizwate zisamo muntu mwami ngwakondelwa akulemeka, alimwi akube basikumutobela kali atala abbiza kwinda mumugwagwa wamudolopo. Kube basikumompolweda, 'Ezi nzyachitilwa oyo mwami ngwakondelwa akulemeka !''
EST 6:10	<p-n>@Esita 6:10</p-n>	Mpawo mwami wakambila Hamani kuti, ''Fwambana bweza zizwato abbiza, mbuli mbwawamba, akuchitila Modekkayi mu Juda ukkala amulyango wamwami. Kutabi mpokachilwa pe kutwambo toonse ntuwamba.'' 
EST 6:11	<p-n>@Esita 6:11</p-n>	Mpawo Hamani wakabweza chisamo abbiza. Wakazizwatika Modekkayi akumwinzya mumugwagwa yamudolopo. Wakoompolola kusule lyakwe, Eezi nzyachitilwa muntu ngwakondelwa mwami akulemeka!''
EST 6:12	<p-n>@Esita 6:12</p-n>	Modekkayi wakabweeda kumulyango wa mwami. Pesi Hamani wakafwambanina kung'anda yakwe kayabukwila, amutwe wakwe kavumbidwe. 
EST 6:13	<p-n>@Esita 6:13</p-n>	Hamani wakambila banakwe Zelesi abenzinyina boonse zyakachitika atala anguwe. Mpawo balumi bakwe bakazibinkene abusongo kuli nguwe, ''Kuti Modekkayi, kunembo lyakwe ngotalikuwa, mu Juda, takoyo muzunda pe, pesi uyowa kunembo lyakwe.'' 
EST 6:14	<p-n>@Esita 6:14</p-n>	Nibakachili kwambula anguwe, babeleki bang'anda bakasika. Bakafwambana kutola Hamani kupobwe elyo ndyakabambide Esita.
